"词语" "次数"
"了" 173
"道" 117
"的" 75
"是" 66
"笑" 66
"说" 63
"我" 62
"也" 60
"去" 56
"这" 55
"玉" 54
"不" 53
"你" 52
"又" 45
"人" 43
"因" 40
"湘云" 40
"黛" 40
"只" 39
"有" 39
"来" 39
"就" 35
"贾" 35
"一" 33
"好" 30
"着" 30
"母" 29
"他" 24
"便" 24
"联" 24
"之" 22
"二" 22
"都" 22
"上" 21
"他们" 21
"在" 20
"想" 20
"听" 19
"要" 18
"见" 18
"倒" 17
"睡" 17
"罢" 17
"还" 17
"那" 17
"下" 15
"两个" 15
"到" 15
"大" 15
"得" 15
"时" 15
"月" 15
"一个" 14
"大家" 14
"等" 14
"且" 13
"再" 13
"吃" 13
"命" 13
"咱们" 13
"夫人" 13
"对" 13
"我们" 13
"才" 13
"更" 13
"用" 13
"看" 13
"句" 12
"妙" 12
"字" 12
"这里" 12
"一句" 11
"媳妇" 11
"已" 11
"老太太" 11
"这样" 11
"那里" 11
"作" 10
"此" 10
"笛" 10
"翠" 10
"诗" 10
"酒" 10
"与" 9
"中" 9
"些" 9
"却" 9
"吹" 9
"多" 9
"将" 9
"小" 9
"往" 9
"忙" 9
"方" 9
"方才" 9
"杯" 9
"病" 9
"自" 9
"虽" 9
"赏月" 9
"起" 9
"今日" 8
"你们" 8
"凹" 8
"出" 8
"只见" 8
"叫" 8
"可" 8
"呢" 8
"和" 8
"坐" 8
"如今" 8
"打" 8
"拟" 8
"散" 8
"未" 8
"水" 8
"竟" 8
"缕" 8
"茶" 8
"起来" 8
"过" 8
"遂" 8
"里" 8
"韵" 8
"不能" 7
"个" 7
"事" 7
"偏" 7
"可知" 7
"姑娘" 7
"宝" 7
"尤" 7
"找" 7
"明日" 7
"氏" 7
"池" 7
"王" 7
"知" 7
"若" 7
"该" 7
"语" 7
"问" 7
"难" 7
"众人" 6
"似" 6
"俗" 6
"况且" 6
"出来" 6
"向" 6
"姊妹" 6
"子" 6
"家" 6
"岂" 6
"拿" 6
"晶" 6
"林" 6
"果然" 6
"查" 6
"正" 6
"比" 6
"而" 6
"至" 6
"走" 6
"送" 6
"邢" 6
"馆" 6
"香" 6
"高兴" 6
"三" 5
"丫头" 5
"为" 5
"什么" 5
"何" 5
"先" 5
"凸" 5
"只怕" 5
"听说" 5
"四" 5
"团圆" 5
"夜" 5
"太" 5
"头" 5
"如此" 5
"山" 5
"带" 5
"底下" 5
"心" 5
"快" 5
"所以" 5
"无" 5
"没" 5
"没有" 5
"清" 5
"犹" 5
"碧" 5
"紫" 5
"请" 5
"谁" 5
"起身" 5
"近" 5
"这个" 5
"金" 5
"陪" 5
"鬼" 5
"鹃" 5
"不在话下" 4
"不知" 4
"丫鬟" 4
"今年" 4
"令" 4
"们" 4
"儿子" 4
"兴" 4
"其" 4
"反" 4
"叹" 4
"园" 4
"塞" 4
"声" 4
"处" 4
"天" 4
"如何" 4
"姐姐" 4
"实" 4
"少" 4
"念" 4
"怎么" 4
"放" 4
"敢" 4
"景" 4
"有趣" 4
"毕" 4
"添" 4
"灯" 4
"热" 4
"理" 4
"甚" 4
"真" 4
"眼" 4
"知道" 4
"细" 4
"羞" 4
"老爷" 4
"自己" 4
"责" 4
"赏" 4
"越" 4
"露" 4
"鹤" 4
"一下" 3
"一声" 3
"不必" 3
"乃" 3
"书" 3
"于" 3
"云" 3
"亦" 3
"休" 3
"会" 3
"住" 3
"何等" 3
"写" 3
"几处" 3
"凤" 3
"分" 3
