"词语" "次数"
"了" 162
"的" 129
"我" 106
"你" 97
"他" 85
"道" 84
"是" 76
"不" 69
"人" 62
"说" 62
"来" 53
"也" 47
"笑" 37
"又" 36
"宝" 36
"着" 35
"袭" 35
"宝玉" 32
"就" 30
"做" 28
"有" 28
"在" 26
"还" 25
"钗" 25
"林" 24
"去" 23
"忙" 23
"湘云" 23
"见" 23
"儿" 22
"叫" 22
"呢" 22
"话" 22
"这" 22
"好" 21
"会" 20
"史" 19
"什么" 18
"便" 18
"之" 16
"姑娘" 16
"玉" 16
"黛" 16
"一面" 15
"要" 15
"上" 14
"夫人" 14
"才" 14
"王" 14
"这话" 14
"那" 14
"只" 13
"子" 13
"拿" 13
"没" 13
"罢" 13
"倒" 12
"走" 12
"这个" 12
"个" 11
"为" 11
"前" 11
"听" 11
"怎么" 11
"给" 11
"不知" 10
"可" 10
"妹妹" 10
"死" 10
"过" 10
"这么" 10
"那里" 10
"都" 10
"一" 9
"作" 9
"和" 9
"大" 9
"姐姐" 9
"家里" 9
"心" 9
"这些" 9
"事" 8
"住" 8
"怔" 8
"想" 8
"放心" 8
"衣服" 8
"说道" 8
"里" 8
"金" 8
"下" 7
"出去" 7
"叹" 7
"我们" 7
"既" 7
"替" 7
"泪" 7
"看" 7
"知" 7
"知己" 7
"知道" 7
"素日" 7
"谁" 7
"赶" 7
"起" 7
"这样" 7
"这里" 7
"送" 7
"问" 7
"一个" 6
"不觉" 6
"丫头" 6
"些" 6
"从" 6
"再" 6
"出" 6
"别" 6
"听见" 6
"因" 6
"弄" 6
"得" 6
"情" 6
"扇子" 6
"打" 6
"把" 6
"烦" 6
"病" 6
"竟" 6
"钏" 6
"一时" 5
"云" 5
"同" 5
"如今" 5
"将" 5
"待" 5
"忽" 5
"投井" 5
"提" 5
"敢" 5
"方" 5
"明白" 5
"果然" 5
"正" 5
"气" 5
"点头" 5
"老爷" 5
"者" 5
"自己" 5
"自然" 5
"若" 5
"谁知" 5
"那个" 5
"那些" 5
"针线" 5
"顽" 5
"一句" 4
"且" 4
"丢" 4
"两个" 4
"两套" 4
"中" 4
"们" 4
"出来" 4
"却" 4
"原" 4
"哄" 4
"哭" 4
"回" 4
"坐" 4
"奇" 4
"姨娘" 4
"客" 4
"家" 4
"岂" 4
"帐" 4
"或" 4
"所" 4
"手" 4
"拭泪" 4
"早" 4
"此" 4
"比" 4
"混" 4
"用" 4
"穿" 4
"自" 4
"说话" 4
"跟前" 4
"难道" 4
"鞋" 4
"麒麟" 4
"一件" 3
"下去" 3
"不必" 3
"不能" 3
"与" 3
"东西" 3
"二" 3
"今儿" 3
"他们" 3
"但" 3
"何" 3
"你们" 3
"俗" 3
"信" 3
"先" 3
"半天" 3
"原故" 3
"原来" 3
"口里" 3
"只管" 3
"可见" 3
"后" 3
"告诉" 3
"哉" 3
"因而" 3
"多" 3
"天" 3
"太太" 3
"害臊" 3
"小" 3
"屋里" 3
"当" 3
"心中" 3
"忘" 3
"怎么样" 3
"恐" 3
"惊" 3
"意" 3
"无" 3
"明儿" 3
"活" 3
"活计" 3
"生" 3
"生分" 3
"生气" 3
"看见" 3
"瞧瞧" 3
"神" 3
"站" 3
"糊涂" 3
"红" 3
"经济" 3
"能" 3
"脸" 3
"虽然" 3
"觉" 3
"言" 3
"该" 3
"赌气" 3
"赏" 3
"起来" 3
"越发" 3
"过不去" 3
"连" 3
"银子" 3
"问道" 3
"一回" 2
"一声" 2
"一定" 2
"一日" 2
"一身" 2
"万句" 2
"不用" 2
"不错" 2
"为什么" 2
"于" 2
"亏" 2
"井" 2
"亦" 2
"亲自" 2
"从来" 2
"伸手" 2
"似" 2
"何必" 2
"值" 2
"兄弟" 2
"其" 2
"况且" 2
"几两" 2
"凡" 2
"则" 2
"刚才" 2
"别人" 2
"到" 2
"到底" 2
"动" 2
"印" 2
"只好" 2
"只见" 2
"可惜" 2
"吃" 2
"向" 2
"咱们" 2
"咳" 2
"哥哥" 2
"喜" 2
"回去" 2
"回头" 2
"回来" 2
"园" 2
"垂" 2
"处" 2
"多半" 2
"多少" 2
"天天" 2
"套子" 2
"好生" 2
"如何" 2
"如此" 2
"妆" 2
"娘" 2
"字" 2
"学问" 2
"完" 2
"将来" 2
"小姐" 2
"工夫" 2
"差不多" 2
"已" 2
"带" 2
"并" 2
"幸而" 2
"必定" 2
"忌讳" 2
"快" 2
"怕" 2
"思" 2
"急" 2
"性" 2
"性急" 2
"怪" 2
"悲" 2
"想到" 2
"想起" 2
"愿" 2
"慢慢" 2
"成" 2
"戒指" 2
"抽身" 2
"拉" 2
"拣" 2
"掩" 2
"撵" 2
"教" 2
"新" 2
"方才" 2
"晚上" 2
"更" 2
"曾" 2
"望" 2
"未了" 2
"本" 2
"款" 2
"此间" 2
"水" 2
"汗" 2
"滚" 2
"热天" 2
"父母" 2
"爷" 2
"理" 2
"生日" 2
"由" 2
"皆" 2
"看来" 2
"真" 2
"真真" 2
"眼睛" 2
"瞧" 2
"禁不住" 2
"称" 2
"等" 2
"累" 2
"羞" 2
"老婆子" 2
"而" 2
"肺腑" 2
"脚" 2
"茶" 2
"虽" 2
"裁缝" 2
"裹" 2
"言语" 2
