"词语" "次数"
"了" 218
"的" 138
"道" 114
"来" 90
"儿" 88
"不" 83
"笑" 75
"我" 74
"是" 74
"宝玉" 72
"你" 62
"人" 60
"他" 60
"说" 54
"着" 52
"也" 49
"又" 49
"便" 43
"吃" 43
"去" 42
"宝" 41
"玉" 41
"莺" 41
"有" 36
"这" 33
"钗" 33
"薛" 32
"一面" 30
"好" 30
"那" 30
"都" 30
"什么" 29
"见" 29
"就" 28
"钏" 27
"叫" 26
"贾" 26
"在" 25
"打" 24
"母" 24
"凤" 23
"要" 23
"两个" 22
"和" 22
"个" 20
"问" 20
"一" 19
"只" 19
"姨妈" 19
"忙" 19
"等" 19
"还" 19
"子" 18
"想" 18
"罢" 18
"袭" 18
"上" 16
"倒" 16
"夫人" 16
"方" 16
"说话" 16
"可" 15
"黛" 15
"与" 14
"妹妹" 14
"王" 14
"看" 14
"只管" 13
"呢" 13
"汤" 13
"疼" 13
"话" 13
"一个" 12
"丫头" 12
"向" 12
"听" 12
"坐" 12
"姐儿" 12
"姐姐" 12
"络子" 12
"下" 11
"傅" 11
"因" 11
"得" 11
"才" 11
"走" 11
"过" 11
"听说" 10
"姑娘" 10
"怎么" 10
"拿" 10
"给" 10
"若" 10
"起来" 10
"那里" 10
"里" 10
"为" 9
"只见" 9
"告诉" 9
"大" 9
"如今" 9
"婆" 9
"我们" 9
"手" 9
"把" 9
"林" 9
"老太太" 9
"自己" 9
"蟠" 9
"说道" 9
"起" 9
"这样" 9
"连" 9
"饭" 9
"些" 8
"他们" 8
"令" 8
"作" 8
"再" 8
"哭" 8
"太太" 8
"姨娘" 8
"将" 8
"没" 8
"线" 8
"过来" 8
"这个" 8
"这里" 8
"进来" 8
"们" 7
"会" 7
"做" 7
"吃饭" 7
"命" 7
"多" 7
"大家" 7
"妈" 7
"小" 7
"时" 7
"正" 7
"真" 7
"知" 7
"秋" 7
"端" 7
"管" 7
"红" 7
"自" 7
"花" 7
"请" 7
"送" 7
"且" 6
"东西" 6
"先" 6
"却" 6
"原" 6
"听见" 6
"回头" 6
"嫌" 6
"家" 6
"忽" 6
"春" 6
"没有" 6
"烫" 6
"菜" 6
"薄" 6
"让" 6
"试" 6
"金" 6
"之" 5
"众人" 5
"你们" 5
"出去" 5
"到" 5
"半日" 5
"嘴" 5
"姐" 5
"尝" 5
"快" 5
"怡" 5
"接" 5
"放" 5
"替" 5
"气" 5
"生气" 5
"用" 5
"知道" 5
"碗" 5
"站" 5
"答应" 5
"紫" 5
"至" 5
"茶" 5
"谁" 5
"这么" 5
"遣" 5
"配" 5
"鹃" 5
"一回" 4
"不好意思" 4
"不知" 4
"中" 4
"二" 4
"今儿" 4
"今日" 4
"内" 4
"几根" 4
"出" 4
"刚" 4
"别" 4
"原故" 4
"厨房" 4
"吩咐" 4
"好些" 4
"好吃" 4
"如" 4
"如何" 4
"姑妈" 4
"少顷" 4
"尽" 4
"巧" 4
"弄" 4
"房" 4
"扶" 4
"拉" 4
"早" 4
"明儿" 4
"曾" 4
"月" 4
"梅花" 4
"母亲" 4
"比" 4
"生" 4
"瞧" 4
"花样" 4
"芳" 4
"虽" 4
"觉" 4
"该" 4
"进" 4
"连忙" 4
"那边" 4
"酸" 4
"院内" 4
"面" 4
"颜色" 4
"香" 4
"鹦哥" 4
"一句" 3
"一声" 3
"万" 3
"上来" 3
"不大" 3
"不肯" 3
"不过" 3
"丫鬟" 3
"乖" 3
"亲" 3
"从" 3
"住" 3
"使唤" 3
"兄弟" 3
"出来" 3
"前" 3
"动" 3
"十分" 3
"千" 3
"单" 3
"双文" 3
"反" 3
"只顾" 3
"史" 3
"同" 3
"名" 3
"呆" 3
"喜" 3
"回去" 3
"回来" 3
"园" 3
"地下" 3
"坐下" 3
"声" 3
"外" 3
"好处" 3
"妇人" 3
"姓" 3
"宫" 3
"常" 3
"并" 3
"心" 3
"忘" 3
"念" 3
"恐" 3
"想起" 3
"意" 3
"手里" 3
"提" 3
"收" 3
"教" 3
"无" 3
"时常" 3
"昨" 3
"更" 3
"有人" 3
"李" 3
"架" 3
"模子" 3
"欲" 3
"死" 3
"汗巾" 3
"法" 3
"洗" 3
"添" 3
"湘云" 3
"满" 3
"炸" 3
"点" 3
"烦" 3
"然" 3
"眼睛" 3
"窗外" 3
"算" 3
"素日" 3
"纹" 3
"老" 3
"老祖宗" 3
"荷叶" 3
"裁" 3
"装" 3
"记" 3
"跟" 3
"身上" 3
"边" 3
"这些" 3
"送来" 3
"那些" 3
"闲" 3
"闹" 3
"阴" 3
"陪" 3
"黄" 3
"黑" 3
"一叠" 2
"一口" 2
"一处" 2
"一宗" 2
"一张" 2
"一旁" 2
"一时" 2
"一条" 2
"一根" 2
"一点" 2
"一直" 2
"一起" 2
"上面" 2
"下来" 2
"不在话下" 2
"不用" 2
"不觉" 2
"丢" 2
"两句" 2
"两碗" 2
"乏" 2
"于" 2
"于是" 2
"云" 2
"交" 2
"今" 2
"仗" 2
"伤心" 2
"伸手" 2
"似的" 2
"何" 2
"你好" 2
"侬" 2
"信" 2
"倒不如" 2
"借" 2
"值" 2
"偏" 2
"催" 2
"像" 2
"全" 2
"共" 2
"几样" 2
"凭" 2
"别人" 2
"到底" 2
"势" 2
"勾" 2
"半天" 2
"原来" 2
"取" 2
"变" 2
"口里" 2
"可是" 2
"可笑" 2
"吃药" 2
"后" 2
"周" 2
"和气" 2
"咭" 2
"哝" 2
"哥" 2
"啐" 2
"喂" 2
"四副" 2
"回" 2
"处" 2
"大清早" 2
"天天" 2
"头" 2
"奉" 2
"女" 2
"奶奶" 2
"好生" 2
"姊妹" 2
"娇艳" 2
"娘儿" 2
"婆娘" 2
"嬷嬷" 2
"孀" 2
"字" 2
"孝敬" 2
"完" 2
"客" 2
"尚未" 2
"已" 2
"巴" 2
"帘子" 2
"年" 2
"弟" 2
"弱" 2
"影" 2
"往" 2
"待" 2
"得闲" 2
"心里" 2
"必" 2
"必定" 2
"怕" 2
"怪" 2
"恕" 2
"惜" 2
"所" 2
"打发" 2
"抬头" 2
"抿" 2
"拍手" 2
"招" 2
"拣" 2
"挂" 2
"捧" 2
"探" 2
"接着" 2
"提起" 2
"提醒" 2
"揖" 2
"撑" 2
"操心" 2
"放心" 2
"政" 2
"敢" 2
"散" 2
"明白" 2
"最" 2
"有些" 2
"望" 2
"朝" 2
"未" 2
"本" 2
"杌" 2
"果子" 2
"果然" 2
"柳" 2
"样" 2
"桃红" 2
"次" 2
"歇息" 2
"歪" 2
"毕" 2
"水" 2
"求" 2
"泠" 2
"泪" 2
"洞" 2
"添补" 2
"点头" 2
"烦恼" 2
"热" 2
"然后" 2
"燕子" 2
"爱" 2
"爷" 2
"猜疑" 2
"由" 2
"畜生" 2
"痴" 2
"看待" 2
"看见" 2
"眼" 2
"着呢" 2
"着实" 2
"瞧瞧" 2
"禁不起" 2
"究竟" 2
"窗" 2
"立" 2
"竹" 2
"箸" 2
"素" 2
"红颜" 2
"结" 2
"络" 2
"耽误" 2
"肉" 2
"胜" 2
"腿" 2
"自然" 2
"苔" 2
"茶房" 2
"莲蓬" 2
"菱" 2
"落" 2
"葬" 2
"葱绿" 2
"衣裳" 2
"要紧" 2
"许" 2
"许多" 2
"诚" 2
"调" 2
"象" 2
"豪门" 2
"贵族" 2
"赖" 2
"赞" 2
"跑" 2
"跟前" 2
"跳" 2
"身旁" 2
"躺" 2
"过去" 2
"迎春" 2
"还有" 2
"进入" 2
"远" 2
"邢" 2
"酒" 2
"里头" 2
"门生" 2
"闻" 2
"院门" 2
"雨" 2
"鱼" 2
"鸡" 2
"麝" 2
"一些" 1
"一会" 1
"一半" 1
"一同" 1
"一场" 1
"一头" 1
"一寸" 1
"一尺" 1
"一并" 1
"一把" 1
"一样" 1
"一次" 1
"一段" 1
"一群" 1
"一行" 1
"一齐" 1
"三" 1
"三个" 1
"三分" 1
"三四十样" 1
"上房" 1
"下去" 1
"下回" 1
"下蛋" 1
"下雨" 1
"下面" 1
"不再" 1
"不同" 1
"不好" 1
"不如" 1
"不尽" 1
"不得" 1
"不必" 1
"不成" 1
"不曾" 1
"不消" 1
"不理" 1
"不相干" 1
"不算" 1
"不管" 1
"不耐烦" 1
"不胜" 1
"不能" 1
"不许" 1
"不起眼" 1
"世" 1
"世人" 1
"业" 1
"东道" 1
"两" 1
"两双" 1
"两口" 1
"两样" 1
"两边" 1
"丧" 1
"中看" 1
"主子" 1
"之下" 1
"之中" 1
"之后" 1
"习" 1
"了得" 1
"争" 1
"事" 1
"二十三岁" 1
"二句" 1
"亏" 1
"五月" 1
"五顿" 1
"亡" 1
"交代" 1
"交给" 1
"亲密" 1
"人命" 1
"人行" 1
"仍" 1
"从不" 1
"从今以后" 1
"从来" 1
"从来不" 1
"他家" 1
"以" 1
"仰" 1
"伏" 1
"众" 1
"传说" 1
"伸" 1
"伺候" 1
"似" 1
"似乎" 1
"何苦" 1
"佳" 1
"佳人" 1
"使不得" 1
"侍" 1
"依" 1
"俊儿" 1
"俱" 1
"俱全" 1
"假话" 1
"做人" 1
"做出" 1
"允" 1
"入" 1
"公婆" 1
"其" 1
"其中" 1
"养" 1
"冷" 1
"净" 1
"凉" 1
"几" 1
"几个" 1
"几分" 1
"几只" 1
"几年" 1
"凤仙花" 1
"凳" 1
"出阁" 1
"凿" 1
"分" 1
"分明" 1
"分解" 1
"刚性" 1
"判" 1
"别提" 1
"别的" 1
"刻薄" 1
"劝" 1
"劲" 1
"勉强" 1
"匣子" 1
"十" 1
"十六岁" 1
"十几岁" 1
"十年" 1
"十顿" 1
"半截" 1
"印" 1
"历年来" 1
"压" 1
"厌" 1
"厦" 1
"厮" 1
"去处" 1
"参差" 1
"发昏" 1
"受" 1
"口味" 1
"古人" 1
"另" 1
"另外" 1
"只好" 1
"只怕" 1
"叫作" 1
"可不" 1
"可好" 1
"可巧" 1
"可怜" 1
"右" 1
"叶" 1
"叹" 1
"吁" 1
"各项" 1
"名字" 1
"后头" 1
"吓" 1
"听听" 1
"听话" 1
"呆子" 1
"呈" 1
"告辞" 1
"味儿" 1
"呼唤" 1
"咱们" 1
"咳嗽" 1
"哄" 1
"哈哈" 1
"哉" 1
"哟" 1
"哥哥" 1
"哧" 1
"哨" 1
"哭丧" 1
"唤" 1
"唬" 1
"喜欢" 1
"喜色" 1
"喝" 1
"嗟" 1
"嗳" 1
"嘎" 1
"嘱咐" 1
"器皿" 1
"四个" 1
"四双" 1
"回廊" 1
"回话" 1
"因为" 1
"因此" 1
"因而" 1
"地" 1
"地方" 1
"坏" 1
"坐位" 1
"块" 1
"坠" 1
"处分" 1
"备" 1
"外传" 1
"外头" 1
"外婆" 1
"外边" 1
"多半" 1
"多少" 1
"多心" 1
"够" 1
"大作" 1
"大小" 1
"大显" 1
"大红" 1
"天" 1
"天气" 1
"太" 1
"央求" 1
"头儿" 1
"奇" 1
"奇怪" 1
"奈" 1
"奉承" 1
"奚落" 1
"奴才" 1
"好意思" 1
"好歹" 1
"好看" 1
"好说话儿" 1
"如此" 1
"妯娌" 1
"妹子" 1
"委曲" 1
"姨太太" 1
"姻" 1
"姿色" 1
"娇憨" 1
"娘" 1
"婉转" 1
"媳妇" 1
"嫂子" 1
"孝顺" 1
"孩儿" 1
"孩子" 1
"安" 1
"安心" 1
"官" 1
"定睛" 1
"家中" 1
"家伙" 1
"家常" 1
"家里" 1
"宾主" 1
"对" 1
"对了" 1
"小心" 1
"少不了" 1
"少不得" 1
"尚" 1
"尝尝" 1
"屋内" 1
"屋子" 1
"山石" 1
"岂" 1
"左" 1
"帐" 1
"带" 1
"常常" 1
"干净" 1
"平" 1
"平素" 1
"年纪" 1
"幽僻" 1
"床" 1
"应" 1
"应该" 1
"府上" 1
"廊" 1
"开" 1
"开水" 1
"引" 1
"张嘴" 1
"强" 1
"当日" 1
"当真" 1
"当着" 1
"径" 1
"得意" 1
"心事" 1
"忍" 1
"忍不住" 1
"怄" 1
"怎" 1
"怎么样" 1
"怒色" 1
"急" 1
"性子" 1
"怨" 1
"怨不得" 1
"悦" 1
"情" 1
"惊动" 1
"惭愧" 1
"意思" 1
"愚" 1
"慌" 1
"慢慢" 1
"懒" 1
"戏" 1
"或是" 1
"所以" 1
"扇" 1
"扇子" 1
"手上" 1
"手巾" 1
"才貌" 1
"扎" 1
"扑" 1
"打成" 1
"托" 1
"扣" 1
"扭" 1
"报" 1
"抱" 1
"抱怨" 1
"拈" 1
"拗口" 1
"指名" 1
"指望" 1
"挣" 1
"换" 1
"捱" 1
"掀" 1
"掐" 1
"推" 1
"掩" 1
"搭" 1
"携" 1
"摘" 1
"撞" 1
"攒" 1
"支出" 1
"收拾" 1
"放在" 1
"故" 1
"故意" 1
"散心" 1
"敬" 1
"断然" 1
"新" 1
"方向" 1
"方法" 1
"无可" 1
"既" 1
"日" 1
"旧年" 1
"早已" 1
"早晚" 1
"时候" 1
"星星" 1
"映" 1
"晓得" 1
"晚" 1
"晚上" 1
"晴" 1
"暗" 1
"暗暗" 1
"暴发" 1
"月亮" 1
"有事" 1
"木头" 1
"本事" 1
"本来" 1
"杂色" 1
"来回" 1
"来得" 1
"松" 1
"松花" 1
"极" 1
"样子" 1
"根基" 1
"桌子" 1
"桥" 1
"梳头" 1
"榻" 1
"模样" 1
"横" 1
"欠身" 1
"欢喜" 1
"止住" 1
"止步" 1
"正值" 1
"正是" 1
"正经" 1
"此时" 1
"步" 1
"母女" 1
"每" 1
"毛丫头" 1
"没事" 1
"没意思" 1
"没趣" 1
"河里" 1
"泪珠" 1
"泼" 1
"洗手" 1
"浅薄" 1
"浓淡" 1
"消受" 1
"润" 1
"淋" 1
"淘气" 1
"淡" 1
"清香" 1
"渐" 1
"温存" 1
"湘" 1
"滚" 1
"满脸" 1
"潇" 1
"潮" 1
"灰" 1
"炷" 1
"爱惜" 1
"父亲" 1
"父母" 1
"牙" 1
"物" 1
"犯" 1
"猛" 1
"猴儿" 1
"现" 1
"现世" 1
"珠" 1
"理" 1
