"词语" "次数"
"了" 168
"的" 95
"玉" 86
"黛" 78
"是" 73
"之" 66
"着" 60
"不" 58
"有" 53
"来" 50
"道" 50
"他" 47
"贾" 47
"人" 46
"上" 45
"说" 45
"见" 44
"又" 42
"你" 40
"我" 39
"母" 38
"便" 37
"这" 37
"宝玉" 32
"笑" 31
"去" 30
"大" 30
"一" 27
"只" 27
"夫人" 27
"王" 27
"也" 26
"坐" 25
"因" 24
"在" 24
"忙" 24
"过" 22
"一个" 21
"如" 20
"都" 20
"方" 19
"下" 18
"们" 18
"丫鬟" 17
"听" 17
"妹妹" 17
"时" 17
"与" 16
"两个" 16
"凤" 16
"就" 16
"已" 16
"好" 15
"姊妹" 15
"村" 15
"雨" 15
"中" 14
"亦" 14
"想" 14
"花" 14
"二" 13
"嬷嬷" 13
"小" 13
"林" 13
"问" 13
"出" 12
"姑娘" 12
"子" 12
"带" 12
"若" 12
"茶" 12
"荣" 12
"袭" 12
"那" 12
"其" 11
"吃" 11
"后" 11
"得" 11
"看" 11
"穿" 11
"罢" 11
"至" 11
"一时" 10
"众" 10
"倒" 10
"再" 10
"别" 10
"名" 10
"多" 10
"字" 10
"家" 10
"往" 10
"未" 10
"极" 10
"熙" 10
"舅母" 10
"为" 9
"作" 9
"内" 9
"到" 9
"处" 9
"府" 9
"才" 9
"打" 9
"无" 9
"正" 9
"海" 9
"知" 9
"等" 9
"自" 9
"请" 9
"起" 9
"面" 9
"一面" 8
"书" 8
"何" 8
"儿" 8
"即" 8
"却" 8
"同" 8
"如此" 8
"并" 8
"日" 8
"珠" 8
"生" 8
"虽" 8
"让" 8
"还" 8
"进" 8
"进入" 8
"遂" 8
"邢" 8
"东" 7
"个" 7
"什么" 7
"今" 7
"从" 7
"众人" 7
"兄" 7
"可" 7
"向" 7
"呢" 7
"命" 7
"外" 7
"外祖母" 7
"引" 7
"心中" 7
"手" 7
"捧" 7
"政" 7
"椅" 7
"此" 7
"皆" 7
"系" 7
"而" 7
"西" 7
"要" 7
"这里" 7
"送" 7
"一一" 6
"三间" 6
"不知" 6
"两边" 6
"于是" 6
"今日" 6
"伤心" 6
"先" 6
"另" 6
"唤" 6
"婆" 6
"将" 6
"小厮" 6
"弟" 6
"心" 6
"所" 6
"携" 6
"春" 6
"曾" 6
"比" 6
"没有" 6
"炕" 6
"病" 6
"眉" 6
"者" 6
"设" 6
"话" 6
"车" 6
"这个" 6
"金" 6
"门" 6
"青" 6
"三个" 5
"且" 5
"东西" 5
"两" 5
"丫头" 5
"些" 5
"似" 5
"侍" 5
"入" 5
"几" 5
"几个" 5
"只见" 5
"告诉" 5
"和" 5
"国" 5
"墨" 5
"头" 5
"如今" 5
"室" 5
"尊" 5
"岂" 5
"常" 5
"当下" 5
"房" 5
"拿" 5
"故" 5
"料" 5
"旧" 5
"早" 5
"更" 5
"李" 5
"果" 5
"正房" 5
"氏" 5
"用" 5
"眼" 5
"红" 5
"缎" 5
"老" 5
"自幼" 5
"色" 5
"行" 5
"赦" 5
"起来" 5
"这些" 5
"一处" 4
"上来" 4
"不同" 4
"不过" 4
"丝" 4
"乃" 4
"于" 4
"亲" 4
"他们" 4
"以" 4
"仪" 4
"信" 4
"养" 4
"内兄" 4
"前" 4
"务" 4
"匾" 4
"半" 4
"原" 4
"及" 4
"只管" 4
"叫" 4
"回" 4
"回来" 4
"大家" 4
"大红" 4
"大门" 4
"太太" 4
"女" 4
"奶娘" 4
"如何" 4
"姐姐" 4
"姑妈" 4
"媳妇" 4
"宝" 4
"尽" 4
"帘" 4
"应" 4
"座" 4
"念" 4
"意" 4
"找" 4
"拉" 4
"拜见" 4
"探" 4
"撒" 4
"教" 4
"最" 4
"月" 4
"正门" 4
"母亲" 4
"物" 4
"目" 4
"礼" 4
"穿堂" 4
"立" 4
"粉" 4
"老太太" 4
"老祖宗" 4
"袄" 4
"褥" 4
"角门" 4
"语" 4
"读" 4
"起身" 4
"身上" 4
"转" 4
"轿" 4
"迎" 4
"进来" 4
"连" 4
"里" 4
"金陵" 4
"银" 4
"除" 4
"陪" 4
"随" 4
"领" 4
"鹦哥" 4
"一件" 3
"一句" 3
"一声" 3
"上面" 3
"下面" 3
"不必" 3
"不曾" 3
"世" 3
"云" 3
"人物" 3
"令" 3
"休" 3
"伤感" 3
"位" 3
"住" 3
"俗" 3
"修" 3
"傻" 3
"兴" 3
"况" 3
"出来" 3
"劝" 3
"厅" 3
"原来" 3
"去世" 3
"发" 3
"喜" 3
"嘱咐" 3
"因此" 3
"地" 3
"垂花门" 3
"复" 3
"外面" 3
"天" 3
"好生" 3
"妙" 3
"娇" 3
"嫂子" 3
"学" 3
"完" 3
"家里" 3
"寻" 3
"小女" 3
"小小" 3
"居" 3
"年" 3
"弱" 3
"忘" 3
"快" 3
"忽" 3
"怎" 3
"怎么" 3
"怕" 3
"恭" 3
"情" 3
"惹" 3
"戴" 3
"房屋" 3
"房门" 3
"打量" 3
"扶" 3
"报" 3
"抬" 3
"择" 3
"接" 3
"搂" 3
"搭" 3
"摔" 3
"攒" 3
"敢" 3
"方才" 3
"服" 3
"本" 3
"杜撰" 3
"案" 3
"正面" 3
"毕" 3
"泣" 3
"洋" 3
"游廊" 3
"漱" 3
"灵" 3
"烦" 3
"狂" 3
"现" 3
"理" 3
"画" 3
"知道" 3
"石青" 3
"碧" 3
"神" 3
"答应" 3
"纱橱" 3
"绦" 3
"缺" 3
"罕" 3
"自己" 3
"舅" 3
"螭" 3
"蟒" 3
"被" 3
"裙" 3
"认得" 3
"该" 3
"说话" 3
"谋" 3
"赐" 3
"蹙" 3
"身边" 3
"辞" 3
"过去" 3
"迎春" 3
"还有" 3
"这样" 3
"通" 3
"遣" 3
"金钱" 3
"钗" 3
"锦" 3
"长" 3
"门前" 3
"院" 3
"院中" 3
"露" 3
"非" 3
"靠背" 3
"顶" 3
"顽" 3
"饭" 3
"高" 3
"一位" 2
"一双" 2
"一回" 2
"一对" 2
"一年" 2
"一条" 2
"一样" 2
"一根" 2
"一段" 2
"一溜" 2
"一番" 2
"一行" 2
"一边" 2
"丈" 2
"不可" 2
"不忍" 2
"不能" 2
"不要" 2
"东边" 2
"两句" 2
"丹" 2
"丽" 2
"举止" 2
"之上" 2
"乳母" 2
"争" 2
"事" 2
"五" 2
"五六个" 2
"五彩" 2
"五间" 2
"亦可" 2
"京" 2
"今儿" 2
"以后" 2
"伺候" 2
"但" 2
"你们" 2
"例" 2
"依傍" 2
"候" 2
"偏" 2
"兄弟" 2
"全" 2
"八" 2
"公" 2
"冠" 2
"冷" 2
"刚" 2
"别人" 2
"刻" 2
"十分" 2
"半日" 2
"南" 2
"厢房" 2
"厮" 2
"双" 2
"取" 2
"叙" 2
"口" 2
"古今" 2
"只怕" 2
"可怜" 2
"合" 2
"后面" 2
"含" 2
"听见" 2
"告" 2
"告辞" 2
"周全" 2
"哥" 2
"哥哥" 2
"哭" 2
"唇" 2
"唯" 2
"四书" 2
"四张" 2
"围" 2
"圭" 2
"地下" 2
"城中" 2
"堂" 2
"壮丽" 2
"外罩" 2
"外间" 2
"多少" 2
"多心" 2
"大字" 2
"天府" 2
"央" 2
"奇怪" 2
"奏" 2
"女儿" 2
"妆" 2
"妹" 2
"妻" 2
"娘" 2
"婢" 2
"字迹" 2
"安" 2
"安息" 2
"安置" 2
"安静" 2
"定" 2
"宫" 2
"宽" 2
"寄" 2
"小字" 2
"山" 2
"左边" 2
"干" 2
"床" 2
"底" 2
"度" 2
"廊" 2
"弃" 2
"式" 2
"张" 2
"弯" 2
"弹" 2
"归" 2
"当日" 2
"形容" 2
"彩" 2
"待" 2
"心里" 2
"必" 2
"急" 2
"总" 2
"恐" 2
"恩" 2
"悉" 2
"惜" 2
"愁" 2
"我们" 2
"托" 2
"抹" 2
"拜" 2
"拥" 2
"挂" 2
"挨" 2
"换" 2
"插屏" 2
"搀" 2
"放" 2
"放心" 2
"方可" 2
"晚" 2
"晚饭" 2
"月钱" 2
"有人" 2
"朝" 2
"未了" 2
"未曾" 2
"束" 2
"来历" 2
"来回" 2
"枕" 2
"柳" 2
"梢" 2
"椅子" 2
"次日" 2
"止" 2
"正好" 2
"正是" 2
"此刻" 2
"步" 2
"每人" 2
"气" 2
"汝" 2
"没" 2
"没趣" 2
"油" 2
"沾" 2
"溺爱" 2
"漆" 2
"烟" 2
"照样" 2
"父" 2
"父母" 2
"犹" 2
"琏" 2
"璎珞" 2
"画眉" 2
"疯" 2
"痴" 2
"登" 2
"百" 2
"盂" 2
"盛" 2
"盥" 2
"省" 2
"看见" 2
"真" 2
"眼中" 2
"睬" 2
"瞧" 2
"矣" 2
"碗" 2
"祖" 2
"秋" 2
"穗" 2
"竟" 2
"童" 2
"竭力" 2
"第一" 2
"第二" 2
"管" 2
"箸" 2
"紫檀" 2
"纵然" 2
"细细" 2
"绫" 2
"耳房" 2
"脂" 2
"膏粱" 2
"自然" 2
"致意" 2
"舅舅" 2
"舍不得" 2
"舟" 2
"茗" 2
"药" 2
"薛" 2
"蝶" 2
"行动" 2
"行李" 2
"衔" 2
"衣裳" 2
"表" 2
"裁" 2
"褂" 2
"西边" 2
"角" 2
"觚" 2
"言" 2
"记" 2
"许多" 2
"论" 2
"词" 2
"说道" 2
"读书" 2
"谢" 2
"象" 2
"赤金" 2
"走" 2
"身体" 2
"身材" 2
"身量" 2
"转弯" 2
"轿子" 2
"辣子" 2
"边" 2
"过来" 2
"远" 2
"远客" 2
"迟" 2
"退出" 2
"那边" 2
"那里" 2
"配" 2
"闻" 2
"难" 2
"雁" 2
"雪" 2
"项" 2
"顾盼" 2
"颦" 2
"风骚" 2
"香" 2
"骂" 2
"鼎" 2
"龙" 2
"一串" 1
"一会" 1
"一则" 1
"一副" 1
"一半" 1
"一只" 1
"一团" 1
"一块" 1
"一家子" 1
"一封" 1
"一岁" 1
"一张" 1
"一所" 1
"一把" 1
"一日" 1
"一旦" 1
"一案" 1
"一步" 1
"一生" 1
"一笔" 1
"一等" 1
"一群" 1
"一般" 1
"一身" 1
"一辆" 1
"一顶" 1
"万几" 1
"万种" 1
"三" 1
"三分" 1
"三四" 1
"三四个" 1
"三尺" 1
"三层" 1
"三岁" 1
"三张" 1
"三等" 1
"三角" 1
"上下" 1
"上任" 1
"上头" 1
"上学" 1
"上房" 1
"上文" 1
"下方" 1
"下来" 1
"下首" 1
"不但" 1
"不便" 1
"不俗" 1
"不免" 1
"不凡" 1
"不合" 1
"不在话下" 1
"不好" 1
"不屑" 1
"不得" 1
"不得不" 1
"不成" 1
"不理" 1
"不经之谈" 1
"不肖" 1
"不肯" 1
"不胜" 1
"不解" 1
"不许" 1
"不足" 1
"不通" 1
"世人" 1
"东安" 1
"两三个" 1
"两便" 1
"两日" 1
"两溜" 1
"两间" 1
"严整" 1
"丧" 1
"个个" 1
"丰" 1
"临" 1
"丸" 1
"丸药" 1
"乃是" 1
"久" 1
"之后" 1
"之外" 1
"乌木" 1
"乐" 1
"乐业" 1
"乖僻" 1
"乖张" 1
"九龙" 1
"书信" 1
"书房" 1
"书籍" 1
"事情" 1
"二则" 1
"二等" 1
"二门" 1
"互相" 1
"五个" 1
"交椅" 1
"亲友" 1
"人人" 1
"人参" 1
"人烟" 1
"仆妇" 1
"仍" 1
"仍旧" 1
"从此以后" 1
"仔细" 1
"仕" 1
"他家" 1
"他方" 1
"仗" 1
"仙子" 1
"代" 1
"任" 1
"伏" 1
"优待" 1
"会" 1
"伟" 1
"传" 1
"伤" 1
