"词语" "次数"
"了" 252
"的" 144
"道" 93
"不" 83
"是" 80
"他" 78
"来" 74
"宝玉" 73
"说" 73
"你" 69
"又" 66
"我" 66
"也" 57
"这" 57
"着" 51
"去" 50
"便" 47
"就" 47
"笑" 46
"晴" 44
"雯" 44
"人" 41
"儿" 38
"在" 38
"一" 35
"有" 33
"只" 31
"叫" 31
"月" 29
"好" 28
"麝" 28
"都" 27
"上" 26
"忙" 26
"宝" 25
"子" 23
"见" 23
"小" 22
"我们" 22
"那" 22
"二" 20
"呢" 20
"听" 19
"等" 19
"些" 18
"拿" 18
"罢" 18
"要" 17
"过" 17
"还" 17
"一个" 16
"什么" 16
"你们" 16
"再" 15
"姑娘" 15
"母" 15
"给" 15
"贾" 15
"出" 14
"出去" 14
"命" 14
"玉" 14
"话" 14
"问" 14
"会" 13
"作" 13
"没" 13
"爷" 13
"琴" 13
"药" 13
"黛" 13
"和" 12
"坠" 12
"带" 12
"得" 12
"才" 12
"用" 12
"病" 12
"老太太" 12
"太太" 11
"奶奶" 11
"把" 11
"走" 11
"这个" 11
"那里" 11
"金" 11
"下" 10
"丫头" 10
"们" 10
"倒" 10
"告诉" 10
"因" 10
"坐" 10
"明儿" 10
"穿" 10
"虽" 10
"起来" 10
"一面" 9
"与" 9
"中" 9
"先" 9
"到" 9
"吃" 9
"大" 9
"如今" 9
"想" 9
"打" 9
"时" 9
"气" 9
"看" 9
"知道" 9
"至" 9
"若" 9
"诗" 9
"说道" 9
"进来" 9
"事" 8
"别" 8
"回" 8
"平" 8
"怎么" 8
"房" 8
"王" 8
"睡" 8
"补" 8
"这里" 8
"送" 8
"里" 8
"一件" 7
"个" 7
"今儿" 7
"出来" 7
"只见" 7
"回来" 7
"头" 7
"嫂子" 7
"往" 7
"怕" 7
"手" 7
"找" 7
"早" 7
"暖" 7
"未" 7
"李" 7
"自" 7
"起" 7
"身上" 7
"这话" 7
"钗" 7
"从" 6
"众人" 6
"住" 6
"偏" 6
"前" 6
"取" 6
"口" 6
"可" 6
"向" 6
"咱们" 6
"夫人" 6
"如何" 6
"嬷嬷" 6
"宋" 6
"屋里" 6
"披" 6
"果" 6
"瞧瞧" 6
"笼" 6
"线" 6
"脸" 6
"觉" 6
"这些" 6
"针" 6
"钱" 6
"马" 6
"一回" 5
"一日" 5
"一时" 5
"下来" 5
"两" 5
"之" 5
"乱" 5
"他们" 5
"伶俐" 5
"信" 5
"后" 5
"听听" 5
"周" 5
"处" 5
"天" 5
"将" 5
"已" 5
"很" 5
"敢" 5
"更" 5
"林" 5
"正" 5
"烧" 5
"疼" 5
"眼" 5
"瞧" 5
"知" 5
"礼" 5
"答应" 5
"红" 5
"纹" 5
"老" 5
"老祖宗" 5
"花" 5
"衣" 5
"袭" 5
"说话" 5
"贴" 5
"贵" 5
"赖" 5
"这样" 5
"连" 5
"醒" 5
"镯子" 5
"骂" 5
"鸳鸯" 5
"一张" 4
"不知" 4
"且" 4
"两个" 4
"为" 4
"亦" 4
"仍" 4
"依" 4
"偷" 4
"几个" 4
"半日" 4
"原" 4
"只怕" 4
"名字" 4
"启" 4
"嗅" 4
"嘱咐" 4
"国" 4
"声" 4
"妈妈" 4
"姐姐" 4
"孔雀" 4
"完" 4
"尽" 4
"屋子" 4
"并" 4
"强" 4
"心" 4
"念" 4
"怪" 4
"所以" 4
"打发" 4
"挑" 4
"摸" 4
"方才" 4
"无" 4
"昨" 4
"死" 4
"比" 4
"水仙" 4
"没有" 4
"清" 4
"瑞" 4
"磕" 4
"秋" 4
"站" 4
"织补" 4
"自然" 4
"螺" 4
"衣裳" 4
"角门" 4
"让" 4
"谁知" 4
"赶" 4
"越" 4
"越发" 4
"跑" 4
"跟前" 4
"身" 4
"过去" 4
"进" 4
"通" 4
"重" 4
"阁" 4
"难" 4
"香" 4
"一块" 3
"一声" 3
"一样" 3
"一盆" 3
"不如" 3
"不得" 3
"不过" 3
"东西" 3
"两盆" 3
"个头" 3
"云" 3
"亲自" 3
"伏" 3
"使" 3
