"词语" "次数"
"了" 224
"的" 154
"道" 102
"是" 98
"笑" 95
"说" 92
"贾" 88
"也" 78
"他" 74
"这" 70
"不" 69
"母" 61
"着" 60
"我" 53
"便" 52
"都" 51
"人" 50
"来" 50
"又" 46
"去" 45
"忙" 40
"有" 40
"一" 37
"凤" 35
"宝玉" 35
"们" 34
"你" 34
"就" 34
"那" 33
"儿" 32
"听" 32
"等" 31
"只" 30
"在" 28
"子" 28
"上" 27
"姐儿" 27
"好" 26
"罢" 26
"一个" 25
"吃" 25
"我们" 24
"小" 23
"过" 23
"二" 22
"倒" 21
"将" 21
"众人" 20
"酒" 20
"戏" 19
"他们" 18
"先" 18
"命" 18
"媳妇" 18
"没" 18
"叫" 17
"大" 17
"斟" 17
"要" 17
"还" 17
"个" 16
"书" 16
"些" 16
"王" 16
"咱们" 15
"因" 15
"大家" 15
"家" 15
"至" 15
"起来" 15
"两个" 14
"丫头" 14
"什么" 14
"坐" 14
"女" 14
"想" 14
"之" 13
"再" 13
"回" 13
"夫人" 13
"席" 13
"珍" 13
"看" 13
"薛" 13
"见" 13
"下" 12
"你们" 12
"出来" 12
"拿" 12
"放" 12
"李" 12
"老太太" 12
"这些" 12
"婆" 11
"老祖宗" 11
"这里" 11
"到" 10
"散" 10
"月" 10
"秋" 10
"纹" 10
"谁" 10
"问" 10
"一面" 9
"与" 9
"九个" 9
"会" 9
"可" 9
"呢" 9
"完" 9
"才" 9
"用" 9
"说道" 9
"走" 9
"里" 9
"麝" 9
"住" 8
"别" 8
"嘴" 8
"如今" 8
"姨妈" 8
"孩子" 8
"小姐" 8
"得" 8
"或" 8
"杯" 8
"礼" 8
"给" 8
"蓉" 8
"起" 8
"那里" 8
"不知" 7
"事" 7
"人家" 7
"从" 7
"内" 7
"冷" 7
"却" 7
"和" 7
"唱" 7
"壶" 7
"如" 7
"姑娘" 7
"孙" 7
"带" 7
"所以" 7
"方" 7
"无" 7
"时" 7
"正" 7
"比" 7
"氏" 7
"湘云" 7
"炮仗" 7
"皆" 7
"知道" 7
"话" 7
"跟" 7
"连" 7
"一回" 6
"于是" 6
"出" 6
"前" 6
"向" 6
"听说" 6
"外头" 6
"太太" 6
"奶奶" 6
"孙子" 6
"孝" 6
"小厮" 6
"干" 6
"忘" 6
"快" 6
"成" 6
"手" 6
"文官" 6
"没有" 6
"琏" 6
"真" 6
"知" 6
"竟" 6
"管" 6
"编" 6
"自己" 6
"若" 6
"让" 6
"这样" 6
"一杯" 5
"且" 5
"众" 5
"传" 5
"佳人" 5
"侍" 5
"依" 5
"各色" 5
"后" 5
"女儿" 5
"尤" 5
"往" 5
"怕" 5
"把" 5
"更" 5
"最" 5
"残" 5
"灯" 5
"瞧瞧" 5
"笑话" 5
"答应" 5
"老" 5
"虽" 5
"衣" 5
"袭" 5
"赏" 5
"起身" 5
"跪下" 5
"这个" 5
"进去" 5
"进来" 5
"邢" 5
"重" 5
"钱" 5
"阎王" 5
"一位" 4
"一场" 4
"一处" 4
"三" 4
"不如" 4
"丫鬟" 4
"二位" 4
"亲" 4
"仔细" 4
"伏" 4
"作" 4
"入" 4
"几个" 4
"出去" 4
"原故" 4
"另" 4
"只见" 4
"名" 4
"听见" 4
"多" 4
"天" 4
"太" 4
"婆婆" 4
"宝" 4
"对" 4
"少" 4
"尿" 4
"岂" 4
"年" 4
"并" 4
"底下" 4
"彩" 4
"怎么" 4
"换" 4
"捧" 4
"搂" 4
"撒" 4
"新" 4
"日" 4
"本" 4
"正是" 4
"求" 4
"汤" 4
"沤" 4
"浸" 4
"清" 4
"满" 4
"然后" 4
"玉" 4
"留下" 4
"疾" 4
"自然" 4
"行者" 4
"该" 4
"请" 4
"谎" 4
"象" 4
"贼" 4
"难道" 4
"预备" 4
"香" 4
"鸾" 4
"黛" 4
"鼓" 4
"一声" 3
"一套" 3
"一时" 3
"不成" 3
"不用" 3
"不能" 3
"不过" 3
"世" 3
"东西" 3
"两出" 3
"中" 3
"义" 3
"乖" 3
"乡绅" 3
"亏" 3
"云" 3
"亦" 3
"今儿" 3
"令" 3
"偏" 3
"做" 3
"元宵" 3
"全" 3
"八" 3
"公子" 3
"几年" 3
"刚" 3
"取" 3
"取乐" 3
"口" 3
"台" 3
"史" 3
"叹" 3
"合" 3
"吹" 3
"响" 3
"唤" 3
"唬" 3
"喜" 3
"喜欢" 3
"回去" 3
"园" 3
"园子" 3
"夹" 3
"如何" 3
"妈" 3
"妹妹" 3
"妻" 3
"婶" 3
"宦" 3
"小儿" 3
"屋子" 3
"已" 3
"开" 3
"弄" 3
"引" 3
"当下" 3
"待" 3
"忽" 3
"怎么样" 3
"怪" 3
"悄" 3
"慢" 3
"房" 3
"手里" 3
"打" 3
"托" 3
"抬" 3
"按" 3
"掰" 3
"提" 3
"搭" 3
"撤" 3
"斟酒" 3
"暖" 3
"朝" 3
"梅" 3
"歇" 3
"正月" 3
"死" 3
"混" 3
"添" 3
"滴" 3
"点" 3
"点头" 3
"烟火" 3
"热闹" 3
"熙" 3
"父母" 3
"琴" 3
"生" 3
"疼" 3
"站" 3
"笨" 3
"箫" 3
"耽" 3
"自" 3
"花" 3
"茶" 3
"菜" 3
"西" 3
"记" 3
"贫嘴" 3
"赖" 3
"这么" 3
"进" 3
"送" 3
"那些" 3
"里面" 3
"银子" 3
"除" 3
"馔" 3
"高兴" 3
"魂" 3
"鼓声" 3
"齐备" 3
"一出" 2
"一家子" 2
"一枝" 2
"一概" 2
"一溜" 2
"一点儿" 2
"一等" 2
"一齐" 2
"上去" 2
"上来" 2
"不得" 2
"不怕" 2
"不许" 2
"专" 2
"为" 2
"主意" 2
"之后" 2
"之类" 2
"乏" 2
"乱" 2
"亲家" 2
"亲戚" 2
"仍" 2
"以" 2
"伺候" 2
"何" 2
"便宜" 2
"俏" 2
"俱" 2
"偷" 2
"兄弟" 2
"先生" 2
"八出" 2
"兴头" 2
"养" 2
"况且" 2
"凡" 2
"击" 2
"包" 2
"十个" 2
"半" 2
"单" 2
"原" 2
"发" 2
"发笑" 2
"只要" 2
"叫作" 2
"可以" 2
"可巧" 2
"可怜" 2
"各" 2
"各处" 2
"吊" 2
"名字" 2
"吩咐" 2
"听听" 2
"告" 2
"告诉" 2
"呵" 2
"咳嗽" 2
"哟" 2
"哥哥" 2
"唐" 2
"喝" 2
"四十两" 2
"地" 2
"地下" 2
"垂" 2
"声" 2
"外面" 2
"多少" 2
"大观园" 2
"头" 2
"套" 2
"女人" 2
"女孩子" 2
"好歹" 2
"姊妹" 2
"姐" 2
"姐姐" 2
"姓" 2
"委屈" 2
"姨太太" 2
"娄" 2
"娘" 2
"孝顺" 2
"宁" 2
"官" 2
"实在" 2
"寻" 2
"少不得" 2
"巡" 2
"左" 2
"巧" 2
"已经" 2
"巴" 2
"幸而" 2
"庄" 2
"庙" 2
"府" 2
"廊" 2
"归" 2
"很" 2
"心" 2
"心里" 2
"必" 2
"怔" 2
"悄悄的" 2
"戏子" 2
"所" 2
"所有" 2
"才子" 2
"拍" 2
"指" 2
"挤" 2
"挪" 2
"推" 2
"收" 2
"故事" 2
"敢" 2
"敬" 2
"数" 2
"文" 2
"文章" 2
"斑" 2
"斗" 2
"新书" 2
"新鲜" 2
"既" 2
"旧" 2
"明儿" 2
"景" 2
"暖和" 2
"曲子" 2
"有些" 2
"有人" 2
"本人" 2
"林" 2
"果子" 2
"桌子" 2
"梦" 2
"榻" 2
"次" 2
"欢喜" 2
"歇歇" 2
"此" 2
"毕" 2
"水" 2
"江" 2
"泡" 2
"润" 2
"清淡" 2
"温水" 2
"滚" 2
"滚水" 2
"满腹" 2
"炕" 2
"烧" 2
"热" 2
"照看" 2
"爆竹" 2
"爱" 2
"牌" 2
"物" 2
"猜" 2
"猴儿" 2
"班" 2
"琵琶" 2
"甜" 2
"男人" 2
"痛" 2
"白" 2
"盆" 2
"盒" 2
"直" 2
"真真" 2
"睡" 2
"睡着" 2
"第二日" 2
"算" 2
"粥" 2
"紧" 2
"纨" 2
"老爷" 2
"而" 2
"聋子" 2
"脚" 2
"脸" 2
"膝下" 2
"色" 2
"茶房" 2
"表" 2
"观" 2
"规矩" 2
"觉" 2
"解" 2
"言" 2
"讲究" 2
"论" 2
"设" 2
"试" 2
"说笑话" 2
"说话" 2
"诸" 2
"读书" 2
"谁知" 2
"越" 2
"蹄子" 2
"蹲" 2
"转身" 2
"辛苦" 2
"过来" 2
"还家" 2
"这话" 2
"远" 2
"连日" 2
"递" 2
"逛逛" 2
"遇见" 2
"道理" 2
"钗" 2
"长" 2
"门" 2
"闷" 2
"闹" 2
"随便" 2
"随着" 2
"难" 2
"难说" 2
"雏" 2
"饮" 2
"驾" 2
"鬼" 2
"魔" 2
"鸳鸯" 2
"一一" 1
"一个发" 1
"一口" 1
"一口气" 1
"一句" 1
"一夜" 1
"一头" 1
"一对" 1
"一张" 1
"一把" 1
"一支" 1
"一早" 1
"一案" 1
"一段" 1
"一气" 1
"一点" 1
"一班" 1
"一盏" 1
"一路" 1
"一边" 1
"一部" 1
"三五出" 1
"三处" 1
"三月" 1
"上万" 1
"上京" 1
"上台" 1
"上吊" 1
"上等" 1
"上边" 1
"下去" 1
"下巴" 1
"下来" 1
"下面" 1
"不但" 1
"不便" 1
"不在话下" 1
"不大" 1
"不孝" 1
"不少" 1
"不拘" 1
"不然" 1
"不禁" 1
"不管" 1
"不觉" 1
"不通" 1
"不错" 1
"不难" 1
"世交" 1
"东" 1
"两" 1
"两三个" 1
"两三张" 1
"两家" 1
"两张" 1
"两日" 1
"两朵" 1
"两盒" 1
"两遍" 1
"中等" 1
"为什么" 1
"主人" 1
"主子" 1
"乃" 1
"久等" 1
"之中" 1
"之间" 1
"之际" 1
"乐" 1
"九龙" 1
"也罢" 1
"习" 1
"书房" 1
"书香" 1
"书香门第" 1
"买" 1
"买卖" 1
"了解" 1
"二十一日" 1
"二十二日" 1
"二十四" 1
"二十日" 1
"于" 1
"五代" 1
"亲友" 1
"亲自" 1
"人口" 1
"人氏" 1
"今年" 1
"从没" 1
"伐" 1
"传人" 1
"伯" 1
"估" 1
"伴儿" 1
"伶俐" 1
"伸手" 1
"但" 1
"何尝" 1
"何必" 1
"余" 1
"使" 1
"侄孙" 1
"例" 1
"供桌" 1
"俊" 1
"俱全" 1
"倒好" 1
"做出" 1
"偶然" 1
"偷空" 1
"儿子" 1
"元" 1
"兄妹" 1
"先前" 1
"先是" 1
"光" 1
"公公" 1
"公婆" 1
"兰" 1
"兴" 1
"其" 1
"再者" 1
"再说" 1
"写" 1
"军令" 1
"冰冷" 1
"冷水" 1
"凑" 1
"几" 1
"几两" 1
"几句" 1
"几家" 1
"几时" 1
"几百班" 1
"凭" 1
"出奇" 1
"击鼓" 1
"分派" 1
"则" 1
"刚才" 1
"利害" 1
"前仰后合" 1
"前日" 1
"前言" 1
"剩" 1
"力" 1
"劝" 1
"功" 1
"十" 1
"十七日" 1
"十九日" 1
"十二个" 1
"十八" 1
"十八日" 1
"十六日" 1
"十分" 1
"十响" 1
"千金" 1
"升" 1
"半日" 1
"半日一" 1
"半杯" 1
"单单" 1
"单身" 1
"卖" 1
"南边" 1
"即" 1
"却说" 1
"厅" 1
"厚" 1
"原来" 1
"及" 1
"友" 1
"双" 1
"反" 1
"发送" 1
"叔" 1
"受" 1
"口齿" 1
"叫做" 1
"可是" 1
