"词语" "次数"
"了" 193
"的" 150
"是" 97
"你" 86
"不" 77
"也" 76
"道" 74
"我" 72
"他" 66
"着" 65
"说" 63
"又" 56
"这" 51
"笑" 50
"儿" 49
"要" 43
"就" 42
"有" 41
"来" 40
"宝" 38
"都" 34
"好" 33
"去" 32
"画" 31
"钗" 28
"姥姥" 27
"玉" 27
"黛" 26
"便" 25
"贾" 25
"上" 23
"一" 22
"刘" 22
"只" 22
"姐儿" 22
"大" 21
"子" 21
"拿" 21
"个" 20
"叫" 20
"在" 20
"忙" 20
"罢" 20
"母" 19
"和" 18
"见" 18
"话" 18
"人" 17
"吃" 17
"你们" 16
"再" 16
"凤" 16
"听" 16
"得" 16
"过" 16
"还" 16
"些" 15
"送" 15
"那" 15
"众人" 14
"呢" 14
"小" 14
"王" 14
"给" 14
"一个" 13
"什么" 13
"倒" 13
"园子" 13
"我们" 13
"到" 12
"没" 12
"老太太" 12
"里" 12
"出" 11
"看" 11
"等" 11
"该" 11
"问" 11
"两个" 10
"事" 10
"知道" 10
"这样" 10
"那里" 10
"一句" 9
"不过" 9
"东西" 9
"会" 9
"作" 9
"出来" 9
"别" 9
"多" 9
"如今" 9
"姑娘" 9
"宝玉" 9
"平" 9
"把" 9
"方" 9
"昨" 9
"走" 9
"这些" 9
"们" 8
"写" 8
"出去" 8
"原" 8
"四两" 8
"太医" 8
"姐姐" 8
"字" 8
"穿" 8
"请" 8
"起" 8
"起来" 8
"这个" 8
"鸳鸯" 8
"一面" 7
"与" 7
"丫头" 7
"他们" 7
"住" 7
"却" 7
"只见" 7
"四支" 7
"回" 7
"头" 7
"家" 7
"带" 7
"怕" 7
"想" 7
"成" 7
"才" 7
"春" 7
"替" 7
"李" 7
"珍" 7
"笔" 7
"纨" 7
"纸" 7
"说道" 7
"一张" 6
"下" 6
"不知" 6
"且" 6
"书" 6
"假" 6
"后" 6
"命" 6
"咱们" 6
"心" 6
"收" 6
"放" 6
"照" 6
"爱" 6
"用" 6
"这里" 6
"连" 6
"一年" 5
"包" 5
"单子" 5
"名字" 5
"四个" 5
"因" 5
"太" 5
"婆" 5
"少" 5
"并" 5
"往" 5
"念" 5
"房" 5
"放在" 5
"早" 5
"明儿" 5
"留" 5
"瞧瞧" 5
"矾" 5
"粗" 5
"绢" 5
"至" 5
"色" 5
"若" 5
"虽" 5
"装" 5
"过来" 5
"进" 5
"顽" 5
"颜色" 5
"上来" 4
"不用" 4
"为" 4
"之" 4
"二" 4
"人物" 4
"做" 4
"兄弟" 4
"刁" 4
"十支" 4
"可" 4
"可惜" 4
"坐" 4
"处" 4
"大家" 4
"夫人" 4
"如此" 4
"姊妹" 4
"嫌" 4
"将" 4
"开" 4
"怪" 4
"惜" 4
"或是" 4
"所以" 4
"手" 4
"托" 4
"抿" 4
"拉" 4
"教" 4
"敢" 4
"更" 4
"染" 4
"正" 4
"歪" 4
"没有" 4
"生" 4
"略" 4
"病" 4
"白" 4
"睡" 4
"瞧" 4
"竟" 4
"红" 4
"背" 4
"胶" 4
"脸" 4
"茶" 4
"认得" 4
"诊" 4
"越发" 4
"那些" 4
"颦" 4
"风" 4
"饶" 4
"一回" 3
"一早" 3
"一时" 3
"一点" 3
"三" 3
"不能" 3
"两" 3
"中" 3
"丹" 3
"买" 3
"二十支" 3
"今儿" 3
"从" 3
"以后" 3
"伏" 3
"何" 3
"佛" 3
"使" 3
"保佑" 3
"先" 3
"全" 3
"净" 3
"分" 3
"别的" 3
"到底" 3
"前" 3
"千" 3
"南" 3
"原来" 3
"取笑" 3
"只管" 3
"各样" 3
"听说" 3
"告辞" 3
"商议" 3
"四" 3
"园" 3
"图样" 3
"墨" 3
"外" 3
"大夫" 3
"大小" 3
"太太" 3
"奶奶" 3
"姑奶奶" 3
"孩子" 3
"定" 3
"家里" 3
"小厮" 3
"帮" 3
"年下" 3
"年纪" 3
"广" 3
"弃" 3
"慢慢" 3
"或者" 3
"打" 3
"拢" 3
"指" 3
"排笔" 3
"探" 3
"新" 3
"方子" 3
"无" 3
"日子" 3
"时" 3
"明" 3
"昨日" 3
"晚" 3
"最" 3
"果子" 3
"果然" 3
"楼台" 3
"比" 3
"法子" 3
"添" 3
"炕" 3
"男人" 3
"疼" 3
"盖" 3
"碟子" 3
"祟" 3
"答应" 3
"纱" 3
"细" 3
"老" 3
"自己" 3
"草" 3
"药" 3
"虫" 3
"蝗虫" 3
"衣裳" 3
"读书" 3
"谢" 3
"象" 3
"辞" 3
"配" 3
"酱" 3
"里头" 3
"金" 3
"阶" 3
"难" 3
"青" 3
"领" 3
"飞" 3
"骂" 3
"一则" 2
"一包" 2
"一块" 2
"一声" 2
"一样" 2
"一次" 2
"万" 2
"上去" 2
"上头" 2
"不在话下" 2
"不曾" 2
"不觉" 2
"不解" 2
"不错" 2
"东" 2
"两件" 2
"两条" 2
"也罢" 2
"买卖" 2
"二则" 2
"二十个" 2
"二年" 2
"二百帖" 2
"人家" 2
"众" 2
"低头" 2
"供奉" 2
"依" 2
"俗" 2
"保" 2
"借" 2
"偏" 2
"偷" 2
"八两" 2
"其" 2
"养" 2
"内" 2
"写意" 2
"冷笑" 2
"凉" 2
"减" 2
"几个" 2
"几件" 2
"几千声" 2
"分内" 2
"刚" 2
"删" 2
"剂" 2
"劳乏" 2
"包袱" 2
"匣" 2
"单" 2
"原故" 2
"发笑" 2
"口袋" 2
"只怕" 2
"同" 2
"向" 2
"君" 2
"吩咐" 2
"含笑" 2
"听听" 2
"听见" 2
"喜" 2
"嘴" 2
"嘴里" 2
"回想" 2
"回来" 2
"因为" 2
"图" 2
"地" 2
"地步" 2
"坐下" 2
"塌" 2
"复" 2
"够" 2
"央告" 2
"女" 2
"奶子" 2
"好生" 2
"嬷嬷" 2
"孩儿" 2
"安" 2
"完" 2
"实地" 2
"容易" 2
"小人儿" 2
"小姐" 2
"岂" 2
"工夫" 2
"工细" 2
"巧" 2
"已经" 2
"市" 2
"帘子" 2
"幔" 2
"弟兄" 2
"彩" 2
"心里" 2
"必" 2
"快" 2
"念佛" 2
"忽" 2
"恩" 2
"或" 2
"打发" 2
"拧" 2
"按" 2
"摆" 2
"摸" 2
"收拾" 2
"旁" 2
"日" 2
"明理" 2
"曾" 2
"杂" 2
"条" 2
"极" 2
"枕头" 2
"林" 2
"果" 2
"椅子" 2
"每" 2
"浪" 2
"火" 2
"烤" 2
"烧" 2
"煎" 2
"爪" 2
"爷" 2
"物" 2
"珠" 2
"琏" 2
"生姜" 2
"生日" 2
"疏密" 2
"疏散" 2
"盒子" 2
"直" 2
"相公" 2
"知" 2
"矶" 2
"研" 2
"碟" 2
"禁" 2
"离" 2
"稿子" 2
"究竟" 2
"管" 2
"箩" 2
"粉" 2
"置" 2
"肯" 2
"胡" 2
"胭脂" 2
"自" 2
"自然" 2
"芜" 2
"花" 2
"花神" 2
"药方" 2
"荷包" 2
"著" 2
"藏" 2
"蘅" 2
"蟹" 2
"补" 2
"袄" 2
"被" 2
"裙子" 2
"要紧" 2
"记" 2
"诗" 2
"误" 2
"请安" 2
"谁" 2
"贫苦" 2
"费" 2
"赶" 2
"跟" 2
"身上" 2
"车" 2
"远近" 2
"递" 2
"遇见" 2
"道谢" 2
"遭" 2
"那个" 2
"那边" 2
"钱" 2
"铁锅" 2
"银子" 2
"铺" 2
"错" 2
"锭" 2
"镜" 2
"长命百岁" 2
"闲" 2
"闹" 2
"难得" 2
"雪" 2
"露" 2
"面" 2
"预备" 2
"香" 2
"鬓" 2
"黄" 2
"一一" 1
"一丈" 1
"一两样" 1
"一个月" 1
"一二处" 1
"一些" 1
"一分" 1
"一匹" 1
"一口" 1
"一处" 1
"一夜" 1
"一尺" 1
"一席话" 1
"一幅" 1
"一并" 1
"一斗" 1
"一斤" 1
"一日" 1
"一月" 1
"一条" 1
"一概" 1
"一点儿" 1
"一百两" 1
"一笔" 1
"一经" 1
"一般" 1
"一起" 1
"一辈子" 1
"一边" 1
"一门" 1
"七八岁" 1
"七月" 1
"万恶" 1
"三个" 1
"三号" 1
"三寸" 1
"上上下下" 1
"上火" 1
"上风" 1
"下去" 1
"下回" 1
"下笔" 1
"不免" 1
"不好" 1
"不好过" 1
"不如" 1
"不安" 1
"不必" 1
"不成" 1
"不要" 1
"不通" 1
"不遂" 1
"世" 1
"世上" 1
"世交" 1
"丘" 1
"东南" 1
"丢开" 1
"两三天" 1
"两下" 1
"两分" 1
"两包" 1
"两匹" 1
"两句" 1
"两套" 1
"两手" 1
"两支" 1
"两斗" 1
"两旁" 1
"两边" 1
"两顿" 1
"个人" 1
"丫鬟" 1
"中用" 1
"临" 1
"丸药" 1
"为难" 1
"主" 1
"乐" 1
"书房" 1
"乳钵" 1
"乾" 1
"二两" 1
"二位" 1
"二十斤" 1
"二口" 1
"二号" 1
"二门" 1
"于" 1
"亏" 1
"云" 1
"五" 1
"五六个" 1
"五十两" 1
"五寸" 1
"交" 1
"亮" 1
"人口" 1
"仍" 1
"仍旧" 1
"从不" 1
"从小" 1
"从来" 1
"仔细" 1
"他用" 1
"令" 1
"以" 1
"以下" 1
"以及" 1
"以毒攻毒" 1
"件" 1
"休" 1
"会意" 1
"传" 1
"伶俐" 1
"伸出" 1
"伸手" 1
"似的" 1
"位" 1
"何况" 1
"何故" 1
"余音" 1
"作料" 1
"依我看" 1
"便宜" 1
"促" 1
"信以为真" 1
"修" 1
"倒好" 1
"偶" 1
"催生" 1
"元人" 1
"全身" 1
"八月" 1
"公道" 1
"六品" 1
"兰" 1
"共" 1
"典" 1
"兼" 1
"再不" 1
"写字" 1
"几亩" 1
"几句" 1
"几幅" 1
"几日" 1
"几时" 1
"几笔" 1
"分解" 1
"划" 1
"初七" 1
"利害" 1
"别人" 1
"前仰后合" 1
"前导" 1
"加" 1
"动" 1
"劲" 1
"劳动" 1
"匀" 1
"包头" 1
"包子" 1
"化" 1
"匠人" 1
"医院" 1
"十个" 1
"十五日" 1
"十分" 1
"十片" 1
"千金" 1
"半" 1
"半年" 1
"半斤" 1
"半日" 1
"南方" 1
"压" 1
"原先" 1
"厢" 1
"厮" 1
"友" 1
"反" 1
"发" 1
"发热" 1
"发起" 1
"叔祖" 1
"口" 1
"口里" 1
"古往今来" 1
"另" 1
"另外" 1
"只是" 1
"可不" 1
"可巧" 1
"可怜" 1
"可是" 1
"可笑" 1
"史" 1
"右手" 1
"叹" 1
"吃药" 1
"各" 1
"各人" 1
"后悔" 1
"后来" 1
"吹" 1
"告" 1
"告假" 1
"告诉" 1
"味" 1
"咕咚" 1
"哄" 1
"哄然大笑" 1
"哥" 1
"喜出望外" 1
"喜欢" 1
"嗳" 1
"器" 1
"嚼" 1
"四十张" 1
"四十步" 1
"四只" 1
"四块" 1
"四条" 1
"四样" 1
"回去" 1
"国" 1
"圈子" 1
"地方" 1
"坏" 1
"坐坐" 1
"坟" 1
"垂" 1
"城" 1
"堂" 1
"堆" 1
"墙" 1
"壑" 1
"声响" 1
"多半个" 1
"多少" 1
"大人" 1
"大吉" 1
"大姑子" 1
"大幅" 1
"大案" 1
"大笑" 1
"大通" 1
"天天" 1
"失" 1
"头儿" 1
"头发" 1
"头号" 1
"如" 1
"如意" 1
"妆奁" 1
"妙" 1
"妥当" 1
"姓" 1
"委曲" 1
"姜" 1
"姜汤" 1
"娇嫩" 1
"婆婆" 1
"嫁妆" 1
"字画" 1
"孝敬" 1
"安插" 1
"安稳" 1
"宗山" 1
"实" 1
"审" 1
"审问" 1
"客" 1
"害处" 1
"宾" 1
"富贵" 1
"对" 1
"寿" 1
"尊贵" 1
"小事" 1
"小姑子" 1
"尚且" 1
"就算" 1
"就要" 1
"尽" 1
"屈" 1
"屉" 1
"屋里" 1
"山水" 1
"山石" 1
"左手" 1
"已" 1
"帚" 1
"常" 1
"干" 1
"干净" 1
"干菜" 1
"幸" 1
"幸而" 1
"庄家" 1
"应" 1
"底子" 1
"引" 1
"引进" 1
"强" 1
"当" 1
"当日" 1
"形" 1
"往常" 1
"往年" 1
"待" 1
"很" 1
"得闲" 1
"御" 1
"御医" 1
"必然" 1
"必要" 1
"怀中" 1
"怎么" 1
"怎样" 1
"怜贫惜老" 1
"思" 1
"急忙" 1
"性情" 1
"怪不得" 1
"总" 1
"恐怕" 1
"恨" 1
"恰恰" 1
"恼" 1
"悄悄" 1
"悄悄的" 1
"惟有" 1
"惯" 1
"想必" 1
"惹" 1
"感" 1
"感激不尽" 1
"憨" 1
"懒" 1
"成家立业" 1
"戴" 1
"房屋" 1
"房舍" 1
"扁豆" 1
"扇子" 1
"手指" 1
"手里" 1
"扑" 1
"打点" 1
"扰" 1
"扶" 1
"找" 1
"折" 1
"报答" 1
"抬头" 1
"抱" 1
"抹" 1
"抽" 1
"抿子" 1
"担" 1
"拉扯" 1
"拍手" 1
"招" 1
"拣" 1
"挡住" 1
"挤" 1
"捏" 1
"换" 1
"捧" 1
"掏" 1
"接" 1
"描" 1
"提" 1
"提醒" 1
"提防" 1
"插" 1
"揭" 1
"搂" 1
"搜" 1
"搬" 1
"携" 1
"撑" 1
"撕" 1
"撞" 1
"撮" 1
"放心" 1
"效" 1
"救" 1
"教导" 1
"散" 1
"斟酌" 1
"方向" 1
"无事忙" 1
"无所不有" 1
"既" 1
"日兴" 1
"旧" 1
"早已" 1
"早饭" 1
"时候" 1
"时常" 1
"明日" 1
"春秋" 1
"晒" 1
"晚饭" 1
