"词语" "次数"
"了" 123
"的" 115
"是" 73
"他" 69
"不" 54
"说" 53
"我" 52
"来" 42
"你" 38
"去" 35
"这" 35
"也" 34
"有" 32
"又" 31
"就" 30
"人" 28
"先生" 24
"好" 24
"到" 22
"看" 21
"那" 21
"着" 19
"要" 18
"道" 18
"病" 17
"叫" 16
"尤氏" 16
"贾珍" 16
"贾蓉" 16
"什么" 15
"儿" 15
"家" 15
"请" 15
"听" 14
"过" 14
"都" 14
"个" 13
"给" 13
"二" 12
"话" 12
"说道" 12
"这个" 12
"钱" 12
"今日" 11
"倒" 11
"向" 11
"在" 11
"大" 11
"学" 11
"得" 11
"见" 11
"一" 10
"再" 10
"因" 10
"大夫" 10
"大爷" 10
"才" 10
"方" 10
"没" 10
"这么" 10
"那里" 10
"里" 10
"一个" 9
"事" 9
"吃" 9
"告诉" 9
"呢" 9
"如今" 9
"媳妇" 9
"我们" 9
"气" 9
"脉" 9
"两日" 8
"回" 8
"子" 8
"府" 8
"者" 8
"还" 8
"上" 7
"且" 7
"之" 7
"于是" 7
"倘或" 7
"可" 7
"听见" 7
"和" 7
"喜" 7
"小弟" 7
"秦氏" 7
"罢" 7
"而" 7
"脉息" 7
"不能" 6
"从" 6
"别" 6
"后" 6
"坐" 6
"家里" 6
"怎么" 6
"方才" 6
"日" 6
"此" 6
"治" 6
"药" 6
"下" 5
"些" 5
"他们" 5
"兄弟" 5
"冯" 5
"冯紫英" 5
"况且" 5
"出来" 5
"名" 5
"奶奶" 5
"宝玉" 5
"并" 5
"心" 5
"所以" 5
"敢" 5
"无" 5
"求" 5
"瞧" 5
"秦钟" 5
"等" 5
"经" 5
"肝" 5
"能" 5
"茶" 5
"调" 5
"贾" 5
"起" 5
"金氏" 5
"金荣" 5
"问" 5
"闹" 5
"三" 4
"不知" 4
"为" 4
"乃" 4
"亲戚" 4
"人家" 4
"关" 4
"养" 4
"兼" 4
"出" 4
"则" 4
"原" 4
"坐下" 4
"太爷" 4
"头" 4
"如此" 4
"婆" 4
"婶子" 4
"左" 4
"常" 4
"待" 4
"必" 4
"念书" 4
"房" 4
"把" 4
"断" 4
"方子" 4
"既" 4
"日子" 4
"木" 4
"来升" 4
"毕" 4
"沉" 4
"添" 4
"炒" 4
"用" 4
"症候" 4
"瞧瞧" 4
"知" 4
"神" 4
"若" 4
"象" 4
"这些" 4
"进去" 4
"问道" 4
"高明" 4
"一会" 3
"不但" 3
"不必" 3
"与" 3
"了不得" 3
"亦" 3
"以" 3
"伏" 3
"会" 3
"住" 3
"你们" 3
"值" 3
"其" 3
"写" 3
"务必" 3
"半" 3
"受" 3
"只管" 3
"可是" 3
"吩咐" 3
"咱们" 3
"土" 3
"地方" 3
"大人" 3
"大家" 3
"太" 3
"奴才" 3
"如" 3
"姐姐" 3
"嫂子" 3
"宁" 3
"实在" 3
"将" 3
"已" 3
"帖" 3
"张先生" 3
"当" 3
"往" 3
"很" 3
"心中" 3
"必然" 3
"忒" 3
"恼" 3
"想" 3
"想必" 3
"找" 3
"拿" 3
"数" 3
"明日" 3
"昨" 3
"晚" 3
"替" 3
"本" 3
"正" 3
"母亲" 3
"没有" 3
"璜大奶奶" 3
"的话" 3
"看看" 3
"睡" 3
"知道" 3
"答道" 3
"筵席" 3
"细" 3
"老爷" 3
"脾" 3
"自" 3
"至" 3
"荣" 3
"让" 3
"走" 3
"车" 3
"过来" 3
"这里" 3
"进来" 3
"连" 3
"遂" 3
"长" 3
"闲话" 3
"附" 3
"非" 3
"预备" 3
"一位" 2
"一天" 2
"一家" 2
"一家子" 2
"一日" 2
"一面" 2
"三日" 2
"下士" 2
"不在话下" 2
"不敢当" 2
"不相干" 2
"不许" 2
"中" 2
"么" 2
"二年" 2
"亲自" 2
"人参" 2
"今年" 2
"仍" 2
"从前" 2
"仗" 2
"们" 2
"似的" 2
"但" 2
"但是" 2
"位" 2
"何必" 2
"侄儿" 2
"依" 2
"偏偏" 2
"先" 2
"克制" 2
"全" 2
"八分" 2
"几句" 2
"凤" 2
"分" 2
"刻" 2
"前" 2
"勤" 2
"医学" 2
"即刻" 2
"反" 2
"受众" 2
"可不" 2
"右" 2
"右寸" 2
"同" 2
"吵闹" 2
"哥" 2
"嚼用" 2
"四" 2
"四五遍" 2
"回来" 2
"因为" 2
"地位" 2
"复" 2
"天" 2
"太医" 2
"太太" 2
"好容易" 2
"如何" 2
"如意" 2
"妨碍" 2
"姐儿" 2
"姑奶奶" 2
"姑妈" 2
"学问" 2
"孩子" 2
"宁府" 2
"实" 2
"家中" 2
"富" 2
"寸" 2
"尊夫人" 2
"小" 2
"应" 2
"府上" 2
"心焦" 2
"心里" 2
"怀" 2
"怒" 2
"怕" 2
"思虑" 2
"总" 2
"息" 2
"惯" 2
"愈" 2
"懒" 2
"我方" 2
"打" 2
"承" 2
"指示" 2
"换" 2
"据" 2
"提起" 2
"教" 2
"无力" 2
"时常" 2
"旺" 2
"明" 2
"更" 2
"最" 2
"有些" 2
"服" 2
"望" 2
"期" 2
"未" 2
"次日" 2
"欺负" 2
"正是" 2
"此时" 2
"比" 2
"气色" 2
"气虚" 2
"汗" 2
"深" 2
"混" 2
"滞" 2
"灾" 2
"照例" 2
"爽快" 2
"现" 2
"现成" 2
"琏" 2
"生火" 2
"用药" 2
"病势" 2
"省" 2
"着呢" 2
"磕" 2
"示" 2
"穿" 2
"站" 2
"笑" 2
"管" 2
"精神" 2
"缩" 2
"群" 2
"耽误" 2
"聪明" 2
"肺" 2
"脱" 2
"蓉" 2
"薛" 2
"虚" 2
"血亏" 2
"行经" 2
"衣裳" 2
"被" 2
"西" 2
"觉" 2
"讲" 2
"许多" 2
"评" 2
"诊" 2
"该" 2
"说说" 2
"请安" 2
"贾璜" 2
"资助" 2
"起来" 2
"越" 2
"身上" 2
"身子" 2
"这样" 2
"送" 2
"遇" 2
"那个" 2
"那时" 2
"酒" 2
"重" 2
"长辈" 2
"门" 2
"间" 2
"需" 2
"饭" 2
"一一" 1
"一个个" 1
"一个方" 1
"一五一十" 1
"一团" 1
"一声" 1
"一夜" 1
"一套" 1
"一定" 1
"一层" 1
"一年" 1
"一斤" 1
"一时" 1
"一朝一夕" 1
"一样" 1
"一遍" 1
"七八十两" 1
"七粒" 1
"万分" 1
"三四个" 1
"上京" 1
"上头" 1
"上学" 1
"上心" 1
"上来" 1
"下半天" 1
"下回" 1
"不依" 1
"不可" 1
"不大" 1
"不好意思" 1
"不安" 1
"不容" 1
"不干不净" 1
"不得不" 1
"不拘" 1
"不时" 1
"不用" 1
"不知好歹" 1
"不胜" 1
"不过" 1
"不错" 1
"业已" 1
"东" 1
"东西" 1
"东边" 1
"丢" 1
"两个" 1
"丰" 1
"丰富" 1
