"词语" "次数"
"了" 189
"的" 108
"凤" 63
"姐儿" 63
"来" 61
"是" 59
"我" 54
"说" 49
"你" 48
"不" 47
"道" 41
"也" 38
"去" 38
"他" 37
"好" 34
"就" 34
"说道" 34
"都" 32
"尤氏" 30
"着" 29
"在" 27
"吃" 25
"这" 25
"见" 24
"人" 23
"儿" 23
"有" 23
"呢" 22
"又" 21
"罢" 21
"们" 20
"王夫人" 20
"到" 19
"听" 19
"看" 19
"一" 18
"叫" 18
"秦氏" 18
"过" 17
"太太" 16
"并" 16
"得" 16
"那" 16
"坐" 15
"才" 15
"病" 15
"这个" 15
"上" 14
"于是" 14
"这里" 14
"子" 13
"话" 13
"贾蓉" 13
"回" 12
"要" 12
"请" 12
"邢夫人" 12
"再" 11
"向" 11
"大" 11
"婶子" 11
"老太太" 11
"还" 11
"里" 11
"些" 10
"今日" 10
"和" 10
"因" 10
"园子" 10
"宝玉" 10
"我们" 10
"给" 10
"过去" 10
"太爷" 9
"方" 9
"老爷" 9
"贾珍" 9
"贾瑞" 9
"那里" 9
"二" 8
"倒" 8
"先" 8
"媳妇" 8
"将" 8
"快" 8
"想" 8
"未" 8
"母亲" 8
"笑" 8
"等" 8
"送" 8
"饭" 8
"从" 7
"奶奶" 7
"婆" 7
"嫂子" 7
"怎么样" 7
"添" 7
"什么" 6
"众" 6
"兄弟" 6
"光景" 6
"别" 6
"后" 6
"家" 6
"很" 6
"戏" 6
"散" 6
"明日" 6
"正" 6
"没" 6
"点" 6
"父亲" 6
"爷们" 6
"瞧瞧" 6
"知道" 6
"老祖宗" 6
"该" 6
"贾母" 6
"这么" 6
"这样" 6
"一日" 5
"东西" 5
"么" 5
"事" 5
"几日" 5
"原" 5
"同" 5
"唱" 5
"喜欢" 5
"大爷" 5
"宝" 5
"平儿" 5
"心" 5
"敢" 5
"方才" 5
"日" 5
"没有" 5
"治" 5
"略" 5
"答应" 5
"茶" 5
"让" 5
"说话" 5
"走" 5
"起" 5
"预备" 5
"一个" 4
"一家子" 4
"一面" 4
"两个" 4
"个" 4
"之" 4
"仍" 4
"会" 4
"住" 4
"你们" 4
"出来" 4
"前" 4
"各" 4
"哥哥" 4
"回来" 4
"坐下" 4
"多" 4
"天" 4
"头" 4
"好些" 4
"如今" 4
"宁府" 4
"安" 4
"家里" 4
"已" 4
"常" 4
"年轻" 4
"开导" 4
"急" 4
"拿" 4
"时候" 4
"昨日" 4
"死" 4
"自" 4
"若" 4
"起来" 4
"跟" 4
"过来" 4
"问" 4
"一声" 3
"上房" 3
"不能" 3
"与" 3
"且" 3
"丫头" 3
"他们" 3
"伺候" 3
"似的" 3
"低" 3
"作" 3
"侄儿" 3
"出去" 3
"别的" 3
"前日" 3
"十分" 3
"半" 3
"叔叔" 3
"只" 3
"可" 3
"合" 3
"听见" 3
"告诉" 3
"咱们" 3
"喜" 3
"大夫" 3
"大家" 3
"好生" 3
"娘儿" 3
"婆婆" 3
"完" 3
"家中" 3
"强" 3
"往" 3
"心里" 3
"忒" 3
"慢慢" 3
"戏单" 3
"手" 3
"拉" 3
"接" 3
"放心" 3
"敬" 3
"日子" 3
"歇歇" 3
"满" 3
"热闹" 3
"爱" 3
"猛然" 3
"率领" 3
"现" 3
"瑞" 3
"甚" 3
"疼" 3
"的话" 3
"着呢" 3
"瞧" 3
"知" 3
"立" 3
"红" 3
"能" 3
"自己" 3
"行" 3
"觉" 3
"请安" 3
"身上" 3
"车" 3
"这么着" 3
"进" 3
"递" 3
"遇见" 3
"酒" 3
"闹" 3
"顽" 3
"一出" 2
"一家" 2
"一遍" 2
"下" 2
"不怕" 2
"不时" 2
