"词语" "次数"
"了" 98
"贾" 72
"瑞" 49
"来" 48
"的" 44
"道" 41
"我" 37
"你" 36
"凤" 36
"不" 34
"姐" 34
"他" 32
"只" 31
"着" 29
"也" 28
"又" 26
"是" 25
"说" 25
"人" 23
"去" 23
"在" 23
"一" 20
"这" 20
"有" 18
"等" 17
"那" 16
"见" 15
"上" 14
"听" 14
"叫" 13
"就" 13
"照" 13
"再" 12
"到" 12
"得" 12
"只见" 11
"往" 11
"要" 11
"里" 11
"个" 9
"住" 9
"儿" 9
"别" 9
"好" 9
"忙" 9
"笑" 9
"蔷" 9
"一个" 8
"代" 8
"倒" 8
"命" 8
"嫂子" 8
"心" 8
"想" 8
"走" 8
"镜子" 8
"一夜" 7
"内" 7
"府" 7
"无" 7
"与" 6
"之" 6
"仍" 6
"从" 6
"儒" 6
"先" 6
"写" 6
"凑" 6
"可" 6
"吃" 6
"大" 6
"太太" 6
"如" 6
"定" 6
"寻" 6
"已" 6
"拿" 6
"正" 6
"此时" 6
"没" 6
"直" 6
"看" 6
"跑" 6
"送" 6
"一般" 5
"亦" 5
"众人" 5
"便" 5
"入" 5
"关" 5
"出" 5
"口" 5
"呢" 5
"回" 5
"因" 5
"家" 5
"带" 5
"更" 5
"未" 5
"正面" 5
"此" 5
"毕" 5
"罢" 5
"荣" 5
"蓉" 5
"还" 5
"那里" 5
"都" 5
"一声" 4
"一面" 4
"下" 4
"两个" 4
"中" 4
"什么" 4
"作" 4
"出来" 4
"只得" 4
"哄" 4
"回来" 4
"外" 4
"天" 4
"天天" 4
"如今" 4
"如何" 4
"将" 4
"快" 4
"急" 4
"才" 4
"拉" 4
"放" 4
"敢" 4
"母" 4
"然后" 4
"玉" 4
"王" 4
"生" 4
"皆" 4
"盼" 4
"眼" 4
"自" 4
"若" 4
"药" 4
"请" 4
"谁" 4
"起" 4
"道士" 4
"鉴" 4
"门" 4
"风月" 4
"一把" 3
"一点" 3
"下来" 3
"不知" 3
"且" 3
"为" 3
"二" 3
"二十两" 3
"些" 3
"亲" 3
"偏" 3
"冻" 3
"前" 3
"发" 3
"哭" 3
"喜" 3
"因此" 3
"坐" 3
"声" 3
"夜" 3
"夫人" 3
"少不得" 3
"屋里" 3
"底下" 3
"心中" 3
"怎么" 3
"悄悄的" 3
"房" 3
"打" 3
"把" 3
"抱" 3
"救" 3
"早" 3
"晚上" 3
"林" 3
"死" 3
"治" 3
"满" 3
"烧" 3
"琏" 3
"病" 3
"症" 3
"知" 3
"祖父" 3
"精" 3
"纸" 3
"自己" 3
"落" 3
"解" 3
"让" 3
"说话" 3
"谢" 3
"跟前" 3
"过" 3
"这里" 3
"进" 3
"进来" 3
"连" 3
"银" 3
"镜" 3
"问" 3
"非" 3
"黑" 3
"黛" 3
"一头" 2
"三日" 2
"上面" 2
"不得" 2
"不曾" 2
"不能" 2
"不许" 2
"专" 2
"世" 2
"东" 2
"东西" 2
"两" 2
"个人" 2
"于" 2
"于是" 2
"五十两" 2
"今" 2
"令" 2
"以" 2
"们" 2
"你们" 2
"保" 2
"假" 2
"做" 2
"刚" 2
"别是" 2
"到底" 2
"动" 2
"医" 2
"却" 2
"反面" 2
"可知" 2
"各处" 2
"后" 2
"后门" 2
"向" 2
"吾" 2
"告" 2
"哟" 2
"哥哥" 2
"哨" 2
"唬" 2
"嗳" 2
"地" 2
"多" 2
"天气" 2
"如此" 2
"妥" 2
"子" 2
"完" 2
"家里" 2
"容易" 2
"寄" 2
"小" 2
"尿" 2
"工" 2
"常" 2
"床" 2
"开" 2
"当下" 2
"忽" 2
"忽然" 2
"思" 2
"我们" 2
"所以" 2
"手" 2
"招手" 2
"掉" 2
"探" 2
"掩" 2
"摸" 2
"撒谎" 2
"撞" 2
"撼" 2
"收" 2
"改" 2
"文章" 2
"料" 2
"方" 2
"族" 2
"时" 2
"明日" 2
"替" 2
"最" 2
"未免" 2
"果然" 2
"正是" 2
"歹" 2
"毁" 2
"气" 2
"添" 2
"滩" 2
"炕" 2
"物" 2
"珍" 2
"留" 2
"登" 2
"相思" 2
"真" 2
"睁" 2
"空" 2
"穿堂" 2
"立" 2
"笔" 2
"给" 2
"老太太" 2
"而" 2
"脚" 2
"臊" 2
"至" 2
"苦" 2
"菩萨" 2
"裤子" 2
"见效" 2
"计" 2
"设" 2
"该" 2
"诸如" 2
"课" 2
"谁知" 2
"赌" 2
"赌钱" 2
"起来" 2
"足" 2
"跛" 2
"跪" 2
"蹲" 2
"身" 2
"过去" 2
"过来" 2
"这样" 2
"这话" 2
"这边" 2
"进去" 2
"道人" 2
"遗" 2
"那边" 2
"里面" 2
"钱" 2
"错" 2
"问道" 2
"闲" 2
"闷" 2
"难" 2
"饿" 2
"骂" 2
"骷髅" 2
"魆" 2
"一回" 1
"一年" 1
"一张" 1
"一时" 1
"一条" 1
"一步" 1
"一溜烟" 1
"一番" 1
"一身" 1
"七日" 1
"万" 1
"三" 1
"三两五两" 1
"三五下" 1
"三四十" 1
"三四次" 1
