"词语" "次数"
"了" 98
"的" 53
"不" 46
"贾珍" 43
"是" 40
"来" 37
"道" 34
"我" 30
"人" 27
"也" 24
"之" 23
"又" 23
"有" 23
"说" 23
"凤姐" 22
"就" 22
"你" 21
"忙" 21
"因" 20
"便" 19
"见" 19
"事" 18
"着" 18
"这" 18
"上" 17
"他" 17
"大" 17
"去" 16
"只" 16
"在" 15
"等" 15
"王夫人" 14
"要" 14
"问" 14
"与" 13
"无" 12
"秦氏" 12
"笑" 12
"下" 11
"中" 11
"到" 11
"后" 11
"妹妹" 11
"宝玉" 11
"料理" 11
"看" 11
"还" 11
"听" 10
"命" 10
"如今" 10
"婶子" 10
"时" 10
"若" 10
"送" 10
"那" 10
"好" 9
"想" 9
"都" 9
"个" 8
"出" 8
"前" 8
"府" 8
"得" 8
"心中" 8
"正" 8
"里" 8
"为" 7
"什么" 7
"可" 7
"戴权" 7
"日" 7
"罢" 7
"者" 7
"自" 7
"过" 7
"邢夫人" 7
"一个" 6
"不能" 6
"不过" 6
"何" 6
"作" 6
"内" 6
"再" 6
"如何" 6
"对" 6
"将" 6
"并" 6
"没" 6
"灵" 6
"皆" 6
"祭祀" 6
"门" 6
"丧" 5
"亦" 5
"侄儿" 5
"倒" 5
"先" 5
"写" 5
"别" 5
"听说" 5
"回去" 5
"坐" 5
"官" 5
"尤氏" 5
"已" 5
"拿" 5
"敢" 5
"族" 5
"板" 5
"死" 5
"永" 5
"睡" 5
"素日" 5
"老" 5
"至" 5
"说道" 5
"诸" 5
"这里" 5
"银子" 5
"长" 5
"一件" 4
"不尽" 4
"于" 4
"今" 4
"从" 4
"以" 4
"任" 4
"众" 4
"但" 4
"供给" 4
"依" 4
"保" 4
"停灵" 4
"凤" 4
"则" 4
"只见" 4
"哥哥" 4
"喜" 4
"四十九日" 4
"坛" 4
"堂" 4
"天" 4
"如此" 4
"姐儿" 4
"媳妇" 4
"宁国府" 4
"小" 4
"开" 4
"往" 4
"必" 4
"怕" 4
"才" 4
"按" 4
"早" 4
"未" 4
"此" 4
"此时" 4
"然后" 4
"牌" 4
"知道" 4
"肯" 4
"话" 4
"请" 4
"贾母" 4
"贾蓉" 4
"起来" 4
"进来" 4
"连" 4
"里面" 4
"龙禁尉" 4
"一" 3
"一回" 3
"一辈" 3
"三" 3
"世袭" 3
"业" 3
"两句" 3
"临" 3
"二" 3
"二则" 3
"亡" 3
"会芳园" 3
"住" 3
"俗语" 3
"僧" 3
"入" 3
"全" 3
"出来" 3
"分" 3
"别人" 3
"即" 3
"只管" 3
"可巧" 3
"司" 3
"合" 3
"向" 3
"呢" 3
"和" 3
"哭" 3
"回" 3
"因此" 3
"地" 3
"备" 3
"多" 3
"大家" 3
"天天" 3
"太太" 3
"如" 3
"宝珠" 3
"家" 3
"小厮" 3
"履历" 3
"应" 3
"快" 3
"怎么样" 3
"恐" 3
"房" 3
"所" 3
"执" 3
"捐" 3
"接" 3
"散" 3
"旧" 3
"清" 3
"满" 3
"物" 3
"用" 3
"监" 3
"盛" 3
"相" 3
"真" 3
"缺" 3
"虽" 3
"贾" 3
"贾政" 3
"起" 3
"身" 3
"轿" 3
"辛苦" 3
"问道" 3
"陪" 3
"非" 3
"一个月" 2
"一声" 2
"一定" 2
"一张" 2
"一时" 2
"一面" 2
"上面" 2
"不可" 2
"不用" 2
"不知" 2
"且" 2
"两件" 2
"两边" 2
"丫鬟" 2
"主意" 2
"书" 2
"买" 2
"于是" 2
"五十" 2
"五品" 2
"亩" 2
"亲" 2
"亲友" 2
"人来人往" 2
"今日" 2
"以及" 2
"价" 2
"众人" 2
"传" 2
"例" 2
"侍卫" 2
"倘或" 2
"儿" 2
"允" 2
"兑" 2
"准" 2
"几日" 2
"凭" 2
"剩" 2
"劝" 2
"办" 2
"十分" 2
"单" 2
"即时" 2
"原" 2
"原来" 2
"取" 2
"另" 2
"叩" 2
"只得" 2
"叫" 2
"各" 2
"各自" 2
"合家" 2
"同" 2
"名" 2
"吩咐" 2
"和平" 2
"咱们" 2
"哀" 2
"喜事" 2
"回家" 2
"回来" 2
"坏" 2
"声" 2
"处" 2
"外" 2
"大事" 2
"大厅" 2
"大爷" 2
"好看" 2
"妥" 2
"妥当" 2
"婶婶" 2
"存心" 2
"孩子" 2
"安" 2
"完" 2
"定" 2
"家塾" 2
"家里" 2
"寻" 2
"将军" 2
"将来" 2
"少" 2
"尽" 2
"岂" 2
"带" 2
"常" 2
"平" 2
"幼" 2
"店" 2
"廷" 2
"强" 2
"录" 2
"彼时" 2
"御" 2
"心" 2
"怎样" 2
"怕人" 2
"总理" 2
"恍惚" 2
"恩" 2
"恭" 2
"悲" 2
"成" 2
"我们" 2
"手" 2
"扬" 2
"扶" 2
"把" 2
"抬" 2
"拐" 2
"拜" 2
"换" 2
"接着" 2
"摆" 2
"放心" 2
"教" 2
"无益" 2
"既" 2
"晚间" 2
"有些" 2
"服" 2
"朝" 2
"期" 2
"杉木" 2
"束" 2
"极" 2
"榜" 2
"欲" 2
"正是" 2
"此事" 2
"殓" 2
"每" 2
"求" 2
"江" 2
"洗" 2
"烘" 2
"照看" 2
"照管" 2
"爬" 2
"爱" 2
"犯" 2
"现" 2
"理" 2
"疾" 2
"痛哭" 2
"目" 2
"祖茔" 2
"神" 2
"神威" 2
"祭礼" 2
"禁" 2
"称" 2
"笑话" 2
"算" 2
"管" 2
"经" 2
"绝" 2
"绣" 2
"罕" 2
"罪" 2
"胡乱" 2
"能" 2
"脸" 2
"节度使" 2
"荣" 2
"薛蟠" 2
"虑" 2
"虽然" 2
"血" 2
"袭人" 2
"要求" 2
"要紧" 2
"觉" 2
"解" 2
"言" 2
"记" 2
"许多" 2
"设" 2
"该" 2
"诰" 2
"谁" 2
"谁知" 2
"谢" 2
