"词语" "次数"
"了" 83
"的" 71
"宝玉" 57
"不" 51
"道" 41
"凤姐" 36
"来" 36
"我" 33
"他" 32
"也" 31
"有" 31
"是" 30
"着" 30
"秦钟" 29
"说" 27
"那" 25
"人" 23
"便" 23
"又" 23
"你" 22
"在" 21
"笑" 21
"去" 20
"见" 20
"这" 20
"只" 18
"因" 18
"要" 16
"一" 14
"上" 14
"下" 14
"事" 14
"就" 14
"等" 14
"与" 13
"家" 13
"过" 13
"叫" 12
"命" 12
"智能" 12
"老" 12
"奶奶" 11
"尼" 11
"忙" 11
"想" 11
"无" 11
"之" 10
"再" 10
"只见" 10
"听" 10
"已" 10
"此" 10
"至" 10
"请" 10
"车" 10
"倒" 9
"到" 9
"小厮" 9
"带" 9
"水溶" 9
"中" 8
"二" 8
"住" 8
"内" 8
"坐" 8
"将" 8
"府" 8
"茶" 8
"贾政" 8
"贾珍" 8
"都" 8
"里" 8
"问" 8
"一时" 7
"个" 7
"什么" 7
"们" 7
"太太" 7
"好" 7
"小" 7
"庄" 7
"张" 7
"往" 7
"得" 7
"铁槛寺" 7
"为" 6
"从" 6
"众" 6
"会" 6
"出" 6
"出来" 6
"别" 6
"只得" 6
"多" 6
"大" 6
"如" 6
"安" 6
"岂" 6
"求" 6
"没" 6
"灵" 6
"王" 6
"皆" 6
"给" 6
"虽" 6
"说道" 6
"走" 6
"这里" 6
"那里" 6
"顽" 6
"一个" 5
"一日" 5
"一面" 5
"不管" 5
"两个" 5
"他们" 5
"令郎" 5
"作" 5
"依" 5
"俱" 5
"先" 5
"净虚" 5
"几个" 5
"凤" 5
"前" 5
"可以" 5
"吃" 5
"听说" 5
"回" 5
"声" 5
"守备" 5
"定" 5
"急" 5
"手" 5
"散" 5
"方" 5
"时" 5
"未" 5
"正" 5
"看" 5
"知" 5
"罢" 5
"而" 5
"若" 5
"话" 5
"连忙" 5
"送" 5
"银子" 5
"马" 5
"不依" 4
"不知" 4
"丫头" 4
"书" 4
"可" 4
"同" 4
"回去" 4
"回来" 4
"如今" 4
"姐儿" 4
"子" 4
"完" 4
"小事" 4
"常" 4
"快" 4
"怕" 4
"才" 4
"打" 4
"打发" 4
"换" 4
"智能儿" 4
"歇" 4
"没有" 4
"王夫人" 4
"目" 4
"算" 4
"肯" 4
"行" 4
"贾赦" 4
"起" 4
"起来" 4
"跑" 4
"跟" 4
"跟前" 4
"轿" 4
"这个" 4
"这些" 4
"远" 4
"陪" 4
"一一" 3
"一齐" 3
"三日" 3
"上来" 3
"下来" 3
"且" 3
"二丫头" 3
"于" 3
"亲" 3
"人口" 3
"以" 3
"众人" 3
"何" 3
"使" 3
"偏" 3
"做" 3
"儿" 3
"入" 3
"公子" 3
"净" 3
"凡" 3
"则" 3
"动" 3
"北" 3
"却" 3
"原来" 3
"发" 3
"名" 3
"和" 3
"地" 3
"处" 3
"夫人" 3
"奇" 3
"女" 3
"如此" 3
"妥" 3
"室" 3
"寻" 3
"少不得" 3
"尽" 3
"工夫" 3
"应" 3
"性" 3
"或" 3
"所" 3
"执意" 3
"拉" 3
"拿" 3
"接" 3
"早" 3
"未曾" 3
"极" 3
"果" 3
"歇息" 3
"死" 3
"水月庵" 3
"满" 3
"物" 3
"理" 3
"矣" 3
"知道" 3
"礼" 3
"离" 3
"穿" 3
"答应" 3
"系" 3
"耍" 3
"自" 3
"自己" 3
"衣服" 3
"试" 3
"诸" 3
"谢" 3
"贾母" 3
"赏" 3
"越" 3
"越发" 3
"辛苦" 3
"还" 3
"进" 3
"退" 3
"那时" 3
"金哥" 3
"银" 3
"香" 3
"一串" 2
"一封" 2
"一起" 2
"一路" 2
"一辈" 2
"三千" 2
"上马" 2
"不在话下" 2
"不能" 2
"不过" 2
"东西" 2
"丢开" 2
"两" 2
"丧" 2
"争" 2
"于是" 2
