"词语" "次数"
"了" 151
"的" 131
"不" 77
"贾" 76
"我" 67
"是" 64
"道" 58
"说" 56
"来" 51
"又" 48
"他" 46
"也" 45
"有" 39
"凤" 37
"姐" 35
"你" 34
"着" 34
"等" 33
"人" 32
"去" 31
"琏" 31
"见" 30
"大" 28
"就" 28
"忙" 28
"之" 26
"在" 26
"那" 26
"宝玉" 25
"秦" 24
"呢" 23
"笑" 22
"一" 20
"儿" 20
"便" 19
"我们" 19
"都" 19
"钟" 19
"事" 18
"这" 18
"什么" 17
"只" 17
"还" 17
"二" 16
"听" 16
"家" 16
"得" 16
"才" 16
"至" 16
"话" 16
"上" 15
"奶奶" 15
"无" 15
"过" 15
"个" 14
"赵" 14
"问" 14
"下" 12
"好" 12
"嬷嬷" 12
"府" 12
"没" 12
"里" 12
"与" 11
"别" 11
"吃" 11
"回" 11
"已" 11
"爷" 11
"入" 10
"再" 10
"叫" 10
"子" 10
"母" 10
"老爷" 10
"蔷" 10
"要" 10
"从" 9
"会" 9
"倒" 9
"到" 9
"因" 9
"如今" 9
"宫" 9
"平" 9
"往" 9
"时" 9
"皆" 9
"自" 9
"谁" 9
"进" 9
"鬼" 9
"一个" 8
"不能" 8
"且" 8
"两个" 8
"为" 8
"些" 8
"亦" 8
"们" 8
"如此" 8
"小" 8
"房" 8
"珍" 8
"省亲" 8
"看" 8
"荣" 8
"蓉" 8
"请" 8
"香" 8
"可" 7
"和" 7
"多" 7
"大爷" 7
"天" 7
"姨妈" 7
"政" 7
"敢" 7
"明日" 7
"玉" 7
"罢" 7
"菱" 7
"虽" 7
"许多" 7
"赖" 7
"赦" 7
"走" 7
"这个" 7
"这样" 7
"遂" 7
"酒" 7
"银子" 7
"黛" 7
"中" 6
"于" 6
"他们" 6
"作" 6
"其" 6
"出来" 6
"却" 6
"命" 6
"太太" 6
"夫人" 6
"如何" 6
"字" 6
"宁" 6
"将" 6
"并" 6
"打发" 6
"报" 6
"接" 6
"早" 6
"更" 6
"朝" 6
"正" 6
"热闹" 6
"父母" 6
"王" 6
"略" 6
"知道" 6
"竟" 6
"老" 6
"而" 6
"若" 6
"起来" 6
"这些" 6
"不过" 5
"书" 5
"众" 5
"使" 5
"信" 5
"偏" 5
"准" 5
"判" 5
"可是" 5
"告诉" 5
"咱们" 5
"四" 5
"因此" 5
"外人" 5
"尽" 5
"山" 5
"岂" 5
"忽" 5
"怎么" 5
"放" 5
"方" 5
"未免" 5
"死" 5
"毕" 5
"物" 5
"用" 5
"知" 5
"肯" 5
"起" 5
"跑" 5
"这里" 5
"连" 5
"那里" 5
"错" 5
"闻" 5
"一句" 4
"不知" 4
"两句" 4
"二门" 4
"京" 4
"住" 4
"你们" 4
"依" 4
"先" 4
"内" 4
"出" 4
"前" 4
"反" 4
"叔叔" 4
"只得" 4
"后" 4
"向" 4
"听见" 4
"哟" 4
"哥" 4
"回来" 4
"地方" 4
"坐" 4
"处" 4
"夏" 4
"奶" 4
"妈妈" 4
"孝" 4
"家中" 4
"少不得" 4
"带" 4
"带领" 4
"开" 4
