"词语" "次数"
"道" 114
"了" 98
"贾政" 80
"是" 70
"的" 59
"不" 53
"有" 53
"宝玉" 47
"一" 45
"众人" 44
"说" 44
"来" 40
"又" 39
"之" 38
"也" 36
"都" 36
"或" 34
"见" 33
"字" 32
"笑" 28
"这" 28
"题" 27
"此" 25
"着" 24
"你" 23
"便" 22
"就" 22
"人" 21
"再" 21
"妙" 21
"他" 19
"则" 19
"若" 19
"过" 18
"只" 17
"听" 17
"无" 17
"贾珍" 17
"那" 17
"其" 16
"好" 16
"忽" 16
"石" 16
"亦" 15
"在" 15
"花" 15
"上" 14
"命" 14
"因" 14
"引" 14
"得" 14
"方" 14
"此处" 14
"用" 14
"为" 13
"二" 13
"去" 13
"处" 13
"出" 12
"四" 12
"客" 12
"问" 12
"于" 11
"云" 11
"何" 11
"公" 11
"名" 11
"山" 11
"成" 11
"我" 11
"拟" 11
"极" 11
"皆" 11
"等" 11
"而" 11
"门" 11
"书" 10
"从" 10
"以" 10
"众" 10
"作" 10
"出去" 10
"如今" 10
"所" 10
"然" 10
"竟" 10
"诸" 10
"还" 10
"亭" 9
"入" 9
"古人" 9
"只见" 9
"可" 9
"园" 9
"如" 9
"时" 9
"更" 9
"水" 9
"泻" 9
"联" 9
"蕉" 9
"虽" 9
"且" 8
"倒" 8
"先" 8
"出来" 8
"却" 8
"大家" 8
"忙" 8
"想" 8
"我们" 8
"清" 8
"穿" 8
"进去" 8
"非" 8
"一个" 7
"一面" 7
"下" 7
"不妥" 7
"不能" 7
"与" 7
"中" 7
"什么" 7
"今日" 7
"似" 7
"俗" 7
"到" 7
"前" 7
"大" 7
"挂" 7
"旧" 7
"绿" 7
"罢" 7
"老爷" 7
"莫若" 7
"要" 7
"请" 7
"转" 7
"随" 7
"二百" 6
"佳" 6
"依" 6
"匾" 6
"合" 6
"听说" 6
"垂" 6
"墙" 6
"如何" 6
"如此" 6
"带" 6
"意" 6
"新" 6
"方才" 6
"景" 6
"柳" 6
"棠" 6
"看" 6
"矣" 6
"知" 6
"窗" 6
"绕" 6
"编" 6
"至" 6
"走" 6
"隔" 6
"一边" 5
"上面" 5
"不知" 5
"个" 5
"于是" 5
"内" 5
"凿" 5
"及" 5
"向" 5
"回" 5
"外" 5
"天然" 5
"对联" 5
"尽" 5
"已" 5
"并" 5
"待" 5
"念" 5
"房" 5
"才" 5
"曲折" 5
"未" 5
"村" 5
"桥" 5
"歇息" 5
"正" 5
"毕" 5
"泉" 5
"洞" 5
"游" 5
"白" 5
"直" 5
"瞧" 5
"系" 5
"红" 5
"能" 5
"色" 5
"芳" 5
"觉" 5
"许多" 5
"诗" 5
"贵妃" 5
"进" 5
"通" 5
"金" 5
"雕" 5
"香" 5
"一处" 4
"一种" 4
"三" 4
"不可" 4
"两" 4
"事" 4
"些" 4
"兰" 4
"分" 4
"原" 4
"原来" 4
"叫" 4
"壁" 4
"多" 4
"大约" 4
"头" 4
"套" 4
"小" 4
"彩" 4
"心中" 4
"必" 4
"悬" 4
"抬头" 4
"摇头" 4
"断" 4
"昨日" 4
"楼" 4
"沁" 4
"游廊" 4
"满" 4
"玉" 4
"玲珑" 4
"相" 4
"种" 4
"立" 4
"篱" 4
"细" 4
"终" 4
"自然" 4
"蘼" 4
"行" 4
"该" 4
"说道" 4
"赞" 4
"起" 4
"路" 4
"进入" 4
"里面" 4
"闸" 4
"面" 4
"一般" 3
"下面" 3
"不及" 3
"不必" 3
"不过" 3
"临" 3
"人力" 3
"人道" 3
"传" 3
"俱" 3
"倏" 3
"偏" 3
"全" 3
"其意" 3
"冷笑" 3
"几种" 3
"前面" 3
"匾额" 3
"半日" 3
"厦" 3
"只得" 3
"可惜" 3
"叶" 3
"后院" 3
"咏" 3
"喝" 3
"喝道" 3
"四面" 3
"回头" 3
"坐" 3
"外面" 3
"天" 3
"女儿" 3
"完" 3
"定" 3
"宝" 3
"富丽" 3
"将" 3
"尔" 3
"山水" 3
"崇" 3
"帘" 3
"帘子" 3
"幔" 3
"幸" 3
"幽" 3
"应" 3
"开" 3
"异" 3
"怎么" 3
"恶" 3
"想起" 3
"才情" 3
"打" 3
"拈" 3
"敢" 3
"方可" 3
"旁" 3
"明日" 3
"明月" 3
"暗" 3
"有趣" 3
"望" 3
"木" 3
"朱" 3
"杏花村" 3
"栏" 3
"树" 3
"桌" 3
"欧阳" 3
"步入" 3
"比" 3
"气" 3
"池" 3
"流" 3
"点头" 3
"生色" 3
"畜生" 3
"盘" 3
"真" 3
"砌" 3
"答道" 3
"纵" 3
"翼" 3
"者" 3
"胡说" 3
"自" 3
"舍" 3
"船" 3
"芭蕉" 3
"花样" 3
"草" 3
"萦" 3
"藤" 3
"虚" 3
"议论" 3
"设" 3
"话" 3
"读书" 3
"谁" 3
"贾母" 3
"贾琏" 3
"边" 3
"迎面" 3
"还有" 3
"这些" 3
"进来" 3
"远" 3
"遂" 3
"那些" 3
"那里" 3
"里" 3
"闻" 3
"阶" 3
"阻" 3
"陈设" 3
"隙" 3
"雅" 3
"雨" 3
"露" 3
"露出" 3
"风" 3
"高" 3
"髯" 3
"一个道" 2
"一半" 2
"一带" 2
"一所" 2
"一时" 2
"一架" 2
"不同" 2
"不如" 2
"不已" 2
"不得" 2
"世兄" 2
"两全" 2
"两层" 2
"两边" 2
"丹砂" 2
"主" 2
"乃" 2
"乃是" 2
"之下" 2
"之类" 2
"之间" 2
"乱" 2
"五彩" 2
"五间" 2
"今" 2
"令" 2
"任" 2
"但" 2
"何必" 2
"使" 2
"侍" 2
"俗套" 2
"兄弟" 2
"光" 2
"入门" 2
"共" 2
"兽" 2
"况" 2
"几个" 2
"刚" 2
"别的" 2
"刻" 2
"前导" 2
"势" 2
"十" 2
"反" 2
"取笑" 2
"古" 2
"古董" 2
"句" 2
"叫作" 2
"右" 2
"叹" 2
"各" 2
"各色" 2
"后" 2
"吐" 2
"哄" 2
"唤" 2
"唬" 2
"喜" 2
"器" 2
"回来" 2
"固" 2
"圆" 2
"地" 2
"垣" 2
"堂" 2
"堆" 2
"墨" 2
"声" 2
"备" 2
"太" 2
"夺" 2
"字样" 2
"定名" 2
"家" 2
"对" 2
"寻思" 2
"小小" 2
"小径" 2
"少" 2
"尚" 2
"山上" 2
"山坡" 2
"山坳" 2
"山石" 2
"岂" 2
"工程" 2
"左" 2
"差" 2
"帐" 2
"常" 2
"平坦" 2
"年" 2
"床" 2
"度" 2
"廊" 2
"式" 2
"引泉" 2
"强" 2
"归" 2
"当" 2
"当日" 2
"往" 2
"径" 2
"心" 2
"悦" 2
"愈" 2
"所有" 2
"手" 2
"批" 2
"把" 2
"折" 2
"抚" 2
"护" 2
"按" 2
"插" 2
"改" 2
"数" 2
"文" 2
"斜阳" 2
"新鲜" 2
"无可" 2
"无知" 2
"日" 2
"明" 2
"景致" 2
"最" 2
"月" 2
"有凤来仪" 2
"有的" 2
"杏" 2
"杏花" 2
"村庄" 2
"来回" 2
"果然" 2
"架" 2
"样" 2
"案" 2
"桶" 2
"棚" 2
"椅" 2
"楹" 2
"榻" 2
"檐" 2
"欲" 2
"此时" 2
"每" 2
"气象" 2
"水磨" 2
"泛" 2
"洗" 2
"洲" 2
"海棠" 2
"淇" 2
"清溪" 2
"港" 2
"源" 2
"漆" 2
"漫" 2
"然后" 2
"照" 2
"犹" 2
"玩" 2
"琴" 2
"瓦" 2
"瓶" 2
"生" 2
"由" 2
"画" 2
"留" 2
"疼" 2
"盘旋" 2
"着落" 2
"睢" 2
"知道" 2
"碣" 2
"秦" 2
"秦钟" 2
"称" 2
"称赞" 2
"空" 2
"竹" 2
"竹帘" 2
"粉" 2
"粉墙" 2
"粗陋" 2
"纱" 2
"经" 2
"绣" 2
"绫" 2
"群" 2
"翁" 2
"翠" 2
"而且" 2
"脉" 2
"腐" 2
"自己" 2
"芜" 2
"花木" 2
"花障" 2
"花香" 2
"茶" 2
"荡" 2
"落" 2
"落花" 2
"蔷薇" 2
"蕙" 2
"薜" 2
"薜荔藤萝" 2
"藤萝" 2
"螭" 2
"被" 2
"西" 2
"视" 2
"览" 2
"言" 2
"认真" 2
"记" 2
"许" 2
"论" 2
"评阅" 2
"识" 2
"试" 2
"语" 2
"负" 2
"起来" 2
"趣" 2
"足" 2
"跟" 2
"轻" 2
"近" 2
"近日" 2
"这样" 2
"连" 2
"述" 2
"述古" 2
"迷" 2
"迹" 2
"透" 2
"逛" 2
"酒" 2
"锦" 2
"镜" 2
"门前" 2
"院" 2
"院中" 2
"院落" 2
"隐" 2
"难" 2
"难道" 2
"青" 2
"颓丧" 2
"飘" 2
"鹤" 2
"麝" 2
"黄" 2
"一世" 1
"一个纸" 1
"一些" 1
"一件" 1
"一副" 1
"一千二百件" 1
"一只" 1
"一回" 1
"一块" 1
"一声" 1
"一对" 1
"一层" 1
"一并" 1
"一座" 1
"一心" 1
"一旁" 1
"一日" 1
"一株" 1
"一样" 1
"一派" 1
"一溜烟" 1
"一百二十架" 1
"一群" 1
"一起" 1
"一路行" 1
"一道" 1
"一门" 1
"一颗" 1
"七" 1
"七日" 1
"万" 1
"万福" 1
"三个" 1
"下欠" 1
"不免" 1
"不凡" 1
"不堪" 1
"不好" 1
"不尽" 1
"不得了" 1
"不止" 1
"不然" 1
"不禁" 1
"不肯" 1
"不足" 1
"不足为奇" 1
"不足以" 1
"专" 1
"世" 1
"世间" 1
"业障" 1
"东北" 1
"东西" 1
"丝" 1
"两三间" 1
"两峰" 1
"两溜" 1
"两行" 1
"两间" 1
"丹" 1
"丹椒" 1
"为何" 1
"举" 1
"久" 1
"之中" 1
"乎" 1
"也罢" 1
"书房" 1
"买" 1
"争" 1
"亏" 1
"五" 1
"五六" 1
"亦可" 1
"亩" 1
"亭子" 1
"亲" 1
"人家" 1
"人物" 1
"仅" 1
"仍" 1
"仍旧" 1
"从来" 1
"从此" 1
"以讹传讹" 1
"仪" 1
"们" 1
"休" 1
"优" 1
"伞" 1
"伤" 1
"似乎" 1
"似的" 1
"但是" 1
"住" 1
"何不" 1
"何如" 1
"何时" 1
"佛寺" 1
"你们" 1
"佳作" 1
"使得" 1
"例" 1
"供" 1
"侧" 1
"俄" 1
"俟" 1
"修" 1
"俯" 1
"倒像" 1
"倒退" 1
"倚" 1
"借" 1
"值" 1
"偌大" 1
"做出" 1
"偶然" 1
"充" 1
"全套" 1
"八十架" 1
"共总" 1
"关" 1
"关上" 1
"其中" 1
"养" 1
"兼" 1
"再行" 1
"农" 1
"凄恻" 1
"准" 1
"几" 1
"几十两" 1
"几十个" 1
"几块" 1
"几处" 1
"几日" 1
"几案" 1
"几百株" 1
"几间" 1
"几首" 1
"凤凰" 1
"分明" 1
"列" 1
"删" 1
"别" 1
"别墅" 1
"别处" 1
"到底" 1
"制" 1
"削" 1
"前往" 1
"前景" 1
"前院" 1
"剑" 1
"剔" 1
"劝" 1
"劝解" 1
"办" 1
"功业" 1
"劣" 1
"动" 1
"劳" 1
"勾" 1
"北边" 1
"千百" 1
"半" 1
"半壁" 1
"华丽" 1
"卖弄" 1
"南" 1
"博" 1
"博得" 1
"卷" 1
"历" 1
"压" 1
"厨" 1
"叉" 1
"及至" 1
"发" 1
"取" 1
"受" 1
"叠翠" 1
"古板" 1
"只管" 1
"只要" 1
"只顾" 1
"可巧" 1
"可比" 1
"可行" 1
"可见" 1
"可谓" 1
"台" 1
"台矶" 1
"各处" 1
"各式" 1
"各式各样" 1
"各种" 1
"合抱" 1
"吊" 1
"名手" 1
"吟成豆蔻才犹艳" 1
"吩咐" 1
"含蓄" 1
"听见" 1
"呀" 1
"呆" 1
"告竣" 1
"呢" 1
"周" 1
"味" 1
"命名" 1
"和" 1
"咤" 1
"哀痛" 1
"喜欢" 1
"喷" 1
"嘴" 1
"四个" 1
"四十架" 1
"四只" 1
"回话" 1
"因而" 1
"园内" 1
"围" 1
"固有" 1
"固然" 1
"国" 1
"图样" 1
"图画" 1
"圃" 1
"土井" 1
"圣" 1
"在内" 1
"在望" 1
"地方" 1
"地步" 1
"坞" 1
"垂柳" 1
"堤" 1
"堵" 1
"塔" 1
"塾" 1
