"词语" "次数"
"了" 107
"之" 61
"的" 56
"等" 52
"又" 50
"不" 43
"有" 43
"宝玉" 41
"是" 41
"道" 41
"妃" 37
"贾" 35
"说" 34
"太监" 32
"来" 32
"一" 30
"他" 30
"上" 28
"见" 28
"你" 27
"我" 27
"贾母" 27
"人" 22
"作" 22
"这" 22
"也" 21
"在" 21
"此" 21
"亦" 19
"去" 19
"命" 19
"只" 18
"已" 18
"未" 18
"着" 18
"贾政" 17
"外" 16
"所" 16
"皆" 16
"请" 16
"便" 15
"其" 15
"因" 15
"就" 15
"忙" 15
"笑" 15
"诸" 15
"过" 15
"那" 15
"为" 14
"园" 14
"字" 14
"才" 14
"王夫人" 14
"都" 14
"题" 14
"下" 13
"中" 13
"将" 13
"无" 13
"自" 13
"得" 12
"看" 12
"系" 12
"香" 12
"事" 11
"二" 11
"四" 11
"好" 11
"方" 11
"虽" 11
"赐" 11
"进" 11
"金" 11
"黛玉" 11
"与" 10
"且" 10
"以" 10
"俱" 10
"入" 10
"再" 10
"到" 10
"启" 10
"带" 10
"毕" 10
"罢" 10
"至" 10
"于" 9
"何处" 9
"别" 9
"匾" 9
"匾额" 9
"听" 9
"回" 9
"如此" 9
"姊妹" 9
"完" 9
"宝钗" 9
"宫" 9
"并" 9
"恩" 9
"戏" 9
"极" 9
"玉" 9
"用" 9
"绿" 9
"舆" 9
"贾蔷" 9
"东西" 8
"及" 8
"各" 8
"大" 8
"想" 8
"执" 8
"曰" 8
"礼" 8
"荷包" 8
"问" 8
"乃" 7
"传" 7
"元" 7
"先" 7
"凤姐" 7
"出" 7
"同" 7
"名" 7
"处" 7
"子" 7
"帘" 7
"引" 7
"正" 7
"此时" 7
"灯" 7
"贾赦" 7
"起" 7
"起来" 7
"跪" 7
"一个" 6
"三首" 6
"上来" 6
"丫鬟" 6
"于是" 6
"们" 6
"众" 6
"写" 6
"出来" 6
"刻" 6
"前" 6
"即" 6
"另" 6
"只得" 6
"可" 6
"各处" 6
"喜" 6
"垂" 6
"小" 6
"尽" 6
"府" 6
"成" 6
"房" 6
"按" 6
"日" 6
"时" 6
"本" 6
"林黛玉" 6
"物" 6
"省" 6
"真" 6
"知" 6
"竟" 6
"答应" 6
"者" 6
"联" 6
"花" 6
"解" 6
"诗" 6
"谕" 6
"钱" 6
"随" 6
"领" 6
"龄官" 6
"一时" 5
"一面" 5
"一首" 5
"三" 5
"书" 5
"争" 5
"众人" 5
"住" 5
"侍" 5
"儿" 5
"内" 5
"剪" 5
"叫" 5
"多" 5
"妹妹" 5
"姐姐" 5
"宝" 5
"家" 5
"幸" 5
"开" 5
"弟" 5
"归" 5
"忽" 5
"把" 5
"拿" 5
"既" 5
"楼" 5
"泪" 5
"演" 5
"然" 5
"给" 5
"能" 5
"走" 5
"难" 5
"不可" 4
"两" 4
"个" 4
"之类" 4
"亏" 4
"今" 4
"今日" 4
"从" 4
"他们" 4
"令" 4
"使" 4
"倒" 4
"免" 4
"公" 4
"切" 4
"却" 4
"名曰" 4
"后" 4
"咏" 4
"坐" 4
"声" 4
"备" 4
"好生" 4
"少时" 4
"岂" 4
"师父" 4
"幕" 4
"座" 4
"彩" 4
"快" 4
"我们" 4
"手" 4
"探" 4
"教" 4
"早" 4
"春" 4
"昭容" 4
"景" 4
"更" 4
"更衣" 4
"曾" 4
"有凤来仪" 4
"李纨" 4
"杏帘在望" 4
"林" 4
"欲" 4
"殿" 4
"比" 4
"清" 4
"游" 4
"爱" 4
"生" 4
"省亲" 4
"红" 4
"终" 4
"绫" 4
"行" 4
"表" 4
"西" 4
"要" 4
"许多" 4
"谁" 4
"负" 4
"贵妃" 4
"赋" 4
"赏" 4
"赞" 4
"连" 4
"遂" 4
"邢夫人" 4
"金银" 4
"金银锞" 4
"长" 4
"闲" 4
"顽" 4
"一会" 3
"不尽" 3
"不能" 3
"之中" 3
"乐" 3
"习" 3
"买" 3
"二出" 3
"云" 3
"五" 3
"些" 3
"什么" 3
"今夜" 3
"以及" 3
"会" 3
"何不" 3
"依" 3
"信" 3
"偏" 3
"做" 3
"全" 3
"几个" 3
"凤" 3
"列" 3
"则" 3
"初" 3
"加" 3
"势" 3
"勉强" 3
"十二个" 3
"半日" 3
"原来" 3
"发" 3
"叙" 3
"只见" 3
"叶" 3
"后来" 3
"向" 3
"呈" 3
"呢" 3
"喜欢" 3
"回乡" 3
"围" 3
"国" 3
"天" 3
"女" 3
"奶娘" 3
"如今" 3
"妙玉" 3
"妹" 3
"姑娘" 3
"宴" 3
"富贵" 3
"少" 3
"尤氏" 3
"屏" 3
"展" 3
"属" 3
"工夫" 3
"帐" 3
"带领" 3
"往" 3
"待" 3
"御" 3
"必" 3
"忘" 3
"念" 3
"怡红快绿" 3
"怡红院" 3
"悄" 3
"悉" 3
"惜" 3
"意" 3
"所以" 3
"扶" 3
"抬" 3
"拟" 3
"接" 3
"撰" 3
"擅" 3
"改" 3
"故" 3
"敢" 3
"新" 3
"明" 3
"替" 3
"林之孝家的" 3
"果然" 3
"树" 3
"正殿" 3
"浣葛山庄" 3
"潇湘馆" 3
"点" 3
"然后" 3
"父母" 3
"珠" 3
"目" 3
"相" 3
"知道" 3
"石" 3
"离" 3
"纱" 3
"缎" 3
"老太太" 3
"而" 3
"臣" 3
"舟" 3
"若" 3
"荣" 3
"薛姨妈" 3
"蘅芷清芬" 3
"蜡" 3
"行礼" 3
"街门" 3
"袋" 3
"让" 3
"记" 3
"话" 3
"语" 3
"费" 3
"贾兰" 3
"赌气" 3
"赶" 3
"跟" 3
"辉" 3
"过来" 3
"迎" 3
"进来" 3
"退" 3
"送" 3
"通" 3
"那时" 3
"那里" 3
"锞" 3
"门前" 3
"院" 3
"非" 3
"非常" 3
"颂" 3
"飞" 3
"马" 3
"龙" 3
"一一" 2
"一件" 2
"一句" 2
"一对" 2
"一律" 2
"一所" 2
"一手" 2
"一担" 2
"一番" 2
"一阵" 2
"万" 2
"上下" 2
"上房" 2
"上面" 2
"下来" 2
"不一" 2
"不同" 2
"不曾" 2
"不知" 2
"不耐烦" 2
"不觉" 2
"业" 2
"东" 2
"两个" 2
"两出" 2
"严" 2
"临" 2
"二对" 2
"交" 2
"亲" 2
"今儿" 2
"仍" 2
"仙" 2
"仪" 2
"但" 2
"位" 2
"低头" 2
"何" 2
"何必" 2
"佩" 2
"修行" 2
"元宵" 2
"元春" 2
"兢" 2
"共" 2
"关防" 2
"冠" 2
"凡" 2
"出去" 2
"出处" 2
"刚" 2
"前日" 2
"勿" 2
"十" 2
"十五日" 2
"十分" 2
"十锭" 2
"升" 2
"卷" 2
"原" 2
"原委" 2
"受礼" 2
"只管" 2
"各色" 2
"合" 2
"吊" 2
"吟" 2
"含泪" 2
"听说" 2
"哭" 2
"囊" 2
"四匹" 2
"回身" 2
"因此" 2
"园内" 2
"围绕" 2
"墨" 2
"复" 2
"大观园" 2
"太" 2
"夫妇" 2
"头" 2
"奢华" 2
"女孩子" 2
"女眷" 2
"好容易" 2
"如" 2
"如意" 2
"妆" 2
"妙" 2
"妥" 2
"姊" 2
"存" 2
"学" 2
"宅" 2
"安慰" 2
"室" 2
"对" 2
"寿" 2
"尚未" 2
"尼" 2
"尼姑" 2
"山" 2
"工程" 2
"年" 2
"强" 2
"当" 2
"当日" 2
"形容" 2
"彩嫔" 2
"律" 2
"德" 2
"心" 2
"忍" 2
"怀" 2
"总理" 2
"恐" 2
"恭" 2
"悄悄的" 2
"情状" 2
"惟" 2
"或" 2
"扇" 2
"扎" 2
"扭" 2
"找" 2
"抢" 2
"抱" 2
"拂" 2
"拐" 2
"拜佛" 2
"择" 2
"拭泪" 2
"挡" 2
"换" 2
"捧" 2
"掌" 2
"排" 2
"探春" 2
"掷" 2
"搀" 2
"改作" 2
"政" 2
"教授" 2
"文" 2
"新书" 2
"方向" 2
"方才" 2
"旁" 2
"族" 2
"旧有" 2
"旨" 2
"早已" 2
"时时" 2
"旷" 2
"暂" 2
"暂且" 2
"暇" 2
"月台" 2
"有人" 2
"朱" 2
"杂" 2
"李" 2
"杏" 2
"来回" 2
"柳" 2
"桂" 2
"款待" 2
"止" 2
"正月" 2
"步" 2
"母" 2
"每" 2
"每人" 2
"气" 2
"港" 2
"滚" 2
"满眼" 2
"火" 2
"灯光" 2
"灵" 2
"点头" 2
"点缀" 2
"焚" 2
"爵" 2
"版" 2
"玻璃" 2
"珠宝" 2
"班" 2
"瑞" 2
"甚" 2
"登" 2
"眷" 2
"瞧" 2
"瞧瞧" 2
"砚" 2
"礼仪" 2
"筵" 2
"筵宴" 2
"管理" 2
"类" 2
"精" 2
"精致" 2
"素" 2
"纸" 2
"细" 2
"绣" 2
"绸" 2
"缓缓" 2
"缘" 2
"而已" 2
"职" 2
"聘" 2
"膳" 2
"自己" 2
"自幼" 2
"舞" 2
"般" 2
"色" 2
"花灯" 2
"茶" 2
"薛" 2
"蘅芜苑" 2
"补" 2
"解劝" 2
"言" 2
"许" 2
"试" 2
"该死" 2
"说笑" 2
"豪华" 2
"贾环" 2
"起身" 2
"跑" 2
"身边" 2
"轿" 2
"辈" 2
"还" 2
"这样" 2
"这里" 2
"进去" 2
"进益" 2
"违" 2
"连忙" 2
"退出" 2
"道姑" 2
"那个" 2
"那边" 2
"部" 2
"里" 2
"里面" 2
"金黄" 2
"钟" 2
"银" 2
"银钱" 2
"锦" 2
"长春" 2
"门" 2
"门外" 2
"闻" 2
"阶" 2
"陈设" 2
"陪" 2
"隆" 2
"雉" 2
"静" 2
"额外" 2
"风流" 2
"首" 2
"鱼" 2
"鼎" 2
"齐备" 2
"一个个" 1
"一串" 1
"一二" 1
"一些" 1
"一分" 1
"一半" 1
"一双" 1
"一味" 1
"一回" 1
"一声" 1
"一处" 1
"一处处" 1
"一夜" 1
"一对对" 1
"一带" 1
"一把" 1
"一方" 1
"一月" 1
"一株" 1
"一根" 1
"一桩" 1
"一次" 1
"一片" 1
"一班" 1
"一畦春韭熟" 1
"一百串" 1
"一篇" 1
"一般" 1
"一言不发" 1
"一部" 1
"一队" 1
"一顶" 1
"丁" 1
"七" 1
"万一" 1
"万物" 1
"万象" 1
"三个" 1
"三四个" 1
"三四岁" 1
"上前" 1
"上去" 1
"上头" 1
"上将" 1
"上等" 1
"不严" 1
"不免" 1
"不妥" 1
"不宜" 1
"不容分说" 1
"不已" 1
"不当" 1
"不得" 1
"不必" 1
"不忍" 1
"不快" 1
"不成" 1
"不拘" 1
"不然" 1
"不等" 1
"不许" 1
"不过" 1
"不过如此" 1
"不须" 1
"与众不同" 1
"丑" 1
"世" 1
"世人" 1
"世代" 1
"世界" 1
"世间" 1
"世面" 1
"东北" 1
"东面" 1
"两两出婵娟" 1
"两匹" 1
"两处" 1
"两边" 1
"两首" 1
"个个绿生凉" 1
"丫头" 1
"中用" 1
"为何" 1
"为重" 1
"主人应解怜" 1
"义" 1
"之上" 1
"之外" 1
"乏" 1
"乐声" 1
"九州万国被恩荣" 1
"乞" 1
"乾坤" 1
"二个" 1
"二分" 1
"二十出" 1
"二十四端" 1
"二处" 1
"二支" 1
"二部" 1
"二首" 1
"五律" 1
"五百串" 1
"亡故" 1
"亭" 1
"亲自" 1
"人丁" 1
"人人" 1
"人员" 1
"今天" 1
"今年" 1
"从头" 1
"从此" 1
"仕" 1
"仙境别红尘" 1
"仙鹤" 1
"代" 1
"以后" 1
"伏" 1
"优伶" 1
"会意" 1
"伞" 1
"传人" 1
"伤" 1
"伸手" 1
"伺候" 1
"似" 1
"伽" 1
"体仁沐德" 1
"体贴" 1
"何如" 1
"何妨" 1
"何幸邀恩宠" 1
"何须耕织忙" 1
"佛寺" 1
"作出" 1
"作成" 1
"佳" 1
"例" 1
"侍从" 1
"侧" 1
"侯" 1
"俗套" 1
"保养" 1
"修理" 1
"修篁时待凤来仪" 1
"倒下" 1
"倒不如" 1
"倘" 1
"倚石护青烟" 1
"借得山川秀" 1
"值" 1
"停" 1
"偶然" 1
"像" 1
"僧" 1
"先行" 1
"光辉" 1
"兔" 1
"入室" 1
"入门" 1
"八个" 1
"兰" 1
"兵" 1
"其余" 1
"其父" 1
"典故" 1
"养" 1
"兼" 1
"册" 1
"况" 1
"况且" 1
"冷" 1
"冷翠滴回廊" 1
"凄凉" 1
"准" 1
"减" 1
"凑" 1
"凝" 1
"几" 1
"几卷" 1
"几处" 1
"几次" 1
"几遍" 1
"凫" 1
"凭栏垂绛袖" 1
"出于" 1
"出入" 1
"分" 1
"初八" 1
"制" 1
"前门" 1
"前面" 1
"剪子" 1
"劝" 1
"助" 1
"勤" 1
"化" 1
"匠人" 1
"匣" 1
"十个" 1
"十倍" 1
"十八岁" 1
"十四日" 1
"十数个" 1
"十数首" 1
"十月" 1
"十里稻花香" 1
"千万" 1
"千两" 1
"千秋" 1
"半天" 1
"华" 1
"华日祥云笼罩奇" 1
"单子" 1
"厅" 1
"压" 1
"压倒" 1
"厢" 1
"厥" 1
"厨" 1
