"词语" "次数"
"了" 97
"之" 68
"不" 54
"那" 51
"有" 50
"道" 47
"士" 46
"隐" 46
"便" 41
"人" 39
"去" 39
"一" 38
"是" 38
"又" 37
"也" 33
"的" 33
"这" 32
"得" 31
"此" 28
"说" 28
"他" 27
"你" 26
"因" 26
"来" 26
"我" 25
"村" 25
"僧" 24
"时" 24
"见" 24
"雨" 24
"只" 22
"听" 22
"为" 21
"无" 21
"在" 20
"笑" 20
"中" 19
"好" 19
"大" 17
"着" 17
"到" 16
"已" 16
"方" 16
"至" 16
"乃" 15
"二" 15
"可" 15
"看" 15
"者" 15
"自" 15
"道人" 15
"且" 13
"个" 13
"于" 13
"何" 13
"兄" 13
"再" 13
"将" 13
"石" 13
"上" 12
"云" 12
"些" 12
"亦" 12
"忽" 12
"生" 12
"虽" 12
"下" 11
"与" 11
"事" 11
"作" 11
"内" 11
"则" 11
"却" 11
"日" 11
"若" 11
"还" 11
"都" 11
"非" 11
"但" 10
"并" 10
"待" 10
"正" 10
"过" 10
"不知" 9
"今" 9
"后" 9
"头" 9
"封" 9
"情" 9
"想" 9
"或" 9
"未" 9
"满" 9
"一段" 8
"世" 8
"世人" 8
"丫鬟" 8
"书" 8
"其" 8
"出" 8
"处" 8
"家" 8
"小" 8
"就" 8
"弟子" 8
"既" 8
"甄" 8
"皆" 8
"罢" 8
"而" 8
"谈" 8
"问" 8
"闻" 8
"不过" 7
"仙" 7
"使" 7
"倒" 7
"入" 7
"地" 7
"字" 7
"师" 7
"幻" 7
"庙" 7
"心" 7
"忘" 7
"成" 7
"所" 7
"抱" 7
"故" 7
"故事" 7
"敢" 7
"甚" 7
"知" 7
"石头" 7
"等" 7
"要" 7
"遂" 7
"三" 6
"从" 6
"前" 6
"即" 6
"原来" 6
"口" 6
"名" 6
"君" 6
"如" 6
"如此" 6
"妙" 6
"干" 6
"必" 6
"忙" 6
"怀" 6
"意欲" 6
"携" 6
"明" 6
"曰" 6
"痴" 6
"矣" 6
"神仙" 6
"竟" 6
"红尘" 6
"英" 6
"莲" 6
"蠢物" 6
"解" 6
"适" 6
"风流" 6
"飞" 6
"不觉" 5
"以" 5
"其中" 5
"几个" 5
"劫" 5
"同" 5
"善" 5
"复" 5
"多" 5
"天" 5
"奇" 5
"女" 5
"女子" 5
"心中" 5
"思" 5
"意" 5
"愚" 5
"明白" 5
"曾" 5
"每" 5
"氏" 5
"物" 5
"神" 5
"空" 5
"空空" 5
"肃" 5
"能" 5
"自己" 5
"色" 5
"草" 5
"街" 5
"记" 5
"谁" 5
"贾" 5
"走" 5
"一块" 4
"下世" 4
"不可" 4
"久" 4
"乐" 4
"乱" 4
"五" 4
"享" 4
"人道" 4
"他们" 4
"假" 4
"几" 4
"凡" 4
"出来" 4
"历来" 4
"叹" 4
"吟" 4
"否" 4
"启" 4
"哉" 4
"回来" 4
"坐" 4
"女儿" 4
"如今" 4
"姓" 4
"子" 4
"安身" 4
"完" 4
"定" 4
"富贵" 4
"对" 4
"岂" 4
"常" 4
"年纪" 4
"当" 4
"德" 4
"愁" 4
"才" 4
"把" 4
"文" 4
"晓" 4
"晚" 4
"更" 4
"月" 4
"朝代" 4
"材" 4
"歌" 4
"毕" 4
"治" 4
"淫" 4
"烧" 4
"然" 4
"玉" 4
"理" 4
"用" 4
"真" 4
"稍" 4
"而已" 4
"花" 4
"苦" 4
"蒙" 4
"补" 4
"言" 4
"警" 4
"话" 4
"说道" 4
"请" 4
"贫" 4
"足" 4
"过去" 4
"通" 4
"邀" 4
"那里" 4
"酒" 4
"门" 4
"闲" 4
"霍" 4
"须" 4
"题" 4
"风月" 4
"饮" 4
"一个" 3
"一声" 3
"一日" 3
"一道" 3
"万" 3
"不尽" 3
"不能" 3
"两个" 3
"中秋" 3
"书房" 3
"于是" 3
"什么" 3
"仙子" 3
"传" 3
"伤" 3
"住" 3
"何方" 3
"佳节" 3
"供" 3
"儿" 3
"入世" 3
"兴" 3
"再者" 3
"前人" 3
"功名" 3
"卖" 3
"及" 3
"反" 3
"发" 3
"受" 3
"只得" 3
"只见" 3
"号" 3
"向" 3
"听见" 3
"命" 3
"喜" 3
"四" 3
"回" 3
"地方" 3
"场" 3
"声" 3
"太" 3
"实" 3
"宦" 3
"家人" 3
"寄" 3
"寻" 3
"山" 3
"峰" 3
"巷" 3
"幻境" 3
"强" 3
"归" 3
"往" 3
"念" 3
"急" 3
"怨" 3
"恨" 3
"愿" 3
"房" 3
"投" 3
"换" 3
"接" 3
"散" 3
"斋" 3
"早已" 3
"最" 3
"望" 3
"本" 3
"来历" 3
"梦" 3
"欲" 3
"比" 3
"永" 3
"求" 3
"添" 3
"灌溉" 3
"火" 3
"灵" 3
"烘" 3
"父母" 3
"珠" 3
"直" 3
"相" 3
"省" 3
"眼" 3
"礼" 3
"童" 3
"系" 3
"纸" 3
"终" 3
"经" 3
"经历" 3
"结" 3
"绛" 3
"罕" 3
"老先生" 3
"考" 3
"脱" 3
"自然" 3
"舍" 3
"荒唐" 3
"落" 3
"葫芦" 3
"虚" 3
"蠢" 3
"识" 3
"诗" 3
"语" 3
"起身" 3
"趁" 3
"跛" 3
"还有" 3
"这样" 3
"进" 3
"进去" 3
"述" 3
"送" 3
"造" 3
"陪" 3
"随" 3
"高" 3
"一件" 2
"一味" 2
"一夜" 2
"一时" 2
"一片" 2
"一轮" 2
"上面" 2
"不免" 2
"不可胜数" 2
"不曾" 2
"不禁" 2
"不足" 2
"东南" 2
"两次" 2
"丧" 2
"为人" 2
"主人" 2
"之际" 2
"乡" 2
"买" 2
"交" 2
"京" 2
"亲" 2
"人氏" 2
"人间" 2
"仁" 2
"仍" 2
"仕" 2
"他乡" 2
"令" 2
"以及" 2
"价" 2
"伏" 2
"众人" 2
"会" 2
"传奇" 2
"伦" 2
"体" 2
"何不" 2
"何如" 2
"作者" 2
"佩" 2
"侍者" 2
"俄" 2
"俗" 2
"俱" 2
"值" 2
"偶" 2
"儿孙" 2
"先" 2
"先是" 2
"具" 2
"兼" 2
"写" 2
"冤家" 2
"况" 2
"分" 2
"分明" 2
"切" 2
"别" 2
"剩" 2
"加" 2
"动" 2
"助" 2
"半" 2
"半夜" 2
"卧" 2
"历" 2
"及至" 2
"取" 2
"变" 2
"古" 2
"句" 2
"只是" 2
"叫" 2
"可以" 2
"可比" 2
"可贺" 2
"后来" 2
"后面" 2
"吾" 2
"和尚" 2
"哭" 2
"唬" 2
"商议" 2
"啼哭" 2
"因此" 2
"团圆" 2
"块" 2
"埂" 2
"备" 2
"太爷" 2
"夫妇" 2
"失落" 2
"夺" 2
"套" 2
"如何" 2
"妻子" 2
"婢" 2
"嫌" 2
"字迹" 2
"学" 2
"官" 2
"家中" 2
"家乡" 2
"家庭" 2
"小解" 2
"少" 2
"尚未" 2
"岁" 2
"岳丈" 2
"崖" 2
"州" 2
"带" 2
"幸而" 2
"弟" 2
"当下" 2
"当时" 2
"形" 2
"心上" 2
"快" 2
"性" 2
"总" 2
"恰" 2
"悉" 2
"悟" 2
"悲" 2
"悼" 2
"情理" 2
"惑" 2
"惯" 2
"托" 2
"抄" 2
"投胎" 2
"折" 2
"抢" 2
"抱负" 2
"拟" 2
"拿" 2
"挂" 2
"指" 2
"据" 2
"撷" 2
"收" 2
"放在" 2
"救" 2
"敝" 2
"斟" 2
"新" 2
"新闻" 2
"施礼" 2
"旁" 2
"族" 2
"日夜" 2
"日日" 2
"旧" 2
"早" 2
"昌" 2
"昼" 2
"有些" 2
"有意" 2
"朝" 2
"机会" 2
"杯" 2
"极" 2
"枉" 2
"案" 2
"梁" 2
"正当" 2
"此时" 2
"步" 2
"每日" 2
"没" 2
"泄" 2
"泪" 2
"济" 2
"浓" 2
"消" 2
"深" 2
"渐渐" 2
"温柔" 2
"渺" 2
"澌" 2
"炼" 2
"炽" 2
"熟" 2
"爱" 2
"父亲" 2
"牵" 2
"特" 2
"狂" 2
"玄机" 2
"瑛" 2
"甘露" 2
"田" 2
"田庄" 2
"略" 2
"疯" 2
