"词语" "次数"
"了" 138
"你" 101
"我" 74
"的" 72
"他" 67
"不" 57
"宝玉" 55
"道" 54
"是" 53
"说" 50
"来" 47
"着" 44
"人" 39
"去" 36
"又" 34
"在" 27
"笑" 27
"顽" 27
"只" 26
"就" 26
"便" 24
"玉" 24
"黛" 24
"一" 22
"也" 22
"听" 22
"宝" 22
"见" 22
"呢" 21
"好" 20
"子" 20
"这" 20
"儿" 19
"要" 19
"贾" 19
"还" 19
"个" 18
"环" 18
"钗" 18
"叫" 17
"自己" 16
"那" 16
"都" 16
"林" 15
"走" 15
"钱" 15
"为" 14
"忙" 14
"袭" 14
"一个" 13
"下" 13
"有" 12
"没" 12
"等" 12
"什么" 11
"作" 11
"和" 11
"大" 11
"怕" 11
"正" 11
"话" 11
"会" 10
"吃" 10
"得" 10
"替" 10
"月" 10
"罢" 10
"谁" 10
"问" 10
"麝" 10
"一面" 9
"们" 9
"才" 9
"死" 9
"那里" 9
"中" 8
"凤" 8
"同" 8
"哥哥" 8
"哭" 8
"因" 8
"嬷嬷" 8
"心" 8
"房" 8
"拉" 8
"拿" 8
"李" 8
"莺" 8
"起来" 8
"这样" 8
"上" 7
"二" 7
"他们" 7
"倒" 7
"再" 7
"头" 7
"把" 7
"敢" 7
"湘云" 7
"生气" 7
"输" 7
"这里" 7
"难道" 7
"两个" 6
"事" 6
"些" 6
"兄弟" 6
"先" 6
"别" 6
"姐" 6
"姐姐" 6
"得罪" 6
"怎么" 6
"晴" 6
"比" 6
"爱" 6
"睡" 6
"知" 6
"知道" 6
"这些" 6
"雯" 6
"丫头" 5
"之" 5
"内" 5
"出" 5
"只见" 5
"史" 5
"咱们" 5
"哄" 5
"妈妈" 5
"屋里" 5
"意" 5
"掷" 5
"放" 5
"病" 5
"看" 5
"管" 5
"该" 5
"说道" 5
"赶" 5
"跟" 5
"躺" 5
"这么" 5
"一会" 4
"不成" 4
"不知" 4
"不过" 4
"与" 4
"今儿" 4
"伏" 4
"住" 4
"你们" 4
"冷笑" 4
"几个" 4
"出来" 4
"别人" 4
"却" 4
"反" 4
"只得" 4
"只管" 4
"向" 4
"命" 4
"回" 4
"回来" 4
"坐" 4
"声" 4
"太太" 4
"媚" 4
"学" 4
"完" 4
"小" 4
"幺" 4
"想" 4
"挑" 4
"正月" 4
"母" 4
"汗" 4
"没意思" 4
"狐" 4
"疏" 4
"篦" 4
"老" 4
"老太太" 4
"规矩" 4
"让" 4
"语" 4
"诺" 4
"赖" 4
"起" 4
"过来" 4
"这般" 4
"这话" 4
"连" 4
"连忙" 4
"里" 4
"镜" 4
"闹" 4
"骰子" 4
"一时" 3
"不理" 3
"东西" 3
"丰" 3
"亏" 3
"侍" 3
"偏" 3
"出去" 3
"则" 3
"到" 3
"劝" 3
"发" 3
"取" 3
"取乐" 3
"可" 3
"呆" 3
"咬" 3
"啐" 3
"喝" 3
"嚷" 3
"大家" 3
"如" 3
"如今" 3
"姊妹" 3
"姑娘" 3
"委屈" 3
"姨娘" 3
"干净" 3
"并" 3
"彼时" 3
"往" 3
"快" 3
"念" 3
"忽" 3
"我们" 3
"打" 3
"时" 3
"明儿" 3
"春" 3
"横竖" 3
"正值" 3
"炕" 3
"烦恼" 3
"爷" 3
"理" 3
"禁不住" 3
"算" 3
"老人家" 3
"至" 3
"解闷" 3
"说话" 3
"赢" 3
"赵" 3
"越" 3
"越发" 3
"跑" 3
"这个" 3
"那个" 3
"错" 3
"问道" 3
"一二百" 2
"一件" 2
"一处" 2
"一天" 2
"一齐" 2
"下流" 2
"不如" 2
"不犯" 2
"不等" 2
"不肯" 2
"于" 2
"亲" 2
"亲戚" 2
"人家" 2
"件" 2
"作践" 2
"使" 2
"六点" 2
"养" 2
"凡" 2
"凭" 2
"分明" 2
"分辨" 2
"别处" 2
"前" 2
"原" 2
"原来" 2
"受" 2
"口" 2
"可巧" 2
"叹" 2
"吃饭" 2
"后" 2
"后来" 2
"听说" 2
"吵" 2
"唯" 2
"围棋" 2
"地" 2
"坏" 2
"夜间" 2
"够" 2
"天天" 2
"天气" 2
"奶" 2
"如何" 2
"妆" 2
"妹妹" 2
"娼妇" 2
"存" 2
"守" 2
"定" 2
"家" 2
"寻" 2
"将" 2
"尊重" 2
"小子" 2
"少不得" 2
"岂" 2
"帐" 2
"帘子" 2
"底" 2
"强" 2
"心里" 2
"急" 2
"怨" 2
"悄悄的" 2
"意思" 2
"所以" 2
"护" 2
"拐棍" 2
"排" 2
"揎" 2
"教导" 2
"教训" 2
"旁" 2
"既" 2
"更" 2
"本" 2
"欲" 2
"欺负" 2
"歪" 2
"毕" 2
"气" 2
"没脸" 2
"流泪" 2
"浊" 2
"满" 2
"灯" 2
"王" 2
"男子" 2
"盘" 2
"着急" 2
"磨牙" 2
"窗" 2
"窝" 2
"精" 2
"糊涂" 2
"素" 2
"老婆子" 2
"耍" 2
"背" 2
"脚" 2
"脱" 2
"自然" 2
"舌" 2
"若" 2
"茶" 2
"薛" 2
"虽" 2
"言" 2
"讨" 2
"记" 2
"许" 2
"跟前" 2
"身子" 2
"转" 2
"过" 2
"迎春" 2
"还有" 2
"这边" 2
"那些" 2
"配" 2
"饭后" 2
"骂" 2
"一一" 1
"一切" 1
"一刻" 1
"一半点儿" 1
"一句" 1
"一回" 1
"一声" 1
"一床" 1
"一心" 1
"一把" 1
"一旁" 1
"一日" 1
"一桌" 1
"一步" 1
"一点儿" 1
"一片" 1
"一趟" 1
"一辈子" 1
"一阵风" 1
"七" 1
"七点" 1
"万物" 1
"丈夫" 1
"三" 1
"三个" 1
"三五下" 1
"三分" 1
"三四五" 1
"三点" 1
"上头" 1
"上房" 1
"上来" 1
"下回" 1
"下马" 1
"不可" 1
"不在话下" 1
"不好" 1
"不得" 1
"不料" 1
"不然" 1
"不用" 1
