"词语" "次数"
"了" 123
"我" 80
"道" 78
"他" 63
"你" 60
"不" 59
"的" 59
"便" 48
"宝玉" 48
"来" 45
"着" 41
"是" 35
"说" 34
"也" 32
"在" 31
"贾琏" 31
"笑" 30
"又" 28
"见" 28
"平儿" 27
"人" 26
"就" 26
"有" 24
"这" 24
"凤姐" 23
"袭人" 23
"只" 22
"上" 20
"去" 20
"都" 17
"一面" 16
"之" 16
"听" 16
"往" 16
"一" 15
"因" 15
"拿" 15
"呢" 14
"好" 14
"看" 14
"过" 14
"进来" 14
"问" 14
"什么" 13
"其" 13
"叫" 13
"要" 13
"还" 13
"劝" 12
"和" 12
"怎么" 12
"房" 12
"湘云" 12
"罢" 12
"而" 12
"两个" 11
"出" 11
"忙" 11
"睡" 11
"那里" 11
"再" 10
"等" 10
"自己" 10
"说道" 10
"那" 10
"倒" 9
"内" 9
"别" 9
"外" 9
"得" 9
"手" 9
"无" 9
"替" 9
"走" 9
"起来" 9
"黛玉" 9
"个" 8
"中" 8
"多" 8
"方" 8
"矣" 8
"被" 8
"跑" 8
"麝月" 8
"东西" 7
"儿" 7
"后" 7
"头" 7
"媳妇" 7
"宝钗" 7
"将" 7
"心" 7
"时" 7
"正" 7
"没" 7
"炕" 7
"知道" 7
"蕙香" 7
"起" 7
"一个" 6
"与" 6
"丫头" 6
"二" 6
"仍" 6
"们" 6
"作" 6
"出来" 6
"只见" 6
"大" 6
"始" 6
"娘娘" 6
"已" 6
"怕" 6
"料" 6
"用" 6
"自" 6
"至" 6
"话" 6
"下" 5
"不知" 5
"丢" 5
"事" 5
"你们" 5
"冷笑" 5
"刚" 5
"可" 5
"含" 5
"听说" 5
"命" 5
"四儿" 5
"回" 5
"天下" 5
"姊妹" 5
"才" 5
"林黛玉" 5
"梳洗" 5
"气" 5
"洗" 5
"浪" 5
"语" 5
"谁" 5
"起身" 5
"难" 5
"一回" 4
"不理" 4
"么" 4
"于" 4
"他们" 4
"伏" 4
"侍" 4
"出去" 4
"却" 4
"只得" 4
"吃" 4
"喜" 4
"奶奶" 4
"妹妹" 4
"娇" 4
"子" 4
"当" 4
"忽" 4
"情" 4
"想" 4
"敢" 4
"散" 4
"早晚" 4
"梳" 4
"横竖" 4
"死" 4
"毕" 4
"王夫人" 4
"相" 4
"竟" 4
"笔" 4
"绝" 4
"续" 4
"翻" 4
"者" 4
"若" 4
"衣" 4
"说话" 4
"谁知" 4
"越" 4
"边" 4
"过来" 4
"这个" 4
"进" 4
"连" 4
"问道" 4
"闹" 4
"防" 4
"一声" 3
"一夜" 3
"一日" 3
"一样" 3
"一颗" 3
"不能" 3
"书" 3
"乱" 3
"些" 3
"住" 3
"兄弟" 3
"先" 3
"到" 3
"发" 3
"口" 3
"史湘云" 3
"叹" 3
"合" 3
"回来" 3
"复" 3
"多浑虫" 3
"夺" 3
"好生" 3
"完" 3
"宝" 3
"家" 3
"寻" 3
"小" 3
"小厮" 3
"少" 3
"屋里" 3
"帘子" 3
"弄" 3
"往日" 3
"心里" 3
"快" 3
"成" 3
"打" 3
"收" 3
"改" 3
"故" 3
"斗" 3
"明白" 3
"更" 3
"未了" 3
"枕" 3
"样子" 3
"正是" 3
"民" 3
"没有" 3
"狠" 3
"生" 3
"男子" 3
"病" 3
"目" 3
"看见" 3
"眼" 3
"知" 3
"离" 3
"紫鹃" 3
"翠缕" 3
"花" 3
"衣服" 3
"要紧" 3
"记" 3
"贾母" 3
"赌" 3
"身" 3
"身后" 3
"这些" 3
"这边" 3
"送" 3
"那边" 3
"酒" 3
"醋" 3
"醒" 3
"金" 3
"饶" 3
"一把" 2
"一根" 2
"一遭" 2
"万" 2
"上来" 2
"不好" 2
"不少" 2
"不必" 2
"不禁" 2
"不觉" 2
"不许" 2
"丢开" 2
"两把" 2
"为" 2
"主意" 2
"书房" 2
"云" 2
"今" 2
"从此" 2
"仔细" 2
"仙" 2
"以" 2
"以后" 2
"众人" 2
"伸手" 2
"供奉" 2
"分" 2
"分解" 2
"则" 2
"前" 2
"动" 2
"医生" 2
"十二日" 2
"十分" 2
"南华" 2
"卧" 2
"厚" 2
"原" 2
"厮" 2
"反" 2
"吃饭" 2
"同" 2
"名" 2
"向" 2
"听见" 2
"咱们" 2
"唤" 2
"商量" 2
"回转" 2
"圣" 2
"坏" 2
"坐" 2
"塞" 2
"处" 2
"外头" 2
"多姑娘儿" 2
"夜" 2
"大夫" 2
"大姐" 2
"大家" 2
"天明" 2
"头发" 2
"女人" 2
"如" 2
"如今" 2
"妻" 2
"姐儿" 2
"姐姐" 2
"姓" 2
"姿" 2
"定" 2
"寝" 2
"小丫头" 2
"尽" 2
"带" 2
"年纪" 2
"庄子" 2
"弃" 2
"弯" 2
"归" 2
"彼" 2
"待" 2
"心中" 2
"忌" 2
"忘" 2
"态" 2
"怎么着" 2
"急" 2
"总" 2
"恨" 2
"惜" 2
"惧" 2
"我们" 2
"戕" 2
"戴" 2
"所" 2
"所以" 2
"打扫" 2
"打趣" 2
"找" 2
"把" 2
"抖" 2
"折" 2
"抢" 2
"抹" 2
"拦住" 2
"指" 2
"掀" 2
"掠" 2
"推" 2
"提" 2
"搂" 2
"搜" 2
"搬" 2
"放" 2
"旁边" 2
"早" 2
"早已" 2
"早起" 2
"明儿" 2
"曰" 2
"曾" 2
"有人" 2
"望" 2
"果" 2
"查" 2
"次日" 2
"歪" 2
"残" 2
"毁" 2
"比" 2
"毛病" 2
"水" 2
"没良心" 2
"淫" 2
"深" 2
