"词语" "次数"
"了" 135
"是" 91
"的" 88
"贾" 82
"我" 75
"道" 72
"说" 66
"不" 65
"你" 59
"他" 50
"也" 46
"人" 44
"又" 44
"宝玉" 43
"母" 42
"笑" 42
"便" 39
"这" 36
"着" 34
"来" 31
"一" 30
"在" 30
"玉" 30
"看" 30
"只" 29
"有" 29
"黛" 29
"宝" 27
"政" 27
"猜" 27
"去" 26
"与" 24
"作" 24
"听" 24
"都" 24
"钗" 23
"还" 22
"见" 21
"上" 20
"之" 20
"无" 20
"因" 19
"自" 19
"就" 18
"戏" 18
"一个" 17
"想" 17
"湘云" 16
"凤" 15
"好" 15
"点" 15
"儿" 14
"那" 14
"所" 13
"林" 13
"要" 13
"什么" 12
"他们" 12
"出来" 12
"原" 12
"叫" 12
"妹妹" 12
"姐" 12
"此" 12
"罢" 12
"至" 12
"问" 12
"为" 11
"再" 11
"写" 11
"呢" 11
"命" 11
"喜" 11
"回" 11
"大" 11
"大家" 11
"恼" 11
"等" 11
"自己" 11
"这个" 11
"下" 10
"亦" 10
"出" 10
"将" 10
"心" 10
"比" 10
"话" 10
"会" 9
"偈" 9
"忙" 9
"念" 9
"没" 9
"灯" 9
"物" 9
"生日" 9
"知" 9
"袭" 9
"云" 8
"何" 8
"倒" 8
"姊妹" 8
"并" 8
"得" 8
"拿" 8
"时" 8
"爱" 8
"证" 8
"起来" 8
"酒" 8
"二" 7
"众人" 7
"你们" 7
"太监" 7
"小" 7
"房" 7
"方" 7
"春" 7
"热闹" 7
"然后" 7
"皆" 7
"给" 7
"而" 7
"言" 7
"谁" 7
"过" 7
"一出" 6
"三" 6
"个" 6
"们" 6
"别" 6
"前" 6
"已" 6
"当" 6
"怕" 6
"成" 6
"我们" 6
"敢" 6
"散" 6
"知道" 6
"者" 6
"能" 6
"若" 6
"虽" 6
"语" 6
"一席" 5
"不肯" 5
"不能" 5
"中" 5
"冷笑" 5
"到" 5
"却" 5
"取乐" 5
"口" 5
"只得" 5
"史" 5
"和" 5
"头" 5
"如" 5
"如今" 5
"娘娘" 5
"子" 5
"寻" 5
"小姐" 5
"得罪" 5
"怎么" 5
"悟" 5
"惜" 5
"探" 5
"方才" 5
"李" 5
"毕" 5
"环" 5
"琏" 5
"甚" 5
"薛" 5
"说道" 5
"迎春" 5
"这些" 5
"这里" 5
"送" 5
"那里" 5
"随" 5
"顽" 5
"不知" 4
"不过" 4
"且" 4
"东西" 4
"两个" 4
"为什么" 4
"乐" 4
"于" 4
"些" 4
"今日" 4
"使" 4
"兰" 4
"内" 4
"则" 4
"制" 4
"反" 4
"取笑" 4
"只见" 4
"可" 4
"吃" 4
"告诉" 4
"回去" 4
"坐" 4
"婆娘" 4
"定" 4
"宫" 4
"岂" 4
"巴" 4
"床" 4
"性" 4
"总" 4
"才" 4
"故" 4
"既" 4
"更" 4
"朝" 4
