"词语" "次数"
"了" 111
"的" 64
"贾" 55
"宝玉" 54
"不" 51
"你" 46
"在" 41
"道" 41
"是" 40
"去" 35
"我" 35
"来" 30
"人" 29
"这" 29
"笑" 28
"便" 27
"听" 26
"他" 25
"又" 25
"上" 24
"着" 23
"那" 22
"好" 21
"也" 20
"说" 20
"政" 19
"有" 19
"玉" 19
"见" 19
"一" 18
"叫" 18
"花" 18
"黛" 18
"事" 16
"只" 16
"夫人" 16
"想" 16
"正" 16
"住" 15
"儿" 15
"到" 15
"林" 15
"王" 15
"琏" 14
"看" 14
"凤" 13
"就" 13
"把" 13
"自" 13
"进去" 13
"呢" 12
"命" 12
"中" 11
"之" 11
"春" 11
"都" 11
"个" 10
"书" 10
"心" 10
"等" 10
"一面" 9
"吃" 9
"因" 9
"罢" 9
"走" 9
"里" 9
"下" 8
"作" 8
"内" 8
"再" 8
"回" 8
"大" 8
"姐" 8
"拿" 8
"母" 8
"要" 8
"诗" 8
"还" 8
"似" 7
"园" 7
"坐" 7
"头" 7
"将" 7
"小" 7
"忽" 7
"若" 7
"落" 7
"袭" 7
"说道" 7
"过" 7
"那里" 7
"且" 6
"两个" 6
"什么" 6
"件" 6
"会" 6
"依" 6
"倒" 6
"出来" 6
"即" 6
"却" 6
"只见" 6
"可" 6
"吩咐" 6
"告诉" 6
"和" 6
"大观园" 6
"如" 6
"字" 6
"自己" 6
"至" 6
"话" 6
"起" 6
"这个" 6
"进" 6
"金" 6
"香" 6
"不觉" 5
"不过" 5
"丫头" 5
"为" 5
"云" 5
"前" 5
"原来" 5
"句" 5
"只得" 5
"唤" 5
"如今" 5
"姊妹" 5
"带" 5
"房" 5
"收拾" 5
"无" 5
"日" 5
"时" 5
"月" 5
"登时" 5
"真" 5
"知" 5
"石" 5
"管" 5
"红" 5
"绣" 5
"芹" 5
"记" 5
"这些" 5
"这样" 5
"这里" 5
"一个" 4
"一处" 4
"与" 4
"些" 4
"们" 4
"出去" 4
"别" 4
"十二个" 4
"发" 4
"只管" 4
"后" 4
"唱" 4
"喜" 4
"姐儿" 4
"娘娘" 4
"嬷嬷" 4
"子" 4
"完" 4
"得" 4
"愁" 4
"戏" 4
"扫" 4
"扭" 4
"拉" 4
"探" 4
"撂" 4
"放" 4
"槛" 4
"毕" 4
"水" 4
"水流" 4
"满" 4
"爱" 4
"用" 4
"睡" 4
"竟" 4
"答应" 4
"老" 4
"老太太" 4
"词" 4
"钏" 4
"闷" 4
"院" 4
"饭" 4
"一块" 3
"一声" 3
"一把" 3
"一日" 3
"一时" 3
"不可" 3
"两句" 3
"丫鬟" 3
"主意" 3
"他们" 3
"儿子" 3
"几首" 3
"出" 3
"各处" 3
"同" 3
"和尚" 3
"因此" 3
"国" 3
"夜" 3
"好生" 3
"妹妹" 3
"守" 3
"居住" 3
"已" 3
"并" 3
"底下" 3
"庙" 3
"府" 3
"开" 3
"弄" 3
"往" 3
"心里" 3
"忙" 3
"快" 3
"惜" 3
"想起" 3
"或" 3
"手" 3
"才" 3
"打发" 3
"改" 3
"教" 3
"敢" 3
"明" 3
"明儿" 3
"曲" 3
"更" 3
"曾" 3
"柳" 3
"梦" 3
"楼" 3
"欺负" 3
"氏" 3
"求" 3
"烟" 3
"环" 3
"珍" 3
"盘算" 3
"知道" 3
"神" 3
"禁" 3
"站" 3
"细" 3
"老爷" 3
"腮" 3
"艳" 3
"芳" 3
"茗" 3
"荣" 3
"衾" 3
"读书" 3
"谁" 3
"谕" 3
"起来" 3
"跟前" 3
