"词语" "次数"
"了" 209
"的" 160
"我" 117
"你" 106
"不" 97
"贾" 94
"是" 87
"来" 81
"他" 79
"说" 74
"芸" 68
"道" 68
"便" 67
"去" 61
"着" 60
"儿" 49
"也" 47
"这" 47
"那" 46
"有" 44
"二" 42
"在" 42
"见" 42
"人" 41
"宝玉" 40
"就" 37
"笑" 32
"倒" 30
"只" 30
"上" 29
"叫" 29
"一" 28
"又" 28
"要" 28
"好" 26
"还" 26
"里" 25
"呢" 24
"个" 23
"吃" 23
"想" 22
"问" 22
"事" 21
"什么" 21
"听" 21
"一面" 20
"到" 20
"话" 20
"走" 20
"丫头" 19
"子" 19
"等" 19
"往" 18
"看" 18
"那里" 18
"婶子" 17
"家" 17
"都" 17
"一个" 16
"倪" 16
"因" 16
"把" 16
"爷" 16
"银子" 16
"下" 15
"凤" 15
"出" 15
"回" 15
"姐" 15
"早" 15
"正" 15
"给" 15
"茶" 15
"坐" 14
"房" 14
"没" 14
"玉" 14
"红" 14
"过" 14
"和" 13
"大" 13
"罢" 13
"这个" 13
"再" 12
"夫人" 12
"我们" 12
"明儿" 12
"琏" 12
"们" 11
"会" 11
"先" 11
"出来" 11
"告诉" 11
"小" 11
"找" 11
"拿" 11
"母" 11
"母亲" 11
"送" 11
"他们" 10
"带" 10
"自" 10
"说道" 10
"这里" 10
"进来" 10
"邢" 10
"香" 10
"买" 9
"从" 9
"作" 9
"你们" 9
"前" 9
"卜" 9
"却" 9
"心" 9
"提" 9
"求" 9
"至" 9
"舅舅" 9
"起" 9
"饭" 9
"与" 8
"世" 8
"两个" 8
"些" 8
"仁" 8
"别" 8
"原来" 8
"叔叔" 8
"只见" 8
"得" 8
"忙" 8
"怎么" 8
"才" 8
"方" 8
"既" 8
"时" 8
"秋" 8
"纹" 8
"若" 8
"茗" 8
"说话" 8
"且" 7
"东西" 7
"今儿" 7
"内" 7
"后" 7
"如今" 7
"屋里" 7
"忽" 7
"接" 7
"昨" 7
"现" 7
"知" 7
"衣服" 7
"袭" 7
"请" 7
"起来" 7
"过来" 7
"这些" 7
"钱" 7
"银" 7
"领" 7
"一边" 6
"交" 6
"信" 6
"利钱" 6
"只得" 6
"听见" 6
"回来" 6
"将" 6
"小厮" 6
"开" 6
"怕" 6
"打" 6
"替" 6
"林" 6
"水" 6
"没有" 6
"派" 6
"生" 6
"用" 6
"穿" 6
"竟" 6
"被" 6
"这样" 6
"进去" 6
"那边" 6
"黛" 6
"下来" 5
"不在话下" 5
"不知" 5
"事情" 5
"低" 5
"住" 5
"使" 5
"借" 5
"儿子" 5
"写" 5
"几个" 5
"别人" 5
"可" 5
"命" 5
"唬" 5
"回家" 5
"外" 5
"姐姐" 5
"安" 5
"宝" 5
"府" 5
"廊" 5
"弄" 5
"心中" 5
"打听" 5
"放" 5
"果然" 5
"毕" 5
"混" 5
"痕" 5
"碧" 5
"脸" 5
"跳" 5
"车" 5
"铺" 5
"高" 5
"一句" 4
"不过" 4
"中" 4
"书房" 4
"亏" 4
"冷笑" 4
"劝" 4
"叔" 4
"只管" 4
"同" 4
"向" 4
"多" 4
"字" 4
"完" 4
"寻" 4
"工夫" 4
"径" 4
"怎么样" 4
"拉" 4
"按" 4
"晚上" 4
"曾" 4
"烟" 4
"烟道" 4
"王" 4
"玩" 4
"知道" 4
"碰" 4
"管" 4
"结" 4
"老" 4
"菱" 4
"西" 4
"让" 4
"请安" 4
"谁" 4
"赦" 4
"身上" 4
"这话" 4
"进" 4
"连" 4
"醉" 4
"闷" 4
"难道" 4
"面" 4
"鸳鸯" 4
"一件" 3
"一同" 3
"一头" 3
"一早" 3
"三" 3
"不如" 3
"不妨" 3
"不成" 3
"不用" 3
"不觉" 3
"东" 3
"两句" 3
"之" 3
"今日" 3
"件" 3
"但" 3
"何" 3
"偏" 3
"催" 3
"兰" 3
"出去" 3
"分" 3
"加倍" 3
"北" 3
"十分" 3
"周" 3
"哥" 3
"唤" 3
"喜" 3
"回去" 3
"回头" 3
"因此" 3
"国" 3
"大家" 3
"奶奶" 3
"姊妹" 3
"姑娘" 3
"娘子" 3
"嬷嬷" 3
"对" 3
"已" 3
"帐" 3
"干净" 3
"怪" 3
"总" 3
"意思" 3
"成" 3
"手" 3
"手帕" 3
"扫" 3
"挑" 3
"换" 3
"撒谎" 3
"收" 3
"收拾" 3
"敢" 3
"散" 3
"数" 3
"方才" 3
"无" 3
"旧" 3
"时候" 3
"明日" 3
"有人" 3
"未" 3
"次日" 3
"欢喜" 3
"正是" 3
"比" 3
"泼皮" 3
"牌" 3
"环" 3
"相与" 3
"睡" 3
"瞧" 3
"票" 3
"立" 3
"站" 3
"米" 3
"老二" 3
"自己" 3
"舅" 3
"花" 3
"荣" 3
"虽然" 3
"衣裳" 3
"认" 3
"认得" 3
"该" 3
"象" 3
"货" 3
"赊" 3
"赊欠" 3
"起身" 3
"趔趄" 3
"跑" 3
"进入" 3
"递" 3
"那个" 3
"醉汉" 3
"铺子" 3
"长" 3
"门" 3
"问道" 3
"静" 3
"香料" 3
"骂" 3
"黑" 3
"一声" 2
"一日" 2
"一点儿" 2
"一遭" 2
"一里" 2
"上来" 2
"上马" 2
"不大" 2
"不得" 2
"不能" 2
"专" 2
"两" 2
"个人" 2
"为" 2
"主意" 2
"事儿" 2
"云" 2
