"词语" "次数"
"了" 201
"的" 137
"不" 85
"他" 69
"道" 67
"你" 62
"来" 61
"是" 58
"人" 57
"我" 57
"也" 55
"便" 55
"说" 54
"又" 51
"宝玉" 51
"着" 51
"有" 39
"在" 38
"去" 37
"一" 36
"那" 36
"上" 33
"见" 33
"都" 33
"只" 31
"还" 31
"这" 30
"王夫人" 29
"就" 28
"林黛玉" 26
"笑" 26
"好" 25
"贾母" 25
"赵姨娘" 24
"儿" 23
"倒" 22
"看" 22
"马道婆" 22
"要" 20
"叫" 19
"那里" 19
"得" 18
"听" 17
"把" 17
"个" 16
"二" 16
"些" 16
"凤姐" 16
"向" 16
"呢" 16
"正" 16
"等" 16
"里" 16
"只见" 15
"说道" 15
"吃" 14
"罢" 14
"若" 14
"一面" 13
"走" 13
"问" 13
"下" 12
"两个" 12
"命" 12
"烫" 12
"话" 12
"什么" 11
"你们" 11
"可" 11
"忙" 11
"我们" 11
"无" 11
"没" 11
"贾政" 11
"贾环" 11
"一声" 10
"丫头" 10
"内" 10
"到" 10
"和" 10
"将" 10
"心" 10
"怎么" 10
"玉" 10
"红" 10
"送" 10
"一回" 9
"一时" 9
"与" 9
"出" 9
"因" 9
"多" 9
"大" 9
"如今" 9
"子" 9
"家" 9
"房" 9
"拿" 9
"知道" 9
"们" 8
"出去" 8
"坐" 8
"宝钗" 8
"时" 8
"起来" 8
"过" 8
"进来" 8
"闷" 8
"骂" 8
"一个" 7
"不知" 7
"中" 7
"众人" 7
"出来" 7
"别" 7
"听说" 7
"哭" 7
"唬" 7
"如此" 7
"并" 7
"彩霞" 7
"拉" 7
"敢" 7
"替" 7
"死" 7
"水" 7
"油" 7
"用" 7
"自" 7
"自己" 7
"菩萨" 7
"请" 7
"这个" 7
"这些" 7
"这里" 7
"闹" 7
"作" 6
"做" 6
"再" 6
"取" 6
"口" 6
"怕" 6
"打发" 6
"方" 6
"灯" 6
"瞧" 6
"给" 6
"脸" 6
"至" 6
"舍" 6
"茶" 6
"被" 6
"袭人" 6
"说话" 6
"起" 6
"长" 6
"一般" 5
"之" 5
"他们" 5
"僧" 5
"先" 5
"别人" 5
"口气" 5
"回" 5
"回来" 5
"如" 5
"如何" 5
"小" 5
"带" 5
"或" 5
"手" 5
"打" 5
"李宫裁" 5
"没有" 5
"瞧瞧" 5
"脸上" 5
"谁" 5
"贾赦" 5
"这样" 5
"邪祟" 5
"阿弥陀佛" 5
"鞋" 5
"一天" 4
"不过" 4
"事" 4
"人口" 4
"住" 4
"使" 4
"供奉" 4
"几个" 4
"医治" 4
"却" 4
"原来" 4
"各" 4
"哥" 4
"因此" 4
"地" 4
"头" 4
"媳妇" 4
"已" 4
"往" 4
"心中" 4
"念" 4
"忽" 4
"恐" 4
"慌" 4
"持" 4
"更" 4
"有的" 4
"果然" 4
"欠" 4
"次日" 4
"比" 4
"气" 4
"生" 4
"疼" 4
"看看" 4
"眼" 4
"素日" 4
"薛姨妈" 4
"虽" 4
"言" 4
"谢" 4
"贾芸" 4
"赶" 4
"越发" 4
"跟" 4
"跳" 4
"还有" 4
"这话" 4
"递" 4
"那时" 4
"闻" 4
"难道" 4
"一口" 3
"一句" 3
"一日" 3
"一齐" 3
"上来" 3
"不拘" 3
"不能" 3
"世" 3
"东西" 3
"两" 3
"为" 3
"了不得" 3
"五斤" 3
"今" 3
"今儿" 3
"众" 3
"似" 3
"何" 3
"写" 3
"凤" 3
"凭" 3
"出神" 3
"前" 3
"半晌" 3
"只管" 3
"可是" 3
"合" 3
"啐" 3
"善" 3
"回头" 3
"围" 3
"声" 3
"外" 3
"契" 3
"奶奶" 3
"姑娘" 3
"安" 3
"完" 3
"家私" 3
"尝" 3
"平儿" 3
"床" 3
"开" 3
"弄" 3
"待" 3
"心里" 3
"快" 3
"怎么样" 3
"急" 3
"总" 3
"悬" 3
"想" 3
"成" 3
"房门" 3
"手里" 3
"才" 3
"抬" 3
"指" 3
"推" 3
"搬" 3
"收" 3
"收拾" 3
"效验" 3
"数" 3
"日" 3
"明儿" 3
"昨" 3
"暗" 3
"望" 3
"林" 3
"样" 3
"棺椁" 3
"此时" 3
"求" 3
"洗" 3
"满" 3
"灵验" 3
"炕" 3
"照" 3
"熬" 3
"狗" 3
"理" 3
"理论" 3
"百般" 3
"真切" 3
"眼睛" 3
"神" 3
"离" 3
"竟" 3
"符" 3
"答理" 3
"算计" 3
"能" 3
"花" 3
"药" 3
"薛宝钗" 3
"觉" 3
"让" 3
"该" 3
"语" 3
"诵" 3
"诸" 3
"费" 3
"贾" 3
"身" 3
"身上" 3
"过来" 3
"进" 3
"退" 3
"遮" 3
"邢夫人" 3
"那些" 3
"配" 3
"钱" 3
"银子" 3
"门" 3
"问道" 3
"除" 3
"零碎" 3
"鬼" 3
"鸡" 3
"一下" 2
"一件" 2
"一会" 2
"一同" 2
"一块" 2
"一处" 2
"一夜" 2
"一斤" 2
"一顿" 2
"上去" 2
"下来" 2
"不利" 2
"不在话下" 2
"不大" 2
"不妨" 2
"不得" 2
"不必" 2
"且" 2
"两块" 2
"丫鬟" 2
"主" 2
"之内" 2
"亦" 2
"亲身" 2
"人学" 2
"人家" 2
"件" 2
"会" 2
"会意" 2
"位" 2
"低" 2
"佛法" 2
"你家" 2
"供" 2
"侯" 2
"信步" 2
"倚" 2
"偏" 2
"像" 2
"光" 2
"光阴" 2
"养" 2
"几句" 2
"刀" 2
"则" 2
"利害" 2
"剪" 2
"力量" 2
"功德" 2
"动" 2
"十分" 2
"卧室" 2
"却说" 2
"厌" 2
"厌恶" 2
"原" 2
"发" 2
"受" 2
"受罪" 2
"只得" 2
"只是" 2
"可笑" 2
"叹" 2
"同" 2
"后" 2
"听见" 2
"和尚" 2
"咬" 2
"哟" 2
"唪" 2
"喷壶" 2
"嗳" 2
"嘻" 2
"嚷" 2
"四十八斤" 2
"园" 2
"园内" 2
"堪" 2
"外间" 2
"多谢" 2
"大凡" 2
"天翻地覆" 2
"太太" 2
"夺" 2
"好处" 2
"好歹" 2
"妙" 2
"姐儿" 2
"姐姐" 2
"娘儿们" 2
"婆" 2
"婆娘" 2
"嫌" 2
"安生" 2
"客" 2
"寻" 2
"小儿" 2
"小心" 2
"少不得" 2
"屋里" 2
"展" 2
"左边" 2
"己" 2
"希" 2
"帘子" 2
"常" 2
"干" 2
"底下" 2
"庙" 2
"忘" 2
"怎" 2
"怎样" 2
"恨" 2
"恶" 2
"悄悄的" 2
"愿" 2
"戳" 2
"扫地" 2
"抬头" 2
"指头" 2
"挑" 2
"挽" 2
"掏" 2
"掖" 2
"提" 2
"摇手" 2
"故" 2
"故意" 2
"效" 2
"教" 2
"教导" 2
"敷" 2
"方才" 2
"既" 2
"早" 2
"早已" 2
"时常" 2
"明" 2
"明日" 2
"晚" 2
"有些" 2
"有人" 2
"服" 2
"杀" 2
"果真" 2
"柳" 2
"梦" 2
"梯" 2
"梳洗" 2
"模样" 2
"每月" 2
"毕" 2
"没什么" 2
"法子" 2
"泪" 2
"活" 2
"浑身" 2
"海" 2
"满头" 2
"满脸" 2
"潇湘馆" 2
"灾" 2
"点" 2
"点头" 2
"然后" 2
"爱" 2
"物" 2
"独" 2
"王子腾" 2
"王子腾夫人" 2
"环" 2
"甚" 2
"由" 2
"画" 2
"略" 2
"病" 2
"癖性" 2
"相" 2
"睡" 2
"破" 2
"站" 2
"管" 2
"米汤" 2
"糊涂" 2
"纸人" 2
"罪过" 2
"老太太" 2
"者" 2
"肯" 2
"胆" 2
"脖子" 2
"舌" 2
"茶叶" 2
"荐" 2
"薛蟠" 2
"虽然" 2
"衣" 2
"衣服" 2
"觅" 2
"角" 2
"讨" 2
"诙谐" 2
"诰" 2
"说笑" 2
"谁知" 2
"调唆" 2
"象" 2
"贫嘴" 2
"贾珍" 2
"贾琏" 2
"赵" 2
"趣" 2
"足" 2
"跤" 2
"过去" 2
"这么" 2
"连" 2
"连忙" 2
"遇见" 2
"道人" 2
"道理" 2
"那个" 2
"酒" 2
"醒" 2
"长官" 2
"随" 2
"面" 2
"颂" 2
"颜色" 2
"香油" 2
"香烛" 2
"高" 2
"鼻子" 2
"一两日" 1
"一分" 1
"一则" 1
"一双" 1
"一叠" 1
"一场" 1
"一堆" 1
"一头" 1
"一家子" 1
"一并" 1
"一把" 1
"一条" 1
"一株" 1
"一步" 1
"一溜" 1
"一点" 1
"一盏" 1
"一眼" 1
"一站" 1
"一等" 1
"一脸" 1
"七" 1
"七斤" 1
"三" 1
"三个" 1
"三十三日" 1
"三四尺" 1
"三四盏" 1
"三斤" 1
"三日" 1
"三步" 1
"三百余串" 1
"上上下下" 1
"上供" 1
"上房" 1
"上面" 1
"下帖" 1
"下手" 1
"下流" 1
"不一" 1
"不但" 1
"不可" 1
"不堪" 1
"不好" 1
"不如" 1
