"词语" "次数"
"了" 196
"的" 125
"道" 97
"我" 89
"他" 72
"着" 72
"你" 70
"宝玉" 70
"是" 70
"说" 69
"来" 65
"不" 59
"也" 48
"去" 48
"在" 45
"笑" 45
"那" 36
"又" 35
"便" 33
"红" 33
"见" 33
"好" 30
"玉" 29
"一" 28
"就" 27
"听" 26
"儿" 25
"贾芸" 25
"一面" 24
"上" 23
"叫" 23
"只" 22
"只见" 22
"呢" 22
"这" 22
"看" 20
"什么" 19
"有" 19
"都" 19
"倒" 18
"子" 18
"薛蟠" 18
"要" 18
"进来" 18
"人" 17
"吃" 17
"罢" 16
"走" 16
"问" 16
"坐" 15
"坠儿" 15
"把" 15
"还" 15
"下" 14
"大" 14
"正" 14
"个" 13
"等" 13
"想" 12
"才" 12
"起来" 12
"那里" 12
"些" 11
"内" 11
"出" 11
"可" 11
"怎么" 11
"给" 11
"茶" 11
"话" 11
"说道" 11
"谁" 11
"里" 11
"佳" 10
"出来" 10
"向" 10
"拿" 10
"蕙" 10
"袭人" 10
"请" 10
"送" 10
"一个" 9
"二" 9
"作" 9
"再" 9
"冯紫英" 9
"和" 9
"家" 9
"没" 9
"自己" 9
"至" 9
"黛玉" 9
"不觉" 8
"丫头" 8
"回" 8
"回来" 8
"字" 8
"往" 8
"林黛玉" 8
"跑" 8
"这里" 8
"且" 7
"众人" 7
"会" 7
"前" 7
"因" 7
"如今" 7
"宝钗" 7
"将" 7
"小丫头" 7
"床" 7
"得" 7
"快" 7
"我们" 7
"房" 7
"手" 7
"打" 7
"敢" 7
"时" 7
"明儿" 7
"替" 7
"起" 7
"过" 7
"这么" 7
"长" 7
"一张" 6
"不知" 6
"之" 6
"依" 6
"刚" 6
"却" 6
"叔叔" 6
"取" 6
"告诉" 6
"姐姐" 6
"姑娘" 6
"完" 6
"小" 6
"心里" 6
"忙" 6
"怎么样" 6
"懒" 6
"未" 6
"气" 6
"爷" 6
"真" 6
"站" 6
"谁家" 6
"边" 6
"这个" 6
"问道" 6
"两个" 5
"事" 5
"从" 5
"他们" 5
"们" 5
"先" 5
"别" 5
"原来" 5
"当" 5
"径" 5
"心" 5
"忘" 5
"忽" 5
"找" 5
"方" 5
"晴雯" 5
"李嬷嬷" 5
"林" 5
"混" 5
"画" 5
"眼" 5
"睡觉" 5
"知" 5
"知道" 5
"穿" 5
"紫鹃" 5
"花" 5
"该" 5
"说话" 5
"进" 5
"连忙" 5
"院内" 5
"一时" 4
"不在话下" 4
"与" 4
"世" 4
"东西" 4
"两" 4
"丫鬟" 4
"中" 4
"为" 4
"乐" 4
"今儿" 4
"到底" 4
"半天" 4
"只得" 4
"同" 4
"听见" 4
"听说" 4
"命" 4
"哭" 4
"外" 4
"带" 4
"并" 4
"庚" 4
"待" 4
"怡红院" 4
"手帕" 4
"放" 4
"早" 4
"昏" 4
"昨" 4
"特" 4
"留" 4
"福" 4
"立" 4
"笔" 4
"细" 4
"脸" 4
"若" 4
"谁知" 4
"身" 4
"身上" 4
"这些" 4
"那个" 4
"门" 4
"闲" 4
"院" 4
"领" 4
"鸟" 4
"黄" 4
"一回" 3
"一块" 3
"一声" 3
"一溜" 3
"上面" 3
"不得" 3
"不过" 3
"么" 3
"书" 3
"人家" 3
"仍" 3
"但" 3
"何尝" 3
"你们" 3
"偏" 3
"写" 3
"几个" 3
"出去" 3
"出门" 3
"到" 3
"口里" 3
"只管" 3
"可气" 3
"各色" 3
"后" 3
"哄" 3
"唱" 3
"回去" 3
"声" 3
"安" 3
"客" 3
"家父" 3
"家里" 3
"小厮" 3
"彼此" 3
"心中" 3
"怕" 3
"思" 3
"怪" 3
"恼" 3
"所以" 3
"抬" 3
"拉" 3
"拣" 3
"掷" 3
"散" 3
"新鲜" 3
"样子" 3
"死" 3
"水" 3
"犹" 3
"病" 3
"睡" 3
"种树" 3
"窗外" 3
"站住" 3
"算" 3
"紫" 3
"纱窗" 3
"老人家" 3
"老太太" 3
"脚" 3
"脸上" 3
"自" 3
"芳" 3
"英" 3
"茗烟" 3
"藕" 3
"衣服" 3
"觉" 3
"让" 3
"记" 3
"越" 3
"越发" 3
"跟" 3
"辛苦" 3
"连" 3
"里头" 3
"钱" 3
"银" 3
"闻" 3
"难得" 3
"顺着" 3
"一样" 2
"一般" 2
"一阵" 2
"一齐" 2
"不幸" 2
"不许" 2
"两三个" 2
"两只" 2
"两日" 2
"主意" 2
"书房" 2
"今" 2
"众" 2
"伤" 2
"伯" 2
"住" 2
"停" 2
"冯" 2
"冷" 2
"几天" 2
"出神" 2
"初三" 2
"别的" 2
"剌" 2
"匾" 2
"原" 2
"原故" 2
"叔" 2
"可巧" 2
"可是" 2
"右" 2
"告" 2
"呜咽" 2
"呵" 2
"咕咚" 2
"哥" 2
"哥哥" 2
"嗳" 2
"嘴" 2
"四个" 2
"回头" 2
"回廊" 2
"因而" 2
"园" 2
"地" 2
"墙角" 2
"声音" 2
"处" 2
"多少" 2
"大爷" 2
"奇" 2
"奶娘" 2
"妹妹" 2
"婆" 2
"守" 2
"宝" 2
"寻" 2
"射" 2
"小小" 2
"小心" 2
"小红" 2
"少" 2
"屋里" 2
"工夫" 2
"左" 2
"希" 2
"帐" 2
"帕" 2
"席" 2
"幸" 2
"康健" 2
"开" 2
"怎" 2
"怔" 2
"恐怕" 2
"悬" 2
"情思" 2
"惊" 2
"惟有" 2
"慢慢" 2
"所" 2
"手里" 2
"打发" 2
"打听" 2
"执" 2
"折" 2
"抬头" 2
"抱" 2
"抱怨" 2
"拍" 2
"挂" 2
"挥拳" 2
"接" 2
"摆" 2
"撒" 2
"方才" 2
"无" 2
"既" 2
"暹" 2
"曲" 2
"月" 2
"有些" 2
"望" 2
"本" 2
"果" 2
"栖" 2
"森" 2
"椅子" 2
"楞" 2
"正是" 2
"歪" 2
"殷勤" 2
"每日" 2
"比" 2
"求" 2
"沁" 2
"淘气" 2
"满" 2
"演习" 2
"烟道" 2
"烦" 2
"父亲" 2
"父母" 2
"牙" 2
"猜疑" 2
"猪" 2
"理" 2
"瓜" 2
"略" 2
"看见" 2
"眼睛" 2
"睡着" 2
"碧" 2
"神魂" 2
"种" 2
"程日兴" 2
"窗" 2
"竟是" 2
"端" 2
"答应" 2
"管" 2
"绮" 2
"罗" 2
"翻身" 2
"老" 2
"而" 2
"脸面" 2
"腻" 2
"自然" 2
"舀" 2
"色" 2
"花大姐姐" 2
"茗" 2
"药" 2
"蘅芜苑" 2
"行" 2
"装" 2
"要紧" 2
"认" 2
"许多" 2
"评" 2
"谈" 2
"谢" 2
"象" 2
"贾兰" 2
"贾政" 2
"赶" 2
"转" 2
"还要" 2
"远" 2
"透" 2
"造化" 2
"逼" 2
