"词语" "次数"
"了" 180
"的" 116
"我" 96
"道" 71
"他" 60
"你" 59
"是" 58
"说" 54
"不" 53
"来" 53
"去" 51
"儿" 43
"玉" 42
"着" 42
"人" 38
"笑" 36
"就" 35
"又" 33
"红" 32
"也" 30
"听" 30
"这" 30
"奶奶" 29
"一" 27
"宝玉" 26
"在" 25
"宝" 25
"那" 25
"便" 24
"呢" 24
"好" 24
"见" 23
"春" 22
"花" 21
"还" 21
"钗" 21
"凤" 19
"林" 19
"给" 18
"姐" 16
"上" 15
"作" 15
"往" 15
"把" 15
"看" 15
"罢" 15
"二" 14
"什么" 14
"探" 14
"话" 14
"都" 14
"问" 14
"一面" 13
"只见" 13
"叫" 13
"想" 13
"拿" 13
"有" 13
"没" 13
"谁" 13
"他们" 12
"只" 12
"要" 12
"说话" 12
"说道" 12
"里" 12
"黛" 12
"丫头" 11
"到" 11
"和" 11
"大" 11
"我们" 11
"等" 11
"这里" 11
"下" 10
"中" 10
"事" 10
"再" 10
"香" 10
"个" 9
"使" 9
"倒" 9
"回来" 9
"因" 9
"子" 9
"怎么" 9
"才" 9
"李" 9
"知道" 9
"谢" 9
"过" 9
"东西" 8
"可" 8
"听说" 8
"姑娘" 8
"得" 8
"这些" 8
"不知" 7
"前" 7
"原来" 7
"听见" 7
"回" 7
"姐姐" 7
"寻" 7
"未" 7
"正" 7
"没有" 7
"知" 7
"走" 7
"跟" 7
"那里" 7
"且" 6
"之" 6
"今儿" 6
"出" 6
"出来" 6
"刚" 6
"别" 6
"只管" 6
"妈" 6
"家" 6
"将" 6
"带" 6
"平" 6
"忽" 6
"房" 6
"无" 6
"时" 6
"气" 6
"老爷" 6
"自" 6
"若" 6
"这个" 6
"亭" 5
"们" 5
"你们" 5
"坠" 5
"头" 5
"如今" 5
"妹妹" 5
"找" 5
"日" 5
"明儿" 5
"替" 5
"爷" 5
"自然" 5
"落" 5
"葬" 5
"起来" 5
"跟前" 5
"逛" 5
"钱" 5
"难" 5
"一个" 4
"一双" 4
"一回" 4
"会" 4
"似的" 4
"侬" 4
"出去" 4
"别人" 4
"发" 4
"后" 4
"向" 4
"告诉" 4
"哥哥" 4
"处" 4
"外" 4
"女儿" 4
"姊妹" 4
"完" 4
"小" 4
"山坡" 4
"干" 4
"待" 4
"怪" 4
"愿意" 4
"成" 4
"扑" 4
"拉" 4
"昨" 4
"有人" 4
"氏" 4
"泪" 4
"用" 4
"穿" 4
"管" 4
"系" 4
"绣" 4
"能" 4
"至" 4
"茶" 4
"让" 4
"该" 4
"谁知" 4
"赶" 4
"这话" 4
"进去" 4
"送" 4
"那边" 4
"门" 4
"间" 4
"鞋" 4
"顽" 4
"魂" 4
"齐全" 4
"一句" 3
"一直" 3
"一般" 3
"不见" 3
"不过" 3
"与" 3
"丢" 3
"两个" 3
"为" 3
"五" 3
"些" 3
"从" 3
"众" 3
"众人" 3
"但" 3
"倚" 3
"像" 3
"分" 3
"司" 3
"咬" 3
"咱们" 3
"哭" 3
"嗳" 3
"坐" 3
"外头" 3
"多" 3
"天" 3
"女孩子" 3
"姐儿" 3
"宫" 3
"心" 3
"心中" 3
"心里" 3
"必定" 3
"怜" 3
"性" 3
"打" 3
"打发" 3
"抱怨" 3
"抽身" 3
"拣" 3
"掩" 3
"收" 3
"放" 3
"故意" 3
"敢" 3
"方" 3
"既" 3
"明年" 3
"昨日" 3
"晴" 3
"更" 3
"朝" 3
"枝" 3
"棋" 3
"残" 3
"比" 3
"池" 3
"洒" 3
"浇" 3
"消" 3
"滴翠" 3
"爱" 3
"犹" 3
"理论" 3
"生" 3
"痴" 3
"睡觉" 3
"站" 3
"算" 3
"紫" 3
"羞" 3
"芒种" 3
"荷包" 3
"藏" 3
"袭" 3
"裁" 3
"见识" 3
"言语" 3
"认" 3
"讨" 3
"躲" 3
"边" 3
"这么" 3
"这么着" 3
"这样" 3
"迟" 3
"那些" 3
"重" 3
"锄" 3
"闷" 3
"闺" 3
"难道" 3
"雯" 3
"飘" 3
"飞" 3
"鸟" 3
"一声" 2
"一定" 2
"一对" 2
"一年" 2
"一时" 2
"一群" 2
"三" 2
"三个" 2
"上回" 2
"不便" 2
