"词语" "次数"
"了" 243
"道" 146
"我" 141
"的" 127
"不" 102
"说" 102
"宝玉" 96
"你" 90
"是" 87
"着" 71
"玉" 66
"他" 64
"笑" 61
"也" 60
"儿" 51
"来" 51
"黛" 47
"一" 44
"在" 44
"又" 43
"便" 42
"宝" 42
"呢" 41
"人" 40
"林" 38
"有" 36
"都" 36
"什么" 35
"去" 35
"就" 35
"薛" 35
"罢" 32
"上" 30
"叫" 30
"听" 30
"这" 30
"吃" 29
"蟠" 29
"只" 28
"见" 28
"说道" 28
"要" 27
"个" 25
"钗" 25
"女儿" 24
"好" 24
"那" 23
"子" 22
"拿" 21
"二" 20
"出来" 20
"只见" 20
"唱" 20
"等" 20
"还" 20
"里" 20
"一个" 19
"倒" 19
"姑娘" 19
"问" 19
"丫头" 18
"想" 18
"王" 18
"该" 18
"众人" 17
"才" 17
"到" 16
"夫人" 16
"没" 16
"因" 15
"妹妹" 15
"得" 15
"知道" 15
"话" 15
"走" 15
"之" 14
"罚" 14
"这个" 14
"那里" 14
"下" 13
"完" 13
"把" 13
"花" 13
"药" 13
"袭" 13
"起" 13
"酒" 13
"云" 12
"再" 12
"听说" 12
"怎么" 12
"自己" 12
"过" 12
"与" 11
"事" 11
"凤" 11
"大" 11
"姐姐" 11
"往" 11
"心" 11
"紫" 11
"菡" 11
"蒋" 11
"不觉" 10
"两个" 10
"冯" 10
"如今" 10
"心里" 10
"悲" 10
"愁" 10
"打" 10
"母" 10
"系" 10
"下来" 9
"住" 9
"太太" 9
"春" 9
"正" 9
"毕" 9
"看" 9
"给" 9
"英" 9
"谁" 9
"起来" 9
"饮" 9
"不过" 8
"为" 8
"今日" 8
"令" 8
"们" 8
"你们" 8
"先" 8
"向" 8
"听见" 8
"将" 8
"屋里" 8
"带" 8
"昨" 8
"贾" 8
"门" 8
"香" 8
"一句" 7
"不理" 7
"不知" 7
"会" 7
"前" 7
"句" 7
"同" 7
"喜" 7
"坐" 7
"姐" 7
"忘" 7
"忙" 7
"昨日" 7
"烟" 7
"知" 7
"红" 7
"老太太" 7
"至" 7
"茗" 7
"进来" 7
"一样" 6
"东西" 6
"乐" 6
"作" 6
"信" 6
"原故" 6
"只得" 6
"可" 6
"可巧" 6
"后" 6
"命" 6
"和" 6
"回来" 6
"头" 6
"小厮" 6
"念" 6
"所" 6
"撒谎" 6
"替" 6
"死" 6
"汗巾" 6
"没有" 6
"生" 6
"而" 6
"茶" 6
"裁" 6
"解" 6
"请" 6
"这么" 6
"这里" 6
"金" 6
"一声" 5
"一条" 5
"不得" 5
"丸" 5
"今儿" 5
"出" 5
"别" 5
"别人" 5
"叹" 5
"字" 5
"官" 5
"对" 5
"寻" 5
"小" 5
"开" 5
"很" 5
"快" 5
"怎么样" 5
"手" 5
"方" 5
"方子" 5
"无" 5
"既" 5
"时" 5
"杯" 5
"爷" 5
"独" 5
"看见" 5
"站" 5
"脸" 5
"跟" 5
"进去" 5
"递" 5
"陪" 5
"难道" 5
"饭" 5
"三" 4
"串" 4
"丸药" 4
"些" 4
"内" 4
"写" 4
"半日" 4
"只管" 4
"吃饭" 4
"名" 4
"大红" 4
"如此" 4
"宝贝" 4
"寻觅" 4
"席" 4
"干" 4
"并" 4
"归" 4
"当" 4
"怕" 4
"总" 4
"拉" 4
"摸" 4
"教训" 4
"散" 4
"斯" 4
"无可" 4
"曲" 4
"比" 4
"然后" 4
"爱" 4
"物" 4
"琪" 4
"用" 4
"真" 4
"瞧瞧" 4
"糊涂" 4
"腰" 4
"自然" 4
"誓" 4
"记" 4
"该死" 4
"越发" 4
"还有" 4
"这话" 4
"连" 4
"连忙" 4
"金刚" 4
"难" 4
"一回" 3
"一时" 3
"不成" 3
"不见" 3
"丢" 3
"两" 3
"两句" 3
"中" 3
"也罢" 3
"书房" 3
"于是" 3
"从" 3
"似" 3
"何" 3
"依" 3
"兄弟" 3
"免" 3
"凭" 3
"出去" 3
"刚" 3
"动" 3
"十" 3
"双" 3
"口里" 3
"吹" 3
"呀" 3
"呆" 3
"告诉" 3
"哥哥" 3
"喝" 3
"嘴" 3
"四" 3
"回" 3
"回头" 3
"回身" 3
"坟" 3
"声" 3
"多" 3
"大家" 3
"大爷" 3
"奶奶" 3
"姐儿" 3
"家" 3
"少不得" 3
"山坡" 3
"已" 3
"底下" 3
"当初" 3
"形容" 3
"待" 3
"忽" 3
"怔" 3
"或" 3
"所以" 3
"扇子" 3
"打发" 3
"抹" 3
"抿" 3
"拣" 3
"挂" 3
"换" 3
"接" 3
"撂" 3
"断" 3
"新" 3
"日" 3
"旧" 3
"明儿" 3
"曾" 3
"有人" 3
"有理" 3
"条" 3
"桌子" 3
"楼" 3
"正是" 3
"正经" 3
"海" 3
"混" 3
"满" 3
"滴" 3
"珍珠" 3
"理" 3
"由" 3
"画" 3
"疑" 3
"眼" 3
"眼睛" 3
"瞧" 3
"禁" 3
"空" 3
"站住" 3
"算" 3
"管" 3
"纱" 3
"罗" 3
"羞" 3
"者" 3
"自" 3
"花儿" 3
"若" 3
"褪" 3
"说话" 3
"谁知" 3
"跑" 3
"跳" 3
"身上" 3
"配" 3
"钻" 3
"银子" 3
"错" 3
"院" 3
"骨牌" 3
"一份" 2
"一点" 2
"一直" 2
"一趟" 2
"一面" 2
"万" 2
"三百六十两" 2
"不灵" 2
"且" 2
"两匹" 2
"为什么" 2
"买" 2
