"词语" "次数"
"了" 202
"的" 154
"不" 120
"我" 96
"你" 75
"也" 74
"道" 74
"来" 73
"是" 71
"去" 70
"说" 67
"他" 66
"又" 62
"着" 61
"贾母" 53
"这" 44
"人" 43
"宝玉" 42
"都" 42
"有" 38
"在" 37
"见" 36
"那" 35
"笑" 34
"便" 32
"儿" 30
"林黛玉" 29
"要" 29
"贾珍" 29
"一" 23
"只" 23
"就" 23
"张道士" 23
"忙" 23
"上" 22
"还" 22
"到" 21
"没" 21
"因" 20
"好" 20
"带" 19
"心里" 19
"罢" 19
"什么" 18
"拿" 18
"叫" 17
"看" 17
"问" 17
"出来" 16
"听" 16
"大" 16
"等" 16
"一个" 15
"下" 15
"两个" 15
"丫头" 15
"他们" 15
"倒" 15
"哥" 15
"子" 15
"想" 15
"话" 15
"们" 14
"心" 14
"老太太" 14
"个" 13
"姐儿" 13
"玉" 13
"袭人" 13
"凤" 12
"向" 12
"听说" 12
"家" 12
"方" 12
"起来" 12
"过" 12
"这个" 12
"为" 11
"之" 11
"出" 11
"知道" 11
"东西" 10
"事" 10
"二" 10
"只见" 10
"听见" 10
"哭" 10
"将" 10
"得" 10
"怎么" 10
"戏" 10
"砸" 10
"紫鹃" 10
"自己" 10
"说道" 10
"连" 10
"剪" 9
"呢" 9
"宝钗" 9
"看见" 9
"给" 9
"这里" 9
"里" 9
"上来" 8
"与" 8
"别人" 8
"前" 8
"同" 8
"命" 8
"头" 8
"孩子" 8
"才" 8
"打" 8
"病" 8
"该" 8
"跑" 8
"轿" 8
"这么" 8
"那里" 8
"作" 7
"再" 7
"凤姐" 7
"可" 7
"和" 7
"回" 7
"因此" 7
"坐" 7
"如此" 7
"小厮" 7
"心中" 7
"手" 7
"把" 7
"敢" 7
"气" 7
"用" 7
"自" 7
"贾蓉" 7
"越发" 7
"闹" 7
"一行" 6
"一面" 6
"不得" 6
"不知" 6
"且" 6
"二则" 6
"今儿" 6
"众人" 6
"住" 6
"出去" 6
"告诉" 6
"呵" 6
"多" 6
"如今" 6
"家里" 6
"小道" 6
"往" 6
"待" 6
"怕" 6
"我们" 6
"打发" 6
"托" 6
"抱怨" 6
"日" 6
"楼" 6
"正" 6
"比" 6
"王夫人" 6
"生" 6
"由" 6
"白" 6
"盘子" 6
"请" 6
"起" 6
"跟" 6
"那些" 6
