"词语" "次数"
"了" 169
"的" 85
"不" 71
"宝玉" 71
"我" 69
"道" 66
"是" 63
"又" 48
"着" 48
"人" 43
"也" 42
"你" 41
"来" 39
"笑" 39
"说" 38
"儿" 35
"他" 33
"玉" 32
"去" 31
"便" 30
"一" 28
"黛" 28
"林" 27
"见" 27
"好" 26
"要" 26
"在" 25
"宝" 24
"这" 24
"只" 23
"那" 22
"就" 20
"看" 20
"叫" 19
"一面" 18
"子" 18
"有" 18
"个" 17
"倒" 17
"上" 16
"大" 15
"袭" 15
"还" 15
"都" 15
"金" 15
"钏" 15
"钗" 15
"什么" 14
"只见" 14
"想" 14
"下" 13
"他们" 13
"再" 13
"听" 13
"因" 13
"自己" 13
"之" 12
"没" 12
"姑娘" 11
"得" 11
"把" 11
"知道" 11
"话" 11
"会" 10
"到" 10
"呢" 10
"女孩子" 10
"姐姐" 10
"心里" 10
"用" 10
"花" 10
"踢" 10
"丫头" 9
"住" 9
"夫人" 9
"开" 9
"忙" 9
"王" 9
"画" 9
"一个" 8
"凤" 8
"哭" 8
"小" 8
"当" 8
"手" 8
"才" 8
"打" 8
"谁" 8
"那里" 8
"门" 8
"一声" 7
"事" 7
"二" 7
"些" 7
"们" 7
"作" 7
"可" 7
"向" 7
"哟" 7
"嗳" 7
"姐" 7
"拿" 7
"气" 7
"眼" 7
"身上" 7
"过" 7
"两个" 6
"你们" 6
"出来" 6
"听见" 6
"唬" 6
"地" 6
"头" 6
"字" 6
"将" 6
"心" 6
"怎么" 6
"悄悄的" 6
"正" 6
"知" 6
"紫" 6
"自" 6
"走" 6
"起" 6
"起来" 6
"跟前" 6
"这么" 6
"里" 6
"雨" 6
"骂" 6
"一下" 5
"一处" 5
"写" 5
"出" 5
"出去" 5
"刚" 5
"别人" 5
"却" 5
"听说" 5
"和" 5
"咱们" 5
"地下" 5
"妹妹" 5
"官" 5
"开门" 5
"往" 5
"忽" 5
"成" 5
"拉" 5
"敢" 5
"时" 5
"死" 5
"照" 5
"由" 5
"痴" 5
"等" 5
"素日" 5
"罢" 5
"蔷" 5
"说道" 5
"跟" 5
"跳" 5
"鹃" 5
"一句" 4
"不得" 4
"不曾" 4
"且" 4
"但" 4
"别" 4
"原来" 4
"只管" 4
"吃" 4
"合" 4
"同" 4
"因此" 4
"声" 4
"太太" 4
"安心" 4
"带" 4
"并" 4
"床" 4
"懒" 4
"戏" 4
"无" 4
"早" 4
"明儿" 4
"景" 4
"未" 4
"果然" 4
"母" 4
"比" 4
"没有" 4
"泪" 4
"热" 4
"爷" 4
"登时" 4
"睁" 4
"瞧瞧" 4
"簪子" 4
"红" 4
"老太太" 4
"脸" 4
"脸上" 4
"负荆请罪" 4
"越发" 4
"这个" 4
"这话" 4
"进" 4
"进来" 4
"连" 4
"造次" 4
"问" 4
"院" 4
"难道" 4
"一定" 3
"一时" 3
"不好" 3
"两句" 3
"中" 3
"为什么" 3
"仍" 3
"从" 3
"几个" 3
"前" 3
"原" 3
"发" 3
"口" 3
"口里" 3
"叹" 3
"后悔" 3
"哥哥" 3
"嘴" 3
"回" 3
"土" 3
"外" 3
"大雨" 3
"天" 3
"女子" 3
"学" 3
"完" 3
"对" 3
"帕" 3
"幸而" 3
"形" 3
"待" 3
"心中" 3
"忍" 3
"恨" 3
"恼" 3
"拌" 3
"拭" 3
"推" 3
"掩" 3
"摔" 3
"放" 3
"更" 3
"替" 3
"杨" 3
"湿" 3
"满" 3
"生分" 3
"生姜" 3
"生气" 3
"病" 3
"真" 3
"睡" 3
"肋" 3
"若" 3
"蔷薇" 3
"衣裳" 3
"讨" 3
"说合" 3
"象" 3
"贾" 3
"赔不是" 3
"跑" 3
"这里" 3
"醒" 3
"里面" 3
"靛" 3
"面" 3
"顽" 3
"颦" 3
"一口" 2
"一天" 2
"一直" 2
"一遭" 2
"不理" 2
"不知" 2
"不觉" 2
"两出" 2
"两声" 2
"为" 2
"乃" 2
"之际" 2
"亲" 2
"亲近" 2
"今" 2
"从来" 2
"伏" 2
"似的" 2
"低头" 2
"侍" 2
"偏" 2
"做" 2
"关" 2
"其意" 2
"凭" 2
"分辨" 2
"划" 2
"劝" 2
"十二个" 2
"半边" 2
"及" 2
"只顾" 2
"叫门" 2
"可以" 2
"可巧" 2
"叶" 2
"各处" 2
"告诉" 2
"和尚" 2
"哼" 2
"唰" 2
"回头" 2
"回来" 2
"回身" 2
"园" 2
"坏" 2
"坐" 2
"声音" 2
"外面" 2
"多心" 2
"奚落" 2
"好气" 2
"如" 2
"如今" 2
"如何" 2
"妃" 2
"少不得" 2
"屋里" 2
"山" 2
"岂" 2
"已" 2
"得意" 2
"心事" 2
"必定" 2
"忘" 2
"态" 2
"怎么样" 2
"怎样" 2
"怕" 2
"怡" 2
"恐" 2
"意" 2
"感" 2
"戳" 2
"所" 2
"扇子" 2
"手里" 2
"扣" 2
"抱怨" 2
"拭泪" 2
"指" 2
"指头" 2
"捉" 2
"换" 2
"提醒" 2
"搭" 2
"搭讪" 2
"故" 2
"方" 2
"方才" 2
"既" 2
"日" 2
"早已" 2
"明日" 2
"晴" 2
"有人" 2
"梦" 2
"檫" 2
"此" 2
"水" 2
"没意思" 2
"没趣" 2
"泣" 2
"派" 2
"浮躁" 2
"淋" 2
"游廊" 2
"滚" 2
"灯" 2
"熬煎" 2
"牙" 2
"环" 2
"生" 2
"疼" 2
"皆" 2
"着眼" 2
"瞧" 2
"瞪" 2
"竟是" 2
"纱" 2
"羞" 2
"耍" 2
"耳" 2
"胀" 2
"胡说" 2
"脚" 2
"腰" 2
"腿" 2
"自知" 2
"至" 2
"色" 2
"葬" 2
"虽" 2
"虽然" 2
"衫" 2
"被" 2
"规矩" 2
"觉" 2
"解" 2
"言" 2
"言语" 2
"让" 2
"许多" 2
"评" 2
"该" 2
"语" 2
"谁知" 2
"象是" 2
"赶" 2
"越" 2
"身子" 2
"辣" 2
"送" 2
"通今博古" 2
"遂" 2
"那些" 2
"重" 2
"错" 2
"长" 2
"闷" 2
"闹" 2
"闻" 2
"院内" 2
"院门" 2
"随着" 2
"隔" 2
"鸡" 2
"一下子" 1
"一串" 1
"一出" 1
"一则" 1
"一口气" 1
"一只" 1
"一回" 1
"一块" 1
"一方" 1
"一日" 1
"一溜烟" 1
"一点一" 1
"一点儿" 1
"一百遭" 1
"一眼" 1
"一肚子" 1
"一般" 1
"一言不发" 1
"一阵" 1
"七分" 1
"三" 1
"三分" 1
"三天" 1
"三日" 1
"上下" 1
"上房" 1
"上来" 1
"下作" 1
"下去" 1
"下回" 1
"下流" 1
"下雨" 1
"不但" 1
"不便" 1
"不在话下" 1
"不大" 1
"不好意思" 1
"不好过" 1
"不定" 1
"不得了" 1
"不忍" 1
"不怕" 1
"不然" 1
"不用" 1
"不肯" 1
"不能" 1
"不见" 1
"不解" 1
"不许" 1
"不论" 1
"不过" 1
"与" 1
"丑" 1
"东" 1
"东施效颦" 1
"东西" 1
"两日" 1
"两次" 1
"两遭" 1
"丰" 1
"丹" 1
"主仆" 1
"之内" 1
"乌" 1
"乜斜" 1
"乱" 1
"二则" 1
"于" 1
"云" 1
"五月" 1
"五脏" 1
"井" 1
"亦" 1
"人形" 1
"人道" 1
"仁慈" 1
"今儿" 1
"今日" 1
"从今以后" 1
"仔细" 1
"付" 1
"令" 1
"以" 1
"众" 1
"众人" 1
"伤" 1
"估" 1
"伸" 1
"伸手" 1
"似" 1
"低" 1
"体" 1
"体谅" 1
"何况" 1
"你家" 1
"使" 1
"俊秀" 1
"信" 1
"俱" 1
"倒像" 1
"倘或" 1
"借" 1
"倦" 1
"偶" 1
"像" 1
"兄弟" 1
"全" 1
"关门" 1
"其" 1
"兼" 1
"内" 1
"冰凉" 1
"冷" 1
"冷笑" 1
"净" 1
"凉" 1
"凉风" 1
"几" 1
"几万声" 1
"几十个" 1
"几句" 1
"出口" 1
"分" 1
"分解" 1
"则" 1
"利害" 1
"别的" 1
"到底" 1
"前日" 1
"剪" 1
"动" 1
"勾" 1
"十" 1
"十八笔" 1
"十分" 1
"千万" 1
"午间" 1
"半天" 1
"半截" 1
"半日" 1
"单薄" 1
"厌" 1
"厚" 1
"原有" 1
"及至" 1
"双" 1
"发晕" 1
"发落" 1
"取" 1
"取笑" 1
"受" 1
"句" 1
"可恨" 1
"可知" 1
"可笑" 1
"可谓" 1
"名字" 1
"后" 1
"后来" 1
"后面" 1
"吐" 1
"含羞" 1
"咬" 1
"咬牙" 1
"哄" 1
"响" 1
"哥" 1
"哽" 1
"唤" 1
"啐" 1
"喊" 1
"嗓子" 1
"嗽" 1
"嘴巴" 1
"嘻皮笑脸" 1
"嘻笑" 1
"噎" 1
"噙" 1
"四个" 1
"困" 1
"固然" 1
"国" 1
"坐下" 1
"坠子" 1
"埋" 1
"堵" 1
"填词" 1
"声张" 1
"处" 1
"外头" 1
"多" 1
"多事" 1
"多半" 1
"多谢" 1
"夜间" 1
"大事" 1
"大家" 1
"大观园" 1
"太" 1
"失" 1
"头儿" 1
"好些" 1
"好日子" 1
"好生" 1
"妈" 1
"姐儿" 1
"娼妇" 1
"媳妇" 1
"存" 1
"孩子" 1
"守" 1
"安稳" 1
"宋" 1
"宗" 1
"客" 1
"家" 1
"宽" 1
"小生" 1
"局外" 1
"巧" 1
"已经" 1
"带来" 1
"常" 1
"平生" 1
"年" 1
"床沿" 1
"应" 1
"底下" 1
"度" 1
"弃" 1
"弟兄" 1
"弯" 1
"当着" 1
"彩" 1
"彩云" 1
"很" 1
"得罪" 1
"心愿" 1
"必" 1
"忍痛" 1
"忠" 1
"忿" 1
"怀里" 1
"怒" 1
"思" 1
"急" 1
"性" 1
"怪不得" 1
"怯" 1
"总" 1
"恋恋不舍" 1
"恍" 1
"恩" 1
"惊动" 1
"惧" 1
"惯" 1
"想必" 1
"愧" 1
"慌" 1
"憋" 1
"憨" 1
"我们" 1
"或者" 1
"房" 1
"扇" 1
"手帕" 1
"手心" 1
"打盹" 1
"打骂" 1
"找" 1
"抓住" 1
"抠" 1
"抬" 1
"抬头" 1
"抿" 1
"担待" 1
"拉拉扯扯" 1
"拍" 1
"拍手" 1
"拙" 1
"持" 1
"挂" 1
"按" 1
"挨" 1
"挨着" 1
"挨近" 1
"捶" 1
"掉" 1
"掏" 1
"掘" 1
"探头" 1
"接" 1
"推敲" 1
"揩" 1
"搁" 1
"摆手" 1
"摘" 1
"摸" 1
"撑" 1
"撵" 1
"收" 1
"收留" 1
"改变" 1
"改口" 1
"放在" 1
"故意" 1
"教" 1
"散" 1
"数一数" 1
"敲" 1
"文官" 1
"料" 1
"新" 1
"旁人" 1
"旁边" 1
"无精打采" 1
"无耻" 1
"无限" 1
"日夜" 1
"日头" 1
"日日" 1
"旦" 1
"早饭" 1
"时兴" 1
"时节" 1
"时辰" 1
"明白" 1
"春" 1
"昨" 1
"晒" 1
"晓得" 1
"晚间" 1
"晚饭" 1
"暑天" 1
"曾" 1
"最" 1
"月" 1
"有所" 1
"未必" 1
"本" 1
"机" 1
"李逵" 1
"来到" 1
"极" 1
"枕" 1
"枝叶" 1
"架" 1
"树阴" 1
"根" 1
"榻" 1
"模样" 1
"欲" 1
"歇" 1
"止" 1
"正旦" 1
"正是" 1
"此时" 1
"此言" 1
"歪" 1
"歹" 1
"每" 1
"毒" 1
"毕" 1
"求" 1
"江" 1
"沟" 1
"洗澡" 1
"洞" 1
"津" 1
"流水" 1
"流泪" 1
"浑身" 1
"涎皮赖脸" 1
"润" 1
"淘气" 1
"滴" 1
"激" 1
"火热" 1
"热天" 1
"爷们" 1
"片" 1
"特" 1
"狠命" 1
"猜" 1
"玩笑" 1
"珠" 1
"理" 1
"甚" 1
"甜" 1
"用人" 1
"留神" 1
"疑" 1
"疑惑" 1
"痒痒" 1
"痛" 1
"痰" 1
"白" 1
"皮" 1
"盛暑" 1
"目" 1
"直" 1
"眉" 1
"看见" 1
"眼泪" 1
"眼睛" 1
"眼见" 1
"着实" 1
"睡着" 1
"瞅" 1
"碎" 1
"碗" 1
"磕" 1
"礼" 1
"神" 1
"禁" 1
"禁不住" 1
"秉" 1
"秋水" 1
"积" 1
"穗子" 1
"空" 1
"穿" 1
"穿堂" 1
"站住" 1
"竟" 1
"端" 1
"端阳节" 1
"笔" 1
"笨" 1
"第三十回" 1
"答" 1
"答应" 1
"答话" 1
"篱笆" 1
"簇新" 1
"繁茂" 1
"纤" 1
"细" 1
"细看" 1
"绡" 1
"绾" 1
"绿头鸭" 1
"缝" 1
"置身" 1
"翅膀" 1
"翻身" 1
"老" 1
"老人家" 1
"老祖宗" 1
"者" 1
"而" 1
"背" 1
"脱" 1
"脸红" 1
"脸面" 1
"脾气" 1
"腥" 1
"腮" 1
"自然" 1
"致" 1
"舌头" 1
"花架" 1
"苦" 1
"茂盛" 1
"荷包" 1
"落" 1
"薄" 1
"藏" 1
"藕" 1
"虽说" 1
"蝉" 1
"行" 1
"衣" 1
"衣服" 1
"袅袅婷婷" 1
"袖" 1
"西" 1
"觉得" 1
"角" 1
"角色" 1
"角门" 1
"认" 1
"记" 1
"论" 1
"诉" 1
"试" 1
"诗" 1
"话语" 1
"诧异" 1
"说不得" 1
"说话" 1
"诸" 1
"谅" 1
"费心" 1
"赏" 1
"赤" 1
"走过" 1
"走近" 1
"起落" 1
"趁势" 1
"跪下" 1
"蹙" 1
"蹲" 1
"身边" 1
"轻轻" 1
"辨" 1
"辱" 1
"边" 1
"这么样" 1
"这么着" 1
"这些" 1
"这时" 1
"这样" 1
"这般" 1
"进去" 1
"通达" 1
"遇见" 1
"道理" 1
"遮" 1
"避" 1
"那边" 1
"里头" 1
"里间" 1
"金簪" 1
"针线" 1
"门前" 1
"门缝" 1
