"词语" "次数"
"了" 199
"的" 135
"是" 117
"道" 113
"不" 86
"你" 80
"我" 80
"笑" 80
"也" 72
"人" 72
"来" 66
"说" 63
"宝玉" 60
"就" 58
"他" 56
"着" 47
"去" 44
"好" 42
"湘云" 39
"这" 38
"袭" 37
"又" 32
"一" 31
"儿" 29
"在" 29
"还" 28
"呢" 27
"有" 26
"只" 25
"见" 25
"那" 25
"上" 24
"听" 24
"什么" 23
"怎么" 22
"都" 22
"缕" 21
"翠" 21
"东西" 20
"晴" 20
"雯" 20
"便" 19
"没" 18
"要" 18
"玉" 17
"罢" 17
"黛" 17
"个" 16
"倒" 16
"叫" 16
"知道" 16
"阳" 16
"阴" 16
"阴阳" 16
"拿" 15
"林" 15
"自己" 15
"一个" 14
"和" 13
"宝" 13
"把" 13
"姑娘" 12
"得" 12
"我们" 12
"扇子" 12
"才" 12
"打发" 12
"王" 12
"话" 12
"一面" 11
"下" 11
"你们" 11
"可" 11
"回" 11
"因" 11
"子" 11
"将" 11
"时" 11
"洗" 11
"那里" 11
"两个" 10
"为" 10
"史" 10
"忙" 10
"想" 10
"散" 10
"糊涂" 10
"说道" 10
"起来" 10
"钗" 10
"问" 10
"丫头" 9
"二" 9
"会" 9
"作" 9
"前" 9
"吃" 9
"夫人" 9
"撕" 9
"气" 9
"爷" 9
"说话" 9
"走" 9
"起" 9
"过" 9
"们" 8
"伏" 8
"到" 8
"大家" 8
"带" 8
"手" 8
"月" 8
"瞧" 8
"等" 8
"这个" 8
"这么" 8
"连" 8
"闹" 8
"麒麟" 8
"不觉" 7
"些" 7
"侍" 7
"再" 7
"出" 7
"大" 7
"姐姐" 7
"既" 7
"看" 7
"穿" 7
"给" 7
"金" 7
"不知" 6
"事" 6
"今儿" 6
"他们" 6
"住" 6
"出去" 6
"出来" 6
"原" 6
"向" 6
"告诉" 6
"咱们" 6
"哭" 6
"坐" 6
"太太" 6
"尽" 6
"恼" 6
"打" 6
"死" 6
"母" 6
"爱" 6
"生" 6
"老太太" 6
"贾" 6
"这些" 6
"里" 6
"问道" 6
"难道" 6
"麝" 6
"一时" 5
"众人" 5
"冷笑" 5
"原来" 5
"只见" 5
"嗤" 5
"岂" 5
"开" 5
"当" 5
"往" 5
"很" 5
"无" 5
"明白" 5
"正" 5
"水" 5
"由" 5
"知" 5
"聚" 5
"脸" 5
"自" 5
"该" 5
"起身" 5
"跌" 5
"进来" 5
"那边" 5
"长" 5
"一样" 4
"不如" 4
"不用" 4
"之" 4
"何苦" 4
"使" 4
"先" 4
"别人" 4
"后" 4
"听见" 4
"周" 4
"喜" 4
"嘴" 4
"多少" 4
"家" 4
"寻" 4
"心" 4
"怎么样" 4
"懒" 4
"戒指" 4
"或" 4
"找" 4
"拉" 4
"接" 4
"早" 4
"明儿" 4
"榻" 4
"歇" 4
"比如" 4
"没有" 4
"淘气" 4
"生气" 4
"用" 4
"瞧瞧" 4
"至" 4
"花" 4
"薛" 4
"衣服" 4
"让" 4
"记" 4
"谁" 4
"越" 4
"过来" 4
"这里" 4
"送" 4
"一声" 3
"不成" 3
"不过" 3
"不配" 3
"中" 3
"争" 3
"从" 3
"众" 3
"使得" 3
"偏" 3
"兄弟" 3
"凤" 3
"分" 3
"刚" 3
"劝" 3
"原故" 3
"只得" 3
"可以" 3
"名字" 3
"吵" 3
