"词语" "次数"
"了" 100
"的" 73
"贾" 61
"不" 48
"来" 44
"他" 43
"你" 41
"我" 40
"也" 38
"是" 37
"宝玉" 36
"政" 34
"着" 30
"说" 29
"又" 27
"打" 27
"人" 26
"便" 26
"去" 24
"道" 24
"那" 24
"听" 22
"在" 21
"忙" 20
"儿" 19
"只" 19
"有" 19
"死" 17
"王" 17
"见" 16
"母" 15
"一" 14
"上" 14
"事" 14
"出来" 14
"夫人" 14
"这" 14
"哭" 13
"一面" 12
"个" 12
"小厮" 12
"快" 12
"话" 12
"里" 12
"看" 11
"要" 11
"说道" 11
"得" 10
"母亲" 10
"都" 10
"下" 9
"不知" 9
"叫" 9
"大" 9
"气" 9
"走" 9
"还" 9
"官" 8
"把" 8
"早" 8
"金" 8
"为" 7
"什么" 7
"众人" 7
"到" 7
"史官" 7
"如今" 7
"就" 7
"往" 7
"才" 7
"父亲" 7
"环" 7
"琪" 7
"生" 7
"知" 7
"罢" 7
"老爷" 7
"这样" 7
"进去" 7
"那里" 7
"钏" 7
"长" 7
"之" 6
"今日" 6
"众" 6
"倒" 6
"儿子" 6
"再" 6
"冷笑" 6
"出" 6
"只见" 6
"听见" 6
"和" 6
"回" 6
"将" 6
"岂" 6
"府" 6
"急" 6
"我们" 6
"或" 6
"拿" 6
"敢" 6
"方" 6
"无" 6
"既" 6
"没" 6
"王爷" 6
"等" 6
"自" 6
"跳" 6
"这话" 6
"连" 6
"一声" 5
"不必" 5
"不觉" 5
"与" 5
"二" 5
"井" 5
"令" 5
"们" 5
"信" 5
"先" 5
"劝" 5
"勒" 5
"却" 5
"听说" 5
"喝令" 5
"太太" 5
"好" 5
"子" 5
"心" 5
"怎么" 5
"教训" 5
"时" 5
"未" 5
"正" 5
"此时" 5
"珠" 5
"皆" 5
"知道" 5
"笑" 5
"若" 5
"袭" 5
"该" 5
"问" 5
"面" 5
"一个" 4
"下官" 4
"会" 4
"住" 4
"何" 4
"做" 4
"公子" 4
"出去" 4
"可" 4
"吩咐" 4
"呢" 4
"命" 4
"因" 4
"大人" 4
"奉" 4
"字" 4
"小" 4
"干净" 4
"开" 4
"忠顺" 4
"忽" 4
"想" 4
"房" 4
"手" 4
"找" 4
"抬" 4
"抱" 4
"有人" 4
"欲" 4
"求" 4
"生气" 4
"竟" 4
"答应" 4
"素日" 4
"茗" 4
"说话" 4
"谁" 4
"过" 4
"连忙" 4
"一句" 3
"一点" 3
"一般" 3
"不如" 3
"不曾" 3
"且" 3
"丫头" 3
"于" 3
"以" 3
"作" 3
"你们" 3
"偏" 3
"免" 3
"凤" 3
"别人" 3
"别的" 3
"动" 3
"厅" 3
"只得" 3
"唬" 3
"回去" 3
"回来" 3
"坐" 3
"夺" 3
"好端端" 3
"如" 3
"如何" 3
"完" 3
"家" 3
"对" 3
"少" 3
"带" 3
"干" 3
"必定" 3
"承" 3
"拉" 3
"政见" 3
"方才" 3
"更" 3
"板子" 3
