"词语" "次数"
"了" 179
"的" 139
"我" 103
"说" 91
"是" 82
"你" 78
"不" 70
"他" 68
"来" 58
"道" 56
"袭人" 51
"又" 49
"也" 46
"宝玉" 42
"去" 36
"着" 36
"便" 35
"人" 34
"好" 34
"就" 34
"有" 32
"话" 32
"这" 31
"见" 29
"宝钗" 28
"上" 24
"只" 24
"子" 24
"听" 23
"那" 23
"什么" 22
"儿" 22
"在" 22
"打" 21
"想" 20
"要" 20
"二" 19
"太太" 19
"王夫人" 17
"都" 17
"下" 16
"为" 16
"事" 16
"叫" 16
"因" 16
"爷" 16
"知道" 16
"罢" 16
"还" 16
"这个" 16
"一" 15
"呢" 15
"忙" 15
"薛蟠" 15
"个" 14
"之" 14
"劝" 14
"可" 14
"吃" 14
"和" 14
"心" 14
"拿" 14
"这样" 14
"出" 13
"时" 13
"晴雯" 13
"问" 13
"只见" 12
"把" 12
"说道" 12
"先" 11
"别" 11
"正" 11
"笑" 11
"走" 11
"送" 11
"闹" 11
"倒" 10
"再" 10
"没" 10
"给" 10
"他们" 9
"后" 9
"听见" 9
"回来" 9
"大" 9
"姑娘" 9
"怎么" 9
"我们" 9
"才" 9
"老爷" 9
"谁" 9
"起" 9
"过" 9
"一时" 8
"会" 8
"做" 8
"到" 8
"前" 8
"哭" 8
"心中" 8
"怕" 8
"林黛玉" 8
"气" 8
"看" 8
"睡" 8
"等" 8
"自" 8
"若" 8
"薛姨妈" 8
"进来" 8
"黛玉" 8
"一个" 7
"不知" 7
"令" 7
"倘或" 7
"如今" 7
"宝" 7
"将" 7
"急" 7
"死" 7
"母亲" 7
"里" 7
"防" 7
"一句" 6
"一面" 6
"与" 6
"从" 6
"住" 6
"出来" 6
"别人" 6
"却" 6
"只管" 6
"向" 6
"哥哥" 6
"坏" 6
"坐" 6
"帕" 6
"往" 6
"得" 6
"怨" 6
"房" 6
"手帕" 6
"拉" 6
"方" 6
"无" 6
"既" 6
"更" 6
"比" 6
"知" 6
"管" 6
"老太太" 6
"自己" 6
"起来" 6
"这话" 6
"那里" 6
"难道" 6
"不觉" 5
"且" 5
"东西" 5
"些" 5
"今儿" 5
"们" 5
"你们" 5
"内" 5
"动" 5
"听说" 5
"回" 5
"外头" 5
"大家" 5
"如此" 5
"妈" 5
"小" 5
"心里" 5
"捱" 5
"早" 5
"替" 5
"番" 5
"疼" 5
"眼" 5
"竟" 5
"素日" 5
"自然" 5
"至" 5
"这里" 5
"连" 5
"问道" 5
"香" 5
"一声" 4
"一般" 4
"一阵" 4
"不得" 4
"不过" 4
"两" 4
"众人" 4
"作" 4
"兄弟" 4
"写" 4
"咬" 4
"哟" 4
"嗳" 4
"头" 4
"如" 4
"将来" 4
"干" 4
"床" 4
"怎么样" 4
"意" 4
"感" 4
"或是" 4
"拦" 4
"旧" 4
"牙" 4
"由" 4
"白" 4
"说话" 4
"赖" 4
"这些" 4
"连忙" 4
"那些" 4
"难" 4
"骂" 4
"一半" 3
"一日" 3
"一样" 3
"不必" 3
"不怕" 3
"不能" 3
"两个" 3
"中" 3
"也罢" 3
"亏" 3
"人人" 3
"伏" 3
"但" 3
"何" 3
"侍" 3
"刚" 3
"别的" 3
"到底" 3
"半" 3
"半截" 3
"原故" 3
"反" 3
"取" 3
"可见" 3
"咽" 3
"喝" 3
"嚷" 3
"地" 3
"声" 3
"外" 3
"多" 3
"大了" 3
"妹妹" 3
"嫌" 3
"岂" 3
"已" 3
"并" 3
"并未" 3
"弄" 3
"思" 3
"悄悄的" 3
"悲" 3
"所以" 3
"提" 3
"放心" 3
"教" 3
"敷" 3
"方才" 3
"明白" 3
"有人" 3
"梦" 3
"欲" 3
"毕" 3
"沉" 3
"没事" 3
"没有" 3
"满" 3
"热" 3
"然" 3
"生" 3
"生气" 3
"用" 3
"疼痛" 3
"答应" 3
"糟踏" 3
"细心" 3
"脸" 3
"茗烟" 3
"虽然" 3
"衣" 3
"觉" 3
"谁知" 3
"象" 3
"越" 3
"越发" 3
"跟前" 3
"那个" 3
"醒" 3
"陪" 3
"露" 3
"非" 3
"顾" 3
"默默" 3
"一件" 2
"一回" 2
"一处" 2
"一家子" 2
"一生" 2
"一碗" 2
"一顿" 2
"不好" 2
"不如" 2
"不安" 2
"不成" 2
"不然" 2
"不用" 2
