"词语" "次数"
"了" 169
"的" 128
"他" 85
"不" 74
"我" 74
"是" 71
"道" 69
"说" 67
"也" 53
"来" 53
"宝玉" 51
"又" 48
"袭人" 42
"见" 40
"这" 40
"笑" 39
"你" 38
"人" 37
"去" 37
"着" 35
"就" 33
"一" 27
"在" 27
"有" 27
"便" 26
"那" 26
"好" 25
"儿" 24
"都" 24
"只" 23
"得" 23
"死" 23
"听" 22
"宝钗" 21
"话" 21
"问" 20
"忙" 19
"王夫人" 19
"还" 19
"上" 17
"倒" 17
"想" 17
"罢" 17
"要" 17
"什么" 16
"凤姐" 16
"呢" 16
"里" 16
"个" 15
"他们" 15
"叫" 15
"这个" 15
"龄官" 15
"丫头" 14
"因" 14
"坐" 14
"看" 14
"走" 14
"子" 13
"把" 13
"等" 13
"至" 13
"再" 12
"回" 12
"太太" 12
"钱" 12
"事" 11
"到" 11
"如今" 11
"雀" 11
"一个" 10
"例" 10
"林黛玉" 10
"贾蔷" 10
"送" 10
"下" 9
"且" 9
"将" 9
"房" 9
"才" 9
"没" 9
"给" 9
"起来" 9
"与" 8
"出来" 8
"告诉" 8
"弄" 8
"往" 8
"心" 8
"时" 8
"生" 8
"老太太" 8
"自" 8
"过" 8
"银子" 8
"一两" 7
"中" 7
"之" 7
"分" 7
"各" 7
"大" 7
"月" 7
"竟" 7
"自己" 7
"谈" 7
"那里" 7
"一面" 6
"不过" 6
"些" 6
"今儿" 6
"会" 6
"你们" 6
"劝" 6
"原" 6
"只见" 6
"可" 6
"吊" 6
"名" 6
"向" 6
"带" 6
"放" 6
"睡着" 6
"起" 6
"跟前" 6
"这里" 6
"连" 6
"难道" 6
"东西" 5
"两个" 5
"为" 5
"从" 5
"使" 5
"做" 5
"先" 5
"冷笑" 5
"出" 5
"出去" 5
"吃" 5
"唱" 5
"头" 5
"如此" 5
"姑娘" 5
"少" 5
"屋里" 5
"忽" 5
"怎么" 5
"所以" 5
"找" 5
"拿" 5
"方" 5
"无" 5
"正" 5
"没有" 5
"瞧" 5
"知道" 5
"红" 5
"老爷" 5
"薛姨妈" 5
"裁" 5
"该" 5
"说道" 5
"贾母" 5
"这么" 5
"这些" 5
"进来" 5
"顽" 5
"黛玉" 5
"二" 4
"于" 4
"众人" 4
"何" 4
"偏" 4
"兄弟" 4
"凤" 4
"别人" 4
"十分" 4
"半日" 4
"只得" 4
"只顾" 4
"史湘云" 4
"听见" 4
"和" 4
"回来" 4
"处" 4
"外" 4
"女儿" 4
"如何" 4
"姐儿" 4
"宝" 4
"宝官" 4
"岂" 4
"床" 4
"必定" 4
"手里" 4
"打发" 4
"抱怨" 4
"敢" 4
"果然" 4
"每月" 4
"添" 4
"湘云" 4
"热" 4
"玉钏儿" 4
"答应" 4
"若" 4
"蔷" 4
"蚊子" 4
"让" 4
"谁" 4
"进" 4
"那些" 4
"针线" 4
"错" 4
"随" 4
"一日" 3
"不得已" 3
"不必" 3
"不用" 3
"不觉" 3
"买" 3
"二两" 3
"亦" 3
"们" 3
"住" 3
"作" 3
"免" 3
"内" 3
"几个" 3
"几家" 3
"刚" 3
"别的" 3
"前" 3
"厌" 3
"后" 3
"命" 3
"嘴" 3
"地" 3
"女孩子" 3
"姨娘" 3
"将来" 3
"工夫" 3
"并" 3
"弃" 3
"强" 3
"必" 3
"怕" 3
"怪" 3
"想起" 3
"意" 3
"戏台" 3
"所" 3
"拚" 3
"按" 3
"接" 3
"提" 3
"日" 3
"明儿" 3
"景况" 3
"未" 3
"活计" 3
"猛" 3
"用" 3
"由" 3
"略" 3
"眼泪" 3
"睡觉" 3
"知" 3
