"词语" "次数"
"了" 209
"道" 143
"的" 137
"我" 124
"是" 113
"不" 80
"又" 77
"也" 76
"你" 63
"来" 62
"说" 61
"他" 58
"人" 55
"有" 54
"就" 50
"去" 46
"这" 45
"笑" 43
"都" 43
"好" 42
"宝玉" 38
"要" 38
"作" 37
"宝" 35
"便" 34
"看" 34
"着" 31
"起" 31
"那" 30
"钗" 30
"诗" 29
"个" 28
"因" 26
"你们" 24
"想" 24
"湘云" 24
"菊" 24
"还" 24
"只" 23
"得" 23
"见" 23
"叫" 22
"春" 22
"罢" 22
"一个" 21
"在" 21
"一" 20
"什么" 20
"众人" 20
"姑娘" 20
"才" 20
"李" 20
"纨" 20
"若" 20
"儿" 19
"探" 19
"玉" 19
"社" 19
"秋" 19
"袭" 19
"上" 18
"与" 18
"韵" 18
"为" 17
"二" 17
"先" 17
"送" 17
"之" 16
"再" 16
"拿" 16
"给" 16
"门" 16
"呢" 15
"子" 15
"到" 14
"和" 14
"太太" 14
"我们" 14
"出" 13
"可" 13
"等" 13
"话" 13
"黛" 13
"写" 12
"往" 12
"成" 12
"这个" 12
"那里" 12
"问" 12
"事" 11
"倒" 11
"听" 11
"大家" 11
"把" 11
"既" 11
"海棠" 11
"自" 11
"请" 11
"迎春" 11
"里" 11
"不知" 10
"他们" 10
"别" 10
"前" 10
"却" 10
"婆" 10
"字" 10
"白" 10
"纹" 10
"罚" 10
"说道" 10
"谁" 10
"一面" 9
"三" 9
"依" 9
"史" 9
"告诉" 9
"园" 9
"如今" 9
"或" 9
"晴" 9
"没" 9
"碟子" 9
"这样" 9
"限" 9
"雯" 9
"于" 8
"些" 8
"们" 8
"号" 8
"后" 8
"向" 8
"听说" 8
"多" 8
"已" 8
"忙" 8
"极" 8
"痕" 8
"盆" 8
"管" 8
"老太太" 8
"蘅" 8
"衣裳" 8
"起来" 8
"魂" 8
"不能" 7
"中" 7
"以" 7
"取" 7
"咏" 7
"咱们" 7
"处" 7
"如" 7
"如此" 7
"宋" 7
"定" 7
"小" 7
"屋里" 7
"开" 7
"忘" 7
"故" 7
"无" 7
"日" 7
"时" 7
"爷" 7
"竟" 7
"虽" 7
"诗社" 7
"该" 7
"贾" 7
"走" 7
"过" 7
"钱" 7
"香" 7
"下" 6
"且" 6
"两个" 6
"丫头" 6
"主意" 6
"会" 6
"出去" 6
"出来" 6
"原" 6
"只管" 6
"同" 6
"喜" 6
"回来" 6
"墨" 6
"如何" 6
"妙" 6
"姐姐" 6
"将" 6
"当" 6
"很" 6
"敢" 6
"方" 6
"明日" 6
"昏" 6
"更" 6
"最" 6
"月" 6
"瓶" 6
"用" 6
"知道" 6
"翠" 6
"而" 6
"自己" 6
"花" 6
"让" 6
"赏" 6
"这里" 6
"连" 6
"难" 6
"题目" 6
"一回" 5
"一样" 5
"三个" 5
"不过" 5
"东" 5
"东西" 5
"今儿" 5
"俗" 5
"兴" 5
"出题" 5
"别人" 5
"到底" 5
"商议" 5
"大" 5
"头" 5
"好歹" 5
"妹妹" 5
"完" 5
"家" 5
"巴" 5
"心" 5
"惜" 5
"新" 5
"替" 5
"有趣" 5
"林" 5
"榭" 5
"母" 5
"男" 5
"真" 5
"知" 5
"芜" 5
"花儿" 5
"菱" 5
"螃蟹" 5
"进" 5
"难道" 5
"题" 5
"一时" 4
"不得" 4
"两盆" 4
"书" 4
"使" 4
"供" 4
"偶" 4
"入" 4
"兼" 4
"内" 4
"凭" 4
"剩下" 4
"古人" 4
"只得" 4
"只见" 4
"吃" 4
"吟" 4
"喜欢" 4
"小子" 4
"尽" 4
"巧" 4
"并" 4
"弄" 4
"影" 4
"待" 4
"怎么" 4
"性" 4
"意" 4
"房" 4
"打发" 4
"接" 4
"提" 4
"收" 4
"昨日" 4
"景" 4
"服" 4
"未" 4
"桂花" 4
"梦" 4
"正" 4
"正经" 4
"比" 4
"洲" 4
"潇" 4
"爱" 4
"独" 4
"种" 4
"笔" 4
"算" 4
"自然" 4
"至" 4
"菊花" 4
"藕" 4
"西" 4
"访" 4
"这些" 4
"递" 4
"雅" 4
"雪" 4
"首" 4
"一个月" 3
"一件" 3
"一遭" 3
"一首" 3
"不可" 3
"不禁" 3
"东道" 3
"两日" 3
"两首" 3
"亦" 3
"亲" 3
"从" 3
"何" 3
"倚" 3
"偏" 3
"做" 3
"全" 3
"凑" 3
"几" 3
"前日" 3
"十个" 3
"受" 3
"可巧" 3
"名" 3
"后门" 3
"君" 3
"命" 3
"四" 3
"场" 3
"大人" 3
"太" 3
"奉" 3
"女" 3
"妈妈" 3
"姨奶奶" 3
"娣" 3
"嬷嬷" 3
"孝顺" 3
"安" 3
"客" 3
"岂" 3
"差使" 3
"干" 3
"律" 3
"必" 3
"快" 3
"怕" 3
"思" 3
"情愿" 3
"找" 3
"拍手" 3
"拟" 3
"散" 3
"方才" 3
"早" 3
"易" 3
"梧桐" 3
"此" 3
"深" 3
"添" 3
"清" 3
"湘" 3
"烬" 3
"爽" 3
"犹" 3
"皆" 3
"社长" 3
"稻" 3
"空" 3
"立" 3
"答应" 3
"结" 3
"者" 3
"芭蕉" 3
"芸" 3
"蒙" 3
"蕉" 3
"薛" 3
"虚字" 3
"虽然" 3
"言" 3
"诗人" 3
"语" 3
"赋" 3
"赞" 3
"越" 3
"越发" 3
"过于" 3
"还有" 3
"还要" 3
"这话" 3
"那些" 3
"酒" 3
"重" 3
"针" 3
"银子" 3
"难得" 3
"雨" 3
"顽" 3
"风" 3
"高兴" 3
"鹿" 3
"麝" 3
"黹" 3
"一位" 2
"一动" 2
"一句" 2
"一早" 2
"一月" 2
"一瓶" 2
"七" 2
"三元" 2
"下面" 2
"不俗" 2
"不够" 2
"不大" 2
"不成" 2
"东道主" 2
"丝" 2
"两样" 2
"丫鬟" 2
"二首" 2
"亭" 2
"亲自" 2
"今" 2
"令" 2
"以后" 2
"但" 2
"住" 2
"何不" 2
"使得" 2
"倦" 2
"公道" 2
"关" 2
"其" 2
"冰" 2
"几个" 2
"几百" 2
"几篓" 2
"刁钻古怪" 2
"分" 2
"则" 2
"初二" 2
"别致" 2
"前人" 2
"剩" 2
"十" 2
"十二" 2
"十二个" 2
"十二首" 2
"十六" 2
"半日" 2
"单" 2
"原来" 2
"及" 2
"口" 2
"句" 2
"只是" 2
"只要" 2
"可不" 2
"各" 2
"各自" 2
"合" 2
"后来" 2
"善" 2
"嘴" 2
"四个" 2
"四块" 2
"回" 2
"因为" 2
"坛" 2
"外" 2
"多心" 2
"夜" 2
"够" 2
"大爷" 2
"天" 2
"套" 2
"奶奶" 2
"好看" 2
"妃子" 2
"姨娘" 2
"娥" 2
"婷" 2
"孝心" 2
"孝敬" 2
"学" 2
"宜" 2
"家里" 2
"容" 2
"宿" 2
"富贵" 2
"封" 2
"小事" 2
"少" 2
"居士" 2
"山" 2
"已经" 2
"帘" 2
"带" 2
"应" 2
"当日" 2
"得主" 2
"心里" 2
"必要" 2
"忆" 2
"怨" 2
"恩" 2
"恩典" 2
"情" 2
"想来" 2
"想起" 2
"愁" 2
"意思" 2
"所" 2
"手里" 2
"折" 2
"抚" 2
"抬" 2
"抱怨" 2
"抽出" 2
"招" 2
"择" 2
"捧" 2
"推" 2
"掩门" 2
"掷" 2
"插" 2
"改" 2
"放" 2
"政" 2
"斋" 2
"斑竹" 2
"新巧" 2
"早已" 2
"晚" 2
"本" 2
"果" 2
"果然" 2
"案" 2
"槅" 2
"欲" 2
"气" 2
"没有" 2
"泪" 2
"洁" 2
"洒泪" 2
"洗" 2
"淡" 2
"混" 2
"灌" 2
"灯" 2
"王" 2
"玛瑙" 2
"甜香" 2
"生" 2
"画" 2
"留下" 2
"监" 2
"盛" 2
"直" 2
"相对" 2
"看见" 2
"碌" 2
"碟" 2
"碰" 2
"称呼" 2
"稿" 2
"究竟" 2
"竟是" 2
"端" 2
"第二" 2
"红" 2
"约" 2
"纸" 2
"终" 2
"缟" 2
"老农" 2
"肥" 2
"能" 2
"脯" 2
"花笺" 2
"芳" 2
"苑" 2
"苔" 2
"荔枝" 2
"落" 2
"要紧" 2
"认得" 2
"许" 2
"许多" 2
"论" 2
"评" 2
"评论" 2
"诉" 2
"试" 2
"请安" 2
"谓" 2
"谨" 2
"贴" 2
"赵" 2
"跟" 2
"踱" 2
"车" 2
"迎" 2
"进来" 2
"通共" 2
"遂" 2
"遇见" 2
"邀" 2
"里面" 2
"闷" 2
"阶" 2
"附" 2
"险" 2
"随" 2
"随便" 2
"随手" 2
"隔" 2
"露" 2
"须" 2
"预备" 2
"领" 2
"骂" 2
"鲜" 2
"黄昏" 2
"一个个" 1
"一个号" 1
"一些" 1
"一会" 1
"一共" 1
"一副" 1
"一只" 1
"一处" 1
"一寸" 1
"一对" 1
"一层" 1
"一席话" 1
"一心" 1
"一招" 1
"一挥而就" 1
"一支" 1
"一本" 1
"一枝" 1
"一点" 1
"一点儿" 1
"一片" 1
"一番" 1
"一盆" 1
"一种" 1
"一缕" 1
"一遍" 1
"一首七" 1
"七个" 1
"七节" 1
"万" 1
"万福" 1
"三分" 1
"三寸" 1
"三百" 1
"三秋" 1
"上去" 1
"上回" 1
"上成" 1
"上面" 1
"下人" 1
"下作" 1
"下回" 1
"下来" 1
"不便" 1
"不可不" 1
"不可多得" 1
"不在话下" 1
"不好" 1
"不如" 1
"不妨" 1
"不必" 1
"不拘" 1
"不服" 1
"不犯" 1
"不理" 1
"不用" 1
"不管" 1
"不肖" 1
"不肯" 1
"不要" 1
"不见" 1
"不觉" 1
"不解" 1
"不许" 1
"世面" 1
"两" 1
"两三次" 1
"两件" 1
"两位" 1
"两枝" 1
"两次" 1
"两车" 1
"个人" 1
"为主" 1
"主人" 1
"之下" 1
"之中" 1
"之间" 1
"乏" 1
"书架" 1
"买办" 1
"乱" 1
"了不得" 1
"二三" 1
"二两" 1
"二位" 1
"二十日" 1
"于是" 1
"亏" 1
"云" 1
"五个" 1
"交卷" 1
"交给" 1
"亦可" 1
"人为" 1
"人事" 1
"人家" 1
"今年" 1
"今日" 1
"从此" 1
"他家" 1
"仙" 1
"仙人" 1
"以此" 1
"件" 1
"任意" 1
"伏" 1
"优劣" 1
"伙计" 1
"伴" 1
"低" 1
"何事" 1
"何处" 1
"何尝" 1
"何必" 1
"何方" 1
"何等" 1
"何苦" 1
"余" 1
"作东" 1
"佳" 1
"侍" 1
"侯" 1
"便宜" 1
"倒好" 1
"倘" 1
"借" 1
"倩" 1
"倩影" 1
"值日" 1
"偏爱" 1
"偶然" 1
"偷" 1
"偿" 1
"催" 1
"催逼" 1
"兄" 1
"充" 1
"先后" 1
"光" 1
"光阴" 1
"八月" 1
"公" 1
"公子" 1
"公费" 1
"六" 1
"兴头" 1
"其一" 1
"其中" 1
"其间" 1
"册页" 1
"再说" 1
"冰雪" 1
"冲撞" 1
"况且" 1
"冷" 1
"冷笑" 1
"凉" 1
"凑趣" 1
"几串" 1
"几天" 1
"几斤" 1
"几日" 1
"几章" 1
"出丑" 1
"出浴" 1
"出门" 1
"分明" 1
"分解" 1
"切" 1
"刚" 1
"删改" 1
"利" 1
"别号" 1
"别提" 1
"别的" 1
"前夕" 1
"副" 1
"力量" 1
"劝" 1
"办" 1
"加" 1
"务" 1
"劳" 1
"勉强" 1
"勤谨" 1
"包" 1
"匠" 1
"匣子" 1
"区" 1
"十分" 1
"千" 1
"千万" 1
"千古" 1
"千点" 1
"午后" 1
"半" 1
"半卷" 1
"占" 1
"卧" 1
"即" 1
"却说" 1
"卷" 1
"卿" 1
"历来" 1
"压" 1
"厌" 1
"原有" 1
"原由" 1
"及至" 1
"反" 1
"叔" 1
"取乐" 1
"取笑" 1
"受用" 1
"变" 1
"变成" 1
"另" 1
"另外" 1
"叨" 1
"叩" 1
"叫好" 1
"可以" 1
"可好" 1
"可怜" 1
"可惜" 1
"可是" 1
"可见" 1
"台" 1
"叶" 1
"吃药" 1
"合意" 1
"同志" 1
"后面" 1
"吩咐" 1
"含蓄" 1
"听听" 1
"听见" 1
"启" 1
"周" 1
"周到" 1
"呸" 1
"哈" 1
"哉" 1
"哥" 1
"哥哥" 1
"哭" 1
"啼" 1
"喝" 1
"嘱" 1
"嘱咐" 1
"嘲笑" 1
"四五桌" 1
"四份" 1
"四句" 1
"四首" 1
"回复" 1
"回头" 1
"回家" 1
"回廊" 1
"因而" 1
"固然" 1
"土" 1
"地" 1
"地方" 1
"坏" 1
"坐" 1
"埋怨" 1
"堵" 1
"墙上" 1
"墙角" 1
"增" 1
"墨迹" 1
"声" 1
"处于" 1
"备" 1
"复" 1
"外头" 1
"外面" 1
"多一半" 1
"多少" 1
"多情" 1
"多手" 1
"多记" 1
"夜色" 1
"夥" 1
"大事" 1
"大会" 1
"大姑娘" 1
"大方" 1
"天下" 1
"天天" 1
"天气" 1
"夫人" 1
"夸" 1
"夹" 1
"好强" 1
"好生" 1
"好笑" 1
"妈" 1
"妙处" 1
"妥" 1
"妥当" 1
"始" 1
"始末" 1
"姐夫" 1
"姐妹" 1
"娇" 1
"娇羞" 1
"婶子" 1
"嫂" 1
"嫌" 1
"嫦娥" 1
"子弟" 1
"字帖" 1
"字样" 1
"字画" 1
"字贴" 1
"学究" 1
"孰" 1
"宁可" 1
"安歇" 1
"宗" 1
"宗祠" 1
"定于" 1
"实" 1
"实在" 1
"实字" 1
"宴" 1
"家伙" 1
"家常" 1
"家常话" 1
"容易" 1
"宾" 1
"寂寞" 1
"寄" 1
"寒" 1
"寝" 1
"对" 1
"对联" 1
"寻" 1
"封号" 1
"尊" 1
"小时候" 1
"小看" 1
"尝尝" 1
"尽情" 1
"尾" 1
"居" 1
"屉" 1
"展开" 1
"岁月" 1
"差" 1
"己" 1
"帖" 1
"帝" 1
"帮" 1
"幅" 1
"平" 1
"平生" 1
"年" 1
"年年" 1
"年轻" 1
"幽情" 1
"床" 1
"序" 1
"度" 1
"庭" 1
"廊" 1
"开端" 1
"当下" 1
"当着" 1
"当铺" 1
"录" 1
"彩" 1
"彩头" 1
"彩色" 1
"彼此" 1
"後" 1
"得罪" 1
"徘徊" 1
"心中" 1
"心肠" 1
"忍" 1
"念" 1
"念头" 1
"忽" 1
"忽然" 1
"怎样" 1
"思索" 1
"怡" 1
"急" 1
"总" 1
"恐" 1
"恐怕" 1
"恭" 1
"恭请" 1
"息" 1
"恰" 1
"恰当" 1
"悄然" 1
"患" 1
"悦" 1
"悲" 1
"惊讶" 1
"惠" 1
"感" 1
"慌慌张张" 1
"慕" 1
"懒" 1
"或者" 1
"手" 1
"打" 1
"打开" 1
"打点" 1
"打酒" 1
"托" 1
"执意" 1
"扫" 1
"扫地" 1
"技" 1
"投" 1
"抹" 1
"拈阄" 1
"拍" 1
"拘" 1
"拜" 1
"拟定" 1
"拟题" 1
"拭" 1
"指" 1
"挑" 1
"换" 1
"捷" 1
"掌" 1
"掐" 1
"推敲" 1
"掩" 1
"措词" 1
"提起" 1
"提醒" 1
"揖" 1
"揭" 1
"揭开" 1
"携手" 1
"摆" 1
"攀" 1
"攒" 1
"收拾" 1
"攻" 1
"敌" 1
"数" 1
"文" 1
"斑" 1
"斜阳" 1
"斟酌" 1
"断" 1
"新鲜" 1
"方法" 1
"旁边" 1
"无事忙" 1
"无力" 1
"无可" 1
"无奈" 1
"无聊" 1
"既然" 1
"日夜" 1
"日子" 1
"日期" 1
"日见" 1
"旧" 1
"映" 1
"春天" 1
"昨" 1
"昼" 1
"晓" 1
"普通" 1
"晶" 1
"暑热" 1
"曾" 1
"月中" 1
"月色" 1
"有些" 1
"有人" 1
"有余" 1
"有意" 1
"有所" 1
"有理" 1
"有的" 1
"有益" 1
"朝" 1
"未了" 1
"末" 1
"本性" 1
"杂" 1
"杏" 1
"村" 1
"来说" 1
"极大" 1
"枉" 1
"果子" 1
"柔" 1
"栏" 1
"栖" 1
"栗" 1
"桃" 1
"桐" 1
"梅花" 1
"梨" 1
"梳洗" 1
"棹" 1
"槛" 1
"槽" 1
"横竖" 1
"次" 1
"次序" 1
"次日" 1
"欺" 1
"正要" 1
"此事" 1
"此刻" 1
"死" 1
"残" 1
"每人" 1
"每天" 1
"每日" 1
"每月" 1
"毕" 1
"水" 1
"求生" 1
"沁" 1
"没收" 1
"没趣" 1
"泉" 1
"洞" 1
"活泼" 1
"活计" 1
"派" 1
"浅" 1
"浑厚" 1
"海棠花" 1
"消" 1
"清新" 1
"清洁" 1
"渍" 1
"湘妃竹" 1
"湘帘" 1
"溪" 1
"满" 1
"滴" 1
"滴水" 1
"漏" 1
"潮" 1
"灯草" 1
"炖" 1
"炷" 1
"点" 1
"点头" 1
"烂" 1
"烛" 1
"烦难" 1
"热闹" 1
"焉" 1
"焚香" 1
"然后" 1
"熟" 1
"父亲" 1
"牌" 1
"牙" 1
"物" 1
"牵" 1
"牵肠挂肚" 1
"特" 1
"狂喜" 1
"狗" 1
"玩" 1
"玩意" 1
"现" 1
"现成" 1
"珍重" 1
"珠" 1
"班" 1
"瓮" 1
"田" 1
"由" 1
"略" 1
"疼" 1
"病" 1
"痌" 1
"瘝" 1
"瘰" 1
"皇" 1
"盈" 1
"盏" 1
"盒子" 1
"盘桓" 1
"盘缠" 1
"盛开" 1
"相干" 1
"省事" 1
"眉开眼笑" 1
"看到" 1
"真心" 1
"眼" 1
"着呢" 1
"瞎" 1
"瞧" 1
"瞧瞧" 1
"瞻前顾后" 1
"石" 1
"砌" 1
"研" 1
"砧" 1
"破" 1
"碍" 1
"碾" 1
"神仙" 1
"福" 1
"福气" 1
"离" 1
"秋色" 1
"秤" 1
"称" 1
"空儿" 1
"穿戴" 1
"窃" 1
"窟" 1
"立定" 1
"立意" 1
"立身" 1
"竖" 1
"站" 1
"章" 1
"竹" 1
"竹子" 1
"笑话" 1
"笔墨" 1
"笔录" 1
"笛" 1
"第七" 1
"第三" 1
"第三十七回" 1
"第九" 1
"第五" 1
"第八" 1
"第六" 1
"第十第十一" 1
"第四" 1
"箱子" 1
"簪" 1
"粉" 1
"粗糙" 1
"粗细" 1
"精神" 1
"糊涂" 1
"糕" 1
"糖" 1
"系" 1
"素日" 1
"紧" 1
"紫" 1
"纵" 1
"纺" 1
"绛" 1
"绝" 1
"绢" 1
"绩" 1
