"词语" "次数"
"了" 124
"的" 68
"道" 66
"也" 47
"我" 43
"又" 40
"吃" 38
"笑" 38
"不" 37
"着" 37
"来" 36
"你" 32
"说" 32
"是" 30
"菊" 30
"贾母" 24
"这" 23
"他" 22
"有" 22
"凤姐" 19
"都" 19
"看" 18
"等" 18
"人" 17
"就" 17
"去" 16
"在" 16
"好" 16
"宝玉" 16
"一个" 15
"上" 15
"湘云" 15
"一" 14
"拿" 14
"那" 14
"众人" 13
"螃蟹" 13
"便" 12
"忙" 12
"要" 12
"鸳鸯" 12
"黛玉" 12
"作" 11
"儿" 11
"宝钗" 11
"一回" 10
"出" 10
"坐" 10
"把" 10
"让" 10
"李纨" 9
"走" 9
"还" 9
"只" 8
"可" 8
"因" 8
"大" 8
"子" 8
"下" 7
"个" 7
"二" 7
"你们" 7
"出来" 7
"听" 7
"呢" 7
"和" 7
"多" 7
"字" 7
"平儿" 7
"才" 7
"抹" 7
"水" 7
"王夫人" 7
"这样" 7
"问" 7
"什么" 6
"令" 6
"倒" 6
"写" 6
"将" 6
"斟" 6
"没" 6
"罢" 6
"至" 6
"花" 6
"诗" 6
"酒" 6
"一首" 5
"与" 5
"供" 5
"凤" 5
"勾" 5
"另" 5
"只管" 5
"叫" 5
"大家" 5
"头" 5
"奶奶" 5
"姐儿" 5
"已" 5
"我们" 5
"摆" 5
"梦" 5
"正" 5
"知" 5
"笔" 5
"簪" 5
"老太太" 5
"茶" 5
"薛姨妈" 5
"赘" 5
"起" 5
"一处" 4
"一时" 4
"一桌" 4
"一面" 4
"两个" 4
"丫头" 4
"些" 4
"先" 4
"再" 4
"冷" 4
"到底" 4
"史湘云" 4
"命" 4
"回" 4
"如今" 4
"对" 4
"小" 4
"底下" 4
"忆" 4
"怕" 4
"手" 4
"探春" 4
"放" 4
"无" 4
"杯" 4
"桂" 4
"桂花" 4
"潇湘妃子" 4
"热" 4
"琥珀" 4
"秋" 4
"竟" 4
"虽" 4
"袭人" 4
"见" 4
"谁" 4
"起来" 4
"过" 4
"送" 4
"香" 4
"高兴" 4
"三" 3
"上来" 3
"且" 3
"东西" 3
"中" 3
"为" 3
"亭子" 3
"从" 3
"们" 3
"别" 3
"原" 3
"只见" 3
"向" 3
"吟" 3
"喜" 3
"喝" 3
"回来" 3
"园" 3
"外" 3
"如此" 3
"姐姐" 3
"完" 3
"寿" 3
"山坡" 3
"已经" 3
"座" 3
"廊" 3
"开" 3
"张罗" 3
"往" 3
"径" 3
"惯" 3
"接" 3
"敢" 3
"散" 3
"明儿" 3
"替" 3
"未" 3
"极" 3
"枕霞旧友" 3
"染" 3
"桌子" 3
"洗" 3
"满" 3
"烧" 3
"烫" 3
"爱" 3
"盛" 3
"短" 3
"福" 3
"种" 3
"窝" 3
"竹桥" 3
"答应" 3
"给" 3
"老祖宗" 3
"自" 3
"菊花" 3
"藕香榭" 3
"蘅芜君" 3
"访" 3
"评" 3
"话" 3
"该" 3
"说道" 3
"请" 3
"过来" 3
"这么" 3
"这里" 3
"那边" 3
"阴" 3
"露" 3
"鬓" 3
"黄" 3
"一口" 2
"一脸" 2
"上面" 2
"下来" 2
"不及" 2
"不得" 2
"不得了" 2
"不许" 2
"两" 2
"主子" 2
"亦" 2
"今日" 2
"仍" 2
"仍旧" 2
"会" 2
"伺候" 2
"住" 2
"何处" 2
"俯" 2
"公" 2
"几句" 2
"剥" 2
"却" 2
"取" 2
"取笑" 2
"口" 2
"口齿噙香对月吟" 2
"句" 2
"叶" 2
"号" 2
"各" 2
"咏" 2
"咱们" 2
"哪" 2
"喜欢" 2
"嘱咐" 2
"回头" 2
"因为" 2
"固" 2
"圃冷斜阳忆旧游" 2
"坐位" 2
"墙上" 2
"壳" 2
"壶" 2
"复" 2
"好容易" 2
"孩子" 2
"家" 2
"家里" 2
"小丫头" 2
"岂" 2
"巾" 2
"带" 2
"席" 2
"并" 2
"应" 2
"开心" 2
"引" 2
"归" 2
"当中" 2
"影" 2
"待" 2
"很" 2
"得" 2
"念" 2
"怡红公子" 2
"恨" 2
"恼" 2
"想" 2
"成" 2
"手里" 2
"扬" 2
"抛书人对一枝秋" 2
"拣" 2
"指" 2
"接着" 2
"掰" 2
"提" 2
"撕" 2
"放在" 2
"敌" 2
"新" 2
"新奇" 2
"方才" 2
"旁边" 2
"时" 2
"枕霞阁" 2
"某人" 2
"栏杆" 2
"槛" 2
"残" 2
"没有" 2
"沾" 2
"活" 2
"清冷香中抱膝吟" 2
"湘" 2
"点子" 2
"烘" 2
"烧酒" 2
"煽" 2
"独" 2
"用" 2
"画" 2
"疼" 2
"病" 2
"看来" 2
"看看" 2
"看见" 2
"眼" 2
"破" 2
"碰" 2
"神" 2
"离" 2
"窗" 2
"站" 2
"笑笑" 2
"笑骂" 2
"第二个" 2
"算" 2
"管" 2
"箸" 2
"篱" 2
"绝" 2
"肉" 2
"自己" 2
"葛" 2
"蕉下客" 2
"蕊" 2
"讨" 2
"设" 2
"谁知" 2
"赏" 2
"越发" 2
"蹄子" 2
"边" 2
"迎春" 2
"这话" 2
"进" 2
"进入" 2
"迹" 2
"那个" 2
"那时" 2
"醋" 2
"针" 2
"钓竿" 2
"钓鱼" 2
"限" 2
"陪" 2
"难道" 2
"霜" 2
"韵" 2
"预备" 2
"题" 2
"题目" 2
"风" 2
"风炉" 2
"饮" 2
"饶" 2
"高声" 2
"一丛浅淡一丛深" 1
"一从陶令平章后" 1
"一会" 1
"一叠" 1
"一句" 1
"一只" 1
"一块" 1
"一声" 1
"一并" 1
"一张" 1
"一把" 1
"一杯" 1
"一枝" 1
"一样花开为底迟" 1
"一点儿" 1
"一番" 1
"一百首" 1
"一边" 1
"一连" 1
"一遭" 1
"一齐" 1
"万" 1
"万福" 1
"万里寒云雁阵迟" 1
"上头" 1
"下去" 1
"下回" 1
"不可" 1
