"词语" "次数"
"了" 184
"的" 143
"道" 88
"是" 73
"我" 65
"不" 61
"着" 58
"说" 58
"你" 51
"也" 49
"来" 49
"他" 48
"去" 45
"又" 43
"人" 41
"有" 38
"刘姥姥" 36
"这" 36
"都" 35
"平儿" 34
"笑" 34
"就" 32
"贾母" 29
"儿" 27
"呢" 27
"个" 26
"我们" 26
"还" 25
"那" 25
"上" 24
"忙" 24
"吃" 23
"宝玉" 23
"老太太" 23
"见" 22
"一个" 20
"奶奶" 19
"只" 17
"没" 16
"什么" 15
"们" 15
"听" 15
"好" 15
"罢" 15
"问" 15
"一" 14
"在" 14
"得" 14
"等" 14
"要" 14
"使" 13
"再" 13
"叫" 13
"姑娘" 13
"里" 13
"便" 12
"出" 12
"坐" 12
"想" 12
"二" 11
"倒" 11
"大" 11
"太太" 11
"拿" 11
"钱" 11
"下" 10
"些" 10
"你们" 10
"别" 10
"和" 10
"才" 10
"话" 10
"请" 10
"那里" 10
"袭人" 9
"过" 9
"住" 8
"到" 8
"告诉" 8
"周瑞家的" 8
"庙" 8
"看" 8
"给" 8
"若" 8
"今年" 7
"命" 7
"头" 7
"带" 7
"抽" 7
"明儿" 7
"死" 7
"爷" 7
"这样" 7
"雪" 7
"众人" 6
"作" 6
"先" 6
"只见" 6
"咱们" 6
"喝" 6
"回" 6
"因" 6
"家" 6
"屋里" 6
"心" 6
"房" 6
"李纨" 6
"正" 6
"比" 6
"福" 6
"老" 6
"茗烟" 6
"这个" 6
"这么" 6
"送" 6
"那些" 6
"两个" 5
"中" 5
"事" 5
"令" 5
"偏" 5
"像" 5
"凤丫头" 5
"出来" 5
"前" 5
"却" 5
"可" 5
"多" 5
"姐儿" 5
"子" 5
"小姐" 5
"年纪" 5
"往" 5
"把" 5
"放" 5
"生" 5
"真" 5
"知道" 5
"老爷" 5
"至" 5
"茗" 5
"虽" 5
"说道" 5
"起来" 5
"这些" 5
"一时" 4
"一般" 4
"一面" 4
"不知" 4
"不过" 4
"与" 4
"丫头" 4
"儿子" 4
"几个" 4
"凤" 4
"利钱" 4
"原" 4
"原来" 4
"可不" 4
"唬" 4
"回来" 4
"因为" 4
"地" 4
"外头" 4
"天天" 4
"小厮" 4
"并" 4
"应" 4
"当" 4
"快" 4
"怎么" 4
"成" 4
"所以" 4
"找" 4
"拉" 4
"敢" 4
"日" 4
"替" 4
"有的" 4
"村庄" 4
"板儿" 4
"柴草" 4
"玉" 4
"王夫人" 4
"病" 4
"神" 4
"站" 4
"精" 4
"让" 4
"谁" 4
"起" 4
"足" 4
"这里" 4
"钥匙" 4
"银子" 4
"一位" 3
"一杯" 3
"不相干" 3
"两" 3
"书" 3
"亲戚" 3
"今儿" 3
"何" 3
"依" 3
"做" 3
"内" 3
"名" 3
"哥" 3
"商议" 3
"喜" 3
"地名" 3
"够" 3
"大家" 3
"女" 3
"好容易" 3
"孩儿" 3
"宝钗" 3
"小" 3
"少" 3
"岂" 3
"庄" 3
"庄家" 3
"怎么样" 3
"急" 3
"打" 3
"探春" 3
"散" 3
"早" 3
"时" 3
"明白" 3
"曾" 3
"最" 3
"月" 3
"柴" 3
"烧香" 3
"爱" 3
"珠" 3
"瓜" 3
"生来" 3
"用" 3
"盒子" 3
"知" 3
"空儿" 3
"老实" 3
"自己" 3
"茶" 3
"菜" 3
"螃蟹" 3
"记得" 3
"赏" 3
"越" 3
"跟前" 3
"还要" 3
"连" 3
"那个" 3
"酒" 3
"闷" 3
"陪" 3
"顽" 3
"一口" 2
"一夜" 2
"一年" 2
"一斤" 2
"三" 2
"不如" 2
"且" 2
"东西" 2
"丫鬟" 2
"为什么" 2
"事情" 2
"他们" 2
"众" 2
"会" 2
"似" 2
"似的" 2
"佛" 2
"信" 2
"修" 2
"倒好" 2
"偷" 2
"养" 2
"冷" 2
"几天" 2
"几百" 2
"动" 2
"南" 2
"发" 2
"取笑" 2
"可惜" 2
"史" 2
"各" 2
"合" 2
"同" 2
"后" 2
"向" 2
"吟诗" 2
"听见" 2
"听说" 2
"呆" 2
"周大娘" 2
"哄" 2
"喜欢" 2
"回去" 2
"园子" 2
"地下" 2
"埂子" 2
"城" 2
"塑" 2
"大小" 2
"大爷" 2
"奇怪" 2
"如" 2
"如今" 2
"如此" 2
"妈" 2
"妹妹" 2
"姊妹" 2
"姑奶奶" 2
"姓" 2
"婆" 2
"孙子" 2
"安" 2
"客人" 2
"尝尝" 2
"己" 2
"已经" 2
"席" 2
"常" 2
"平" 2
"张材家的" 2
"彼时" 2
"径" 2
"心中" 2
"必定" 2
"念佛" 2
"忽" 2
"怕" 2
"怕人" 2
"怪" 2
"怯" 2
"悄悄" 2
"意" 2
"打发" 2
"打趣" 2
"托" 2
"投" 2
"挑" 2
"摸" 2
"攒" 2
"收拾" 2
"故事" 2
"方" 2
"早晚" 2
"晚" 2
"更" 2
"月钱" 2
"有些" 2
"有人" 2
"有趣" 2
"李氏" 2
"来说" 2
"果子" 2
"柴火" 2
"梯" 2
"榻" 2
"没有" 2
"洗" 2
"活" 2
"派" 2
"深" 2
