"词语" "次数"
"了" 231
"的" 166
"道" 159
"着" 95
"笑" 83
"说" 81
"也" 79
"不" 71
"是" 70
"贾母" 70
"鸳鸯" 62
"刘姥姥" 60
"来" 57
"我" 53
"这" 53
"都" 52
"上" 50
"有" 45
"他" 42
"又" 42
"便" 40
"吃" 39
"人" 35
"去" 35
"还" 35
"就" 34
"你" 32
"儿" 32
"在" 32
"一" 30
"好" 30
"大" 29
"众人" 27
"一个" 26
"忙" 26
"那" 26
"个" 24
"凤" 24
"呢" 24
"姐儿" 24
"们" 23
"只" 23
"听" 23
"子" 23
"要" 23
"过" 23
"拿" 21
"我们" 20
"叫" 19
"薛姨妈" 19
"见" 19
"下" 18
"没" 18
"看" 18
"等" 18
"王夫人" 17
"罢" 17
"这个" 17
"纱" 16
"凤姐" 15
"咱们" 15
"把" 15
"老太太" 15
"起来" 15
"那里" 15
"与" 14
"令" 14
"坐" 14
"带" 14
"李纨" 14
"说道" 14
"他们" 13
"倒" 13
"别" 13
"得" 13
"比" 13
"给" 13
"宝玉" 12
"里" 12
"一张" 11
"东西" 11
"作" 11
"你们" 11
"到" 11
"只见" 11
"和" 11
"因" 11
"开" 11
"拉" 11
"花" 11
"出来" 10
"命" 10
"大家" 10
"成" 10
"才" 10
"摆" 10
"走" 10
"进来" 10
"问" 10
"一面" 9
"些" 9
"先" 9
"小" 9
"已" 9
"探春" 9
"早" 9
"红" 9
"老" 9
"舡" 9
"这里" 9
"送" 9
"黛玉" 9
"上去" 8
"下来" 8
"丫头" 8
"今儿" 8
"再" 8
"听说" 8
"如今" 8
"姑娘" 8
"婆" 8
"完" 8
"宝钗" 8
"左边" 8
"放" 8
"方" 8
"用" 8
"至" 8
"茶" 8
"话" 8
"酒" 8
"预备" 8
"一副" 7
"三" 7
"丫鬟" 7
"会" 7
"住" 7
"原" 7
"姊妹" 7
"想" 7
"拣" 7
"撑" 7
"没有" 7
"画" 7
"站" 7
"箸" 7
"糊" 7
"自己" 7
"色" 7
"若" 7
"起" 7
"这样" 7
"那个" 7
"银" 7
"一杯" 6
"什么" 6
"做" 6
"内" 6
"凑" 6
"几" 6
"却" 6
"后" 6
"向" 6
"坐下" 6
"多" 6
"头" 6
"奶奶" 6
"屋子" 6
"席" 6
"并" 6
"式" 6
"往" 6
"怎么" 6
"时" 6
"板儿" 6
"正" 6
