"词语" "次数"
"了" 199
"的" 121
"是" 74
"道" 71
"他" 60
"笑" 57
"吃" 56
"来" 56
"我" 52
"姥姥" 51
"也" 49
"刘" 48
"不" 47
"这" 45
"你" 43
"说" 43
"一" 39
"便" 38
"去" 38
"玉" 38
"着" 38
"又" 37
"有" 35
"那" 34
"母" 32
"贾" 31
"就" 30
"人" 29
"妙" 27
"只" 26
"在" 25
"小" 25
"都" 25
"儿" 23
"上" 22
"众人" 22
"宝玉" 22
"忙" 22
"见" 21
"罢" 20
"要" 20
"因" 19
"与" 18
"子" 18
"杯" 18
"一面" 17
"凤" 17
"听" 17
"命" 17
"一个" 16
"茶" 16
"坐" 15
"大" 15
"酒" 15
"下" 13
"些" 13
"什么" 13
"将" 13
"我们" 13
"拿" 13
"出" 12
"好" 12
"没" 12
"过" 12
"里" 12
"再" 11
"出来" 11
"姐儿" 11
"姨妈" 11
"带" 11
"把" 11
"们" 10
"只见" 10
"婆" 10
"才" 10
"用" 10
"薛" 10
"还" 10
"这里" 10
"且" 9
"出去" 9
"到" 9
"宝" 9
"得" 9
"王" 9
"等" 9
"茄子" 9
"走" 9
"起来" 9
"黛" 9
"两个" 8
"个" 8
"喝" 8
"多" 8
"夫人" 8
"姐" 8
"想" 8
"水" 8
"花" 8
"袭" 8
"这个" 8
"这样" 8
"门" 8
"香" 8
"一杯" 7
"丫鬟" 7
"倒" 7
"内" 7
"取" 7
"向" 7
"呢" 7
"和" 7
"大家" 7
"家" 7
"往" 7
"忽" 7
"手" 7
"斟" 7
"木头" 7
"盒" 7
"看" 7
"知道" 7
"进" 7
"那里" 7
"钗" 7
"一时" 6
"丫头" 6
"二" 6
"会" 6
"你们" 6
"俗" 6
"叫" 6
"找" 6
"收" 6
"散" 6
"方" 6
"板" 6
"知" 6
"给" 6
"自己" 6
"至" 6
"觉" 6
"认得" 6
"让" 6
"递" 6
"一样" 5
"他们" 5
"佛手" 5
"别" 5
"半日" 5
"可" 5
"哄" 5
"壶" 5
"姑娘" 5
"字" 5
"干" 5
"并" 5
"床" 5
"怎么" 5
