"词语" "次数"
"了" 196
"的" 125
"不" 78
"道" 75
"我" 70
"说" 62
"来" 61
"是" 58
"着" 57
"也" 54
"你" 50
"这" 50
"他" 49
"有" 49
"又" 48
"去" 46
"贾" 41
"母" 40
"就" 38
"笑" 38
"人" 37
"都" 35
"宝玉" 34
"凤" 31
"一" 28
"二" 28
"儿" 27
"尤" 26
"氏" 26
"只" 25
"出" 24
"忙" 24
"茗" 23
"在" 22
"还" 22
"那" 22
"等" 21
"夫人" 20
"和" 18
"爷" 18
"老太太" 18
"因" 17
"便" 16
"再" 16
"子" 16
"王" 16
"上" 15
"叫" 15
"吃" 15
"大" 15
"没" 15
"问" 15
"可" 14
"听" 14
"呢" 14
"好" 14
"烟" 14
"们" 13
"命" 13
"姐" 13
"姐儿" 13
"想" 13
"见" 13
"个" 12
"今儿" 12
"回" 12
"家" 12
"里" 12
"之" 11
"倒" 11
"才" 11
"丫头" 10
"事" 10
"些" 10
"什么" 10
"他们" 10
"你们" 10
"使" 10
"出来" 10
"到" 10
"咱们" 10
"往" 10
"得" 10
"把" 10
"看" 10
"罢" 10
"若" 10
"请" 10
"送" 10
"那里" 10
"钱" 10
"一个" 9
"下" 9
"凑" 9
"几个" 9
"替" 9
"烟道" 9
"用" 9
"至" 9
"要" 9
"香" 9
"众人" 8
"作" 8
"先" 8
"回来" 8
"坐" 8
"太太" 8
"头" 8
"小" 8
"戏" 8
"我们" 8
"收" 8
"没有" 8
"高兴" 8
"一分" 7
"一面" 7
"丫鬟" 7
"为" 7
"会" 7
"别" 7
"大家" 7
"尽" 7
"平" 7
"府" 7
"怎么" 7
"拿" 7
"李" 7
"生日" 7
"袭" 7
"该" 7
"起来" 7
"过" 7
"这个" 7
"银子" 7
"马" 7
"一日" 6
"出门" 6
"分子" 6
"北" 6
"只见" 6
"听说" 6
"商议" 6
"姑娘" 6
"姑子" 6
"少" 6
"已" 6
"带" 6
"并" 6
"庵" 6
"放心" 6
"林" 6
"水仙" 6
"神" 6
"答应" 6
"纨" 6
"给" 6
"自然" 6
"花" 6
"话" 6
"赖" 6
"走" 6
"跟" 6
"这样" 6
"这里" 6
"鸳鸯" 6
"一早" 5
"不知" 5
"东西" 5
"两" 5
"两个" 5
"供" 5
"奶奶" 5
"姨妈" 5
"很" 5
"心" 5
"快" 5
"怕" 5
"打发" 5
"早已" 5
"正" 5
"知道" 5
"礼" 5
"算" 5
"虽" 5
"说道" 5
"过来" 5
"这些" 5
"邢" 5
"一时" 4
"一等" 4
"主子" 4
"乐" 4
"二十两" 4
"位" 4
"借" 4
"前" 4
"劝" 4
"半日" 4
"却" 4
"受" 4
"向" 4
"多" 4
"如何" 4
"孝" 4
"宝" 4
"将" 4
"应" 4
"当" 4
"房" 4
"打" 4
"找" 4
"接" 4
"敢" 4
"散" 4
"方" 4
"方才" 4
"既" 4
"日" 4
"早" 4
"泪" 4
"真" 4
"矮" 4
"私自" 4
"站" 4
"竟" 4
"自己" 4
"薛" 4
"谁" 4
"跟前" 4
"还有" 4
"进城" 4
"酒" 4
"顽" 4
"一班" 3
"不够" 3
"不好" 3
"不过" 3
"与" 3
"且" 3
"中" 3
"主意" 3
"二两" 3
"二位" 3
"从" 3
"众" 3
"传" 3
"何不" 3
"依" 3
"公道" 3
"内" 3
"刚" 3
"别的" 3
"办" 3
"加" 3
"十二两" 3
"厅" 3
"原" 3
"反" 3
"受用" 3
"只管" 3
"各自" 3
"向着" 3
"告诉" 3
"哄" 3
"喜" 3
"回头" 3
"地方" 3
"多少" 3
"好生" 3
"妹妹" 3
"媳妇" 3
"完" 3
"已经" 3
"庙" 3
"径" 3
"心事" 3
"所以" 3
"拉" 3
"摸" 3
"放" 3
"明儿" 3
"昨" 3
"果然" 3
"梳洗" 3
"母亲" 3
"每" 3
"每人" 3
"比" 3
"洛" 3
"混" 3
"炉" 3
"点头" 3
"热闹" 3
"玉" 3
"理" 3
"盖" 3
"知" 3
"素日" 3
"老" 3
"老祖宗" 3
"要紧" 3
"谢" 3
"赶" 3
"起" 3
"跑" 3
"路" 3
"进" 3
"进去" 3
"连" 3
"钗" 3
"静" 3
"鞭" 3
"香炉" 3
"骂" 3
"一件" 2
"一会" 2
"一位" 2
"一共" 2
"一句" 2
"一回" 2
"一声" 2
"一样" 2
"一般" 2
"三样" 2
"上头" 2
"上马" 2
"不依" 2
"两匹" 2
"两块" 2
"为难" 2
"于是" 2
"井台" 2
"交给" 2
"今日" 2
"仍" 2
"件" 2
"住" 2
"体面" 2
"何妨" 2
"使不得" 2
"俗" 2
"信" 2
"偏" 2
"像" 2
"儿媳妇" 2
"全" 2
"共" 2
"内侄" 2
"冷清清" 2
"凤凰" 2
"凭" 2
"出去" 2
"别人" 2
"十六两" 2
"十分" 2
"单" 2
"压" 2
"厌" 2
"原来" 2
"发" 2
"取乐" 2
"只得" 2
"只怕" 2
"叹" 2
"后" 2
"后门" 2
"后面" 2
"吩咐" 2
"听见" 2
"味儿" 2
"喜欢" 2
"回话" 2
"园" 2
"地" 2
"地下" 2
"坐席" 2
"墨" 2
"声" 2
"备" 2
"天上" 2
"女" 2
"女儿" 2
"如" 2
"如今" 2
"妈妈" 2
"妾" 2
"姊妹" 2
"姐姐" 2
"婆婆" 2
"嫂子" 2
"孝敬" 2
"学" 2
"安" 2
"尝" 2
"屋子" 2
"岂" 2
"年" 2
"底下" 2
"当日" 2
"心里" 2
"必" 2
"忘" 2
"怎么样" 2
"性" 2
"恨" 2
"悄" 2
"情" 2
"惊" 2
"想必" 2
"成" 2
"手里" 2
"拘" 2
"拣" 2
"探" 2
"提" 2
"操心" 2
"收拾" 2
"故" 2
"断" 2
"新" 2
"时" 2
"时常" 2
"明" 2
"更" 2
"月" 2
"有些" 2
"有钱" 2
"杌" 2
"极" 2
"横竖" 2
"正要" 2
"汤" 2
"法子" 2
"派" 2
"浸" 2
"渐渐" 2
"爬" 2
"父母" 2
"物" 2
"猜" 2
"王府" 2
"珍" 2
"生" 2
"生分" 2
"百" 2
"瞧" 2
"磕" 2
"祝" 2
"祭" 2
"算账" 2
"管" 2
"糊涂" 2
"素" 2
"翠" 2
"老婆子" 2
"耍" 2
"胡说" 2
"般" 2
"苦" 2
"茶" 2
"荷包" 2
"行" 2
"行事" 2
"觉" 2
"记" 2
"越" 2
"跨" 2
"蹄子" 2
"过去" 2
"还要" 2
"进来" 2
"连忙" 2
"那边" 2
"钏" 2
"门" 2
"问道" 2
"闻" 2
"阴魂" 2
"陪" 2
"随便" 2
"须" 2
"预备" 2
"饭" 2
"骑" 2
"高" 2
"龙" 2
"一两" 1
"一例" 1
"一包" 1
"一块" 1
"一处" 1
"一天" 1
"一定" 1
