"词语" "次数"
"了" 202
"的" 124
"我" 110
"不" 85
"他" 73
"也" 72
"来" 70
"你" 63
"又" 62
"是" 62
"道" 61
"说" 57
"着" 56
"平儿" 55
"凤" 40
"姐儿" 39
"笑" 36
"贾琏" 36
"人" 35
"见" 35
"在" 34
"便" 33
"那" 33
"贾母" 30
"叫" 29
"去" 28
"打" 27
"上" 26
"忙" 24
"儿" 23
"好" 23
"就" 23
"奶奶" 22
"一" 21
"子" 21
"有" 21
"这" 21
"只" 20
"还" 20
"和" 19
"拿" 19
"要" 19
"都" 19
"听" 17
"凤姐" 16
"酒" 15
"倒" 14
"吃" 14
"命" 14
"得" 14
"气" 14
"等" 14
"因" 13
"一个" 12
"哭" 12
"喝" 12
"宝玉" 12
"下" 11
"个" 11
"什么" 11
"往" 11
"跑" 11
"里" 11
"丫头" 10
"今儿" 10
"作" 10
"呢" 10
"小丫头" 10
"才" 10
"把" 10
"罢" 10
"起" 10
"二" 9
"再" 9
"尤氏" 9
"想" 9
"房" 9
"拉" 9
"正" 9
"没" 9
"给" 9
"起来" 9
"过" 9
"会" 8
"只见" 8
"坐" 8
"家" 8
"替" 8
"死" 8
"淫" 8
"看" 8
"老太太" 8
"让" 8
"们" 7
"出去" 7
"劝" 7
"只管" 7
"多" 7
"妇" 7
"将" 7
"怎么" 7
"敢" 7
"素日" 7
"话" 7
"走" 7
"骂" 7
"与" 6
"为" 6
"他们" 6
"你们" 6
"凤丫头" 6
"出" 6
"原" 6
"告诉" 6
"我们" 6
"方" 6
"爷" 6
"脸" 6
"至" 6
"说道" 6
"越发" 6
"进来" 6
"邢夫人" 6
"那里" 6
"中" 5
"主子" 5
"之" 5
"事" 5
"先" 5
"出来" 5
"别" 5
"前" 5
"原来" 5
"受" 5
"只得" 5
"唬" 5
"嘴" 5
"如此" 5
"姐姐" 5
"委曲" 5
"屋里" 5
"已" 5
"快" 5
"成" 5
"手" 5
"无" 5
"昨" 5
"泪" 5
"知道" 5
"老婆" 5
"衣裳" 5
"赔" 5
"这里" 5
"连" 5
"问" 5
"闹" 5
"鲍二家的" 5
"上来" 4
"不许" 4
"两个" 4
"乐" 4
"些" 4
"众人" 4
"似的" 4
"住" 4
"可怜" 4
"告" 4
"姊妹" 4
"媳妇" 4
"安慰" 4
"宝钗" 4
"并" 4
"开" 4
"心" 4
"怨" 4
"故" 4
"散" 4
"昨日" 4
"比" 4
"治" 4
"王夫人" 4
"用" 4
"疼" 4
"眼睛" 4
"能" 4
"袭人" 4
"谁" 4
"象" 4
"赔不是" 4
"越" 4
"跪" 4
"这样" 4
"钱" 4
"难" 4
"一口" 3
"一回" 3
"一日" 3
"一面" 3
"下流" 3
"不如" 3
"不成" 3
"且" 3
"两" 3
"乱" 3
"亲自" 3
"今" 3
"从" 3
"似" 3
"依" 3
"内" 3
"出气" 3
"到" 3
"剑" 3
"反" 3
"可" 3
"向" 3
"和平" 3
"回" 3
"外面" 3
"太太" 3
"头" 3
"妇人" 3
"妾" 3
"姑娘" 3
"寻死" 3
"小" 3
"干" 3
"干净" 3
"待" 3
"得罪" 3
"怎么样" 3
"怕" 3
"急" 3
"恼" 3
"愧" 3
"戏" 3
"打发" 3
"扶" 3
"换" 3
"撕" 3
"敬" 3
"斟" 3
"方才" 3
"日" 3
"明儿" 3
"杀" 3
"李纨" 3
"林之孝家的" 3
"没脸" 3
"沾" 3
"洗" 3
"灌" 3
"熨" 3
"白" 3
"盛" 3
