"词语" "次数"
"了" 203
"的" 150
"我" 123
"你" 112
"不" 99
"是" 85
"道" 78
"又" 66
"来" 64
"说" 64
"他" 61
"也" 60
"笑" 54
"着" 53
"去" 39
"有" 39
"这" 34
"一" 31
"个" 29
"人" 28
"就" 28
"上" 27
"黛玉" 27
"好" 26
"要" 25
"还" 25
"在" 23
"儿" 22
"子" 22
"那" 22
"只" 21
"吃" 20
"宝玉" 20
"他们" 19
"凤" 19
"老太太" 19
"都" 19
"什么" 18
"姐儿" 18
"们" 17
"罢" 17
"话" 17
"你们" 15
"叫" 15
"忙" 15
"才" 15
"多" 14
"宝钗" 14
"我们" 14
"打" 14
"看" 14
"知道" 14
"主子" 13
"呢" 13
"奶奶" 13
"想" 13
"拿" 13
"李纨" 13
"给" 13
"请" 13
"再" 12
"出" 12
"姑娘" 12
"没" 12
"管" 12
"送" 12
"一个" 11
"下" 11
"为" 11
"事" 11
"会" 11
"作" 11
"大" 11
"太太" 11
"比" 11
"里" 11
"便" 10
"倒" 10
"出来" 10
"听" 10
"和" 10
"平儿" 10
"把" 10
"灯" 10
"等" 10
"若" 10
"这个" 10
"这里" 10
"一日" 9
"因" 9
"家" 9
"小" 9
"得" 9
"怎么" 9
"点" 9
"赖嬷嬷" 9
"起" 9
"起来" 9
"这么" 9
"酒" 9
"且" 8
"今儿" 8
"到" 8
"可" 8
"坐" 8
"婆" 8
"虽" 8
"赖大家的" 8
"这些" 8
"这样" 8
"钱" 8
"雨" 8
"与" 7
"东西" 7
"两个" 7
"事情" 7
"些" 7
"众人" 7
"先" 7
"向" 7
"命" 7
"夜" 7
"头" 7
"如今" 7
"怕" 7
"瞧" 7
"穿" 7
"见" 7
"该" 7
"误" 7
"走" 7
"还有" 7
"进来" 7
"那里" 7
"中" 6
"姊妹" 6
"带" 6
"方" 6
"时" 6
"气" 6
"没有" 6
"燕窝" 6
"生" 6
"用" 6
"社" 6
"竟" 6
"自己" 6
"至" 6
"象" 6
"赏" 6
"过" 6
"银子" 6
"闹" 6
"一面" 5
"两" 5
"似的" 5
"凤姐" 5
"别" 5
"却" 5
"原" 5
"反" 5
"告诉" 5
"地" 5
"天" 5
"完" 5
"家里" 5
"小子" 5
"岂" 5
"心里" 5
"必" 5
"成" 5
"托" 5
"找" 5
"接" 5
"摆" 5
"撵" 5
"明儿" 5
"更" 5
"正" 5
"熬" 5
"画" 5
"病" 5
"算" 5
"花" 5
"茶" 5
"说道" 5
"那个" 5
"长" 5
"骂" 5
"三" 4
"不怕" 4
"不知" 4
"不能" 4
"不觉" 4
"丫头" 4
"买" 4
"今年" 4
"从" 4
"伞" 4
"几个" 4
"前日" 4
"劝" 4
"只怕" 4
"叹" 4
"各人" 4
"听说" 4
"周瑞家的" 4
"四" 4
"回" 4
"回去" 4
"园" 4
"园子" 4
"处" 4
"失" 4
"奴才" 4
"嫌" 4
"官" 4
"已" 4
"平" 4
"底下" 4
"强" 4
"当" 4
"戴" 4
"所以" 4
"手" 4
"打发" 4
"探春" 4
"无" 4
"昨" 4
