"词语" "次数"
"了" 245
"的" 155
"我" 152
"不" 133
"他" 116
"你" 108
"是" 93
"说" 93
"道" 75
"去" 70
"来" 69
"也" 60
"着" 59
"又" 53
"就" 50
"鸳鸯" 46
"人" 45
"老太太" 42
"笑" 41
"这" 36
"要" 35
"有" 34
"便" 33
"一" 31
"在" 30
"太太" 29
"个" 28
"听" 28
"没" 28
"儿" 25
"平儿" 25
"话" 25
"邢夫人" 25
"凤" 23
"见" 23
"什么" 22
"好" 22
"姐儿" 22
"只" 21
"和" 21
"都" 21
"上" 20
"你们" 20
"因" 20
"忙" 20
"老爷" 20
"还" 20
"倒" 19
"别" 19
"叫" 19
"得" 19
"知道" 19
"袭人" 19
"看" 18
"贾母" 18
"大" 17
"想" 17
"里" 17
"告诉" 16
"宝玉" 16
"作" 15
"嫂子" 15
"我们" 15
"这里" 15
"事" 14
"呢" 14
"家" 14
"愿意" 14
"若" 14
"到" 13
"子" 13
"往" 13
"死" 13
"给" 13
"起来" 13
"问" 13
"先" 12
"再" 12
"姑娘" 12
"贾赦" 12
"过去" 12
"房" 11
"找" 11
"敢" 11
"脸" 11
"说道" 11
"那里" 11
"两个" 10
"做" 10
"出来" 10
"回" 10
"娘" 10
"小老婆" 10
"等" 10
"罢" 10
"谁" 10
"跟" 10
"过" 10
"这么" 10
"那" 10
"一个" 9
"与" 9
"从" 9
"他们" 9
"依" 9
"劝" 9
"可" 9
"坐" 9
"如今" 9
"怎么" 9
"把" 9
"拿" 9
"王夫人" 9
"自然" 9
"走" 9
"跟前" 9
"这个" 9
"骂" 9
"们" 8
"出" 8
"吃" 8
"哥哥" 8
"头" 8
"快" 8
"方才" 8
"三" 7
"丫头" 7
"会" 7
"四" 7
"成" 7
"手" 7
"拉" 7
"知" 7
"一面" 6
"下" 6
"不过" 6
"出去" 6
"后" 6
"向" 6
"商议" 6
"妥" 6
"已" 6
"带" 6
"应" 6
"心" 6
"怕" 6
"才" 6
"时" 6
"未必" 6
"正" 6
"气" 6
"竟" 6
"臊" 6
"讨" 6
"贾琏" 6
"起" 6
"这话" 6
"金文翔" 6
"且" 5
"为" 5
"主子" 5
"主意" 5
"之" 5
"众人" 5
"凤姐" 5
"南京" 5
"命" 5
"咱们" 5
"园子" 5
"头发" 5
"如何" 5
"媳妇" 5
"完" 5
"将" 5
"屋里" 5
"心里" 5
"打" 5
"收" 5
"无" 5
"生" 5
"睡" 5
"自" 5
"躲" 5
"车" 5
"进" 5
"一辈子" 4
"不依" 4
"不成" 4
"买" 4
"今儿" 4
"伏" 4
"低" 4
"信" 4
"却" 4
"只管" 4
"哄" 4
"喜欢" 4
"外头" 4
"多" 4
"女儿" 4
"奶奶" 4
"姊妹" 4
"姨娘" 4
"宝" 4
"将来" 4
"小" 4
"并" 4
"怎么样" 4
"急" 4
"性子" 4
"恼" 4
"放" 4
"方" 4
"日" 4
"早" 4
"活" 4
"的话" 4
"瞧" 4
"离" 4
"红" 4
"老子" 4
"背" 4
"脸上" 4
"自己" 4
"薛姨妈" 4
"藏" 4
"虽" 4
"被" 4
"言" 4
"该" 4
"请" 4
"辩" 4
"还有" 4
"这样" 4
"连" 4
"那时" 4
"那边" 4
"配" 4
"金" 4
"一回" 3
"三年" 3
"不好" 3
"不如" 3
"东西" 3
"中" 3
"中用" 3
"二" 3
"人家" 3
"仍" 3
"俱" 3
"偏" 3
"内" 3
"冷笑" 3
"前" 3
"剪" 3
"半" 3
"即刻" 3
"只怕" 3
"只见" 3
"可是" 3
"可靠" 3
"听见" 3
"听说" 3
"唬" 3
"喜事" 3
"回来" 3
"处" 3
"外" 3
"好处" 3
"如此" 3
"委屈" 3
"嫁" 3
"孙子" 3
"家里" 3
"封" 3
"小子" 3
"已经" 3
"帮" 3
"平" 3
"年纪" 3
"开" 3
"当" 3
"当着" 3
"待" 3
"必" 3
"必定" 3
"性" 3
"怪" 3
"或是" 3
"房子" 3
"换" 3
"推" 3
"提" 3
"放在" 3
"新" 3
"暂且" 3
"李纨" 3
"极" 3
"林" 3
"横竖" 3
"横行霸道" 3
"法子" 3
"然" 3
"父母" 3
"牙" 3
"琥珀" 3
"看见" 3
"眼睛" 3
"石" 3
"站" 3
"聘" 3
"至" 3
"让" 3
"语" 3
"说话" 3
"谁知" 3
"跪下" 3
"跳" 3
"蹄子" 3
"过来" 3
"退出" 3
"送" 3
"逛逛" 3
"造化" 3
"遇见" 3
"那些" 3
"金彩" 3
"针线" 3
"门" 3
"陪" 3
"难" 3
"难道" 3
"饭" 3
"一件" 2
"一声" 2
"一家子" 2
"一日" 2
"一时" 2
"一行" 2
"一齐" 2
"不然" 2
"不知" 2
"不能" 2
"丫鬟" 2
"乐" 2
"也罢" 2
"事务" 2
"些" 2
"亲" 2
"仗" 2
"以" 2
"传" 2
"住" 2
"体面" 2
"使" 2
"使不得" 2
"侍" 2
"俗语" 2
"偏心" 2
"儿子" 2
"兄弟" 2
"况且" 2
"凭" 2
"剩" 2
"原" 2
"原来" 2
"反" 2
"发" 2
"取" 2
"只得" 2
"可巧" 2
"各自" 2
"后来" 2
"哭" 2
