"词语" "次数"
"了" 195
"的" 117
"我" 82
"是" 75
"他" 73
"道" 69
"不" 64
"说" 59
"你" 57
"也" 49
"笑" 49
"去" 48
"来" 47
"香" 45
"有" 44
"这" 43
"菱" 42
"又" 40
"着" 35
"宝" 32
"钗" 32
"玉" 31
"诗" 31
"人" 28
"作" 28
"就" 27
"黛" 27
"听" 26
"薛" 25
"儿" 24
"在" 23
"上" 20
"只" 20
"好" 20
"看" 20
"都" 20
"一" 18
"要" 18
"便" 17
"得" 17
"姑娘" 16
"拿" 16
"没" 16
"见" 16
"还" 16
"和" 15
"个" 14
"因" 14
"字" 14
"春" 14
"再" 13
"到" 13
"平" 13
"蟠" 13
"不知" 12
"出" 12
"把" 12
"那" 12
"里" 12
"两个" 11
"中" 11
"二" 11
"叫" 11
"命" 11
"姨妈" 11
"学" 11
"宝玉" 11
"至" 11
"这个" 11
"一个" 10
"一首" 10
"且" 10
"事" 10
"倒" 10
"可" 10
"呢" 10
"我们" 10
"探" 10
"下" 9
"什么" 9
"只见" 9
"听见" 9
"大" 9
"想" 9
"正" 9
"爷" 9
"用" 9
"等" 9
"给" 9
"罢" 9
"若" 9
"与" 8
"先" 8
"内" 8
"出来" 8
"告诉" 8
"园" 8
"家" 8
"家里" 8
"已" 8
"德" 8
"成" 8
"扇子" 8
"方" 8
"知道" 8
"老爷" 8
"走" 8
"过" 8
"问" 8
"为" 7
"之" 7
"从" 7
"处" 7
"往" 7
"忙" 7
"才" 7
"既" 7
"画" 7
"直" 7
"竟" 7
"读" 7
"辉" 7
"连" 7
"一面" 6
"些" 6
"他们" 6
"众人" 6
"坐" 6
"如今" 6
"张" 6
"打" 6
"烟" 6
"睡" 6
"瞧" 6
"自己" 6
"言" 6
"贾" 6
"起来" 6
"这样" 6
"银子" 6
"一回" 5
"别" 5
"同" 5
"后" 5
"回" 5
"回来" 5
"多少" 5
"对" 5
"将" 5
"带" 5
"并" 5
"弄" 5
"律" 5
"房" 5
"所以" 5
"找" 5
"时" 5
"死" 5
"没有" 5
"真" 5
"自" 5
"自然" 5
"谁知" 5
"进来" 5
"一句" 4
"一声" 4
"一日" 4
"买" 4
"们" 4
"似" 4
"住" 4
"使" 4
"做" 4
"入" 4
"原来" 4
"吃" 4
"向" 4
"呆子" 4
"咱们" 4
"回家" 4
"外" 4
"天天" 4
"头" 4
"奶奶" 4
"如此" 4
"姊妹" 4
"定" 4
"尽" 4
"帘" 4
"年" 4
"心" 4
"怎么" 4
"怕" 4
"情" 4
"意思" 4
"打点" 4
"拉" 4
"拜" 4
"日" 4
"明年" 4
"月" 4
"李" 4
"村" 4
"杜" 4
"梦" 4
"正要" 4
"法子" 4
"添" 4
"然后" 4
"病" 4
"瞧瞧" 4
"算" 4
"老" 4
"能" 4
"虽" 4
"诌" 4
"话" 4
"请" 4
"谁" 4
"越" 4
"躲" 4
"那个" 4
"醒" 4
"银" 4
"长" 4
"闲" 4
"难" 4
"青" 4
"顽" 4
"一年" 3
"一时" 3
"三" 3
"不必" 3
"不过" 3
"两句" 3
"两日" 3
"丫头" 3
"买卖" 3
"亦" 3
"今年" 3
"会" 3
"伴儿" 3
"但" 3
"余" 3
"作伴" 3
"写" 3
"况且" 3
"几个" 3
"卖" 3
"原" 3
"只管" 3
"各" 3
"哥哥" 3
"商议" 3
"因此" 3
"圆" 3
"外头" 3
"夜" 3
"妈" 3
"嬷嬷" 3
"子" 3
"孤" 3
"寒" 3
"小" 3
"常" 3
"应" 3
"引" 3
"必" 3
"念" 3
"性" 3
"惜" 3
"愁" 3
"打发" 3
"换" 3
"教" 3
"文" 3
"无理" 3
"旧" 3
"明" 3
