"词语" "次数"
"了" 186
"的" 113
"道" 82
"是" 79
"不" 65
"着" 61
"来" 59
"笑" 58
"说" 57
"他" 55
"我" 52
"又" 51
"这" 47
"也" 44
"你" 42
"去" 36
"宝玉" 36
"有" 34
"吃" 28
"人" 27
"便" 26
"好" 26
"宝钗" 24
"忙" 23
"都" 23
"黛玉" 23
"在" 22
"湘云" 22
"只" 21
"李纨" 21
"就" 19
"正" 19
"作" 18
"你们" 18
"只见" 18
"诗" 18
"一" 17
"上" 17
"听" 17
"因" 17
"大" 17
"子" 17
"宝琴" 17
"看" 17
"之" 16
"呢" 16
"等" 16
"见" 16
"贾母" 16
"那" 16
"两个" 15
"儿" 15
"要" 15
"雪" 15
"与" 14
"到" 14
"和" 14
"那里" 14
"他们" 13
"住" 13
"咱们" 13
"姐儿" 13
"一个" 12
"个" 12
"凤" 12
"姑娘" 12
"已" 12
"探春" 12
"没" 12
"老太太" 12
"还" 12
"香菱" 12
"一件" 11
"罢" 11
"起来" 11
"问" 11
"一处" 10
"一面" 10
"众人" 10
"却" 10
"妹妹" 10
"小" 10
"往" 10
"得" 10
"我们" 10
"穿" 10
"若" 10
"走" 10
"二" 9
"些" 9
"倒" 9
"先" 9
"再" 9
"出" 9
"姊妹" 9
"心" 9
"无" 9
"色" 9
"邢夫人" 9
"里" 9
"会" 8
"园" 8
"多" 8
"大家" 8
"如今" 8
"带" 8
"才" 8
"找" 8
"更" 8
"疼" 8
"自" 8
"自己" 8
"芦" 8
"起" 8
"顽" 8
"一时" 7
"且" 7
"丫头" 7
"中" 7
"事" 7
"从" 7
"几个" 7
"姐姐" 7
"宝姐姐" 7
"家" 7
"广" 7
"时" 7
"比" 7
"生" 7
"知" 7
"知道" 7
"至" 7
"话" 7
"送" 7
"金" 7
"下" 6
"亲" 6
"什么" 6
"们" 6
"原来" 6
"只管" 6
"叫" 6
"可" 6
"太太" 6
"奶奶" 6
"平儿" 6
"拿" 6
"接" 6
"日" 6
"竟" 6
"虽" 6
"请" 6
"过" 6
"进" 6
"一般" 5
"为" 5
"云" 5
"京" 5
"今儿" 5
"信" 5
"内" 5
"凤姐" 5
"原" 5
"叙" 5
"史湘云" 5
"后" 5
"哭" 5
"头" 5
"女儿" 5
"如此" 5
"婶" 5
"小丫头" 5
"少" 5
"屋里" 5
"岂" 5
"岫" 5
"并" 5
"心里" 5
"快" 5
"想" 5
"打" 5
"披" 5
"斗篷" 5
"果然" 5
"没有" 5
"烟" 5
"爱" 5
"瞧瞧" 5
"肯" 5
"袭人" 5
"这样" 5
"连" 5
"闻" 5
"鹿肉" 5
"齐" 5
"一回" 4
"一样" 4
"一齐" 4
"三个" 4
"不如" 4
"不算" 4
"今" 4
"今日" 4
"几时" 4
"出来" 4
"分" 4
"刚" 4
"及" 4
"听听" 4
"四" 4
"回来" 4
"处" 4
"够" 4
"大红" 4
"妹子" 4
"婆" 4
"定" 4
"怎么样" 4
"怪" 4
"成" 4
"把" 4
"新" 4
"方" 4
"晴" 4
"最" 4
"有趣" 4
"李" 4
"李纹" 4
"李绮" 4
"案" 4
"欢喜" 4
"毛" 4
"猩猩毡" 4
"王夫人" 4
"病" 4
"真" 4
"瞧" 4
"褂子" 4
"认" 4
"说道" 4
"谁" 4
"谁知" 4
"象" 4
"还有" 4
"这么" 4
"这里" 4
"邢岫烟" 4
"长" 4
"青" 4
"韵" 4
"饭" 4
"一块" 3
"一夜" 3
"一定" 3
"一条" 3
"上京" 3
"不知" 3
"不能" 3
"东西" 3
"五" 3
"五个" 3
"亲戚" 3
"众" 3
"光" 3
"凑" 3
"别" 3
"到底" 3
"十分" 3
"压" 3
"发" 3
"另" 3
"可巧" 3
"可是" 3
"同" 3
"向" 3
"告诉" 3
"命" 3
"商议" 3
"喜" 3
"喜欢" 3
"围" 3
"外" 3
"多少" 3
"太" 3
"如" 3
"孟" 3
"完" 3
"将" 3
"已经" 3
"年" 3
"应" 3
"怎么" 3
"恼" 3
"想来" 3
"或" 3
"戴" 3
"房" 3
"打发" 3
"打扮" 3
"指" 3
"掩" 3
"明白" 3
"晚上" 3
"束" 3
"林黛玉" 3
"梁" 3
"毕" 3
"添" 3
"独" 3
"琥珀" 3
"皆" 3
"眼泪" 3
"社" 3
"管" 3
"素日" 3
"给" 3
"罗" 3
"罩" 3
"腰" 3
"薛" 3
"薛蝌" 3
"该" 3
"越发" 3
"过去" 3
"迎春" 3
"这些" 3
"邀" 3
"里头" 3
"镯子" 3
"闹" 3
"限" 3
"除" 3
"非常" 3
"香" 3
"鸿" 3
"鹤" 3
"一会" 2
"一位" 2
"一句" 2
"一首" 2
"三" 2
"下雪" 2
"不免" 2
"不必" 2
"不成" 2
"不解" 2
"不过" 2
"丫鬟" 2
"临" 2
"之间" 2
"于是" 2
"亦" 2
"亲眷" 2
"人物" 2
"仍" 2
"仔细" 2
"令" 2
"伞" 2
"似" 2
"侄女" 2
"例" 2
"俗语" 2
"假" 2
"偏" 2
"做" 2
"兄" 2
"兄嫂" 2
"兄弟" 2
"全" 2
"共" 2
"其" 2
"况且" 2
"几天" 2
"别人" 2
"前" 2
"单" 2
"叉" 2
"反" 2
"口" 2
"句" 2
"可知" 2
"各人" 2
"后面" 2
"哆" 2
"嘴" 2
"因此" 2
"地炕" 2
"多心" 2
"大观园" 2
"天" 2
"奇" 2
"好吃" 2
"妙" 2
"嫂子" 2
"孔雀" 2
"字" 2
"孙" 2
"学" 2
"学问" 2
"孩儿" 2
"宝" 2
"实在" 2
"家常" 2
"寡" 2
"尚" 2
"尝尝" 2
"山" 2
"帮" 2
"干女儿" 2
"年纪" 2
"年轻" 2
"弟" 2
"形容" 2
"径" 2
"心中" 2
"忘" 2
"念" 2
"性" 2
"总" 2
"恰" 2
"情" 2
"惯" 2
"想起" 2
"意" 2
"所" 2
"所以" 2
"手" 2
"执意" 2
"投" 2
"挂" 2
"挖" 2
"推" 2
"摆" 2
"放" 2
"敬" 2
"新鲜" 2
"日光" 2
"旧年" 2
"早" 2
"明儿" 2
"明日" 2
"晴雯" 2
"曾" 2
"替" 2
"未了" 2
"未必" 2
"来说" 2
"林" 2
"次" 2
"次序" 2
"正月" 2
"此" 2
"此时" 2
"氅" 2
"水" 2
"深" 2
"混" 2
"漱" 2
"然后" 2
"熟" 2
"爆" 2
"狐" 2
"玉" 2
"王仁" 2
"现成" 2
"琴" 2
"留" 2
"留下" 2
"疑" 2
"皮" 2
"盘" 2
"直" 2
"真心" 2
"稻香村" 2
"窗" 2
"立" 2
"笠" 2
"答应" 2
"算" 2
"红" 2
"纳闷" 2
"细细" 2
"结" 2
"绦" 2
"罕" 2
"老天" 2
"者" 2
"而" 2
"联" 2
"肉" 2
"自寻烦恼" 2
"自然" 2
"芦苇" 2
"蓑" 2
"薛蟠" 2
"蜂" 2
"衣" 2
"装" 2
"设" 2
"诗社" 2
"诧异" 2
"语" 2
"说笑" 2
"说话" 2
"谈" 2
"貂" 2
"赶" 2
"越" 2
"跟" 2
"这个" 2
"这话" 2
"进去" 2
"进来" 2
"远" 2
"那些" 2
"那边" 2
"配" 2
"酒" 2
"银子" 2
"闷" 2
"靴" 2
"领" 2
"题" 2
"颦儿" 2
"高兴" 2
"鼠" 2
"一两" 1
"一个月" 1
"一分" 1
"一只" 1
"一同" 1
"一声" 1
"一天" 1
"一尺" 1
"一层" 1
"一带" 1
"一把子四根" 1
"一早" 1
"一片砧敲千里白" 1
"一番" 1
"一番方" 1
"一碗" 1
"一群" 1
"一股" 1
"一路" 1
"一遍" 1
"一顶" 1
"七上八下" 1
"三句" 1
"三块" 1
"三家" 1
"三日" 1
"上任" 1
"上去" 1
"上房" 1
"上来" 1
"下回" 1
"下来" 1
"不一" 1
"不会" 1
"不但" 1
"不可" 1
"不合" 1
"不妨" 1
"不得" 1
"不得了" 1
"不曾" 1
"不然" 1
"不肯" 1
"不见" 1
"不许" 1
"不错" 1
"不顾" 1
"东家" 1
"丝" 1
"两" 1
"两位" 1
"两处" 1
"两日" 1
"中原" 1
"为人" 1
"为首" 1
"主意" 1
"举止" 1
"义" 1
"之上" 1
"之下" 1
"乌" 1
"乐" 1
"习" 1
"书房" 1
"乱" 1
"乱叫" 1
"了不得" 1
"事情" 1
"二丫头" 1
"云儿" 1
"五六两" 1
"井底之蛙" 1
"交" 1
"亭" 1
"亮" 1
"亲家" 1
"人人" 1
"今年" 1
"他家" 1
"仗" 1
"以" 1
"以为" 1
"伏" 1
"似的" 1
"但" 1
"何妨" 1
"何物" 1
"余" 1
"作践" 1
"使得" 1
"侯" 1
"俏丽" 1
"保" 1
"保养" 1
"俱" 1
"倘" 1
"倘或" 1
"借问" 1
"傍" 1
"催" 1
"傻子" 1
"僻" 1
"兄妹" 1
"先是" 1
"光景" 1
"光辉" 1
"兜" 1
"八" 1
"兴" 1
"兴旺" 1
"其中" 1
"典" 1
"养活" 1
"写" 1
"冷" 1
"冷眼" 1
"冷笑" 1
"几" 1
"几句" 1
"几间" 1
"凤丫头" 1
"凫" 1
"出类拔萃" 1
"出题" 1
"分外" 1
"分子" 1
"分解" 1
"列" 1
"则" 1
"刚好" 1
"别的" 1
"刻" 1
"前去" 1
"前头" 1
"割" 1
"劝" 1
"劝慰" 1
"加" 1
"劫" 1
"势" 1
"包" 1
"包管" 1
"十三个" 1
"十二个" 1
"十五六七岁" 1
"十倍" 1
"十六" 1
"十数株" 1
"半" 1
"半日" 1
"半路" 1
"半轮鸡唱五更残" 1
"博得" 1
"卦" 1
"即景" 1
"厌" 1
"厚" 1
"去向" 1
"双" 1
"发放" 1
"发烧" 1
"叔伯" 1
"取笑" 1
"受" 1
"口里" 1
"另外" 1
"只得" 1
"只怕" 1
"可以" 1
"可惜" 1
"可见" 1
"史" 1
"史鼐" 1
"右" 1
"叹" 1
"吃喝" 1
"合" 1
"同年" 1
"同日" 1
"同时" 1
"同月" 1
"同胞" 1
"同行" 1
"名" 1
"名士" 1
"君" 1
"呆" 1
"告" 1
"命苦" 1
"咽" 1
"哥哥" 1
"唣" 1
"唤" 1
"嘲笑" 1
"嘻" 1
"嘻笑" 1
"嚷" 1
"嚼" 1
"四个" 1
"四面" 1
"回" 1
"回复" 1
"回头" 1
"因素" 1
"因而" 1
"园子" 1
"土" 1
"地" 1
"坏" 1
"坐" 1
"块" 1
"垂" 1
"垂钓" 1
"埋怨" 1
"墙上" 1
"壁" 1
"声" 1
"声色" 1
"外头" 1
"外省" 1
"夜" 1
"大会" 1
"大作" 1
"大半" 1
"大名" 1
"大员" 1
"大概" 1
"大爷" 1
"大雪" 1
"天下" 1
"天天" 1
"天日" 1
"央告" 1
"夺目" 1
"奇事" 1
"契" 1
"套" 1
"女" 1
"奸" 1
"好些" 1
"好容易" 1
"好生" 1
"如意" 1
"妇人" 1
"妹" 1
"姊" 1
"姓" 1
"委" 1
"委曲" 1
"姨太太" 1
"婚" 1
"婶子" 1
"婶母" 1
"嫁" 1
"嫂嫂" 1
"嫦娥" 1
"孙子" 1
"孤单" 1
"孩子" 1
"守本分" 1
"守节" 1
"安" 1
"安插" 1
"宝钗黛玉" 1
"实据" 1
"审度" 1
"客" 1
"宫" 1
"家中" 1
"家住" 1
"家眷" 1
"寒" 1
"寝" 1
"对襟" 1
"寻" 1
"小小" 1
"尚未" 1
"尽" 1
"屉" 1
"屋内" 1
"屐" 1
"山坡" 1
"山脚" 1
"岁" 1
"工" 1
"左" 1
"巧" 1
"差" 1
"巴不得" 1
"帐子" 1
"带来" 1
"帽" 1
"干" 1
"干净" 1
"平素" 1
"庚" 1
"府" 1
"度" 1
"开" 1
"异" 1
"异常" 1
"式" 1
"弟兄" 1
"弱" 1
"当" 1
"当下" 1
"当年" 1
"形" 1
"影自娟娟魄自寒" 1
"往时" 1
"很" 1
"心性" 1
"心肠" 1
"心酸" 1
"必" 1
"怕" 1
"怜" 1
"怠慢" 1
"怡" 1
"性急" 1
"性情" 1
"恐" 1
"悄" 1
"惜春" 1
"意思" 1
"意趣" 1
"愿意" 1
"房舍" 1
"手上" 1
"扫雪" 1
"扯" 1
"扶" 1
"拂" 1
"拉" 1
"拟题" 1
"拥" 1
"拭泪" 1
"换上" 1
"据" 1
"掀开" 1
"掏" 1
"掐" 1
"排律" 1
"接风" 1
"揌" 1
"提" 1
"提名" 1
"揭" 1
"搓" 1
"撑" 1
"收看" 1
"敁" 1
"故" 1
"故事" 1
"故意" 1
"教" 1
"敠" 1
"敢" 1
"散" 1
"文章" 1
"斗" 1
"料" 1
"断" 1
"方才" 1
"无可" 1
"无奈" 1
"无妨" 1
"无所不至" 1
"既" 1
"既定" 1
"日后" 1
"日期" 1
"旧" 1
"时刻" 1
"映" 1
"昨" 1
"昨日" 1
"昭" 1
"昼" 1
"显" 1
"显得" 1
"晚" 1
"晰" 1
"暗暗" 1
"更衣" 1
"月" 1
"有些" 1
"有人" 1
"有心人" 1
"望" 1
"期" 1
"本" 1
"本地" 1
"本性" 1
"杜" 1
"来到" 1
"来访" 1
"杯" 1
"极" 1
"果菜" 1
"栊翠庵" 1
"样" 1
"样子" 1
"格式" 1
"桥" 1
"梅翰林之子" 1
"梳洗" 1
"棠" 1
"槿" 1
"横竖" 1
"檐" 1
"次日" 1
"欲" 1
"歇" 1
"正是" 1
"正理" 1
"正经事" 1
"此后" 1
"死" 1
"死人" 1
"每人" 1
"每天" 1
"水葱" 1
"沁芳亭" 1
"沈" 1
"沙" 1
"河滩" 1
"油" 1
"治" 1
"泊" 1
"法" 1
"泡" 1
"泪" 1
"洋" 1
"洗" 1
"海龙" 1
"消化" 1
"淡雅" 1
"深知" 1
"清" 1
"清秀" 1
"清高" 1
"渔翁" 1
"温" 1
"温厚" 1
"满" 1
"满嘴" 1
"满心" 1
"满意" 1
"火炉" 1
"灯花" 1
"灯谜" 1
"灰鼠" 1
"灵秀" 1
"炉" 1
"烧" 1
"烧着" 1
"热" 1
"热闹" 1
"照" 1
"燕窝" 1
"爬" 1
"父亲" 1
"父母" 1
"爷" 1
"片" 1
"牖" 1
"牛乳" 1
"犹" 1
"狐狸" 1
"猿" 1
"玉门" 1
"环" 1
"现在" 1
"玻璃" 1
"玻璃窗" 1
"珠" 1
"理论" 1
"琉璃世界白雪红梅" 1
"瓜" 1
"生肉" 1
"用" 1
"番" 1
"疯" 1
"瘦" 1
"登" 1
"白" 1
"的哥" 1
"的话" 1
"皮袄" 1
"盒" 1
"盖" 1
"盘缠" 1
"盥" 1
"相干" 1
"相符" 1
"眉开眼笑" 1
"看来" 1
"看热闹" 1
"睡" 1
"瞅" 1
"瞒哄" 1
"短" 1
"短短的" 1
"礼" 1
"礼物" 1
"社里" 1
"祸" 1
"禁不住" 1
"禁得起" 1
"福气" 1
"离" 1
"离别" 1
"秋" 1
"秋爽斋" 1
"穗" 1
"空" 1
"窄" 1
"窗上" 1
"站" 1
"竟是" 1
"端" 1
"竹" 1
"竹桥" 1
"笑话" 1
"第四十九回" 1
"笼" 1
"答" 1
"筹算" 1
"简" 1
"算计" 1
"篱" 1
"精华" 1
"精华欲掩料应难" 1
"精神" 1
"糊涂" 1
"素" 1
"紧" 1
"紧紧" 1
"絮" 1
"红梅" 1
"红袖楼头夜倚栏" 1
"红装" 1
"纳" 1
"纵" 1
"纵然" 1
"纹" 1
"线" 1
"细细的" 1
"织" 1
"终" 1
"终久" 1
"绝" 1
"绣" 1
"绮" 1
"绵" 1
"绸" 1
"绿" 1
"绿蓑江上秋闻笛" 1
"缎" 1
"缘" 1
"缘何不使永团圆" 1
"缘故" 1
"羊皮" 1
"羊羔" 1
"羓" 1
"羽毛缎" 1
"羽纱" 1
"翠" 1
"翠竹" 1
"老婆" 1
"老婆子" 1
"而且" 1
"聒噪" 1
"聪敏" 1
"肷" 1
"背" 1
"胞妹" 1
"胭脂" 1
"能" 1
"脂粉" 1
"脂粉香娃割腥啖膻" 1
"脏" 1
"脑袋" 1
"脚下" 1
"脱" 1
"腥膻" 1
"腰板" 1
"膀" 1
"自不必说" 1
"自幼" 1
"舍不得" 1
"船" 1
"艰难" 1
"花子" 1
"苇" 1
"苏州" 1
"苦" 1
"茄" 1
"茅" 1
"茶" 1
"药" 1
"莫若" 1
"莲" 1
"莺儿" 1
"菜" 1
"萧" 1
"落" 1
"蒙" 1
"蒸" 1
"薛姨妈" 1
"薛宝琴" 1
"薛宝钗" 1
"藏" 1
"藕香榭" 1
"藤" 1
"虚字" 1
"虽然" 1
"蝴蝶结" 1
"螂" 1
"行" 1
"行者" 1
"衣裳" 1
"衿" 1
"袄" 1
"袋子" 1
"袖" 1
"被" 1
"裘" 1
"褂" 1
"褃" 1
"褪" 1
"褶子" 1
"西厢记" 1
"要命" 1
"要害" 1
"覆" 1
"观音" 1
"觉" 1
"言" 1
"计较" 1
"认得" 1
"让" 1
"议定" 1
"记" 1
"讲" 1
"讲讲" 1
"许配" 1
"识字" 1
"诗作" 1
"诗兴" 1
"诸" 1
"诺" 1
"读书" 1
"谎" 1
"谦" 1
"象是" 1
"贤惠" 1
"贫" 1
"贴" 1
"贾" 1
"赏" 1
"赏玩" 1
"赛" 1
"赶来" 1
"起身" 1
"趣" 1
"跟前" 1
"踌躇" 1
"踏雪" 1
"踪迹" 1
"转" 1
"轻薄" 1
"辉煌" 1
"边" 1
"达" 1
"迁" 1
"过来" 1
"迎" 1
"近" 1
"近日" 1
"近来" 1
"远远" 1
"连连" 1
"迳" 1
"送入" 1
"递" 1
"逛逛" 1
"逶迤" 1
"逼" 1
"遂意" 1
"遇见" 1
"遭劫" 1
"遮拦" 1
"避" 1
"那个" 1
"那样" 1
"郁" 1
"部" 1
"酒令" 1
"酒饭" 1
"酸痛" 1
"里外" 1
"里子" 1
"里弄" 1
"里间" 1
"里面" 1
"野" 1
"野鸡" 1
"针" 1
"铁" 1
"铁丝" 1
"铁炉" 1
"银鼠" 1
"错" 1
"锦上添花" 1
"锦心绣口" 1
"镶" 1
"门窗" 1
"闪" 1
"问道" 1
"闲" 1
"闲话" 1
"院中" 1
"院门" 1
"除了" 1
"随" 1
"随便" 1
"随后" 1
"隐" 1
"难" 1
"难事" 1
"难处" 1
"难道" 1
"青松" 1
"靠" 1
"靡" 1
"面" 1
"面子" 1
"靥" 1
"韦" 1
"韵脚" 1
"顺着" 1
"顾" 1
"预备" 1
"领袖" 1
"题目" 1
"风" 1
"风光" 1
"风流" 1
"饿" 1
"首" 1
"香气" 1
"骚" 1
"高" 1
"高谈阔论" 1
"鬼使神差" 1
"魔" 1
"鸭子" 1
"鹅黄" 1
"鹰" 1
"鹿" 1
"麀" 1
"麒麟" 1
"麝月" 1
"黑" 1
"鼻" 1
"齑" 1
"龄" 1
"龙" 1
