"词语" "次数"
"了" 104
"的" 75
"不" 59
"这" 58
"之" 46
"他" 45
"是" 43
"人" 42
"又" 35
"有" 32
"一" 29
"家" 28
"来" 28
"道" 28
"说" 26
"村" 25
"雨" 25
"你" 23
"为" 22
"也" 22
"我" 22
"去" 21
"得" 21
"老爷" 21
"便" 19
"着" 19
"等" 19
"薛蟠" 19
"门子" 19
"与" 18
"在" 18
"就" 17
"拐子" 17
"薛" 17
"中" 16
"只" 16
"事" 15
"因" 15
"无" 14
"此" 14
"个" 13
"住" 13
"冯" 13
"已" 13
"打" 13
"皆" 13
"见" 13
"上" 12
"公子" 12
"将" 12
"令" 11
"其" 11
"好" 11
"如今" 11
"忙" 11
"日" 11
"死" 11
"王夫人" 11
"自" 11
"且" 10
"亦" 10
"再" 10
"出" 10
"卖" 10
"岂" 10
"竟" 10
"笑" 10
"者" 10
"那" 10
"今" 9
"却" 9
"名" 9
"女" 9
"才" 9
"方" 9
"时" 9
"看" 9
"至" 9
"虽" 9
"些" 8
"京" 8
"原" 8
"可" 8
"听" 8
"所" 8
"拿" 8
"生" 8
"系" 8
"英莲" 8
"被" 8
"都" 8
"一个" 7
"下" 7
"丫头" 7
"买" 7
"作" 7
"偏" 7
"几个" 7
"发" 7
"咱们" 7
"小" 7
"带" 7
"想" 7
"或" 7
"族" 7
"既" 7
"母" 7
"过" 7
"遂" 7
"不过" 6
"书" 6
"亲" 6
"以" 6
"使" 6
"冯渊" 6
"升" 6
"及" 6
"处" 6
"外" 6
"如此" 6
"姊妹" 6
"守" 6
"正" 6
"母亲" 6
"签" 6
"舅舅" 6
"贾" 6
"还" 6
"进" 6
"钱" 6
"问" 6
"闻" 6
"不知" 5
"乃" 5
"们" 5
"原来" 5
"后" 5
"多" 5
"大" 5
"如何" 5
"子" 5
"官司" 5
"当日" 5
"情" 5
"所以" 5
"相" 5
"省" 5
"知道" 5
"能" 5
"贾政" 5
"走" 5
"路" 5
"银子" 5
"一张" 4
"一面" 4
"不能" 4
"两家" 4
"人命" 4
"从" 4
"但" 4
"先" 4
"凡" 4
"凶" 4
"凶犯" 4
"别" 4
"到" 4
"十分" 4
"即" 4
"因此" 4
"坐" 4
"如" 4
"姨太太" 4
"姨娘" 4
"字" 4
"寡" 4
"小人" 4
"并" 4
"应" 4
"心" 4
"忘" 4
"恐" 4
"房舍" 4
"护官符" 4
"报" 4
"拐" 4
"接" 4
"断" 4
"曾" 4
"最" 4
"李氏" 4
"梨香院" 4
"欲" 4
"此案" 4
"没" 4
"爹" 4
"甚" 4
"知" 4
"自然" 4
"荣" 4
"葫芦庙" 4
"要" 4
"语" 4
"起身" 4
"三日" 3
"世" 3
"乃是" 3
"之后" 3
"乩" 3
"了结" 3
"二则" 3
"于" 3
"五岁" 3
"亲友" 3
"人情" 3
"今日" 3
"他们" 3
"仙" 3
"件" 3
"任意" 3
"传" 3
"余" 3
"侍" 3
"依" 3
"保" 3
"俱" 3
"倒" 3
"偷" 3
"儿" 3
"充" 3
"养" 3
"内" 3
"几年" 3
"出去" 3
"加" 3
"动" 3
"势" 3
"单" 3
"原告" 3
"另" 3
"只得" 3
"只管" 3
"可知" 3
"叹" 3
"告" 3
"呢" 3
"命" 3
"和" 3
"喜" 3
"埋" 3
"妹" 3
"姨" 3
"宅" 3
"定" 3
"实" 3
"宦" 3
"居住" 3
"府" 3
"待" 3
"必" 3
"恩" 3
"意" 3
"成" 3
"我们" 3
"房" 3
"房屋" 3
"拖" 3
"拘" 3
"拜见" 3
"收拾" 3
"故" 3
"料" 3
"未免" 3
"本" 3
"极" 3
"死者" 3
"比" 3
"法" 3
"烧" 3
"然" 3
"父亲" 3
"王子腾" 3
"略" 3
"私" 3
"紧" 3
"而已" 3
"花" 3
"若" 3
"薛姨妈" 3
"行" 3
"话" 3
"请" 3
"读书" 3
"谁" 3
"谁知" 3
"费" 3
"贾母" 3
"起" 3
"趁" 3
"边" 3
"这个" 3
"这样" 3
"连" 3
"遇" 3
"遇见" 3
"部" 3
"金陵" 3
"针" 3
"除" 3
"领" 3
"黛玉" 3
"黹" 3
"一处" 2
"一概" 2
"一般" 2
"上面" 2
"不但" 2
"不妥" 2
"世事" 2
"主人" 2
"主意" 2
"乐业" 2
"习" 2
"乡绅" 2
"二" 2
"云" 2
"交" 2
"人氏" 2
"仗" 2
"任" 2
"伙计" 2
"何" 2
"何尝" 2
"何必" 2
"俗" 2
"倚" 2
"停" 2
"偶然" 2
"儿女" 2
"兄弟" 2
"光景" 2
"入" 2
"入学" 2
"公" 2
"冗杂" 2
"写" 2
"况" 2
"况且" 2
"冷笑" 2
"几处" 2
"几日" 2
"出入" 2
"十" 2
"十倍" 2
"厮" 2
"反" 2
"取名" 2
"叙" 2
"口碑" 2
"可以" 2
"各" 2
"合家" 2
"听说" 2
"哄" 2
"哥" 2
"哥哥" 2
"唤" 2
"善" 2
"嘱托" 2
"国" 2
"土物" 2
"地" 2
"坐堂" 2
"夹道" 2
"夺" 2
"奔" 2
"女子" 2
"奴" 2
"奴仆" 2
"妾" 2
"姐儿" 2
"姓" 2
"孤" 2
"完" 2
"官爵" 2
"宝钗" 2
"客" 2
"家中" 2
"家里" 2
"对" 2
"尚" 2
"工夫" 2
"年纪" 2
"年轻" 2
"引" 2
"当年" 2
"心中" 2
"忧闷" 2
"念" 2
"忽" 2
"怀" 2
"性" 2
"愁" 2
"意欲" 2
"或是" 2
"打扫" 2
"抄" 2
"抄写" 2
"把" 2
"投" 2
"择" 2
"拷问" 2
"挥霍" 2
"损" 2
"支" 2
"放" 2
"故人" 2
"敢" 2
"文书" 2
"斟酌" 2
"新" 2
"方向" 2
"方才" 2
"无奈" 2
"早已" 2
"明日" 2
"暗中" 2
"暮年" 2
"曰" 2
"望" 2
"未" 2
"未必" 2
"本地" 2
"本省" 2
"李" 2
"李纨" 2
"来往" 2
"某" 2
"案" 2
"正要" 2
"死鬼" 2
"气" 2
"沙弥" 2
"渐渐" 2
"照应" 2
"父" 2
"王府" 2
"王氏" 2
"现" 2
"现任" 2
"生意" 2
"男" 2
"留" 2
"相让" 2
"移居" 2
"空" 2
"立意" 2
"第二个" 2
"算" 2
"管" 2
"素" 2
"约" 2
"纵" 2
"结" 2
"罢" 2
"老家" 2
"而" 2
"耐" 2
"职" 2
"脱" 2
"臭" 2
"舅" 2
"节度使" 2
"苦留" 2
"荣国府" 2
"营" 2
"补" 2
"解" 2
"言" 2
"计" 2
"计议" 2
"认" 2
"认得" 2
"让" 2
"记" 2
"记得" 2
"诗" 2
"详" 2
"谈" 2
"豪" 2
"贤" 2
"贫贱" 2
"贾珍" 2
"赖" 2
"起来" 2
"过门" 2
"这些" 2
"这里" 2
"送" 2
"逃走" 2
"选" 2
"递" 2
"通" 2
"酒" 2
"酷爱" 2
"里" 2
"重" 2
"钱粮" 2
"长" 2
"门" 2
"陪" 2
"隆" 2
"顺" 2
"一一" 1
"一件" 1
"一则" 1
"一千" 1
"一半" 1
"一向" 1
"一场" 1
"一定" 1
"一对" 1
"一年" 1
"一并" 1
"一所" 1
"一打" 1
"一时" 1
"一月" 1
"一点" 1
"一番" 1
"一眼" 1
"一种" 1
"一路" 1
"一门" 1
"七八年" 1
"万" 1
"三" 1
"三两日" 1
"三则" 1
"三四种" 1
"三家" 1
"三思" 1
"三百里" 1
"上下" 1
"上京" 1
"上来" 1
"下棋" 1
"下车" 1
"下面" 1
"下马" 1
"不俗" 1
"不再" 1
"不可" 1
"不如" 1
"不少" 1
"不必" 1
"不忍" 1
"不成" 1
"不然" 1
"不知死活" 1
"不要" 1
"不谙" 1
"不难" 1
"世上" 1
"世交" 1
"东北" 1
"东海缺少白玉床" 1
"东边" 1
"两" 1
"两处" 1
"两层" 1
"两岁" 1
"丧" 1
"丧偶" 1
"个头" 1
"个私" 1
"丫鬟" 1
"中人" 1
"丰年" 1
"丰年好大雪" 1
"主仆" 1
"举止" 1
"之中" 1
"九" 1
"也好" 1
"乡" 1
"书信" 1
"书香" 1
"买主" 1
"买卖" 1
"乳名" 1
"了得" 1
"争" 1
"事体" 1
"事关" 1
"事务" 1
"事情" 1
"二封" 1
"亏" 1
"五六岁" 1
"五百" 1
"井" 1
"亡" 1
"产" 1
"京都" 1
"亲密" 1
"亲戚" 1
"亲自" 1
"人口" 1
"人品" 1
"人夫" 1
"人家" 1
"人犯" 1
"人称" 1
"今年" 1
"介意" 1
"从此" 1
"仕" 1
"他乡" 1
"他家" 1
"以及" 1
"以来" 1
"以至" 1
"价" 1
"众" 1
"众人" 1
"众多" 1
"会" 1
"伴" 1
"低" 1
"住不下金陵一个史" 1
"何不" 1
"何其" 1
"何处" 1
"何故" 1
"佚" 1
"作主" 1
"使眼色" 1
"侍从" 1
"供" 1
"供给" 1
"便宜" 1
"信" 1
"修行" 1
"俱全" 1
"倘若" 1
"值得" 1
"偿债" 1
"傲慢" 1
"僻静" 1
"儿子" 1
"儿戏" 1
"兄" 1
"兄嫂" 1
"免" 1
"兑" 1
"全然" 1
"八九年" 1
"公主" 1
"公人" 1
"公私" 1
"共" 1
"其余" 1
"具" 1
