"词语" "次数"
"了" 175
"的" 148
"道" 85
"是" 75
"不" 60
"我" 57
"人" 53
"说" 52
"他" 51
"着" 49
"去" 48
"笑" 44
"这" 44
"也" 43
"宝玉" 43
"又" 41
"你" 40
"来" 40
"上" 37
"就" 32
"一" 31
"好" 30
"晴" 30
"月" 30
"雯" 30
"麝" 30
"有" 29
"只" 27
"在" 25
"那" 24
"便" 21
"袭" 21
"大" 20
"倒" 19
"子" 19
"凤" 18
"给" 18
"要" 18
"都" 18
"些" 17
"儿" 17
"家" 17
"拿" 17
"看" 17
"姐儿" 16
"小" 16
"得" 16
"罢" 16
"药" 16
"下" 15
"们" 15
"你们" 15
"叫" 15
"一面" 14
"见" 14
"还" 14
"再" 13
"嬷嬷" 13
"才" 13
"里" 13
"吃" 12
"大夫" 12
"怀古" 12
"一个" 11
"出去" 11
"别" 11
"呢" 11
"回" 11
"太太" 11
"王" 11
"等" 11
"老" 11
"那里" 11
"冷" 10
"出来" 10
"听" 10
"如何" 10
"我们" 10
"把" 10
"睡" 10
"知道" 10
"穿" 10
"一件" 9
"与" 9
"东西" 9
"两个" 9
"个" 9
"命" 9
"如今" 9
"时" 9
"自" 9
"若" 9
"过" 9
"这里" 9
"中" 8
"其" 8
"内" 8
"出" 8
"周" 8
"咱们" 8
"唬" 8
"奶奶" 8
"带" 8
"方" 8
"比" 8
"瑞" 8
"一块" 7
"为" 7
"事" 7
"先" 7
"和" 7
"因" 7
"坐" 7
"多" 7
"夫人" 7
"姑娘" 7
"婆" 7
"将" 7
"小姐" 7
"屋里" 7
"忙" 7
"想" 7
"放" 7
"无" 7
"气" 7
"用" 7
"花" 7
"虽" 7
"请" 7
"起" 7
"香" 7
"众人" 6
"到" 6
"只见" 6
"坟" 6
"头" 6
"如" 6
"母" 6
"没" 6
"皆" 6
"答应" 6
"素日" 6
"自己" 6
"被" 6
"起来" 6
"进来" 6
"银子" 6
"门" 6
"问" 6
"一时" 5
"一样" 5
"两" 5
"两声" 5
"丫头" 5
"之" 5
"二" 5
"什么" 5
"件" 5
"会" 5
"作" 5
"包袱" 5
"取" 5
"后" 5
"吩咐" 5
"听说" 5
"告诉" 5
"太医" 5
"宝" 5
"开" 5
"快" 5
"怕" 5
"房" 5
"手" 5
"掖" 5
"暖" 5
"暖和" 5
"更" 5
"果" 5
"毛" 5
"毡" 5
"没有" 5
"渥" 5
"漱" 5
"病" 5
"知" 5
"考" 5
"自然" 5
"至" 5
"袄" 5
"话" 5
"连" 5
"钱" 5
"风" 5
"饭" 5
"一两" 4
"三" 4
"不知" 4
"从" 4
"他们" 4
"位" 4
"冻" 4
"别人" 4
"动" 4
"包" 4
"十" 4
"单" 4
"原" 4
"可" 4
"向" 4
"园" 4
"外头" 4
"夜" 4
"大红" 4
"天" 4
"太" 4
"少" 4
"幔" 4
"平" 4
"并" 4
"弄" 4
"当" 4
"怪" 4
"成" 4
"戥" 4
"披" 4
"拣" 4
"枳实" 4
"正" 4
"死" 4
"添" 4
"真" 4
"笼" 4
"素" 4
"茶" 4
"衣裳" 4
"说话" 4
"说道" 4
"谁" 4
"贾" 4
"跟" 4
"这些" 4
"这话" 4
"醒" 4
"重" 4
"马" 4
"麻黄" 4
"一夜" 3
"一日" 3
"不成" 3
"两件" 3
"两首" 3
"之后" 3
"人家" 3
"今儿" 3
"伏" 3
"传" 3
"似的" 3
"住" 3
"使" 3
"例" 3
"侍" 3
"偏" 3
"关" 3
"分" 3
"到底" 3
"劝" 3
"半碗" 3
"却" 3
"古迹" 3
"另" 3
"只管" 3
"叹" 3
"后门" 3
"唤" 3
"嗽" 3
"嘱咐" 3
"回避" 3
"埋" 3
"处" 3
"外间" 3
"多少" 3
"大家" 3
"夫子" 3
"女" 3
"小厮" 3
"已" 3
"往" 3
"悄悄的" 3
"打发" 3
"找" 3
"方才" 3
"早" 3
"明儿" 3
"最" 3
"来回" 3
"杨树" 3
"松柏" 3
"柜子" 3
"格" 3
"桃" 3
"水" 3
"派" 3
"流" 3
"热" 3
"煎" 3
"熏" 3
"爷" 3
"猩猩" 3
"疏散" 3
"白" 3
"皮" 3
"瞧瞧" 3
"竟" 3
"衣" 3
"褂子" 3
"觉" 3
"走" 3
"车" 3
"边" 3
"这么" 3
"进去" 3
"送" 3
"那么" 3
"金" 3
"钗" 3
"铺盖" 3
"长" 3
"阁" 3
"骨" 3
"一口" 2
"一回" 2
"一声" 2
"一定" 2
"一辆" 2
"下人" 2
"不可" 2
"不好" 2
"不如" 2
"不觉" 2
"不说" 2
"不过" 2
"且" 2
"丝" 2
"个人" 2
"丫鬟" 2
"习" 2
"乱" 2
"亮" 2
"以" 2
"以后" 2
"休" 2
"伤寒" 2
"何况" 2
"便道" 2
"催" 2
"八" 2
"况且" 2
"冷风" 2
"减" 2
"凡" 2
"划" 2
"刻" 2
"剂" 2
"前" 2
"半日" 2
"半旧" 2
"受用" 2
"口" 2
"只怕" 2
"史" 2
"叶" 2
"各" 2
"各色" 2
"吊" 2
"响" 2
"喊" 2
"嚷" 2
"四个" 2
"回来" 2
"在内" 2
"在家" 2
"声" 2
"外边" 2
"多事" 2
"夹" 2
"女人" 2
"如此" 2
"妙" 2
"妥当" 2
"妹妹" 2
"姐" 2
"姐姐" 2
"嫌" 2
"孩儿" 2
"宁可" 2
"守" 2
"容易" 2
"尚" 2
"尽" 2
"屋子" 2
"已经" 2
"帘" 2
"常" 2
"年下" 2
"广" 2
"心" 2
"怎么" 2
"总" 2
"总管" 2
"惯" 2
"惹" 2
"或" 2
"房子" 2
"手炉" 2
"打" 2
"打扮" 2
"打点" 2
"据" 2
"掂" 2
"接" 2
"掩" 2
"揭" 2
"摸" 2
"敢" 2
"敬爱" 2
"新" 2
"早起" 2
"时气" 2
"时节" 2
"明" 2
"映" 2
"春" 2
"晚上" 2
"曾" 2
"有的" 2
"李" 2
"果然" 2
"棉袄" 2
"正是" 2
"正要" 2
"求" 2
"汉" 2
"汤" 2
"治" 2
"沾" 2
"洗手" 2
"涮" 2
"温水" 2
"滞" 2
"火盆" 2
"灯" 2
"灰鼠" 2
"烟" 2
"烧" 2
"然后" 2
"照管" 2
"熟" 2
"物" 2
"生气" 2
"甸" 2
"短" 2
"禁" 2
"禁不起" 2
"空" 2
"站" 2
"笑话" 2
"算" 2
"管" 2
"红" 2
"红绸" 2
"纨" 2
"绣" 2
"绣房" 2
"罗" 2
"罩" 2
"羽纱" 2
"老婆子" 2
"老爷" 2
"脉" 2
"芳" 2
"茗" 2
"药方" 2
"莫" 2
"蝎" 2
"螫" 2
"螺" 2
"裙" 2
"褂" 2
"西" 2
"诊" 2
"该死" 2
"象" 2
"赏" 2
"赔" 2
"赤壁" 2
"走走" 2
"起身" 2
"越发" 2
"跑" 2
"跳" 2
"身" 2
"身子" 2
"轻" 2
"这个" 2
"这样" 2
"进" 2
"遣" 2
"采药" 2
"野" 2
"鉴" 2
"铜" 2
"银鼠" 2
"铺床" 2
"闹" 2
"防" 2
"随后" 2
"难" 2
"难道" 2
"雪" 2
"须" 2
"顽" 2
"题" 2
"风流" 2
"飞" 2
"饮食" 2
"黑" 2
"齐" 2
"一一" 1
"一丝" 1
"一两间" 1
"一个一个" 1
"一位" 1
"一切" 1
"一则" 1
"一句" 1
"一场" 1
"一年" 1
"一把" 1
"一旦" 1
"一棵" 1
"一次" 1
"一站" 1
"一肚子" 1
"一般" 1
"一辈子" 1
"一阵" 1
"一齐" 1
"七" 1
"万古" 1
"三件" 1
"三分" 1
"三四个" 1
"三寸" 1
"三岁" 1
"上头" 1
"上来" 1
"上次" 1
"上面" 1
"下去" 1
"下雪" 1
"不免" 1
"不在话下" 1
"不大" 1
"不妨" 1
"不少" 1
"不曾" 1
"不止" 1
"不然" 1
"不畏" 1
"不相干" 1
"不禁" 1
"不能" 1
"不要" 1
"不许" 1
"不顾" 1
"世俗" 1
"业已" 1
"东" 1
"东寺" 1
"东洋" 1
