"词语" "次数"
"了" 158
"的" 106
"着" 61
"是" 59
"来" 55
"不" 50
"又" 46
"有" 45
"说" 44
"贾母" 40
"人" 38
"上" 37
"便" 36
"贾珍" 36
"一" 35
"这" 35
"道" 35
"你" 34
"去" 33
"之" 32
"也" 30
"等" 30
"在" 29
"我" 29
"他" 28
"贾蓉" 24
"下" 23
"只" 23
"皆" 23
"笑" 23
"大" 22
"至" 22
"命" 21
"将" 20
"那" 20
"都" 19
"内" 18
"看" 18
"过" 18
"与" 17
"吃" 17
"领" 17
"些" 16
"家" 16
"尤氏" 16
"就" 16
"忙" 16
"回" 15
"小" 15
"设" 15
"请" 15
"中" 14
"绣" 14
"于" 13
"向" 13
"捧" 13
"银子" 13
"到" 12
"或" 12
"酒" 12
"里" 12
"一个" 11
"亦" 11
"们" 11
"供" 11
"各" 11
"因" 11
"坐" 11
"已" 11
"并" 11
"府" 11
"毕" 11
"赏" 11
"送" 11
"一面" 10
"事" 10
"二" 10
"传" 10
"出" 10
"前" 10
"宝玉" 10
"年" 10
"才" 10
"无" 10
"爷" 10
"者" 10
"进" 10
"二十个" 9
"写" 9
"如今" 9
"方" 9
"正" 9
"每" 9
"物" 9
"要" 9
"见" 9
"走" 9
"还" 9
"这边" 9
"钱" 9
"个" 8
"从" 8
"共" 8
"再" 8
"凤姐" 8
"叫" 8
"子" 8
"字" 8
"王夫人" 8
"用" 8
"花" 8
"虽" 8
"贾敬" 8
"贾赦" 8
"轿" 8
"进来" 8
"邢夫人" 8
"那里" 8
"门" 8
"东西" 7
"两边" 7
"乌进孝" 7
"众人" 7
"你们" 7
"倒" 7
"只见" 7
"各色" 7
"和" 7
"咱们" 7
"外" 7
"多" 7
"好" 7
"得" 7
"恩" 7
"摆" 7
"榻" 7
"礼" 7
"罢" 7
"老" 7
"茶" 7
"西" 7
"贾芹" 7
"一时" 6
"不能" 6
"什么" 6
"他们" 6
"仪" 6
"众" 6
"作" 6
"使" 6
"儿" 6
"先" 6
"几" 6
"列" 6
"厅" 6
"取" 6
"呢" 6
"回来" 6
"头" 6
"妻" 6
"婶" 6
"完" 6
"小厮" 6
"彩" 6
"慧" 6
"放" 6
"敢" 6
"李" 6
"男" 6
"祖" 6
"祭" 6
"竟" 6
"金" 6
"阶" 6
"高" 6
"一回" 5
"一年" 5
"一张" 5
"上面" 5
"东" 5
"今年" 5
"几日" 5
"凤" 5
"则" 5
"别" 5
"却" 5
"后" 5
"听" 5
"大门" 5
"女" 5
"姊妹" 5
"宗祠" 5
"带" 5
"干" 5
"开" 5
"悬" 5
"按" 5
"换" 5
"时" 5
"晴雯" 5
"暖" 5
"此" 5
"汤" 5
"没" 5
"焚" 5
"留" 5
"直" 5
"穷" 5
"荣" 5
"薛姨妈" 5
"褥" 5
"诸" 5
"这里" 5
"连" 5
"银" 5
"随" 5
"香" 5
"黑" 5
"一副" 4
"一起" 4
"三" 4
"上下" 4
"且" 4
"两" 4
"为" 4
"五十" 4
"今儿" 4
"会" 4
"光" 4
"其" 4
"净" 4
"分" 4
"单子" 4
"及" 4
"口袋" 4
"另" 4
"听见" 4
"器" 4
"堂" 4
"堆" 4
"天" 4
"姐儿" 4
"宁府" 4
"宝琴" 4
"寺" 4
"屏" 4
"廊" 4
"归" 4
"当" 4
"怎么" 4
"怕" 4
"想" 4
"戏" 4
"我们" 4
"房" 4
"所" 4
"所以" 4
"手" 4
"手里" 4
"拿" 4
"挂" 4
"接" 4
"搭" 4
"散" 4
"文" 4
"斛" 4
"日" 4
"桌上" 4
