"词语" "次数"
"了" 167
"的" 152
"我" 95
"不" 91
"他" 81
"是" 80
"说" 78
"你" 71
"也" 70
"儿" 58
"人" 57
"有" 56
"来" 53
"又" 47
"这" 47
"道" 47
"姑娘" 41
"平" 41
"春" 41
"探" 40
"着" 40
"便" 37
"都" 36
"去" 35
"一" 32
"奶奶" 31
"忙" 31
"笑" 31
"事" 28
"就" 27
"你们" 26
"个" 25
"太太" 25
"出" 24
"上" 23
"只" 23
"好" 23
"姨娘" 23
"没" 23
"回" 22
"二" 21
"凤" 21
"如今" 21
"那" 21
"媳妇" 20
"之" 19
"李" 19
"纨" 19
"赵" 19
"问" 19
"一个" 18
"等" 18
"什么" 17
"别" 17
"在" 17
"小" 17
"我们" 17
"还" 17
"叫" 16
"要" 16
"话" 16
"一面" 15
"因" 15
"坐" 15
"家" 15
"才" 15
"若" 15
"与" 14
"且" 14
"们" 14
"倒" 14
"吃" 14
"赏" 14
"过" 14
"两个" 13
"听" 13
"知道" 13
"这里" 13
"姐儿" 12
"得" 12
"敢" 12
"看" 12
"谁" 12
"三" 11
"他们" 11
"出来" 11
"吴" 11
"大" 11
"子" 11
"宝" 11
"已" 11
"想" 11
"拿" 11
"添" 11
"皆" 11
"罢" 11
"里" 11
"饭" 11
"于" 10
"先" 10
"再" 10
"呢" 10
"和" 10
"多" 10
"将" 10
"更" 10
"比" 10
"下" 9
"众" 9
"咱们" 9
"把" 9
"捧" 9
"时" 9
"正" 9
"王" 9
"老太太" 9
"难" 9
"丫头" 8
"主意" 8
"到" 8
"办" 8
"厅" 8
"原" 8
"夫人" 8
"头" 8
"心里" 8
"拉扯" 8
"新" 8
"方" 8
"环" 8
"登" 8
"脸" 8
"见" 8
"该" 8
"银子" 8
"些" 7
"众人" 7
"偏" 7
"大事" 7
"完" 7
"忘" 7
"早" 7
"明白" 7
"满" 7
"省" 7
"虽" 7
"说道" 7
"进来" 7
"连" 7
"钗" 7
"一件" 6
"一时" 6
"不知" 6
"丫鬟" 6
"中" 6
"为" 6
"亦" 6
"伏" 6
"作" 6
"例" 6
"侍" 6
"做" 6
"凡" 6
"可" 6
"向" 6
"告诉" 6
"命" 6
"处" 6
"外头" 6
"姐" 6
"屋里" 6
"并" 6
"怎么" 6
"怕" 6
"故" 6
"死" 6
"气" 6
"没脸" 6
"疼" 6
"知" 6
"秋" 6
"管" 6
"纹" 6
"至" 6
"袭" 6
"让" 6
"起来" 6
"还有" 6
"这么" 6
"这些" 6
"那里" 6
"陪" 6
"领" 6
"主子" 5
"书" 5
"争" 5
"伺候" 5
"依" 5
"减" 5
"几年" 5
"出去" 5
"却" 5
"只见" 5
"听说" 5
"哥" 5
"多少" 5
"宝玉" 5
"小姐" 5
"待" 5
"快" 5
"或" 5
"找" 5
"月" 5
"每日" 5
"沐" 5
"现" 5
"用" 5
"盆" 5
"站" 5
"答应" 5
"糊涂" 5
"舅舅" 5
"许多" 5
"走" 5
"起" 5
"面" 5
"驳" 5
"一年" 4
"一日" 4
"一样" 4
"不过" 4
"中用" 4
"二十两" 4
"亏" 4
"令" 4
"会" 4
"兄弟" 4
"免" 4
"兰" 4
"利害" 4
"前" 4
"口" 4
"只得" 4
"只管" 4
"各" 4
"嘱咐" 4
"回话" 4
"外" 4
"姨奶奶" 4
"学" 4
"家里" 4
"将来" 4
"庶出" 4
"开" 4
"心" 4
"按" 4
"无" 4
"既" 4
"早已" 4
"暂" 4
"未" 4
"混" 4
"照看" 4
"生" 4
"碰" 4
"竟" 4
"算" 4
"素日" 4
"虽然" 4
"觉" 4
"调养" 4
"难道" 4
"一处" 3
"一月" 3
"一番" 3
"三个" 3
"三四个" 3
"不成" 3
"不能" 3
"两" 3
"两三个" 3
"丰" 3
"乐" 3
"今" 3
"但" 3
"住" 3
"何苦" 3
"使" 3
"俗语" 3
"俭" 3
"八两" 3
"养" 3
"几件" 3
"出气" 3
"别人" 3
"劝" 3
"办事" 3
"原故" 3
"哭" 3
"商议" 3
"四十两" 3
"回去" 3
"回来" 3
"园" 3
"地" 3
"坐下" 3
"声" 3
"够" 3
"大家" 3
"太" 3
"失" 3
"如" 3
"妹妹" 3
"姐姐" 3
"安" 3
"帐" 3
"应" 3
"往" 3
"必" 3
"急" 3
"恐怕" 3
"恨" 3
"恩" 3
"悄悄的" 3
"托" 3
"抱怨" 3
"接" 3
"放" 3
"散" 3
"旁" 3
"旧" 3
"替" 3
"查" 3
"正要" 3
"每人" 3
"没有" 3
"漱" 3
"爷" 3
"牌" 3
"理" 3
"省亲" 3
"眼里" 3
"空儿" 3
"端" 3
"笑话" 3
"系" 3
"素" 3
"红" 3
"给" 3
"老" 3
"膀臂" 3
"膝" 3
"花" 3
"茶" 3
"菜" 3
"行" 3
"规矩" 3
"言语" 3
"请" 3
"越" 3
"越发" 3
"踩" 3
"过来" 3
"这个" 3
"这话" 3
"进" 3
"那个" 3
"里头" 3
"钱" 3
"闹" 3
"高" 3
"一二件" 2
"一位" 2
"一句" 2
"一条" 2
"一次" 2
"一百件" 2
"一边" 2
"一项" 2
"三间" 2
"上学" 2
"上房" 2
"下人" 2
"下来" 2
"不依" 2
"不得" 2
"不独" 2
"两件" 2
"为什么" 2
"之后" 2
"买" 2
"二两" 2
"二则" 2
"云" 2
"亲" 2
"亲戚" 2
"人家" 2
"今儿" 2
"仍" 2
"从" 2
"以" 2
"任" 2
"伸" 2
"使用" 2
"侯" 2
"倒好" 2
"倘或" 2
"偷" 2
"元宵" 2
"六十两" 2
"冷笑" 2
"几次" 2
"凭" 2
"出门" 2
"分" 2
"刚" 2
"别的" 2
"刻薄" 2
"动" 2
"十分" 2
"午" 2
"南" 2
"原来" 2
"及" 2
"反" 2
"发" 2
"取" 2
"只不过" 2
"可以" 2
"可巧" 2
"可惜" 2
"吃饭" 2
"各处" 2
"同" 2
"后" 2
"听听" 2
"听见" 2
"吹" 2
"咱" 2
"咽" 2
"四" 2
"四个" 2
"回头" 2
"国" 2
"在先" 2
"在家" 2
"坏" 2
"垂" 2
"基" 2
"复" 2
"夜" 2
"女" 2
"奴才" 2
"好生" 2
"如此" 2
"妥当" 2
"姑娘家" 2
"婆" 2
"安静" 2
"宽" 2
"小看" 2
"少" 2
"尚" 2
"巡" 2
"工夫" 2
"己" 2
"巾帕" 2
"帮" 2
"干" 2
"年下" 2
"幸亏" 2
"府" 2
"庶" 2
"开端" 2
"弄" 2
"强" 2
"往日" 2
"德" 2
"心中" 2
"心疼" 2
"忽" 2
"性" 2
"怨不得" 2
"恐" 2
"恩典" 2
"悄" 2
"悄悄" 2
"成" 2
"手" 2
"手里" 2
"打" 2
"打听" 2
"执" 2
"抬" 2
"抽" 2
"拣" 2
"挑" 2
"挽" 2
"操心" 2
"擒" 2
"支" 2
"支使" 2
"收" 2
"斗" 2
"料理" 2
"斟酌" 2
"方才" 2
"旧例" 2
"明儿" 2
"昨日" 2
"暇" 2
"最" 2
"月钱" 2
"有些" 2
"服药" 2
"本来" 2
"来往" 2
"极" 2
"林" 2
"榜样" 2
"欺" 2
"歇" 2
"止" 2
"正经" 2
"此" 2
"此时" 2
"每" 2
"毕" 2
"治" 2
"法子" 2
"润" 2
"渐" 2
"渐渐" 2
"照管" 2
"熬" 2
"男人" 2
"症" 2
"白" 2
"盥" 2
"真" 2
"瞧" 2
"石头" 2
"破" 2
"祖宗" 2
"立" 2
"粗心" 2
"精致" 2
"纵" 2
"细细" 2
"者" 2
"自" 2
"自己" 2
"自然" 2
"茶房" 2
"荣" 2
"藐视" 2
"虑" 2
"表白" 2
"褥" 2
"讨" 2
"议论" 2
"记" 2
"论" 2
"谁知" 2
"谢" 2
"谨慎" 2
"象" 2
"起身" 2
"跑" 2
"跟前" 2
"边" 2
"还要" 2
"进去" 2
"迟" 2
"造化" 2
"道理" 2
"那些" 2
"那时" 2
"酒" 2
"银" 2
"镜" 2
"门外" 2
"问道" 2
"隔" 2
"青年" 2
"靶" 2
"饭桌" 2
"一万" 1
"一两件" 1
"一个一个" 1
"一则" 1
"一回" 1
"一声" 1
"一天" 1
"一定" 1
"一家子" 1
"一层" 1
"一张" 1
"一文" 1
"一概" 1
"一步" 1
"一点" 1
"一百" 1
"一百两" 1
"一直" 1
"一碗" 1
