"词语" "次数"
"的" 188
"了" 179
"是" 120
"也" 102
"不" 88
"人" 83
"道" 80
"说" 71
"他" 68
"有" 67
"我" 63
"笑" 63
"这" 62
"来" 59
"又" 54
"去" 47
"都" 46
"宝玉" 43
"他们" 42
"你" 40
"你们" 38
"姑娘" 34
"就" 32
"我们" 32
"们" 29
"便" 27
"上" 26
"那" 26
"事" 25
"只" 25
"贾母" 25
"一个" 24
"儿" 23
"探春" 23
"着" 23
"之" 22
"忙" 22
"还" 22
"里" 22
"一" 21
"些" 21
"得" 21
"个" 20
"四" 20
"没" 20
"看" 20
"好" 19
"用" 19
"竟" 19
"中" 18
"叫" 18
"在" 18
"与" 17
"出" 17
"到" 17
"多" 17
"大" 17
"子" 17
"钱" 17
"一年" 16
"和" 16
"因" 16
"宝钗" 16
"平儿" 16
"才" 16
"李纨" 16
"小" 15
"若" 15
"虽" 15
"见" 15
"为" 14
"奶奶" 14
"想" 14
"听" 13
"回" 13
"要" 13
"这些" 13
"进" 13
"三" 12
"什么" 12
"如今" 12
"没有" 12
"老太太" 12
"买" 11
"几个" 11
"园" 11
"太太" 11
"比" 11
"等" 11
"这个" 11
"这样" 11
"交" 10
"使" 10
"倒" 10
"原" 10
"可" 10
"园子" 10
"帐" 10
"带" 10
"话" 10
"吃" 9
"咱们" 9
"弄" 9
"房" 9
"更" 9
"生" 9
"算" 9
"管" 9
"自己" 9
"过" 9
"那里" 9
"问" 9
"一样" 8
"下" 8
"东西" 8
"会" 8
"再" 8
"分" 8
"却" 8
"命" 8
"大家" 8
"如何" 8
"如此" 8
"家" 8
"所以" 8
"把" 8
"梦" 8
"自然" 8
"丫鬟" 7
"京" 7
"偏" 7
"出来" 7
"利" 7
"别" 7
"单" 7
"只见" 7
"呢" 7
"岂" 7
"拿" 7
"无" 7
"银子" 7
"一句" 6
"一面" 6
"不知" 6
"不过" 6
"买办" 6
"亦" 6
"众" 6
"取" 6
"处" 6
"头" 6
"姨娘" 6
"婆" 6
"将" 6
"并" 6
"归" 6
"必" 6
"怎么" 6
"既" 6
"照看" 6
"罢" 6
"者" 6
"自" 6
"行" 6
"补" 6
"该" 6
"说道" 6
"请安" 6
"走" 6
"起" 6
"这里" 6
"一时" 5
"余" 5
"作" 5
"内" 5
"别的" 5
"办" 5
"动" 5
"听见" 5
"哥" 5
"回来" 5
"女人" 5
"妈妈" 5
"年" 5
"年终" 5
"往" 5
"很" 5
"成" 5
"所" 5
"手" 5
"找" 5
"拉" 5
"方" 5
"替" 5
"榻" 5
"此" 5
"王夫人" 5
"皆" 5
"看见" 5
"真" 5
"知" 5
"臭" 5
"至" 5
"花" 5
"起来" 5
"辛苦" 5
"酒" 5
"顽" 5
"一声" 4
"不如" 4
"不必" 4
"不成" 4
"主子" 4
"二" 4
"于" 4
"人家" 4
"体统" 4
"全" 4
"出去" 4
"利息" 4
"剩" 4
"十二匹" 4
"原来" 4
"反" 4
"可以" 4
"各" 4
"同" 4
"四个" 4
"坐" 4
"外" 4
"大夫" 4
"大概" 4
"如" 4
"学问" 4
"完" 4
"官" 4
"少" 4
"干" 4
"心" 4
"心里" 4
"怡红院" 4
"打" 4
"放" 4
"敢" 4
"有人" 4
"枉" 4
"正事" 4
"气" 4
"湘云" 4
"照" 4
"物" 4
"甚" 4
"疑惑" 4
"白" 4
"省" 4
"睡" 4
"瞧" 4
"礼数" 4
"素日" 4
"纵" 4
"给" 4
"缎" 4
"老妈妈" 4
"能" 4
"花园" 4
"莺儿" 4
"词" 4
"诧异" 4
"语" 4
"这话" 4
"迟" 4
"镜子" 4
"问道" 4
"闹" 4
"除" 4
"除了" 4
"一则" 3
"一半" 3
"一味" 3
"一片" 3
"一般" 3
"一行" 3
"不可" 3
"且" 3
"两个" 3
"丫头" 3
"之外" 3
"二两" 3
"今年" 3
"今日" 3
"从" 3
"代" 3
"令" 3
"以" 3
"众人" 3
"似" 3
"住" 3
"作践" 3
"使不得" 3
"信" 3
"值钱" 3
"做" 3
"兴" 3
"其" 3
"几" 3
"前" 3
"卖" 3
"受" 3
"口" 3
"叶妈" 3
"同名" 3
"向" 3
"听说" 3
"告诉" 3
"商议" 3
"喜欢" 3
"外头" 3
"多少" 3
"大人" 3
"天" 3
"天天" 3
"失" 3
"头油" 3
"姊妹" 3
"姐姐" 3
"娘" 3
"孔子" 3
"安" 3
"宫" 3
"家务" 3
"家里" 3
"宽裕" 3
"小厮" 3
"小姐" 3
"已" 3
"常情" 3
"府" 3
"当" 3
"待" 3
"心中" 3
"快" 3
"性情" 3
"怪" 3
"意" 3
"所有" 3
"打发" 3
"打扫" 3
"按" 3
"接" 3
"提" 3
"收" 3
"断" 3
"早" 3
"未" 3
"未了" 3
"朱" 3
"权" 3
"模样" 3
"正" 3
"正是" 3
"正经" 3
"此刻" 3
"每" 3
"每年" 3
"每月" 3
"治" 3
"派" 3
"淘气" 3
"甄" 3
"疼" 3
"病" 3
"省钱" 3
"眼" 3
"空" 3
"竹子" 3
"管家" 3
"粘" 3
"细" 3
"老爷" 3
"胡" 3
"脱" 3
"蘅芜苑" 3
"虚" 3
"袭人" 3
"请" 3
"谈" 3
"费" 3
"赏" 3
"越发" 3
"跟" 3
"过来" 3
"还有" 3
"进来" 3
"送" 3
"那些" 3
"那时" 3
"里头" 3
"钱粮" 3
"须" 3
"顾" 3
"预备" 3
"领" 3
"一件" 2
"一场" 2
"一套" 2
"一层" 2
"一所" 2
"一月" 2
"一番" 2
"上学" 2
"下来" 2
"不依" 2
"不免" 2
"不然" 2
"不觉" 2
"不许" 2
"世交" 2
"丢" 2
"两家" 2
"也罢" 2
"二则" 2
"交给" 2
"亲" 2
"人道" 2
"仍" 2
"他家" 2
"伏" 2
"但" 2
"位" 2
"何" 2
"依" 2
"依然" 2
"修理" 2
"俱" 2
"倘或" 2
"儿子" 2
"入" 2
"再者" 2
"冷眼" 2
"几宗" 2
"几样" 2
"凡" 2
"凤" 2
"凭" 2
"出口" 2
"刁钻古怪" 2
"分内" 2
"刚" 2
"别人" 2
"剔" 2
"加" 2
"包" 2
"匠" 2
"十分" 2
"半" 2
"原故" 2
"变" 2
"另" 2
"只怕" 2
"只管" 2
"可怜" 2
"可惜" 2
"可知" 2
"司马" 2
"叹" 2
"各处" 2
"各色" 2
"名" 2
"名字" 2
"后" 2
"咱" 2
"唬" 2
