"词语" "次数"
"了" 308
"的" 180
"你" 147
"他" 145
"我" 136
"是" 128
"说" 118
"道" 114
"不" 113
"人" 95
"也" 92
"去" 85
"来" 85
"笑" 71
"又" 67
"紫" 64
"鹃" 63
"这" 62
"宝玉" 60
"有" 55
"便" 54
"着" 52
"忙" 46
"在" 43
"玉" 42
"宝" 41
"就" 40
"黛" 40
"贾" 39
"钗" 39
"母" 38
"都" 38
"姨妈" 37
"见" 36
"好" 35
"家" 35
"薛" 35
"还" 33
"只" 32
"听" 31
"没" 31
"一" 30
"和" 30
"儿" 28
"什么" 27
"要" 27
"话" 27
"之" 26
"老太太" 26
"问" 26
"因" 24
"呢" 23
"回" 23
"夫人" 23
"林" 23
"给" 23
"叫" 22
"得" 22
"大" 21
"想" 21
"一个" 20
"个" 20
"倒" 20
"姑娘" 20
"等" 20
"那" 19
"中" 18
"到" 18
"岫" 18
"起来" 18
"如今" 17
"姐姐" 17
"我们" 17
"烟" 17
"邢" 17
"与" 16
"二" 16
"子" 16
"心" 16
"方" 16
"王" 16
"那里" 16
"下" 15
"事" 15
"他们" 15
"作" 15
"先" 15
"别" 15
"吃" 15
"才" 15
"时" 15
"看" 15
"瞧" 15
"虽" 15
"这里" 15
"所以" 14
"知" 14
"罢" 14
"若" 14
"袭" 14
"顽" 14
"命" 13
"哭" 13
"定" 13
"将" 13
"小" 13
"用" 13
"知道" 13
"一面" 12
"你们" 12
"再" 12
"出" 12
"可" 12
"坐" 12
"当" 12
"打" 12
"敢" 12
"谁" 12
"走" 12
"送" 12
"上" 11
"些" 11
"告诉" 11
"把" 11
"拉" 11
"无" 11
"湘云" 11
"过" 11
"不过" 10
"亲" 10
"众人" 10
"咱们" 10
"太" 10
"怎么" 10
"房" 10
"既" 10
"比" 10
"疼" 10
"病" 10
"这个" 10
"这样" 10
"雁" 10
"雪" 10
"一时" 9
"不知" 9
"且" 9
"两个" 9
"丫头" 9
"为" 9
"住" 9
"女儿" 9
"手" 9
"接" 9
"正" 9
"死" 9
"竟" 9
"自" 9
"自己" 9
"认" 9
"请" 9
"里" 9
"从" 8
"会" 8
"凤" 8
"向" 8
"呆" 8
"如何" 8
"忽" 8
"怕" 8
"急" 8
"拿" 8
"放" 8
"故" 8
"李" 8
"皆" 8
"说道" 8
"东西" 7
"亦" 7
"们" 7
"伏" 7
"使" 7
"偏" 7
"原" 7
"原来" 7
"听说" 7
"太太" 7
"妈" 7
"姨太太" 7
"孩子" 7
"岂" 7
"已" 7
"并" 7
"必" 7
"明儿" 7
"更" 7
"气" 7
"生" 7
"看见" 7
"红" 7
"至" 7
"身上" 7
"连" 7
"一两" 6
"不如" 6
"兄弟" 6
"出去" 6
"出来" 6
"口" 6
"只怕" 6
"叹" 6
"后" 6
"回去" 6
"多" 6
"妹妹" 6
"实" 6
"情" 6
"愁" 6
"成" 6
"歇" 6
"此" 6
"父母" 6
"答应" 6
"苏州" 6
"该" 6
"谁知" 6
"起" 6
"过来" 6
"迷" 6
"一件" 5
"一句" 5
"一处" 5
"一般" 5
"不依" 5
"不好" 5
"为什么" 5
"人家" 5
"信" 5
"内" 5
"别人" 5
"却" 5
"只管" 5
"呆子" 5
"妈妈" 5
"姊妹" 5
"婆" 5
"嬷嬷" 5
"心里" 5
"总" 5
"悄悄的" 5
"找" 5
"方才" 5
"有人" 5
"极" 5
"没有" 5
"湘" 5
"潇" 5
"燕窝" 5
"白" 5
"直" 5
"睡" 5
"穿" 5
"管" 5
"蝌" 5
"语" 5
"说话" 5
"跟前" 5
"进来" 5
"那样" 5
"问道" 5
"风" 5
"馆" 5
"一声" 4
"一日" 4
"三" 4
"不成" 4
"亲事" 4
"今儿" 4
"伤心" 4
"倘或" 4
"借" 4
"傻" 4
"冷" 4
"凭" 4
"前" 4
"化" 4
"原故" 4
"取" 4
"只得" 4
"同" 4
"吩咐" 4
"听见" 4
"哥哥" 4
"外头" 4
"头" 4
"如此" 4
"姐儿" 4
"已经" 4
"带" 4
"年" 4
"往" 4
"很" 4
"怔" 4
"性" 4
"恐" 4
"意" 4
"所" 4
"摸" 4
"散" 4
"断" 4
"日" 4
"早" 4
"晴" 4
"欲" 4
"母亲" 4
"热" 4
"然后" 4
"痛" 4
"痰" 4
"真" 4
"眼" 4
"瞧瞧" 4
"纵" 4
"老" 4
"者" 4
"自然" 4
"药" 4
"衣裳" 4
"被" 4
"觉" 4
"诸" 4
"这些" 4
"这般" 4
"钱" 4
"银子" 4
"门" 4
"闹" 4
"难" 4
"雯" 4
"面" 4
"一回" 3
"一头" 3
"一把" 3
"上来" 3
"不可" 3
"不妨" 3
"不然" 3
"不觉" 3
"书" 3
"乱" 3
