"词语" "次数"
"了" 180
"的" 112
"他" 90
"不" 77
"也" 64
"你" 60
"是" 56
"官" 55
"有" 55
"说" 55
"又" 53
"人" 51
"我" 51
"便" 46
"去" 45
"宝玉" 42
"道" 41
"来" 38
"这" 38
"芳" 33
"着" 29
"在" 28
"子" 28
"就" 27
"因" 24
"一" 23
"只" 22
"笑" 21
"见" 21
"婆" 20
"等" 20
"将" 19
"忙" 19
"都" 19
"叫" 18
"好" 18
"得" 18
"那" 18
"过" 17
"与" 16
"他们" 16
"儿" 16
"听" 16
"要" 16
"贾" 16
"还" 16
"问" 16
"下" 15
"或" 15
"袭" 15
"之" 14
"我们" 14
"藕" 14
"一个" 13
"到" 13
"回" 13
"大" 13
"皆" 13
"上" 12
"中" 12
"事" 12
"处" 12
"小" 12
"些" 11
"入" 11
"已" 11
"打" 11
"方" 11
"无" 11
"没" 11
"一面" 10
"们" 10
"内" 10
"可" 10
"各" 10
"如今" 10
"晴" 10
"母" 10
"烧" 10
"祭" 10
"给" 10
"雯" 10
"出去" 9
"原" 9
"学" 9
"宝" 9
"干娘" 9
"用" 9
"看" 9
"这里" 9
"亦" 8
"再" 8
"出" 8
"和" 8
"回去" 8
"把" 8
"时" 8
"正" 8
"王" 8
"虽" 8
"话" 8
"说道" 8
"送" 8
"钱" 8
"不知" 7
"且" 7
"丫头" 7
"二" 7
"你们" 7
"先" 7
"只得" 7
"吃" 7
"吹" 7
"如何" 7
"尤" 7
"并" 7
"所以" 7
"林" 7
"死" 7
"洗" 7
"湘云" 7
"烧纸" 7
"照管" 7
"父母" 7
"玉" 7
"者" 7
"自" 7
"花" 7
"起来" 7
"院" 7
"香" 7
"黛" 7
"为" 6
"什么" 6
"会" 6
"作" 6
"别" 6
"反" 6
"发" 6
"呆" 6
"告诉" 6
"太" 6
"夫人" 6
"家" 6
"应" 6
"府" 6
"心" 6
"快" 6
"成" 6
"才" 6
"拉" 6
"故" 6
"既" 6
"日" 6
"月" 6
"朝" 6
"氏" 6
"病" 6
"瞧" 6
"纸钱" 6
"罢" 6
"若" 6
"谁" 6
"走" 6
"面" 6
"麝" 6
"一口" 5
"乱" 5
"亲" 5
