"词语" "次数"
"了" 131
"的" 85
"我" 77
"你" 64
"说" 59
"他" 58
"不" 56
"又" 55
"来" 43
"去" 40
"是" 38
"也" 37
"道" 37
"人" 33
"便" 32
"子" 27
"莺儿" 26
"这" 26
"着" 24
"管" 23
"那" 22
"一" 21
"姑娘" 21
"就" 20
"春燕" 20
"都" 20
"婆" 19
"笑" 18
"编" 18
"要" 18
"见" 18
"些" 17
"打" 17
"什么" 16
"在" 16
"等" 16
"儿" 15
"我们" 15
"有" 15
"得" 14
"还" 14
"顽" 14
"一面" 13
"呢" 13
"和" 13
"娘" 13
"叫" 12
"没" 12
"藕官" 12
"袭人" 12
"之" 11
"只" 11
"老" 11
"与" 10
"再" 10
"柳" 10
"他们" 9
"先" 9
"到" 9
"因" 9
"宝玉" 9
"把" 9
"算" 9
"走" 9
"送" 9
"上" 8
"二" 8
"出" 8
"出来" 8
"好" 8
"妈" 8
"房" 8
"正" 8
"洗" 8
"话" 8
"起" 8
"这里" 8
"那里" 8
"一个" 7
"且" 7
"个" 7
"事" 7
"们" 7
"反" 7
"命" 7
"坐" 7
"忙" 7
"每日" 7
"蕊官" 7
"进来" 7
"采" 7
"黛玉" 7
"东西" 6
"中" 6
"你们" 6
"别" 6
"同" 6
"听" 6
"回来" 6
"大" 6
"女儿" 6
"如今" 6
"如此" 6
"将" 6
"小" 6
"平" 6
"怎么" 6
"气" 6
"皆" 6
"看" 6
"给" 6
"花" 6
"许多" 6
"谁" 6
"过" 6
"问" 6
"不知" 5
"会" 5
"使" 5
"关" 5
"可" 5
"吃" 5
"告诉" 5
"姐姐" 5
"姨妈" 5
"平儿" 5
"往" 5
"成" 5
"才" 5
"时" 5
"照看" 5
"罢" 5
"自" 5
"自己" 5
"芳官" 5
"贾母" 5
"这个" 5
"连" 5
"里" 5
"钱" 5
"下" 4
"丫鬟" 4
"为" 4
"买" 4
"众人" 4
"作" 4
"倒" 4
"做" 4
"内" 4
"分" 4
"却" 4
"只见" 4
"只顾" 4
"各" 4
"向" 4
"吵" 4
"多" 4
"头" 4
"媳妇" 4
"嫂子" 4
"已" 4
"带" 4
"干" 4
"怕" 4
"急" 4
"恨" 4
"拿" 4
"掐" 4
"晴雯" 4
"没有" 4
"王夫人" 4
"省" 4
"知道" 4
"紫鹃" 4
"虽" 4
"角门" 4
"认真" 4
"说道" 4
"起来" 4
"跑" 4
"闹" 4
"随" 4
"难道" 4
"驮轿" 4
"麝月" 4
"一处" 3
"一行" 3
"不成" 3
"两个" 3
"乱" 3
"亦" 3
"众" 3
"住" 3
"几日" 3
"出入" 3
"出去" 3
"前" 3
"包" 3
"变" 3
"叶" 3
"哭" 3
"喊" 3
"回" 3
"园" 3
"处" 3
"外" 3
"大家" 3
"姊妹" 3
"嫩" 3
"孩子" 3
"宝钗" 3
"家里" 3
"小丫头" 3
"应" 3
"恐" 3
"手" 3
"折" 3
"拉" 3
"接" 3
"放" 3
"无" 3
"既" 3
"日" 3
"死" 3
"添" 3
"物" 3
"看见" 3
"瞧" 3
"瞧瞧" 3
"硝" 3
"篮子" 3
"糟踏" 3
"系" 3
"老人家" 3
"至" 3
"花篮" 3
"薛姨妈" 3
"被" 3
"规矩" 3
"讨" 3
"越" 3
"蹄子" 3
"还有" 3
"领" 3
"颗" 3
"骂" 3
"鸳鸯" 3
"一共" 2
"上去" 2
