"词语" "次数"
"宝玉" 64
"之" 56
"了" 50
"的" 49
"有" 48
"又" 36
"是" 36
"道" 36
"一" 33
"来" 29
"人" 28
"看" 28
"在" 25
"着" 25
"不" 23
"其" 23
"此" 22
"便" 21
"中" 20
"幻" 20
"我" 20
"警" 20
"也" 19
"见" 18
"说" 18
"那" 18
"上" 17
"画" 17
"云" 16
"听" 16
"为" 13
"去" 13
"因" 13
"所" 13
"二" 12
"仙姑" 12
"则" 12
"后面" 12
"无" 12
"皆" 12
"秦氏" 12
"自" 12
"下" 11
"不知" 11
"再" 11
"吾" 11
"如" 11
"淫" 11
"随" 11
"黛玉" 11
"亦" 10
"他" 10
"写" 10
"者" 10
"与" 9
"以" 9
"可" 9
"女子" 9
"就" 9
"时" 9
"歌" 9
"笑" 9
"至" 9
"这" 9
"这里" 9
"乃" 8
"何" 8
"册" 8
"别" 8
"只" 8
"好" 8
"忙" 8
"意" 8
"故" 8
"更" 8
"过" 8
"一个" 7
"个" 7
"于" 7
"今" 7
"但" 7
"先" 7
"内" 7
"字" 7
"家" 7
"对联" 7
"得" 7
"情" 7
"等" 7
"那里" 7
"三" 6
"书" 6
"从" 6
"仙" 6
"出" 6
"只见" 6
"可卿" 6
"司" 6
"各" 6
"同" 6
"后" 6
"喜" 6
"多" 6
"大" 6
"宝" 6
"将" 6
"小" 6
"尔" 6
"引" 6
"往" 6
"房" 6
"欲" 6
"知" 6
"竟" 6
"而" 6
"贾母" 6
"遂" 6
"不过" 5
"丫鬟" 5
"些" 5
"令" 5
"们" 5
"入" 5
"其中" 5
"判" 5
"向" 5
"如此" 5
"宝钗" 5
"彼" 5
"既" 5
"春" 5
"曰" 5
"曲" 5
"橱" 5
"毕" 5
"游玩" 5
"然" 5
"珠" 5
"生" 5
"真" 5
"矣" 5
"美" 5
"能" 5
"花" 5
"虽" 5
"设" 5
"酒" 5
"问" 5
"非" 5
"一副" 4
"一名" 4
"作" 4
"卧" 4
"呢" 4
"命" 4
"嘱" 4
"如今" 4
"封条" 4
"尘" 4
"尘世" 4
"忽" 4
"悟" 4
"惚" 4
"成" 4
"我们" 4
"或" 4
"携" 4
"方" 4
"日" 4
"木" 4
"正" 4
"水" 4
"汝" 4
"深" 4
"独" 4
"略" 4
"省" 4
"系" 4
"红楼梦" 4
"茶" 4
"要" 4
"门" 4
"香" 4
"一幅" 3
"一所" 3
"一时" 3
"一片" 3
"一面" 3
"上来" 3
"上面" 3
"不可" 3
"不同" 3
"且" 3
"世" 3
"两边" 3
"乃是" 3
"之中" 3
"事" 3
"亲密" 3
"休" 3
"众" 3
"会" 3
"何处" 3
"你" 3
"偶" 3
"儿" 3
"出来" 3
"分" 3
"制" 3
"前" 3
"及" 3
"叔" 3
"合" 3
"名" 3
"四个" 3
"回" 3
"固" 3
"坐" 3
"境" 3
"天" 3
"好一似" 3
"妻" 3
"姊妹" 3
"姐姐" 3
"宁" 3
"尽" 3
"帐" 3
"带" 3
"异" 3
"待" 3
"心" 3
"必" 3
"快" 3
"恍惚" 3
"惟" 3
"想" 3
"接" 3
"掩" 3
"掷" 3
"救" 3
"数" 3
"新" 3
"早" 3
"望" 3
"未" 3
"梦" 3
"没" 3
"游" 3
"灵" 3
"熟" 3
"物" 3
"理" 3
"留余庆" 3
"痴" 3
"盛" 3
"眼" 3
"睡" 3
"素" 3
"绣" 3
"而已" 3
"耳" 3
"若" 3
"荣" 3
"荣府" 3
"袅娜" 3
"觉" 3
"言" 3
"语" 3
"请" 3
"赏" 3
"边" 3
"还" 3
"连" 3
"那些" 3
"问道" 3
"间" 3
"闻" 3
"雪" 3
"领略" 3
"飞" 3
"馔" 3
"一位" 2
"一只" 2
"一处" 2
"一座" 2
"一本" 2
"一股" 2
"万" 2
"不比" 2
"不禁" 2
"不能" 2
"不觉" 2
"两" 2
"之间" 2
"亲" 2
"人物" 2
"今日" 2
"仍" 2
"以来" 2
"似" 2
"住" 2
"何物" 2
"依" 2
"倒" 2
"债" 2
"兄弟" 2
"公" 2
"公主" 2
"冒" 2
"冷笑" 2
"出去" 2
"刚" 2
"到" 2
"到头来" 2
"前来" 2
"副" 2
"十二个" 2
"十二支" 2
"即" 2
"即可" 2
"卷" 2
"历" 2
"原委" 2
"取" 2
"古" 2
"叫" 2
"可以" 2
"吓" 2
"和" 2
"哟" 2
"四句" 2
"回头" 2
"因此" 2
"图" 2
"在内" 2
"垂" 2
"填" 2
"壁" 2
"声色" 2
"复" 2
"多少" 2
"夜" 2
"大字" 2
"大家" 2
"天下" 2
"天分" 2
"太" 2
"太虚幻境" 2
"好生" 2
"妙" 2
"姣" 2
"姬" 2
"威赫赫爵禄高登" 2
"媚人" 2
"嬷嬷" 2
"子" 2
"宁府" 2
"安" 2
"室" 2
"家乡" 2
"富贵" 2
"察" 2
"尚" 2
"尚未" 2
"屋子" 2
"山" 2
"席" 2
"常" 2
"并" 2
"幸" 2
"幸娘亲" 2
"开" 2
"开辟鸿蒙" 2
"当下" 2
"录" 2
"心中" 2
"忘" 2
"怎么" 2
"怕" 2
"思" 2
"怨" 2
"恍" 2
"恐" 2
"息" 2
"悬" 2
"惯" 2
"手" 2
"扑" 2
"打" 2
"打架" 2
"把" 2
"抬头" 2
"拿" 2
"按" 2
"推" 2
"揭开" 2
"携带" 2
"摆" 2
"放春山" 2
"散" 2
"文" 2
"无奈" 2
"景" 2
"暂" 2
"月" 2
"未免" 2
"朱" 2
"枯" 2
"树" 2
"横" 2
"檐" 2
"止" 2
"正册" 2
"此处" 2
"比" 2
"气昂昂头戴簪缨" 2
"污" 2
"泄漏" 2
"津" 2
"浊" 2
"演" 2
"点头" 2
"爱" 2
"父母" 2
"狗儿" 2
"狼" 2
"猫" 2
"玉" 2
"盘" 2
"相" 2
"石" 2
"破" 2
"神仙" 2
"称" 2
"窗" 2
"端" 2
"簇" 2
"纵然" 2
"终" 2
"绛" 2
"美女" 2
"羡慕" 2
"联" 2
"肯" 2
"自觉" 2
"至此" 2
"舞" 2
"舞女" 2
"船" 2
"荡" 2
"荡悠悠" 2
"虎" 2
"衾" 2
"被" 2
"袭人" 2
"视" 2
"解" 2
"言词" 2
"言语" 2
"说道" 2
"请问" 2
"调" 2
"贵客" 2
"贾蓉" 2
"走" 2
"起" 2
"路" 2
"跹" 2
"蹁" 2
"运" 2
"这个" 2
"进入" 2
"迷" 2
"退" 2
"通" 2
"遇" 2
"遣香洞" 2
"里" 2
"金" 2
"金陵十二钗正册" 2
"铺陈" 2
"镜" 2
"闺" 2
"雨" 2
"非常" 2
"面" 2
"顽" 2
"饰" 2
"鬟" 2
"鸳" 2
"鼎" 2
"一个所" 1
"一个是水中月" 1
"一个是美玉无瑕" 1
"一个是镜中花" 1
"一个是阆苑仙葩" 1
"一个枉自嗟呀" 1
"一个空劳牵挂" 1
"一句" 1
"一味的骄奢淫荡贪还构" 1
"一回" 1
"一场幽梦同谁近" 1
"一场欢喜忽悲辛" 1
"一块" 1
"一堆" 1
"一床" 1
"一心" 1
"一曲" 1
"一株" 1
"一段" 1
"一生" 1
"一番" 1
"一盆" 1
"一盏" 1
"一缕" 1
"一载荡悠悠" 1
"一载赴黄粱" 1
"一边" 1
"一页" 1
"一首" 1
"七" 1
"万万" 1
"万丈" 1
"万目睚眦" 1
"万般" 1
"万艳同杯" 1
"三个" 1
"三千" 1
"三等" 1
"上上下下" 1
"上书" 1
"上房" 1
"上月" 1
"上有苍穹" 1
"上结着长生果" 1
"下边" 1
"下面" 1
"下首" 1
"不一" 1
"不免" 1
"不合" 1
"不堪" 1
"不尽" 1
"不必" 1
"不忍" 1
"不快" 1
"不料" 1
"不然" 1
"不用" 1
"不肯" 1
"不见得" 1
"不解" 1
"丑" 1
"世事洞明皆学问" 1
"世人" 1
"世外仙姝寂寞林" 1
"世道" 1
"世难容" 1
"业" 1
"东边" 1
"丢" 1
"两个" 1
"两句" 1
"两株" 1
"个中人" 1
"中下" 1
"中山狼" 1
"丰美" 1
"为何" 1
"久" 1
"之上" 1
"乌云" 1
"乍出花房" 1
"乐中悲" 1
"乖张" 1
"乞" 1
"也只是虚名儿与后人钦敬" 1
"也抵不了无常性命" 1
"也罢" 1
"也须要阴骘积儿孙" 1
"乳" 1
"乳名" 1
"争" 1
"事略" 1
"二三十里" 1
"二十年来辨是非" 1
"二层" 1
"于是" 1
"云中杏蕊多" 1
"云堆翠髻" 1
"云空未必空" 1
"云雨之欢" 1
"云雨无时" 1
"亘" 1
"交" 1
"亲疏" 1
"亲自" 1
"人性" 1
"人情练达即文章" 1
"人生莫受老来贫" 1
"人皆罕" 1
"人迹" 1
"人间" 1
"什么" 1
"仅" 1
"今后" 1
"今生偏又遇着他" 1
"从今" 1
"从今分两地" 1
"从未将儿女私情略萦心上" 1
"仙子" 1
"仙袂乍飘兮" 1
"以前" 1
"以此" 1
"伏" 1
"休把儿悬念" 1
"众人" 1
"会芳园" 1
"传" 1
"传奇" 1
"伤" 1
"伤怀日" 1
"伯" 1
"伴" 1
"伸手" 1
"似乎" 1
"似这般" 1
"但行处" 1
"何人" 1
"何况" 1
"何必" 1
"何必枉悲伤" 1
"何必觅闲愁" 1
"何故" 1
"余" 1
"作案" 1
"作践的" 1
"你们" 1
"你道是啖肉食腥膻" 1
"使" 1
"使得" 1
"侄儿" 1
"侍" 1
"侍者" 1
"供" 1
"依旧是风尘肮脏违心愿" 1
"侯门艳质同蒲柳" 1
"便是败家的根本" 1
"便秘" 1
"信矣乎" 1
"俯" 1
"俺" 1
"俺只念木石前盟" 1
"倦怠" 1
"假作真时真亦假" 1
"偏僻" 1
"偶因济刘氏" 1
"偶然" 1
"偶遇" 1
"儿命已入黄泉" 1
"兄" 1
"光" 1
"光灿灿腰悬金印" 1
"入室" 1
"入座" 1
"全不念当日根由" 1
"公府千金似下流" 1
"兰" 1
"兴" 1
"其文若何" 1
"其洁若何" 1
"其神若何" 1
"其素若何" 1
"其艳若何" 1
"其间" 1
"其静若何" 1
"兼美" 1
"冀" 1
"冠" 1
"冤冤相报实非轻" 1
