"词语" "次数"
"了" 193
"的" 152
"说" 107
"你" 97
"他" 95
"不" 80
"我" 73
"去" 71
"便" 67
"儿" 67
"是" 67
"官" 62
"也" 59
"又" 57
"来" 57
"人" 49
"这" 48
"着" 47
"道" 47
"芳" 45
"笑" 31
"有" 30
"一" 29
"好" 28
"姨娘" 27
"家" 27
"春" 27
"都" 27
"与" 26
"没" 26
"柳" 25
"宝玉" 24
"得" 24
"忙" 24
"给" 24
"还" 24
"见" 23
"赵" 23
"等" 22
"要" 22
"只" 21
"和" 21
"子" 21
"呢" 20
"些" 19
"在" 19
"罢" 19
"事" 18
"吃" 18
"上" 17
"他们" 17
"内" 17
"听" 17
"因" 17
"什么" 16
"出来" 16
"叫" 16
"正" 16
"贾" 16
"这个" 16
"那里" 16
"问" 16
"头" 15
"拿" 15
"环" 15
"五" 14
"小" 14
"那" 14
"将" 13
"就" 13
"探" 13
"气" 13
"燕" 13
"话" 13
"送" 13
"且" 12
"中" 12
"们" 12
"倒" 12
"到" 12
"大" 12
"如今" 12
"打" 12
"走" 12
"两个" 11
"个" 11
"之" 11
"作" 11
"别" 11
"姑娘" 11
"娘" 11
"硝" 11
"一个" 10
"一面" 10
"买" 10
"出" 10
"婆" 10
"屋里" 10
"带" 10
"怕" 10
"想" 10
"我们" 10
"才" 10
"老" 10
"自" 10
"蝉" 10
"袭" 10
"起" 10
"钱" 10
"闹" 10
"再" 9
"前" 9
"向" 9
"告诉" 9
"回" 9
"敢" 9
"知道" 9
"谁" 9
"这些" 9
"口" 8
"只得" 8
"可" 8
"回来" 8
"夏" 8
"平" 8
"彩云" 8
"往" 8
"粉" 8
"糕" 8
"东西" 7
"你们" 7
"劝" 7
"却" 7
"妈" 7
"心中" 7
"成" 7
"房" 7
"拉" 7
"方" 7
"比" 7
"看" 7
"茶" 7
"说道" 7
"连" 7
"会" 6
"取" 6
"多" 6
"姐姐" 6
"姨奶奶" 6
"快" 6
"怎" 6
"手" 6
"接" 6
"撞" 6
"瞧" 6
"蕊" 6
"这里" 6
"闻" 6
"一句" 5
"三" 5
"为" 5
"从" 5
"依" 5
"倘或" 5
"吵" 5
"哥哥" 5
"女儿" 5
"奶奶" 5
"媳妇" 5
"宝" 5
"寻" 5
"干" 5
"并" 5
"弄" 5
"怎么" 5
"找" 5
"把" 5
"擦" 5
"无" 5
"时" 5
"李" 5
"死" 5
"氏" 5
"没有" 5
"父母" 5
"病" 5
"老人家" 5
"自己" 5
"莺" 5
"虽" 5
"起来" 5
"进去" 5
"进来" 5
"门" 5
"骂" 5
"一场" 4
"一行" 4
"上来" 4
"不曾" 4
"丫头" 4
"争" 4
"二" 4
"亦" 4
"住" 4
"何苦" 4
"先" 4
"剩" 4
"动" 4
"包" 4
"可巧" 4
"吃饭" 4
"命" 4
"哭" 4
"四" 4
"在家" 4
"太太" 4
"家里" 4
"尤" 4
"应" 4
"当下" 4
"忽" 4
"意" 4
"替" 4
"最" 4
"正值" 4
"烧纸" 4
"照" 4
"玫瑰露" 4
"瓶" 4
"皆" 4
"碟" 4
"素日" 4
"红" 4
"至" 4
"若" 4
"蔷薇" 4
"藕" 4
"语" 4
"调唆" 4
"过" 4
"这么" 4
"这话" 4
"递" 4
"难道" 4
"顽" 4
"一包" 3
"一样" 3
"不成" 3
"不知" 3
"不过" 3
"丫鬟" 3
"乱" 3
"今儿" 3
"今日" 3
"伏" 3
"众" 3
"几个" 3
"凡" 3
"出去" 3
"分" 3
"别的" 3
"半盏" 3
"原来" 3
"厨房" 3
"反" 3
"只怕" 3
"同" 3
"听见" 3
"咱们" 3
"哄" 3
"喝" 3
"地方" 3
"外头" 3
"大家" 3
"女" 3
"奴才" 3
"如此" 3
"娘儿" 3
"嫂子" 3
"学" 3
"小粉" 3
"崽子" 3
"常" 3
"开" 3
"当" 3
"径" 3
"心" 3
"怀" 3
"怡" 3
"怪" 3
"恕" 3
"恨" 3
"愿" 3
"戏" 3
"托" 3
"捱" 3
"提" 3
"摔" 3
"收" 3
"方才" 3
"晴" 3
"有人" 3
"槐" 3
"欲" 3
"玉" 3
"理" 3
"生事" 3
"白" 3
"看见" 3
"眼" 3
"知" 3
"竟" 3
"答应" 3
"管" 3
"纨" 3
"老娘" 3
"耍" 3
"肯" 3
"脸" 3
"艾" 3
"茉莉" 3
"茯苓" 3
"荳" 3
"补" 3
"言" 3
"让" 3
"该" 3
"请" 3
"谁知" 3
"谢" 3
"起身" 3
"越发" 3
"跑" 3
"跟" 3
"路" 3
"进" 3
"逛" 3
"那些" 3
"里" 3
"里头" 3
"闲" 3
"院中" 3
"难" 3
"雯" 3
"香" 3
"一个纸" 2
"一件" 2
"一块" 2
