"词语" "次数"
"了" 212
"的" 163
"不" 87
"我" 85
"是" 81
"儿" 75
"说" 74
"他" 73
"你" 55
"来" 55
"又" 52
"人" 50
"也" 48
"这" 42
"去" 39
"道" 37
"有" 35
"就" 32
"便" 27
"家" 27
"着" 27
"平" 26
"笑" 25
"听" 24
"要" 24
"没" 23
"事" 22
"好" 22
"给" 22
"还" 22
"之" 20
"什么" 19
"只" 19
"小" 19
"都" 19
"一" 18
"些" 18
"姑娘" 18
"官" 18
"上" 17
"吃" 17
"五" 16
"叫" 16
"忙" 16
"柳" 16
"芳" 16
"那" 16
"出来" 15
"等" 15
"问" 15
"他们" 14
"们" 14
"倒" 14
"在" 14
"应" 14
"林" 14
"别" 13
"呢" 13
"姐姐" 13
"孝" 13
"带" 13
"我们" 13
"才" 13
"拿" 13
"见" 13
"个" 12
"偷" 12
"和" 12
"回" 12
"太太" 12
"得" 12
"里" 12
"一面" 11
"你们" 11
"前" 11
"司" 11
"奶奶" 11
"如今" 11
"棋" 11
"罢" 11
"连" 11
"一个" 10
"东西" 10
"两个" 10
"二" 10
"大家" 10
"宝玉" 10
"将" 10
"玉" 10
"起" 10
"这里" 10
"送" 10
"霜" 10
"且" 9
"丫头" 9
"众人" 9
"茯苓" 9
"虽" 9
"走" 9
"起来" 9
"钏" 9
"钱" 9
"露" 9
"鸡蛋" 9
"下" 8
"出" 8
"到" 8
"因" 8
"子" 8
"屋里" 8
"找" 8
"敢" 8
"无" 8
"花儿" 8
"若" 8
"莲" 8
"袭" 8
"进去" 8
"买" 7
"几个" 7
"凤" 7
"却" 7
"厨房" 7
"姐儿" 7
"彩云" 7
"心" 7
"把" 7
"时" 7
"知" 7
"自己" 7
"说道" 7
"谁" 7
"贼" 7
"过" 7
"这个" 7
"这样" 7
"与" 6
"先" 6
"内" 6
"听见" 6
"告诉" 6
"多" 6
"大" 6
"头" 6
"如何" 6
"妈" 6
"宝" 6
"怎么" 6
"打" 6
"打发" 6
"方" 6
"正" 6
"没有" 6
"燕" 6
"看" 6
"知道" 6
"竟" 6
"管" 6
"话" 6
"象" 6
"不知" 5
"丢" 5
"以后" 5
"伤" 5
"伺候" 5
"但" 5
"使" 5
"做" 5
"出去" 5
"分" 5
"劝" 5
"原" 5
"可" 5
"唬" 5
"寻" 5
"往" 5
"悄悄的" 5
"房" 5
"探" 5
"春" 5
"炒" 5
