"词语" "次数"
"了" 377
"的" 186
"说" 131
"不" 115
"我" 107
"是" 103
"道" 96
"人" 93
"又" 89
"他" 88
"来" 87
"也" 86
"笑" 84
"你" 83
"着" 81
"宝玉" 74
"去" 73
"有" 68
"这" 61
"吃" 60
"便" 59
"一" 52
"都" 51
"就" 45
"上" 43
"在" 42
"等" 40
"香菱" 38
"探春" 37
"袭人" 37
"要" 34
"一个" 31
"只" 31
"和" 30
"忙" 30
"倒" 28
"好" 28
"见" 28
"儿" 26
"酒" 26
"我们" 25
"湘云" 25
"送" 25
"众人" 24
"因" 24
"宝钗" 24
"二" 23
"平儿" 23
"过" 23
"没" 22
"罢" 22
"事" 21
"大家" 21
"姑娘" 21
"拿" 21
"给" 21
"这个" 21
"下" 20
"个" 20
"到" 20
"才" 20
"走" 20
"出来" 19
"听" 19
"字" 19
"那" 19
"黛玉" 19
"中" 18
"些" 18
"呢" 18
"姐姐" 18
"与" 17
"什么" 17
"他们" 17
"将" 17
"想" 17
"方" 17
"若" 17
"再" 16
"快" 16
"们" 15
"内" 15
"回" 15
"坐" 15
"头" 15
"小" 15
"手" 15
"两个" 14
"令" 14
"你们" 14
"出" 14
"叫" 14
"命" 14
"宝琴" 14
"射" 14
"怎么" 14
"用" 14
"看" 14
"知道" 14
"茶" 14
"蕙" 14
"让" 14
"起" 14
"作" 13
"别" 13
"可" 13
"告诉" 13
"多" 13
"芳官" 13
"起来" 13
"却" 12
"厅" 12
"如今" 12
"红" 12
"至" 12
"花" 12
"还" 12
"那里" 12
"香" 12
"一回" 11
"今儿" 11
"夫妻" 11
"拈" 11
"毕" 11
"连" 11
"问" 11
"面" 11
"之" 10
"原来" 10
"咱们" 10
"四" 10
"并" 10
"彩云" 10
"得" 10
"心" 10
"拉" 10
"无" 10
"晴雯" 10
"林之孝家的" 10
"生日" 10
"自己" 10
"覆" 10
"一句" 9
"不知" 9
"东西" 9
"丫头" 9
"为" 9
"大" 9
"子" 9
"官" 9
"家" 9
"把" 9
"柳家的" 9
"皆" 9
"礼" 9
"罚" 9
"脸" 9
"行" 9
"预备" 9
