"词语" "次数"
"了" 290
"的" 165
"说" 113
"是" 106
"道" 94
"笑" 92
"他" 87
"着" 85
"又" 78
"来" 78
"不" 77
"人" 76
"我" 65
"便" 61
"宝玉" 57
"也" 55
"这" 54
"你" 52
"忙" 49
"都" 46
"一" 45
"去" 39
"好" 39
"袭人" 37
"在" 35
"有" 35
"众人" 34
"吃" 34
"等" 33
"听" 32
"之" 31
"只" 29
"那" 29
"上" 28
"儿" 28
"因" 28
"个" 26
"我们" 26
"芳官" 26
"子" 25
"和" 24
"大" 24
"才" 24
"大家" 23
"酒" 23
"两个" 22
"二" 22
"晴雯" 22
"看" 22
"问" 22
"小" 21
"就" 21
"罢" 21
"过" 21
"还" 21
"中" 20
"见" 20
"到" 19
"叫" 19
"将" 19
"得" 19
"没" 19
"下" 17
"再" 17
"命" 17
"咱们" 17
"方" 17
"请" 17
"黛玉" 17
"一个" 16
"事" 16
"什么" 16
"已" 16
"竟" 16
"该" 16
"贾蓉" 16
"且" 15
"姐姐" 15
"字" 15
"睡" 15
"起" 15
"与" 14
"们" 14
"呢" 14
"回" 14
"自" 14
"花" 14
"三" 13
"可" 13
"姨娘" 13
"家" 13
"打" 13
"知道" 13
"谁" 13
"贾珍" 13
"顽" 13
"一杯" 12
"为" 12
"云" 12
"些" 12
"作" 12
"倒" 12
"别" 12
"四" 12
"坐" 12
"头" 12
"拿" 12
"掣" 12
"掷" 12
"红" 12
"饮" 12
"一面" 11
"先" 11
"出" 11
"如今" 11
"无" 11
"更" 11
"李纨" 11
"湘云" 11
"用" 11
"要" 11
"写" 10
"出来" 10
"却" 10
"原" 10
"名" 10
"天" 10
"怕" 10
"探春" 10
"时" 10
"皆" 10
"自己" 10
"至" 10
"走" 10
"连" 10
"他们" 9
"会" 9
"你们" 9
"其" 9
"告诉" 9
"唱" 9
"宝钗" 9
"带" 9
"席" 9
"摇" 9
"既" 9
"林之孝家的" 9
"燕" 9
"瞧" 9
"知" 9
"给" 9
"者" 9
"进来" 9
"麝月" 9
"一根" 8
"不知" 8
"令" 8
"凤" 8
"出去" 8
"四儿" 8
"帖" 8
"怎么" 8
"想" 8
"正" 8
"此" 8
"注" 8
"签" 8
"起来" 8
"那里" 8
"门" 8
"陪" 8
"香菱" 8
"一枝" 7
"丫头" 7
"原来" 7
"向" 7
"喜" 7
"夜" 7
"姑娘" 7
"尤氏" 7
"岫" 7
"常" 7
"平儿" 7
"并" 7
"开" 7
"很" 7
"或" 7
"早" 7
"极" 7
