"词语" "次数"
"了" 217
"贾" 146
"的" 100
"我" 82
"是" 81
"不" 71
"又" 69
"来" 68
"琏" 66
"道" 65
"二" 64
"你" 59
"有" 58
"说" 58
"去" 57
"人" 55
"着" 55
"姐" 53
"也" 50
"在" 47
"他" 42
"只" 40
"笑" 40
"宝玉" 37
"见" 35
"一" 33
"蓉" 33
"珍" 32
"好" 31
"至" 31
"老娘" 30
"要" 30
"尤" 29
"等" 29
"便" 28
"因" 27
"看" 27
"就" 26
"给" 26
"与" 25
"呢" 25
"这" 24
"之" 23
"将" 23
"已" 22
"得" 22
"上" 21
"想" 20
"玉" 20
"事" 19
"亦" 18
"出" 18
"叫" 18
"和" 18
"回" 18
"时" 18
"那" 18
"都" 18
"黛" 18
"妹妹" 17
"过" 17
"中" 16
"使" 16
"只见" 16
"她" 16
"家" 16
"拿" 16
"方" 16
"遂" 16
"一面" 15
"三" 15
"不知" 15
"听" 15
"多" 15
"姑娘" 15
"姨" 15
"说道" 15
"请" 15
"为" 14
"到" 14
"坐" 14
"府" 14
"打" 14
"无" 14
"母" 14
"自" 14
"走" 14
"仍" 13
"倒" 13
"做" 13
"先" 13
"凤" 13
"叔叔" 13
"向" 13
"哪里" 13
"带" 13
"毕" 13
"罢" 13
"老太太" 13
"若" 13
"连忙" 13
"银子" 13
"什么" 12
"再" 12
"小" 12
"此时" 12
"父亲" 12
"还" 12
"里" 12
"俞" 11
"儿" 11
"内" 11
"却" 11
"大" 11
"如何" 11
"往" 11
"意" 11
"未" 11
"正" 11
"禄" 11
"芳" 11
"话" 11
"两个" 10
"些" 10
"何" 10
"可" 10
"吃" 10
"子" 10
"官" 10
"心" 10
"没" 10
"请安" 10
"问" 10
"不过" 9
"于是" 9
"今日" 9
"令" 9
"们" 9
"住" 9
"写" 9
"原" 9
"取" 9
"吩咐" 9
"宝" 9
"寺" 9
"张" 9
"忙" 9
"所以" 9
"林" 9
"爷" 9
"甚" 9
"自己" 9
"茶" 9
"诗" 9
"这里" 9
"一个" 8
"下" 8
