"词语" "次数"
"了" 138
"的" 122
"他" 108
"不" 85
"是" 85
"说" 64
"我" 63
"人" 55
"也" 53
"来" 51
"你" 47
"贾琏" 44
"二" 37
"有" 37
"去" 35
"这" 35
"着" 34
"姐" 33
"便" 32
"道" 31
"三" 30
"奶奶" 30
"又" 29
"在" 29
"笑" 28
"一" 27
"吃" 27
"只" 24
"要" 23
"两个" 22
"尤" 22
"贾珍" 22
"之" 21
"就" 20
"我们" 20
"那" 20
"都" 20
"事" 18
"好" 18
"见" 18
"酒" 18
"姑娘" 17
"过" 17
"叫" 16
"大" 16
"和" 15
"小" 15
"尤二姐" 15
"作" 14
"倒" 14
"儿" 14
"多" 14
"将" 14
"自己" 14
"上" 13
"们" 13
"命" 13
"爷" 13
"下" 12
"兴儿" 12
"咱们" 12
"如今" 12
"起来" 12
"还" 12
"先" 11
"子" 11
"自" 11
"若" 11
"一个" 10
"不知" 10
"个" 10
"反" 10
"听" 10
"因" 10
"家" 10
"忙" 10
"敢" 10
"无" 10
"没" 10
"等" 10
"马" 10
"一时" 9
"呢" 9
"姐姐" 9
"已" 9
"得" 9
"或" 9
"看" 9
"知道" 9
"谁" 9
"什么" 8
"会" 8
"你们" 8
"到" 8
"回" 8
"弟兄" 8
"心" 8
"心腹" 8
"把" 8
"知" 8
"罢" 8
"这里" 8
"问" 8
"与" 7
"内" 7
"出来" 7
"同" 7
"处" 7
"太太" 7
"如" 7
"小厮" 7
"平" 7
"才" 7
"拿" 7
"方" 7
"老太太" 7
"至" 7
"起" 7
"这样" 7
"隆儿" 7
"鲍二" 7
"些" 6
"但" 6
"几个" 6
"头" 6
"如何" 6
"怕" 6
"房" 6
"打" 6
"死" 6
"母女" 6
"比" 6
"淫" 6
"用" 6
"老" 6
"虽" 6
"请" 6
"那里" 6
"丫头" 5
"为" 5
"伏" 5
"侍" 5
"再" 5
"凡" 5
"凤姐" 5
"出" 5
"别" 5
"别人" 5
"前" 5
"十分" 5
"却" 5
"原" 5
"取乐" 5
"名" 5
"商议" 5
"喜儿" 5
"喝" 5
"坐" 5
"大哥" 5
"姨" 5
"拣" 5
"推" 5
"标致" 5
"正经" 5
"睡" 5
"越" 5
"过来" 5
"门" 5
"闹" 5
"一位" 4
"一处" 4
"今日" 4
"住" 4
"何" 4
"兄弟" 4
"凭" 4
"出去" 4
"劝" 4
"只管" 4
"吹" 4
"备" 4
"大家" 4
"大爷" 4
"天" 4
"女人" 4
"姓" 4
"字" 4
"安" 4
"寡妇" 4
"寻" 4
"屋里" 4
"常" 4
"忽" 4
"怎么" 4
"想" 4
"意" 4
"拴" 4
"提" 4
"正" 4
"此" 4
"母亲" 4
"浑" 4
"珍" 4
"生" 4
"瞧" 4
"礼" 4
"称" 4
"竟" 4
"答应" 4
"管" 4
"肯" 4
"背" 4
"自然" 4
"藏" 4
"虽然" 4
"话" 4
"走" 4
"还有" 4
"里" 4
"错" 4
"陪" 4
"鲍二家的" 4
"一般" 3
"不用" 3
"不管" 3
"不能" 3
"不过" 3
"且" 3
"中" 3
"乐" 3
"亲" 3
"他们" 3
"以" 3
"会意" 3
"似" 3
"凤" 3
"利害" 3
"十个" 3
"原来" 3
"另" 3
"可" 3
"告诉" 3
"唤" 3
"善" 3
"嘴" 3
"四" 3
"声" 3
"太" 3
"夫妻" 3
"好事" 3
"妈" 3
"妹子" 3
"姊妹" 3
"寿儿" 3
"小丫头" 3
"少" 3
"尤氏" 3
"尽" 3
"差" 3
"年纪" 3
"开" 3
"往" 3
"怎" 3
"愚人" 3
"慌" 3
"戳" 3
"手" 3
"收" 3
"放" 3
"故" 3
"文" 3
"日" 3
"时" 3
"月" 3
"林" 3
"母" 3
"气" 3
"浪" 3
"火" 3
"炕" 3
"然" 3
"病" 3
"白" 3
"看来" 3
"看见" 3
"穿" 3
"窝" 3
"算" 3
"算是" 3
"聘" 3
"肥" 3
"花" 3
"苦" 3
"茶" 3
"薛" 3
"规矩" 3
"贾蓉" 3
"赶" 3
"跟" 3
"进" 3
"连" 3
"连忙" 3
"那边" 3
"醉" 3
"醋" 3
"钱" 3
"香" 3
"一口" 2
"一句" 2
"一味" 2
"一声" 2
"一头" 2
"一日" 2
"一杯" 2
"一概" 2
"一点" 2
"一盆" 2
"一眼" 2
"一阵" 2
"三个" 2
"上来" 2
"下人" 2
"不好意思" 2
"不必" 2
"专" 2
"两杯" 2
"丧" 2
"丫鬟" 2
"之间" 2
"交给" 2
"亦" 2
"以为" 2
"休" 2
"使" 2
"例" 2
"依" 2
"便宜" 2
"俗语" 2
"倘或" 2
"偏" 2
"做" 2
"偷" 2
"入" 2
"全" 2
"八个" 2
"共" 2
"关" 2
"兴" 2
"养" 2
"几杯" 2
"凡事" 2
"出气" 2
"出门" 2
"分" 2
"到底" 2
"刺" 2
"剩" 2
"化" 2
"半" 2
"厨" 2
"及" 2
"取" 2
"口" 2
"口里" 2
"只得" 2
"只怕" 2
"只见" 2
"号" 2
"后悔" 2
"向" 2
"听见" 2
"哄" 2
