"词语" "次数"
"了" 129
"他" 68
"不" 67
"说" 54
"的" 51
"是" 49
"来" 41
"又" 39
"道" 39
"我" 38
"贾琏" 37
"湘" 31
"莲" 31
"人" 29
"也" 27
"你" 26
"去" 25
"之" 24
"便" 23
"一" 22
"笑" 22
"只" 21
"有" 21
"姐" 20
"这" 20
"着" 19
"二" 18
"定" 17
"见" 17
"那" 17
"在" 16
"三" 15
"我们" 15
"事" 14
"忙" 14
"宝玉" 13
"问" 13
"剑" 12
"将" 12
"尤" 12
"就" 12
"既" 12
"没" 12
"等" 12
"过" 12
"再" 11
"听" 11
"尤二姐" 11
"已" 11
"无" 11
"要" 11
"不知" 10
"作" 10
"弟" 10
"若" 10
"为" 9
"出来" 9
"到" 9
"命" 9
"和" 9
"好" 9
"得" 9
"自" 9
"薛蟠" 9
"走" 9
"一个" 8
"与" 8
"从" 8
"倒" 8
"回" 8
"因" 8
"知" 8
"知道" 8
"自己" 8
"请" 8
"起身" 8
"上" 7
"个" 7
"兄" 7
"别" 7
"大家" 7
"如今" 7
"岂" 7
"方" 7
"柳" 7
"柳湘莲" 7
"此" 7
"礼" 7
"系" 7
"还" 7
"那里" 7
"都" 7
"一面" 6
"中" 6
"们" 6
"原" 6
"如此" 6
"往" 6
"才" 6
"日" 6
"时" 6
"正" 6
"看" 6
"而" 6
"话" 6
"这样" 6
"京" 5
"住" 5
"兴儿" 5
"内" 5
"原来" 5
"反" 5
"听见" 5
"告诉" 5
"大" 5
"如何" 5
"姐姐" 5
"家" 5
"小" 5
"情" 5
"敢" 5
"相见" 5
"竟" 5
"绝" 5
"色" 5
"谁知" 5
"起来" 5
"这里" 5
"进" 5
"下" 4
"不过" 4
"两个" 4
"之间" 4
"亲事" 4
"今" 4
"你们" 4
"儿" 4
"先" 4
"出" 4
"吃" 4
"后" 4
"咱们" 4
"外" 4
"多" 4
"大喜" 4
"妾" 4
"嫁" 4
"寒" 4
"寻" 4
"带" 4
"干" 4
"平安" 4
"并" 4
"心" 4
"所以" 4
"拿" 4
"早" 4
"每日" 4
"爷" 4
"茗烟" 4
"谁" 4
"连忙" 4
"里" 4
"难" 4
"一把" 3
"上面" 3
"不能" 3
"之后" 3
"些" 3
"亲" 3
"什么" 3
"今日" 3
"何" 3
"何必" 3
"依" 3
"做" 3
"入" 3
"冷" 3
"出去" 3
"分" 3
"前" 3
"十分" 3
"却" 3
"只管" 3
"只见" 3
"可" 3
"合" 3
"同" 3
"君" 3
"喜" 3
"回家" 3
"坐" 3
"如" 3
"妹子" 3
"姑娘" 3
"姨" 3
"娶" 3
"字" 3
"客" 3
"州" 3
"工夫" 3
"干净" 3
"必" 3
"忽" 3
"怕" 3
"惯" 3
"想" 3
"所" 3
"择" 3
"捧" 3
"揖" 3
"新" 3
"望" 3
"果" 3
"标致" 3
"次日" 3
"死" 3
"混" 3
"然" 3
"物" 3
"生" 3
"用" 3
"真" 3
"管" 3
"老" 3
"自然" 3
"舍" 3
"茶" 3
"虽" 3
"路" 3
"路上" 3
"连" 3
"送" 3
"道士" 3
"门" 3
"闻" 3
"非" 3
"领" 3
"鸳鸯" 3
"一句" 2
"一场" 2
"一处" 2
"一对" 2
"一年" 2
"一手" 2
"一般" 2
"一节" 2
"一门" 2
"一阵" 2
"上来" 2
"不便" 2
"不如" 2
"不理" 2
"且" 2
"东西" 2
"丢" 2
"两" 2
"两天" 2
"丫头" 2
"主意" 2
"二则" 2
"五年" 2
"人家" 2
"从此" 2
"他们" 2
"他家" 2
"仙" 2
"以" 2
"任凭" 2
"众人" 2
"会" 2
"似" 2
"何方" 2
"信" 2
"候" 2
"冥" 2
"况且" 2
"冷面" 2
"准" 2
"凤姐" 2
"出门" 2
"刚烈" 2
"劝" 2
"动" 2
"十年" 2
"半月" 2
"反悔" 2
"叙" 2
"叙谈" 2
"古今" 2
"只得" 2
"只怕" 2
"可敬" 2
"各自" 2
"后来" 2
"向" 2
"听说" 2
"告辞" 2
"哭" 2
"商议" 2
"喜欢" 2
"嘱" 2
"回去" 2
"地" 2
"堪" 2
"处" 2
"复" 2
"头" 2
"奔" 2
"好歹" 2
"妻" 2
"姑母" 2
"姓" 2
"姨娘" 2
"学" 2
"完" 2
"官" 2
"家务" 2
"家里" 2
"小厮" 2
"尚" 2
"帛" 2
"应" 2
"府" 2
"当" 2
"忘情" 2
"念" 2
"念佛" 2
"怎么" 2
"性" 2
"愿" 2
"房" 2
"所有" 2
"打" 2
"扶" 2
"找" 2
"把" 2
"掣" 2
"收" 2
"改悔" 2
"放" 2
"放心" 2
"故" 2
"断" 2
"新房" 2
"无不" 2
"昏" 2
"最" 2
"有些" 2
"未" 2
"未必" 2
"未来" 2
"林" 2
"果然" 2
"梦" 2
"棺" 2
"模样" 2
"歇" 2
"此事" 2
"毕" 2
"没有" 2
"法" 2
"泣" 2
"深" 2
"清" 2
"温" 2
"渺" 2
"独" 2
"甚" 2
"疑惑" 2
"痴情" 2
"眼力" 2
"眼色" 2
"矣" 2
"站" 2
"竟是" 2
"糊涂" 2
"红" 2
"给" 2
"罢" 2
"老太太" 2
"老娘" 2
"老爷" 2
"者" 2
"肘" 2
"胡说" 2
"脏" 2
"至" 2
"萍踪浪迹" 2
"薛" 2
"薛姨妈" 2
"行" 2
"行事" 2
"裁夺" 2
"觉" 2
"言" 2
"订" 2
"记挂" 2
"许" 2
"该" 2
"语" 2
"误" 2
"说话" 2
"说道" 2
"货物" 2
"贾" 2
"贾珍" 2
"赶" 2
"起" 2
"足" 2
"边" 2
"迎" 2
"还要" 2
"遇" 2
"那时" 2
"那样" 2
"配" 2
"里头" 2
"金" 2
"錾" 2
"长" 2
"间" 2
"闹" 2
"随" 2
"非礼" 2
"须" 2
"饮" 2
"一下子" 1
"一个月" 1
"一件" 1
"一伙" 1
"一分" 1
"一则" 1
"一卷" 1
"一回" 1
"一夜" 1
"一定" 1
"一座" 1
"一开" 1
"一心" 1
"一所" 1
"一日" 1
"一早" 1
"一时" 1
"一根" 1
"一概" 1
"一次" 1
"一点" 1
"一百年" 1
"一群" 1
"一股" 1
"一言为定" 1
"一起" 1
"一路" 1
"一路平安" 1
"一齐" 1
"万根" 1
"三二年" 1
"三五日" 1
"三十两" 1
"三日" 1
"上学" 1
"上马" 1
"不及" 1
"不可" 1
"不在话下" 1
"不好意思" 1
"不尽" 1
"不屑" 1
"不必" 1
"不成" 1
"不曾" 1
"不服水土" 1
"不消" 1
"不禁" 1
"不管怎样" 1
"不觉" 1
"不论" 1
"不错" 1
"东" 1
"丝" 1
"两件" 1
"两位" 1
"两夜" 1
"两把" 1
"两样" 1
"两段" 1
"两面" 1
"严" 1
"串" 1
"为人" 1
"主仆" 1
"主子" 1
"乃" 1
"乃是" 1
"之中" 1
"习文" 1
"买" 1
"乱" 1
"二房" 1
"二百里" 1
"二郎" 1
"于" 1
"交" 1
"亦" 1
"亮" 1
"亲身" 1
"人人" 1
"人物" 1
"什么样" 1
"今生" 1
"仍" 1
"从不" 1
"代" 1
"仲" 1
"件" 1
"伏" 1
"伙计" 1
"传" 1
"伯母" 1
"伸" 1
"但" 1
"低头" 1
"住口" 1
"何人" 1
"余" 1
"使" 1
"侍" 1
"侍奉" 1
"侵" 1
"便了" 1
"促" 1
"俊" 1
"信不过" 1
"修" 1
"修行" 1
"俯" 1
"倒好" 1
"倘或" 1
"倘然" 1
"倾倒" 1
"假" 1
"偏" 1
"偏偏" 1
"做生日" 1
"偶然" 1
"偷" 1
"儿子" 1
"先进" 1
"入殓" 1
"全" 1
"八" 1
"八月" 1
"公事" 1
"关切" 1
"关门" 1
"内室" 1
"册子" 1
"再三" 1
"再者" 1
"冰" 1
"冷二郎一冷入空门" 1
"冷眼" 1
"冷飕飕" 1
"几个" 1
"几年" 1
"几日" 1
"几杯" 1
"凡" 1
"凭" 1
"出丑" 1
"出入" 1
"出神" 1
"击" 1
"刚" 1
"别人" 1
"到底" 1
"剃" 1
"前去" 1
"前后" 1
"前往" 1
"前日" 1
"前生" 1
"前面" 1
"剩" 1
"加" 1
"务" 1
"动身" 1
"劫" 1
"勤" 1
"医" 1
"十" 1
"十月" 1
"十载" 1
"千万" 1
"午后" 1
"南" 1
"卧" 1
"卧室" 1
"卧病" 1
"厚" 1
"去年" 1
"及" 1
"友" 1
"发" 1
"取" 1
"取信" 1
"取出" 1
"受" 1
"口" 1
"另" 1
"只是" 1
"只要" 1
"叫" 1
"叫作" 1
"叮" 1
"可以" 1
"可怜" 1
"可惜" 1
"可是" 1
"可知" 1
"右手" 1
"吃喝" 1
"吃斋" 1
"合体" 1
"合理" 1
"名" 1
"后悔" 1
"吞" 1
"吾" 1
"呆子" 1
"呢" 1
"和尚" 1
"和解" 1
"品行" 1
"品貌" 1
"哥" 1
"哥哥" 1
"唬" 1
