"词语" "次数"
"了" 323
"的" 262
"说" 177
"是" 175
"不" 140
"我" 112
"着" 104
"也" 98
"你" 93
"来" 91
"这" 65
"去" 64
"人" 61
"又" 60
"在" 59
"儿" 55
"呢" 54
"就" 53
"他" 51
"见" 51
"送" 49
"她" 48
"一" 47
"东西" 45
"姑娘" 44
"得" 43
"才" 42
"有" 42
"二" 37
"叫" 37
"好" 36
"便" 34
"奶奶" 34
"想" 34
"什么" 31
"知道" 31
"要" 31
"还" 31
"道" 31
"事" 30
"给" 30
"里" 30
"凤姐" 29
"到" 29
"宝玉" 29
"爷" 28
"一个" 27
"看" 27
"袭人" 27
"问" 27
"些" 26
"那" 26
"上" 25
"因" 25
"都" 25
"只" 24
"听" 24
"宝钗" 24
"黛玉" 24
"平儿" 22
"自己" 22
"笑" 21
"罢" 21
"该" 21
"家" 20
"我们" 20
"吃" 18
"怎么" 18
"没" 18
"这样" 18
"会" 17
"回来" 17
"子" 17
"把" 17
"没有" 17
"等" 17
"为" 16
"兴儿" 16
"同" 16
"妹妹" 16
"往" 16
"忙" 16
"说道" 16
"且" 15
"作" 15
"倒" 15
"出" 15
"小" 15
"房" 15
"病" 15
"话" 15
"三" 14
"么" 14
"之" 14
"哪里" 14
"宝" 14
"将" 14
"拿" 14
"不知" 13
"个" 13
"告诉" 13
"大" 13
"很" 13
"此" 13
"老太太" 13
"自" 13
"薛蟠" 13
"这个" 13
"这里" 13
"做" 12
"出来" 12
"咱们" 12
"大爷" 12
"带" 12
"珍" 12
"请" 12
"走" 12
"兄弟" 11
"可" 11
"听见" 11
"哥" 11
"回" 11
"如今" 11
"林" 11
"瞧" 11
"若" 11
"跟" 11
"过" 11
"这些" 11
"为什么" 10
"们" 10
"再" 10
"哥哥" 10
"姐" 10
"提" 10
"旺儿" 10
"正" 10
"毕" 10
"特" 10
"薛姨妈" 10
"起" 10
"连" 10
"下" 9
"与" 9
"中" 9
"住" 9
"先" 9
"劝" 9
"发" 9
"坐" 9
"处" 9
"尤" 9
"怕" 9
"打" 9
"故" 9
"无" 9
"死" 9
"言" 9
"谁" 9
"道谢" 9
"那里" 9
"你们" 8
"出去" 8
"别" 8
"却" 8
"咧" 8
"哭" 8
"多" 8
"对" 8
"干" 8
"并" 8
"心" 8
"成" 8
"替" 8
"赶" 8
"闻" 8
"难道" 8
"两" 7
"今日" 7
"从" 7
"他们" 7
"件" 7
"伤心" 7
"内" 7
"原" 7
"喜欢" 7
"头" 7
"妈" 7
"妹子" 7
"姐姐" 7
"完" 7
"定" 7
"巧" 7
"带来" 7
"张" 7
"所以" 7
"早" 7
"比" 7
"老婆子" 7
"而且" 7
"至" 7
"道士" 7
"一件" 6
