"词语" "次数"
"了" 172
"的" 117
"我" 111
"说" 83
"不" 76
"是" 76
"他" 67
"又" 67
"你" 52
"也" 46
"着" 45
"人" 44
"来" 44
"这" 41
"去" 38
"只" 36
"凤姐" 35
"有" 33
"之" 29
"见" 29
"事" 28
"二" 26
"在" 26
"家" 26
"便" 24
"要" 24
"奴" 23
"姐姐" 23
"一" 22
"忙" 21
"若" 21
"告" 20
"贾蓉" 20
"个" 19
"尤二姐" 19
"好" 18
"就" 18
"等" 18
"上" 17
"婶子" 17
"得" 17
"死" 17
"还" 17
"尤氏" 16
"听" 15
"奶奶" 15
"笑" 15
"都" 15
"同" 14
"命" 14
"大" 14
"如今" 14
"没" 14
"与" 13
"如此" 13
"少不得" 13
"张华" 13
"旺儿" 13
"爷" 13
"银子" 13
"中" 12
"住" 12
"敢" 12
"礼" 12
"给" 12
"道" 12
"他们" 11
"你们" 11
"凤" 11
"出来" 11
"和" 11
"太太" 11
"将" 11
"我们" 11
"才" 11
"把" 11
"既" 11
"老太太" 11
"那" 11
"下" 10
"们" 10
"儿" 10
"再" 10
"到" 10
"原" 10
"反" 10
"叫" 10
"哭" 10
"回" 10
"姐儿" 10
"孝" 10
"看" 10
"起来" 10
"些" 9
"作" 9
"儿子" 9
"告诉" 9
"咱们" 9
"外" 9
"嫂子" 9
"子" 9
"察" 9
"拿" 9
"求" 9
"自己" 9
"院" 9
"一个" 8
"亦" 8
"使" 8
"劝" 8
"娶" 8
"对" 8
"已" 8
"打" 8
"皆" 8
"知" 8
"知道" 8
"自" 8
"过" 8
"这些" 8
"这般" 8
"里" 8
"骂" 8
"不知" 7
"为" 7
"主意" 7
"亲" 7
"什么" 7
"会" 7
"倒" 7
"先" 7
"别" 7
"小" 7
"带" 7
"干" 7
"心" 7
"快" 7
"怕" 7
"急" 7
"接" 7
"正" 7
"素" 7
"虽" 7
"贾" 7
"这里" 7
"一面" 6
"且" 6
"丫头" 6
"今" 6
"众人" 6
"做" 6
"兄弟" 6
"出" 6
"可" 6
"园" 6
"处" 6
"大家" 6
"头" 6
"姊妹" 6
"岂" 6
"府" 6
"往" 6
"收拾" 6
"方" 6
"此事" 6
"竟" 6
"罪" 6
"背" 6
"脸" 6
"话" 6
"走" 6
"这个" 6
"进去" 6
