"词语" "次数"
"了" 165
"的" 150
"是" 81
"说" 74
"不" 72
"来" 70
"我" 65
"刘姥姥" 61
"着" 57
"道" 55
"你" 54
"他" 47
"又" 46
"也" 44
"有" 40
"去" 36
"周瑞家的" 36
"便" 33
"就" 33
"呢" 32
"这" 32
"只" 31
"人" 30
"在" 28
"见" 27
"上" 26
"凤姐" 26
"一" 24
"个" 23
"听" 23
"太太" 22
"笑" 21
"问" 21
"事" 20
"罢" 20
"那" 20
"大" 19
"还" 19
"与" 18
"因" 18
"都" 18
"儿" 17
"过" 17
"好" 16
"带" 16
"板儿" 16
"没" 16
"些" 15
"我们" 15
"若" 15
"一个" 14
"中" 14
"先" 14
"坐" 14
"忙" 14
"这里" 14
"之" 13
"会" 13
"到" 13
"叫" 13
"吃" 13
"子" 13
"家" 13
"时" 13
"老" 13
"如今" 12
"宝玉" 12
"平儿" 12
"得" 12
"至" 12
"那里" 12
"他们" 11
"们" 11
"倒" 11
"奶奶" 11
"才" 11
"拿" 11
"方" 11
"二" 10
"什么" 10
"作" 10
"只管" 10
"和" 10
"回" 10
"狗儿" 10
"侄儿" 9
"出" 9
"已" 9
"知道" 9
"袭人" 9
"要" 9
"说道" 9
"请" 9
"一面" 8
"下" 8
"亲戚" 8
"可" 8
"后" 8
"多" 8
"当" 8
"炕" 8
"话" 8
"门" 8
"今日" 7
"你们" 7
"凤" 7
"却" 7
"只见" 7
"咱们" 7
"小" 7
"小丫头" 7
"快" 7
"未" 7
"比" 7
"看" 7
"等" 7
"给" 7
"起来" 7
"钱" 7
"不过" 6
"从" 6
"住" 6
"内" 6
"别" 6
"原" 6
"周瑞" 6
"大爷" 6
"如此" 6
"姥姥" 6
"孩子" 6
"将" 6
"待" 6
"忽" 6
"怎么" 6
"想" 6
"找" 6
"摆" 6
"无" 6
"没有" 6
"炕沿" 6
"甚" 6
"茶" 6
"虽" 6
"贾蓉" 6
"走" 6
"起身" 6
"进来" 6
"连" 6
"遂" 6
"银子" 6
"饭" 6
"一件" 5
"一样" 5
"一般" 5
"于是" 5
"今" 5
"今儿" 5
"再" 5
"出来" 5
"名" 5
"听见" 5
"命" 5
"回来" 5
"姑奶奶" 5
"姑娘" 5
"年" 5
"心中" 5
"打" 5
"接" 5
"教" 5
"略" 5
"荣府" 5
"说话" 5
"走动" 5
"边" 5
"过来" 5
"这边" 5
"进" 5
"里" 5
"不知" 4
"东西" 4
"东边" 4
"两个" 4
"亦" 4
"仍" 4
"但" 4
"几个" 4
"出去" 4
"刘氏" 4
"前" 4
"卖" 4
"告诉" 4
"周" 4
"周大娘" 4
"唤" 4
"堂屋" 4
"天" 4
"女儿" 4
"姐儿" 4
"姑" 4
"婶子" 4
