"词语" "次数"
"了" 155
"的" 90
"道" 58
"笑" 55
"来" 53
"也" 52
"不" 51
"宝玉" 48
"说" 47
"去" 46
"这" 45
"人" 44
"是" 42
"又" 41
"有" 38
"放" 33
"都" 32
"他" 31
"我" 31
"着" 30
"在" 29
"好" 29
"便" 27
"看" 27
"宝" 26
"众人" 24
"春" 23
"一" 21
"子" 21
"玉" 21
"黛" 21
"你" 20
"得" 20
"上" 19
"只" 18
"一个" 17
"之" 17
"就" 17
"把" 17
"贾" 17
"因" 16
"桃花" 16
"起" 16
"那" 16
"与" 15
"作" 15
"钗" 15
"听" 14
"探" 14
"花" 14
"要" 14
"风筝" 14
"儿" 13
"将" 13
"小" 13
"帘" 13
"忙" 13
"时" 13
"见" 13
"写" 12
"出来" 12
"大家" 12
"姑娘" 12
"字" 12
"日" 12
"琴" 12
"香" 12
"却" 11
"和" 11
"落" 11
"起来" 11
"且" 10
"丫头" 10
"出" 10
"大" 10
"拿" 10
"母" 10
"社" 10
"自" 10
"自己" 10
"下" 9
"中" 9
"们" 9
"呢" 9
"回" 9
"才" 9
"湘云" 9
"等" 9
"红" 9
"罢" 9
"虽" 9
"鹃" 9
"房" 8
"李" 8
"泪" 8
"紫" 8
"纨" 8
"诗" 8
"过" 8
"送" 8
"顽" 8
"东风" 7
"两个" 7
"为" 7
"倒" 7
"凤" 7
"出去" 7
"夫人" 7
"我们" 7
"收" 7
"方" 7
"林" 7
"王" 7
"病" 7
"皆" 7
"算" 7
"线" 7
"袭" 7
"那里" 7
"三" 6
"不知" 6
"个" 6
"书" 6
"你们" 6
"使" 6
"先" 6
"再" 6
"几个" 6
"凤凰" 6
"取" 6
"向" 6
"听说" 6
"喜" 6
"外" 6
"姐" 6
"开" 6
"拈" 6
"断" 6
"晴" 6
"月" 6
"正" 6
"瞧" 6
"知" 6
"籰" 6
"翠" 6
"至" 6
"请" 6
"这里" 6
"问" 6
"一处" 5
"丫鬟" 5
"临" 5
"二" 5
"偏" 5
"到" 5
"命" 5
"咱们" 5
"因此" 5
"头" 5
"奴" 5
"如今" 5
"完" 5
"尽" 5
"带" 5
"快" 5
"成" 5
"无" 5
"明日" 5
"昨" 5
"有趣" 5
"果然" 5
"空" 5
"绞" 5
"美" 5
"若" 5
"诗社" 5
"谁家" 5
"还" 5
"雄" 5
"雯" 5
"风" 5
"一回" 4
"一篇" 4
"一般" 4
"一面" 4
"不能" 4
"乱" 4
"些" 4
"会" 4
"前" 4
"半首" 4
"卷" 4
"另" 4
"可" 4
"史" 4
"咭" 4
"墨" 4
"多" 4
"天天" 4
"寂寞" 4
"尤" 4
"已" 4
"往" 4
"怎么" 4
"急" 4
"愁" 4
"所以" 4
"打" 4
"接" 4
"改" 4
"晦气" 4
"未" 4
"柳絮" 4
"比" 4
"湘" 4
"用" 4
"碧" 4
"给" 4
"自然" 4
"请安" 4
"谁" 4
"闲" 4
"院" 4
"难道" 4
"一日" 3
"一时" 3
"一首" 3
"不管" 3
"于是" 3
"亦" 3
"他们" 3
"令" 3
"众" 3
"住" 3
"信" 3
"做" 3
"兴" 3
"内" 3
"几" 3
"几处" 3
"凭" 3
"别" 3
"剪" 3
"剪子" 3
"动" 3
"十分" 3
"半天" 3
"发" 3
"只见" 3
"同" 3
"吩咐" 3
"四" 3
"太太" 3
"妹妹" 3
"姐儿" 3
"家" 3
"岂" 3
"工夫" 3
"干" 3
"应" 3
"必" 3
"恨" 3
"憔悴" 3
"打发" 3
"抓" 3
"披" 3
"搁" 3
"搪塞" 3
"政" 3
"散" 3
"早" 3
"更" 3
"替" 3
"柳" 3
"栊" 3
"根" 3
"此" 3
"每日" 3
"毕" 3
"水" 3
"没有" 3
"潇" 3
"点" 3
"王子" 3
"理" 3
"琏" 3
"生" 3
"相" 3
"眼" 3
"知道" 3
"稻" 3
"穿" 3
"立" 3
"纤" 3
"纵" 3
"缕" 3
"老太太" 3
"肢" 3
"腾" 3
"色" 3
"芳" 3
"蝶" 3
"让" 3
"许多" 3
"词" 3
"该" 3
"语" 3
"说话" 3
"走" 3
"赶" 3
"足" 3
"这个" 3
"陪" 3
"隔" 3
"顶" 3
"题" 3
"一壁" 2
"一声" 2
"一年" 2
"一百" 2
"一遍" 2
"一重" 2
"一顿" 2
"万物" 2
"三个" 2
"三月" 2
"上面" 2
"不好" 2
"不得" 2
"不成" 2
"不断" 2
"不要" 2
"东西" 2
"丝" 2
"丧" 2
"临江" 2
"主" 2
"乃" 2
"乏" 2
"乐" 2
"乱纷纷" 2
"五" 2
"京" 2
"付" 2
"仙" 2
"以" 2
"仰面" 2
"休" 2
"但" 2
"何" 2
"何不" 2
"依" 2
"倦" 2
"偶" 2
"其余" 2
"写字" 2
"冷" 2
"凑" 2
"几张" 2
"分" 2
"别的" 2
"刺" 2
"剩" 2
"力" 2
"功课" 2
"半" 2
"华" 2
"单" 2
"南" 2
"原来" 2
"受罚" 2
"只管" 2
"各人" 2
"各处" 2
"呱呱" 2
"响" 2
"唐" 2
"回头" 2
"回来" 2
"园" 2
"固然" 2
"在家" 2
"地下" 2
"均匀" 2
"填词" 2
"声调" 2
"处" 2
"多少" 2
"大娘" 2
"太" 2
"奈" 2
"套" 2
"奶奶" 2
"如" 2
"如此" 2
"妆" 2
"妻" 2
"姊妹" 2
"姐姐" 2
"姨娘" 2
"娶" 2
"媚" 2
"安" 2
"对" 2
"寿" 2
"小气" 2
"少不得" 2
"展" 2
"常" 2
"年" 2
"并" 2
"应该" 2
"庭" 2
"心" 2
"心中" 2
"忘" 2
"怕" 2
"想" 2
"手帕" 2
"找" 2
"抹" 2
"拆开" 2
"拟" 2
"拾" 2
"拿下" 2
"挂" 2
"指" 2
"按" 2
"掌灯" 2
"接着" 2
"摇摇" 2
"敢" 2
"新鲜" 2
"易" 2
"曰" 2
"最" 2
"期" 2
"本" 2
"村" 2
"杜" 2
"枕" 2
"果" 2
"染" 2
"柯" 2
"样" 2
"梦" 2
"梳洗" 2
"楼" 2
"次日" 2
"欢喜" 2
"欲" 2
"此时" 2
"残" 2
"气" 2
"没" 2
"没收" 2
"海棠" 2
"清晨" 2
"温" 2
"滚" 2
"烟" 2
"然" 2
"燕" 2
"爷" 2
"留" 2
"病根" 2
"盛" 2
"离" 2
"称" 2
"窗" 2
"竟" 2
"笔" 2
"纸" 2
"终" 2
"络" 2
"续" 2
"绽" 2
"绾" 2
"老爷" 2
"肋" 2
"肯" 2
"胭脂" 2
"脚" 2
"膈" 2
"自不必说" 2
"蕉" 2
"螃蟹" 2
"衣" 2
"袄" 2
"裹" 2
"西江月" 2
"解" 2
"议定" 2
"许" 2
"话" 2
"读" 2
"谁知" 2
"调" 2
"赏" 2
"软" 2
"过去" 2
"近日" 2
"进" 2
"透" 2
"逝" 2
"逼近" 2
"那个" 2
"醒" 2
"重" 2
"金" 2
"钟" 2
"长" 2
"门" 2
"闻" 2
"限" 2
"随" 2
"难" 2
"集" 2
"雪" 2
"雾" 2
"韶" 2
"顿" 2
"预备" 2
"飘飘" 2
"饭后" 2
"首" 2
"高" 2
"鸳鸯" 2
"麝" 2
"齐" 2
"一个门" 1
"一件" 1
"一任" 1
"一位" 1
"一则" 1
"一卷" 1
"一句" 1
"一向" 1
"一天" 1
"一家" 1
"一带" 1
"一并" 1
"一把" 1
"一支" 1
"一数" 1
"一条" 1
"一样" 1
"一步" 1
"一点" 1
"一起" 1
"一身" 1
"一边" 1
"一连" 1
"一遭" 1
"一阵" 1
"一齐" 1
"七" 1
"七个" 1
"七手八脚" 1
"七月" 1
"万株" 1
"万缕" 1
"三下" 1
"三五日" 1
"三分" 1
"三四年" 1
"上前" 1
"下回" 1
"下放" 1
"下旬" 1
"下来" 1
"下次" 1
"不大" 1
"不如" 1
"不妨" 1
"不尽" 1
"不巧" 1
"不已" 1
"不忍" 1
"不怕" 1
"不拘" 1
"不用" 1
"不算" 1
"不耐烦" 1
"不肯" 1
"不见" 1
"不许" 1
"不过" 1
"丛" 1
"东西南北" 1
"丢" 1
"两" 1
"两句" 1
"两开" 1
"两日" 1
"中人" 1
"中用" 1
"临了" 1
"临帖" 1
"临阵磨枪" 1
"主意" 1
"乃是" 1
"之上" 1
"之后" 1
"之类" 1
"之际" 1
"乎" 1
"乘机" 1
"也罢" 1
"书信" 1
"争" 1
"事" 1
"事业" 1
"事务" 1
"二则" 1
"二十五岁" 1
"二百三百" 1
"于" 1
"亏" 1
"云" 1
"互相" 1
"五六十篇" 1
"五十篇" 1
"五月" 1
"交" 1
"亭" 1
"亲" 1
"亲自" 1
"人命" 1
"人烟" 1
"今" 1
"今儿" 1
"今年" 1
"今日" 1
"今生" 1
"仍" 1
"仍旧" 1
"从" 1
"从来" 1
"仔细" 1
"他日" 1
"以后" 1
