"词语" "次数"
"了" 197
"的" 137
"我" 111
"不" 101
"说" 90
"是" 81
"他" 76
"道" 73
"来" 69
"你" 57
"这" 54
"也" 47
"又" 47
"人" 46
"贾琏" 43
"就" 37
"去" 36
"笑" 35
"有" 34
"因" 33
"凤姐" 32
"着" 31
"还" 31
"什么" 28
"一" 27
"鸳鸯" 27
"那" 25
"便" 24
"事" 23
"上" 22
"要" 22
"问" 22
"奶奶" 21
"再" 20
"在" 20
"见" 20
"平儿" 19
"忙" 19
"一个" 18
"只" 18
"银子" 18
"和" 17
"给" 17
"且" 16
"个" 16
"儿" 16
"听" 16
"好" 16
"姐姐" 16
"没" 16
"若" 16
"会" 15
"你们" 15
"倒" 15
"子" 15
"得" 15
"我们" 15
"拿" 15
"竟" 15
"这样" 15
"才" 14
"看" 14
"都" 14
"小" 13
"老太太" 13
"些" 12
"先" 12
"想" 12
"成" 12
"把" 12
"病" 12
"呢" 11
"太太" 11
"家" 11
"时" 11
"等" 11
"话" 11
"里" 11
"一面" 10
"不知" 10
"与" 10
"之" 10
"使" 10
"出" 10
"出去" 10
"多" 10
"大" 10
"如今" 10
"没有" 10
"谁" 10
"走" 10
"他们" 9
"作" 9
"出来" 9
"叫" 9
"司棋" 9
"命" 9
"回" 9
"彩霞" 9
"心" 9
"房" 9
"白" 9
"知道" 9
"过" 9
"下" 8
"两个" 8
"二" 8
"内" 8
"到" 8
"可" 8
"坐" 8
"打发" 8
"找" 8
"旺儿媳妇" 8
"爷" 8
"自己" 8
"虽" 8
"语" 8
"起" 8
"两日" 7
"却" 7
"吃" 7
"听见" 7
"咱们" 7
"大事" 7
"太" 7
"已" 7
"应" 7
"忘" 7
"怎么" 7
"旺儿" 7
"林之孝" 7
"比" 7
"这里" 7
"送" 7
"那里" 7
"从" 6
"住" 6
"借" 6
"准" 6
"反" 6
"所以" 6
"提" 6
"放" 6
"方" 6
"求" 6
"老爷" 6
"至" 6
"该" 6
"说道" 6
"起来" 6
"进来" 6
"连" 6
"一半" 5
"一年" 5
"一时" 5
"不能" 5
"为" 5
"别" 5
"口" 5
"因此" 5
"外头" 5
"太监" 5
"头" 5
"小丫头" 5
"往" 5
"忽" 5
"悄" 5
"支" 5
"既" 5
"日" 5
"死" 5
"真" 5
"礼" 5
"罢" 5
"自" 5
"虽然" 5
"贾环" 5
"赵姨娘" 5
"过来" 5
"进" 5
"钱" 5
"一声" 4
"一样" 4
"中" 4
"们" 4
"俗语" 4
"凤" 4
"到底" 4
"动" 4
"只怕" 4
"只管" 4
"只见" 4
"后" 4
"向" 4
"听说" 4
"告诉" 4
"夏" 4
"如此" 4
"姐儿" 4
"娘" 4
"娘娘" 4
"将来" 4
"少" 4
"岂" 4
"待" 4
"心中" 4
"懒" 4
"打" 4
"放心" 4
"早" 4
"旺儿家的" 4
"明儿" 4
"昨" 4
"晚间" 4
"月钱" 4
"未" 4
"未了" 4
"果然" 4
"正" 4
"现" 4
"管" 4
"红" 4
"老子" 4
"肯" 4
"自然" 4
"请" 4
"贾母" 4
"过去" 4
"还有" 4
"酒" 4
"金" 4
"难" 4
"一二百" 3
"一件" 3
"一句" 3
"一场" 3
"一辈子" 3
"不成" 3
"不管" 3
"不过" 3
"东西" 3
"丫头" 3
"二则" 3
"今儿" 3
"今年" 3
"今日" 3
"从此" 3
"件" 3
"何事" 3
"何苦" 3
"依" 3
"倘或" 3
"候" 3
"儿子" 3
"兄弟" 3
"凑" 3
"刚" 3
"别处" 3
"前" 3
"前日" 3
"发" 3
"变" 3
"只得" 3
"哭" 3
"外" 3
"大了" 3
"大夫" 3
"大家" 3
"天天" 3
"妈" 3
"姑娘" 3
"定" 3
"家里" 3
"小儿" 3
"屋里" 3
"已经" 3
"帐" 3
"带" 3
"府" 3
"开恩" 3
"彼此" 3
"心里" 3
"怕" 3
"意" 3
"摆" 3
"收" 3
"敢" 3
"无" 3
