"词语" "次数"
"了" 142
"的" 121
"是" 104
"不" 99
"他" 77
"来" 64
"我" 62
"说" 62
"你" 50
"道" 48
"也" 45
"去" 45
"姑娘" 40
"人" 38
"又" 38
"着" 34
"这" 34
"就" 32
"有" 32
"要" 31
"在" 30
"迎春" 27
"便" 25
"只" 25
"问" 25
"一" 24
"因" 24
"都" 24
"笑" 23
"出" 22
"见" 22
"贾母" 22
"事" 21
"们" 21
"和" 21
"探春" 21
"得" 20
"什么" 19
"儿" 19
"听" 19
"如今" 19
"罢" 19
"之" 18
"我们" 18
"绣" 18
"还" 18
"些" 17
"姐姐" 17
"宝玉" 17
"忙" 17
"一个" 16
"内" 16
"拿" 16
"等" 16
"钱" 16
"橘" 15
"看" 15
"邢夫人" 15
"好" 14
"竟" 14
"上" 13
"且" 13
"二" 13
"他们" 13
"作" 13
"你们" 13
"或" 13
"才" 13
"敢" 13
"那" 13
"回" 12
"太太" 12
"时" 12
"若" 12
"话" 12
"不过" 11
"丫头" 11
"大" 11
"自" 11
"过" 11
"遂" 11
"再" 10
"如此" 10
"家" 10
"平儿" 10
"没" 10
"该" 10
"起" 10
"下" 9
"不知" 9
"使" 9
"倒" 9
"原" 9
"叫" 9
"园内" 9
"奶奶" 9
"打" 9
"正" 9
"谁" 9
"这里" 9
"与" 8
"东西" 8
"个" 8
"从" 8
"何" 8
"命" 8
"夜" 8
"媳妇" 8
"想" 8
"无" 8
"晴雯" 8
"者" 8
"至" 8
"虽" 8
"众人" 7
"出去" 7
"别" 7
"听见" 7
"大家" 7
"头" 7
"如何" 7
"小" 7
"心" 7
"忽" 7
"怎么" 7
"房" 7
"未" 7
"比" 7
"没有" 7
"皆" 7
"睡" 7
"知" 7
"读" 7
"走" 7
"这样" 7
"连" 7
"不能" 6
"为" 6
"书" 6
"今日" 6
"住" 6
"偏" 6
"凤" 6
"别人" 6
"只得" 6
"吊" 6
"向" 6
"呢" 6
"坐" 6
"子" 6
"将" 6
"带" 6
"常" 6
"往" 6
"把" 6
"方" 6
"既" 6
"查" 6
"此" 6
"算" 6
"起来" 6
"这个" 6
"进来" 6
"一声" 5
"一样" 5
"三" 5
"丫鬟" 5
"但" 5
